Alignment Sheet,Legal Location,Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
47,4-18-19-23,657.0 to 657.1,2598,QVegetation – Weeds u'Appelle River,--,--,Moderate density of false ragweed and kochia on northwest bank.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
47,N1/2 7-19-23,657.3 to 658.3,2599 2599.01,QTopography – Slopes Soils – Erosion u'Appelle River valley,Diversion berms and silt fences installed. Straw crimped. Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47,NW 7-19-23,657.7,2599,Soils - Subsidence,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
47,NW 7-19-23,657.7 to 657.9,2599,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for nodding thistle.,Potential for weed introduction and spread.,No issue observed on right-of-way.,Resolved,None.,,W2M,
47,NW 7-19-23,657.9,2599,Vegetation - Rare Plants,Rough pennyroyal located off the construction right-of-way. No mitigation required.,Confirmation of the viability of the population.,35 clumps of 4-10 plants each found on south edge of right-of-way and extending south to treeline.,Resolved,None.,,W2M,
47,SE 7-19-23,658.7 to 659.0,2600,Vegetation - Weeds,Chemical weed control conducted as per landowner request.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47,SW 8 to SE 8-19-23,659.0 to 660.1,2601 2601.01 2601.02 2601.03 2601.04 2601.05 2602,Soils – Erosion Land and Resource Use - Side Roll Irrigated Lands,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection. Avoided peak irrigation season. Trench backfilled in lifts.,Potential for erosion until vegetation is established. Potential for subsidence,No erosion or subsidence issues observed on right-of-way.,Resolved,None.,,W2M,
47,SW 8 to SE 8-19-23,659.0 to 660.1,2601 2601.01 2601.02 2601.03 2601.04 2601.05 2602,Vegetation – Weeds,--,--,High density of false ragweed on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
47,SW 8-19-23,659.7 to 659.9,2601,Vegetation - Weeds,--,--,"Moderate density of scentless chamomile, false ragweed and nodding thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
47,NE 5-19-23,660.1 to 660.9,2603 2603.01 2603.03,Land and Resource Use - Pivot Irrigated Lands,Avoided peak irrigation season. Trench backfilled in lifts.,Potential for subsidence.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47,SW 4-19-23 to NE 33-18-23,661.7 to 664.7,2604.01 2605 2606 2607 2608,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established. Potential for cattle damage.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47,SE-4-19-23,662.7,2605,UWater Quality and Quantity Fish and Fish Habitat nnamed Creek,Dry crossing - open cut. Appropriate vehicle crossing installed. Open cut crossing method used. Banks restored.  Approaches straw crimped.,Potential sedimentation until vegetation has established.,Poor vegetation establishment on northwest bank due to heavy cattle activity on right-of-way.,Unresolved,Reseed northwest bank and monitor in 2011.,,W2M,
47,SE-4-19-23,662.8,2605,Vegetation - Rare Plants,Marked off the prairie dunewort population and no disturbance allowed within the area. Extended road bore to avoid the prairie dunewort population.,Success of the mitigation.,51 plants observed in 24 locations 6 m south of south boundary. Construction was narrowed to the right-of-way to successfully avoid population.,Resolved,None.,,W2M,
47,NW 33-18-23,664.0,2607,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for nodding thistle.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47 to 48,SW 34 to SE 26-18-23,665.0 to 668.9,2609 2609.012610 2611 2612 2613,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
47 to 48,SW 34 to NW 26-18-23,665.0 to 667.6,2609 2609.01 2610 2611,Vegetation - Weeds,--,--,Moderate density of false ragweed and nodding thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
48,16-27-18-23,666.9,2610,HTopography – Slopes Soils - Erosion Water Quality and Quantity Fish and Fish Habitat igh Hill Creek,"Appropriate vehicle crossing installed. Open cut crossing method used. Banks restored.  Erosion control such as diversion berms, coconut matting and silt fences installed. Straw crimped slopes.",Potential for sedimentation until vegetation is established.,Rill erosion and poor vegetation establishment on northwest bank on right-of-way. Diversion berm contributing to rill erosion on northwest bank. Silt fencing damaged on northwest bank.,Unresolved,"Repair rill erosion, diversion berm and silt fencing on northwest bank, reseed and monitor in 2011.",,W2M,
48,16-27-18-23,666.9,2610,HVegetation – Weeds igh Hill Creek,--,--,Moderate density of false ragweed and areas of poor seed catch on northwest bank on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
48,NW 26-18-23,667.0 to 667.6,2611,Soils - Erosion,Straw crimping was conducted at the request of the landowner.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,SE 26-18-23,668.9,2613,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,SW 25-18-23,669.1,2614,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,NW 24-18-23,669.1 to 669.9,2615,Vegetation – Weeds Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,NE 24-18-23,669.9 to 670.6,2615.01,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,W2M,
48,NE 24-18-23,669.9 to 670.6,2615.01,Vegetation - Establishment,--,--,Poor vegetation establishment at KP 670.3 observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
48,SE 24-18-23,670.6 to 670.8,2616,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,NW 18 to SW 18-18-22,R 0.5 to R 2.2,2618.1 2619.1,Soils - Erosion,Utilized a cultipacker to pack replaced topsoil and seeded an oat cover crop for additional protection.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,NW 18-18-22,R 1.3,2618.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,SW 18-18-22,R 1.3 to R 2.1,2619.1,Soils - Erosion,Straw crimping was conducted at the request of the landowner.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
48,NE 7 / NW 8-18-22,R 3.10 to R 3.13,2621.1 2622.1,Wetland Class Overall: III Wetland Class on right-of-way: n/a 2008 Health: healthy with problems (60%),"Clearly identified and flagged wetland boundaries. Narrowed construction right-of-way width. Installed a subsoil ramp on geotextile material. During final clean-up, removed clay ramp and geotextile, and seeded area with an approved seed mix. Landowner subsequently excavated this wetland into a large dugout alongside the right-of-way.",Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Wetland [dugout] was avoided by final alignment.,Resolved,None.,,W2M,
49,NW 26-17-22,R 10.6,2638.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,NE 26-17-22,R 10.6 to R 11.2,2642.1,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,SE 26-17-22,R 11.5,2644.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,SW 25-17-22,R 11.5 to R 12.1,2645.1,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,SW 25-17-22,R 12.1,2645.1,CSoils – Erosion Water Quality and Quantity Fish and Fish Habitat ottonwood Creek,Appropriate vehicle crossing installed. Adhered to instream RAP. Isolation crossing method used. Banks restored. Erosion control installed (silt fence).,Potential for sedimentation until vegetation is established.,Rill erosion and sedimentation on slope and diversion berm of west bank on right-of-way. Silt fencing ineffective on west bank. Poor vegetation establishment on west bank on right-of-way.,Unresolved,"Repair rill erosion and silt fencing, reseed and monitor in 2011.",,W2M,
49,SW 25-17-22,R 12.1 to R 12.5,2645.1,Vegetation - Weeds  Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds. No tackifier applied to topsoil windrows. Organic straw spread to incorporate in summer fallow.,Potential for weed introduction and spread.,"Moderate density of lamb's-quarters, kochia and Russian thistle on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,W2M,
49,SE 25-17-22,R 13.3,2646.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for leafy spurge.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,NE 19-17-21,R 14.2 to R 15.1,2649.1,Vegetation - Weeds,Chemical weed control conducted as per landowner request.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,6-20-17-21,R 15.7,2651.1,USoils - Erosion Water Quality and Quantity nnamed Drainage,Silt fence along watercourse installed. Diversion berms installed on west slope. Dry crossing - open cut.,Potential for sedimentation until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,W2M,
49,N 1/2 9-17-21,R 18.6 to R 19.5,2658.1 2659.1,Vegetation - Weeds,--,--,Low density of scentless chamomile observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
50,NE 2-17-21,R 23.2,2666.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entering certified seed grower lands.,Potential for weed introduction and spread.,High density of prickly lettuce and flixweed on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
50,SW 1-17-21,R 23.5 to R 24.4,2671.1 2672.1 2673.1,Vegetation - Weeds  Land and Resource Use - Certified seed grower,Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
50,SW 32-16-20,R 27.5 to R 28.3,2682.1 2682.3,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SE-32-16-20,R 28.3 to R 29.2,2683.1,Soils - Wind Erosion,--,--,Based on landowner complaint through Enbridge. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SW 33-16-20,R 30.0,2684.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
50,SE 33-16-20,R 30.0 to R 30.8,2685.1 2686.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
50,SE 33-16-20,R 30.0 to R 30.4,2685.1,Soils - Wind Erosion,--,--,Based on landowner complaint through Enbridge. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SE 33-16-20,R 30.4 to R 30.8,2686.1,Soils - Wind Erosion,--,--,Based on landowner complaint through Enbridge. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SW 34-16-20,R 30.8 to R 31.6,2688.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SE 34-16-20,R 31.6 to R 32.4,2689.1,Soils – Wind Erosion,--,--,Identified during spring over-flight. Not assessed in 2010.,Unresolved,Monitor in 2011.,,W2M,
50,SE 35-16-20,R 33.3 to R 34.1,2694.1 2691.1 2693.1 2692.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SW 36-16-20,R 34.1 to R 34.9,2695.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,SE 36-16-20,R 34.9 to R 35.7,2696.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,S1/2 31-16-19,R 35.7 to R 37.3,2697.1 2698.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
50,S1/2 31-16-19,R 36.5,2697.1 2698.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SE 32-16-19,R 38.1 to R 39.0,2700.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
51,SE 32-16-19,R 38.9,2700.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,"Moderate weed density of perennial sow-thistle, foxtail barley, stinkweed and scentless chamomile on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,SW 33-16-19,R 39 to R 39.8,2701.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,Intermittent minor to moderate subsidence on right-of-way.,Unresolved,Repair subsidence in 2010 and monitor in 2011.,,W2M,
51,SW 33-16-19,R 39 to R 39.8,2701.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
51,SE 33-16-19,R 39.8 to R 40.6,2702.1,Soils - Wind Erosion,--,--,Identified during spring over-flight. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
51,SE 33-16-19,R 39.8 to R 40.06,2702.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SE 33-16-19,R 40.06 to R 40.1,2702.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SE 33-16-19,R 40.1 to R 40.4,2702.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SE 33-16-19,R 40.4 to R 40.6,2702.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SE 33-16-19,R 40.6,2702.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,"Moderate weed density of perennial sow thistle, foxtail barley, kochia, Russian thistle and scentless chamomile on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,SW 34-16-19,R 40.6,2703.1,USoils - Erosion Water Quality and Quantity nnamed Drainage (Drains into slough),The vehicle crossing was a dry ford both during construction and during final clean-up.  Dry crossing – open cut. The drainage was seeded.,Potential for erosion/sedimentation until vegetation is established.,Drainage has been cultivated through. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
51,SW 34-16-19,R 40.6 to R 40.75,2703.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SW 34-16-19,R 40.75 to R 41.3,2703.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,SW 34-16-19,R 40.9,2703.1,USoils - Erosion Water Quality and Quantity nnamed Drainage (Drains into slough),The vehicle crossing was a dry ford both during construction and during final clean-up. Dry crossing – open cut. The drainage was recontoured and seeded to cover crop since the rest of the drainage was already in crop.,Potential for erosion/sedimentation until vegetation is established.,Drainage has been cultivated through. No issues observed on right-of-way during ground reconnaissance.,Resolved,None.,,W2M,
51,SW 34-16-19,R 41.3,2703.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
51,SW 34-16-19,R 41.4,2703.3,Vegetation - Weeds,--,--,Moderate weed density of white cockle and creeping (Canada) thistle observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,SE 34-16-19,R 41.4,2704.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way at railway and road crossing.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SE 34-16-19,R 41.4 to R 42.25,2704.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51 51 (Cont'd),SE 34-16-19 SE 34-16-19 (Cont'd),R 41.4 to R 42.4 R 41.4 to R 42.4 (cont'd),2704.1 2704.1 (cont'd),Vegetation – Weeds Vegetation – Weeds (cont'd),-- --,-- --,"High weed density of white cockle, perennial sow-thistle, scentless chamomile, lamb's quarters and creeping (Canada) thistle on right-of-way identified during spring over-flight and ground reconnaissance.",Unresolved Unresolved (cont'd),Follow weed control plan and monitor in 2011. Follow weed control plan and monitor in 2011. (cont'd),,W2M,
51 (Cont'd),SE 34-16-19 (Cont'd),R 42.25 to R 42.4,2704.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way at railway and road crossing.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,SW 35-16-19,R 42.4,2705.1,Soils - Trench subsidence for 15 m east of road crossing,--,Potential loss and admixing of topsoil.,Minor subsidence on right-of-way.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
51,SW 35-16-19,R 42.4 to R 42.5,2705.1,Soils - Wind Erosion,--,--,Based on landowner complaint through Enbridge. No issues observed during ground reconnaissance.,Resolved,None.,,W2M,
51,SW 35-16-19,R 42.4 to R 42.5,2705.1,Vegetation - Weeds,--,--,"High weed density of perennial sow-thistle, scentless chamomile, lamb's quarters and creeping (Canada) thistle observed on and off right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,W1/2 35-16-19,R 42.5 to R 43.3,2707.1,Soils - Wind Erosion,--,--,Based on Land Owner complaint through Enbridge. No issue observed during ground reconnaissance.,Resolved,None.,,W2M,
51,W1/2 35-16-19,R 42.45 to R 42.6,2707.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,W1/2 35-16-19,R 42.45 to R 42.75,2707.1,Vegetation - Weeds,--,--,"High weed density of perennial sow-thistle, scentless chamomile, lamb's quarters and creeping (Canada) thistle observed on and off right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
,,R 42.6 to R 43.3,2707.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 35-16-19,R 43.3 to R 44.2,2708.1,Vegetation - Crop Growth,--,--,Based on landowner complaint through Enbridge. Reduced crop growth in areas along right-of-way observed during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,W2M,
51,NE 35-16-19,R 43.3 to R 44.2,2708.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 35-16-19,R 43.3 to R 44.2,2708.1,Vegetation - Weeds,--,--,"High weed density of perennial sow-thistle, scentless chamomile (on right-of-way), kochia, creeping (Canada) thistle and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NW 36-16-19,R 44.2 to R 45.0,2709.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Weeds,--,--,"Moderate weed density of kochia, creeping (Canada) thistle, wild buckwheat and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NW 36-16-19,R 44.8 to R 45.0,2709.1,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor in 2011.,,W2M,
51,NW 36-16-19,R 45.0 to R 45.8,2710.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Change from Rural Municipality of Sherwood to Rural Municipality of Edenwold.,Weed introduction and spread.,"Moderate to high weed density of scentless chamomile, dandelion, lamb's quarters, stinkweed, creeping (Canada) thistle and perennial sow-thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.0 to R 45.4,2710.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.4 to R 45. 8,2710.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.4 to R 45. 8,2710.1,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.5,2710.1,WSoils - Erosion and trench subsidence Water Quality and Quantity Fish-Bearing Watercourse ascana Creek (Tributary to Qu'Appelle River),Appropriate vehicle crossing installed. Dry crossing – open cut. Recontoured banks. The tops of both banks were built up to repair settling since construction. The banks were seeded and covered in erosion matting.,Potential for erosion/sedimentation until vegetation is established. Potential loss and admixing of topsoil.,Siltation and rill erosion on south bank. Silt fence should be installed. No subsidence on banks observed during ground reconnaissance.,Unresolved,Install silt fence in 2010 and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.5,2710.1,Vegetation - Weeds Wascana Creek (Tributary to Qu'Appelle River),--,--,High weed density of scentless chamomile and creeping (Canada) thistle on banks observed on right-of-way during ground reconnaissance.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.8 to R 46.5,2713.1 2714.2 2714.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 45.8 to R 46.5,2713.1 2714.2 2714.1,Vegetation - Weeds,--,--,"High weed density of scentless chamomile, perennial sow-thistle and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51 (Cont'd),NE 36-16-19 (Cont'd),R 46.5 to R 46.6,2714.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 31-16-18,R 46.6 to R 47.4,2715.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 31-16-18,R 47.4,2715.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Scentless chamomile observed from KPR 45.8 to KPR 47.4 (N1/2 31-16-18 W2M).,Weed introduction and spread.,"High weed density of scentless chamomile, perennial sow-thistle and others on right-of-way",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NE 31 to NW 32-16-18,R 47.4 to R 47.5,2715.1 2717.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Minor subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
51,NW 32-16-18,R 47.5 to R 48.2,2717.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NW 32-16-18,R 48.2,2717.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,High weed densities of scentless chamomile and cleavers on right-of-way.,Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NE 32-16-18,R 48.2 to R 49.1,2718.1,Vegetation - Weeds,Compressed air/shovel cleaning of equipment. Landowner requested a weed cleaning station prior to entry.,Weed introduction and spread.,"High weed density of scentless chamomile, perennial sow-thistle, creeping (Canada) thistle, cleavers and others on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NE 32-16-18,R 48.2 to R 48.7,2718.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 32-16-18,R 48.7 to R 49.1,2718.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Minor subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,"Monitor subsidence in 2011 and repair, if warranted.",,W2M,
51,NW 33-16-18,R 49.1 to R 49.9,2719.1,Soils - Topsoil Removed,Topsoil was removed from windrows along the construction right-of-way by the landowner. Several loads were hauled out with a gravel truck. The landowner took responsibility and signed off.,Potential for shallow topsoil. Confirmed.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NW 33-16-18,R 49.1 to R 49.9,2719.1,Vegetation - Weeds,--,--,"High weed density of perennial sow-thistle, creeping (Canada) thistle, kochia and others observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,W2M,
51,NW 33-16-18,R 49.1 to R 49.2,2719.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,NW 33-16-18,R 49.2 to R 49.5,2719.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NW 33-16-18,R 49.5 to R 49.65,2719.1,Soils - Trench Subsidence,--,Potential loss and admixing of topsoil.,Moderate subsidence on right-of-way observed during spring over-flight and ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,W2M,
51,NW 33-16-18,R 49.65to R 49.9,2719.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
51,NE 33-16-18,R 49.9 to R 50.2,2720.1,Soil - Trench Subsidence,--,Potential loss and admixing of topsoil.,No issues observed on right-of-way.,Resolved,None.,,W2M,
