Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4<s>th</s> Year (2017) PCRM Assessment and Work Completed,5<s>th</s> Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 31-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - KP 41+550 - Sign post requires repair. - Good vegetation cover in low muskeg areas; - Good grass cover on highland area with poplar and willows (High; 80 – 100 % vegetation cover compared to off right-of-way); Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 24, 2016 - KP 41+550 - Pipeline identification sign and marker posts repaired, issue resolved.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, common yarrow, willows and alder trees. - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
NW 31-104-12 W6,Shrubby Fen (41.60 to 41.84),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Shrubby Fen on ROW from KP 41+600 to 41+840 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with sporadic deciduous shrub species emerging across ROW. - No noxious weeds were identified in wetland.  - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Fen on ROW from KP 41+600 to 41+840 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willow, horsetails and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present through wetland but has settled as a result of the hydrologic influence of the wetland. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting fully-saturated conditions with standing water present throughout. - Wetland providing good habitat opportunities through the presence of standing water, snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NW 31-104-12 W6 to SW 30-104-12 W6,Treed Fen (41.90 to 44.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Fen on ROW from KP 41+900 to 44+200 appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with sporadic tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Fen on ROW from KP 41+900 to 44+200 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. High peat accumulation in areas suggests that portions of this wetland is succeeding to transforming into a bog.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - No noxious weeds were identified within wetland. - Trench crown present through wetland but has settled in areas as a result of hydrological influence with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat appears to be accumulating better in some areas within wetland then others, comparing with off ROW conditions. This substrate difference is supported by the height of spruce trees off ROW in these areas. - Wetland exhibiting semi- to fully-saturated conditions with intermittent pouches of standing throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SW 31-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good grass cover on highland area with poplar and willows (High; 80 – 100 % vegetation cover compared to off right-of-way); Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas.  - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees. - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
NW 30-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - KP43+630, Signs, marker posts require repairs. - Good grass cover on highland area with poplar and willows (High; 80 – 100 % vegetation cover compared to off right-of-way); Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 24, 2016 - KP 43+630 - Pipeline identification sign and marker posts repaired, issue resolved.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas.  - Trench crown present in tract appears stable; cross drains functioning well. <s>- No subsidence of erosion issues observed throughout tract.</s>","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses, broadleaf shrubs, willows and alder trees. - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 30-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Adequate cross drains present and functional – no ponding present.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract. 2014 low/moderate vegetation issue resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows. - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 30-104-12 W6 to NW 18-104-12 W6,Treed Bog (44.20 to 46.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Bog on ROW from KP 44+200 to 46+300 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. Areas along ditch line exhibiting sparser vegetation cover likely attributed to slight elevation of ditch roach. Vegetation will emerge over time with natural settlement, bringing the elevation of roach closer to water table in wetland.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-fully saturated conditions as indicated by vegetation distribution. Intermittent areas of surface water emergence on ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Bog on ROW from KP 44+200 to 46+300 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. Previous year assessment of sparser vegetation cover on elevated ditch roach remains but grasses and shrubs emerging on areas that have slightly settled. Leave vegetation emergence for natural recovery as ditch roach settles over time; no issues. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willows, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - No noxious weeds were identified within wetland. - Trench crown present through wetland but has settled as a result of hydrological influence with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat appears to be accumulating well throughout wetland resembling off ROW conditions. - Wetland exhibiting semi-saturated conditions with no visible surface water present. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NW 19-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Adequate cross drains present and functional – no ponding present.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders and broadleaf shrubs throughout tract. 2014 low/moderate vegetation issue resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
SW 19-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,No issues observed.,"July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas. 2014 low/moderate vegetation issue resolved. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
,Snowfall Creek/Beaver Dam Complex 46.0  Sediment Fencing,Sediment fencing in disrepair. Remove as soon as practical. Scheduled for removal commencing February 2015.,"July 19, 2016 - Silt fence to be removed for both sides of creek. - Marker posts require repairs. July 24, 2016 - Removed sediment fence from both sides of creek (KP 46+500), issue resolved. Sept 24, 2016 - Pipeline identification sign and marker posts repaired, issue resolved.","July 21, 2017 - Watercourse Crossing at KP 46+000 appears stable. - Both banks exhibiting 80-100% vegetation cover with good establishment of grasses with area on north bank exhibiting 65-80% cover in work-space. Tree species and grasses observed establishing within work space. - Bed of bank is wide due to beaver activity but appears stable with no signs of erosion.","July 31, 2018 - Watercourse at KP 46+000 appears stable. Vegetation within riparian zone is establishing well, at 80-100% cover compared to off ROW control. Vegetation on banks consisting predominantly of graminoids due to level nature of watercourse.  - Vegetation continues to establish in sparser covered work space previously assessed on north bank and is now at 80-100%; issue resolved. - No weed issues were identified along the banks of the watercourse.  - No terrain instability was observed on both north and south banks; banks are relatively level due to minor elevation change in area. - Bed of watercourse appears stable with no signs of flow impediment; low (westerly) flow observed within watercourse. - Marker posts and signs in good repair on both north and south banks.",,,
NW 18-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation, black spruce infilling, planted spruce, raspberry, poplar, willow, alder gold thread, vetch, dewberries (High; 80 – 100 % vegetation cover compared to off right-of-way); Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses, willows, alders, spruce and broadleaf shrubs throughout tract. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract.","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - No soil stability, subsidence, erosion or ponding issues were identified within tract.",,,
NW 18-104-12 W6,Shrubby Fen (46.30 to 46.50),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Shrubby Fen on ROW from KP 46+300 to 46+500 appears to be at full, proper functionality. Wetland is inclusive of Beaver Pond 9: Snowfall Creek. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present but has settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is influenced by hydrology of the watercourse. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Fen on ROW from KP 46+300 to 46+500 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Wetland is inclusive of Beaver Pond 9: Snowfall Creek at KP 46+000. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids and willows. - No noxious weeds were identified within wetland. - No issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover.  - Wetland exhibiting fully-saturated conditions with standing water throughout. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
NW 18-104-12 W6,Forested Garbage (46.4),"Garbage located and removed from site during September 5, 2014 survey. Issue resolved.",No issues observed.,"August 19, 2017 - Shrubby Fen on ROW from KP 46+300 to 46+500 appears to be at full, proper functionality. Wetland is inclusive of Beaver Pond 9: Snowfall Creek. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and deciduous tree/shrub species. - No noxious weeds were identified in wetland. - Trench crown present but has settled due to surface water presence across ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. - Wetland exhibiting fully-saturated conditions as majority of wetland is influenced by hydrology of the watercourse. - Wetland providing good habitat opportunity through good vegetation cover and surface water presence. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shrubby Fen on ROW from KP 46+300 to 46+500 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Wetland is inclusive of Beaver Pond 9: Snowfall Creek at KP 46+000. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids and willows. - No noxious weeds were identified within wetland. - No issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover.  - Wetland exhibiting fully-saturated conditions with standing water throughout. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
,Treed Fen (46.80 to 47.10),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 19, 2017 - Treed Fen on ROW from KP 46+800 to 47+100 appears to be at full, proper functionality. Wetland appears to be proceeding into a bog-type wetland through low-decomposition rates of organic matter. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids with sporadic tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-saturated conditions as indicated by vegetation distribution. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Treed Fen on ROW from KP 46+800 to 47+100 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willow, horsetails and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present through wetland but has settled as a result of the hydrologic influence of the wetland. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting semi-saturated conditions. No visible standing water throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SW 18-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation re-establishment throughout tract (High; 80 – 100 % vegetation cover compared to off right-of-way); Low/moderate vegetation noted in 2014 is no longer present, issue resolved.","July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas. Sparser vegetation cover (65-80%) observed on ditchline from KP due to elevated roach. Due to wet landscape, natural settlement of the roach will allow for ideal conditions for vegetation establishment over time. No work required. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - KP 47+860 - Minor subsidence identified, recommend repairs. - No erosion or ponding issues were identified within tract. August 9, 2018 – KP 47+860 – Subsidence repaired, issue resolved.",,,
SW 18-104-12 W6,Garbage (47.8),"Garbage located and removed from site during September 5, 2014 survey. Issue resolved",No issues observed.,"July 21, 2017 - Vegetation establishment is 80-100% comparable to off ROW control. Good establishment of grasses on higher elevation areas in relation to low muskeg areas. Sparser vegetation cover (65-80%) observed on ditchline from KP due to elevated roach. Due to wet landscape, natural settlement of the roach will allow for ideal conditions for vegetation establishment over time. No work required. - Trench crown present in tract appears stable; cross drains functioning well. - No subsidence of erosion issues observed throughout tract","July 31, 2018 - Vegetation establishment throughout tract is at 80-100% cover compared with off ROW control. Vegetation consisting of grasses and willows.  - No noxious weeds were identified within tract. - Trench crown present throughout tract and stable; cross drains are present and functioning well. - KP 47+860 - Minor subsidence identified, recommend repairs. - No erosion or ponding issues were identified within tract. August 9, 2018 – KP 47+860 – Subsidence repaired, issue resolved.",,,
NW 7-104-12 W6 to SW 7-104-12 W6  January 2019,Treed Bog (47.90 to 49.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and absence of excessive ponded water or impeded flow due to the construction right-of-way.",No issues observed.,"August 18, 2017 - Shallow open water within Treed Bog wetland on ROW from KP 48+500 to 48+700 appears to be at full, proper functionality. Pre-disturbance survey identified “shallow-open water” along ROW as the wetland classification. Shallow-open water portion is a subsection of overall Treed Bog along ROW from KP 47+900 to 48+300 as outlined in the EPP. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Wetland vegetation comprised of large floating mat of peat moss in standing open water, progressing from the east. Vegetation consisting of herbaceous graminoids, cotton grass, black spruce, sphagnum moss and Labrador tea. Hydrophytic species establishing well throughout wetland. - No noxious weeds were identified in wetland.  - Trench crown present through wetland with sufficient breaks for hydrology to be maintained. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. Humification occurring throughout wetland via decomposing vegetation litter. - Wetland exhibiting saturated conditions; water table existing in wetland approximately 10cm below substrate surface (floating peat mat).  - Wetland providing good habitat opportunity through good vegetation cover and standing water; several bird species observed using wetland. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. Overall, no net loss of wetland function was observed. August 19, 2017 - Treed Bog on ROW from KP 47+900 to 49+300 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and tree/shrub species. Wetland exhibiting conditions to support sphagnum moss establishment. Areas along ditch line exhibiting sparser vegetation cover likely attributed to slight elevation of ditch roach. Vegetation will emerge over time with natural settlement, bringing the elevation of roach closer to water table in wetland.  - No noxious weeds were identified in wetland. - Trench crown present with sufficient breaks to maintain hydrology along ROW. No subsidence or erosional issues identified in wetland. - Substrate in wetland appears healthy via uniform vegetation cover throughout. Wetland exhibiting conditions acclimated to peat-dominated substrate. - Wetland exhibiting semi-fully saturated conditions as indicated by vegetation distribution. Intermittent areas of surface water emergence on ROW. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Overall, no net loss of wetland function was observed.","August 1, 2018 - Shallow Open Water appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. Shallow open water portion is inclusive of a larger encompassing treed bog wetland from KP 47+900 to KP 48+300 outlined in the EPP.  - Large open body of water present to the east of the ROW along the wetland.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. All vegetation within wetland is present on a large floating mat of substrate. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids (grasses, rushes & sedges), cotton grass, sphagnum moss, Labrador tea, bog cranberry and black spruce.  - No noxious weeds were identified within wetland on ROW. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. Some areas of the roach has settled as a result of hydrologic conditions through wetland.  - Substrate appears healthy throughout wetland through uniform distribution of vegetation, hydrological conditions and organics. High humification occurring throughout wetland. Substrate samples show peat accumulation to exceed 0.3m in depth both on and off ROW.  - Substrate within wetland exhibiting semi-saturated conditions with the water table residing slightly below the ground surface.  - Wetland providing good habitat opportunities through good vegetation cover, standing water and sufficient snags. Several bird and amphibian species observed using wetland. Evidence of mammal use identified throughout wetland - Wetland has achieved pre-construction contours with no ponding or erosion issues throughout. Off ROW vegetation successfully encroaching across ROW; biodiversity maintained. - Treed Bog on ROW from KP 47+900 to 49+300 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. Previous year assessment of sparser vegetation cover on elevated ditch roach remains but grasses and shrubs emerging on areas that have slightly settled. Leave vegetation emergence for natural recovery as ditch roach settles over time; no issues. - Vegetation throughout wetland on ROW consisting of graminoids, alder, willows, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - No noxious weeds were identified within wetland. - Trench crown present through wetland but has settled as a result of hydrological influence with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat appears to be accumulating well throughout wetland resembling off ROW conditions. - Wetland exhibiting semi-saturated conditions with no visible Page 68 surface water present. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
