Quarter Section,Tract,Land Use,Land ID,2014 Issue,2015 Issue,2016 Issue,2016 Recommendation,2017 Issue,2017 Recommendation,2018 Issue,2018 Recommendation,Recommendation Rationale,Year 5 PCEM Status,VEC,GIS,Topic
NE 32‐8‐19 W3M,BESK‐0274.1,Cultivated,LAND ID 303,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NW 33‐8‐19 W3M,BESK‐0275.0,Cultivated,LAND ID 304,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
NW 33‐8‐19 W3M,BESK‐0275.0,Cultivated,LAND ID 304,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Repair,Not expected to recover without repair.,REPAIR,,,
NW 33‐8‐19 W3M,BESK‐0275.0,Cultivated,LAND ID 304,‐‐‐,‐‐‐,Subsidence_2,Repair Year 3,Subsidence_2,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,REPAIR,,,
SW 33‐8‐19 W3M,BESK‐0276.0,Cultivated,LAND ID 305,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Repair,Not expected to recover without repair.,REPAIR,,,
SE 28‐8‐19 W3M,BESK‐0279.0,Cultivated,LAND ID 308,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 27‐8‐19 W3M,BESK‐0281.0,Cultivated,LAND ID 310,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 27‐8‐19 W3M,BESK‐0281.0,Cultivated,LAND ID 310,‐‐‐,Compaction,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 27‐8‐19 W3M,BESK‐0281.0,Cultivated,LAND ID 310,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
NW 27‐8‐19 W3M,BESK‐0281.0,Cultivated,LAND ID 310,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
NE 27‐8‐19 W3M,BESK‐0282.0,Cultivated,LAND ID 311,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 27‐8‐19 W3M,BESK‐0282.0,Cultivated,LAND ID 311,‐‐‐,"Erosion (wind, water)_1",‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
NE 27‐8‐19 W3M,BESK‐0282.0,Cultivated,LAND ID 311,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 35‐8‐19 W3M,BESK‐0284.0,Cultivated,LAND ID 313,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 35‐8‐19 W3M,BESK‐0285.0,Improved Pasture,LAND ID 314,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NE 35‐8‐19 W3M,BESK‐0286.0,Improved Pasture,LAND ID 315,Weed concern,‐‐‐,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 36‐8‐19 W3M,BESK‐0287.0,Native prairie,LAND ID 316,‐‐‐,‐‐‐,Subsidence_1,Repair Year 3,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
NW 36‐8‐19 W3M,BESK‐0287.0,Improved Pasture,LAND ID 317,‐‐‐,Weed concern_1,Weed concern_1,Repair Year 3,Weed concern_1,Monitor Year 5,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
SE 1‐9‐19 W3M,BESK‐0289.1,Native prairie,LAND ID 320,Admixing,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 1‐9‐19 W3M,BESK‐0289.1,Native prairie,LAND ID 320,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 1‐9‐19 W3M,BESK‐0289.1,Native prairie,LAND ID 320,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 1‐9‐19 W3M,BESK‐0289.1,Native prairie,LAND ID 320,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
,,,,‐‐‐,‐‐‐,Admixing_2,Monitor Year 5,‐‐‐,‐‐‐,Admixing_2,No Further Action Recommended.,Issue not recommended for repair.,,,,
,,Cultivated,LAND ID 321,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
,,Cultivated,LAND ID 321,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 6‐9‐18 W3M,BESK‐029.1,Cultivated,LAND ID 323,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SE 7‐9‐18 W3M,BESK‐0293.0,Cultivated,LAND ID 325,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 7‐9‐18 W3M,BESK‐0293.0,Cultivated,LAND ID 325,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 16‐9‐18 W3M,BESK‐0299.0,Cultivated,LAND ID 331,‐‐‐,Contouring_1,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 16‐9‐18 W3M,BESK‐0299.0,Cultivated,LAND ID 331,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 15‐9‐18 W3M,BESK‐0300.0,Cultivated,LAND ID 332,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 15‐9‐18 W3M,BESK‐0300.0,Cultivated,LAND ID 332,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 15‐9‐18 W3M,BESK‐0301.0,Cultivated,LAND ID 333,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,REPAIR,,,
SE 15‐9‐18 W3M,BESK‐0301.0,Cultivated,LAND ID 333,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,Repair,Not expected to recover without repair.,REPAIR,,,
SW 14‐9‐18 W3M,BESK‐0302.0,Cultivated,LAND ID 334,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 15‐9‐17 W3M,BESK‐0313.0,Cultivated,LAND ID 347,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 15‐9‐17 W3M,BESK‐0313.0,Cultivated,LAND ID 347,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 15‐9‐17 W3M,BESK‐0315.0,Improved Pasture,LAND ID 348,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 15‐9‐17 W3M,BESK‐0315.0,Improved Pasture,LAND ID 348,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Site visit,Resolved,No issues.,RESOLVED,,,
SW 14‐9‐17 W3M,BESK‐0317.0,Improved Pasture,LAND ID 350,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Repair,Not expected to recover without repair.,REPAIR,,,
SW 14‐9‐17 W3M,BESK‐0317.0,Improved Pasture,LAND ID 350,‐‐‐,‐‐‐,ESC,Monitor year 4,ESC,Monitor Year 5,ESC,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,REPAIR,,,
SE 14‐9‐17 W3M,BESK‐0318.0,Cultivated,LAND ID 352,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 13‐9‐17 W3M,BESK‐0320.0,Native prairie,LAND ID 354a,‐‐‐,Weed concern_1,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,No Further Action Recommended.,Conditions stable,RESOLVED,,,
SE 18‐9‐16 W3M,BESK‐0322.0,Cultivated,LAND ID 356,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
SE 18‐9‐16 W3M,BESK‐0322.0,Cultivated,LAND ID 356,‐‐‐,‐‐‐,Subsidence_2,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_2,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 18‐9‐16 W3M,BESK‐0322.0,Cultivated,LAND ID 356,‐‐‐,‐‐‐,Subsidence_3,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_3,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 18‐9‐16 W3M,BESK‐0322.0,Cultivated,LAND ID 356,‐‐‐,‐‐‐,Compaction_1,Monitor Year 5,‐‐‐,‐‐‐,Compaction_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 17‐9‐16 W3M,BESK‐0323.0,Cultivated,LAND ID 357,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
,,,,‐‐‐,Subsidence_1,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
,,,,‐‐‐,‐‐‐,Subsidence_2,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_2,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,,,,
,,,,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_3,No Further Action Recommended.,Issue expected to improve with agricultural practices.,,,,
SE 17‐9‐16 W3M,BESK‐0324.0,Cultivated,LAND ID 358,‐‐‐,Subsidence_1,Subsidence_1,Monitor year 4,Subsidence_1,Monitor Year 5,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 16‐9‐16 W3M,BESK‐0326.0,Cultivated,LAND ID 360,‐‐‐,‐‐‐,Construction debris,Repair Year 3,Construction debris,Resolved,‐‐‐,‐‐‐,No further action required.,RESOLVED,,,
SW 15‐9‐16 W3M,BESK‐0327.0,Cultivated,LAND ID 361,‐‐‐,‐‐‐,Crowning_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Crowning_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 15‐9‐16 W3M,BESK‐0327.0,Cultivated,LAND ID 361,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor year 4,"Erosion (wind, water)_1",Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 15‐9‐16 W3M,BESK‐0327.0,Cultivated,LAND ID 361,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 15‐9‐16 W3M,BESK‐0328.0,Cultivated,LAND ID 362,‐‐‐,‐‐‐,Crowning_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Crowning_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 14‐9‐16 W3M,BESK‐0329.0,Cultivated,LAND ID 363,‐‐‐,‐‐‐,Subsidence_1,Monitor Year 5,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 14‐9‐16 W3M,BESK‐0330.0,Cultivated,LAND ID 364,Subsidence,‐‐‐,Subsidence_1,Monitor Year 5 ‐ Wetland,‐‐‐,‐‐‐,Subsidence_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 14‐9‐16 W3M,BESK‐0330.0,Cultivated,LAND ID 364,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 13‐9‐16 W3M,BESK‐0331.0,Cultivated,LAND ID 365,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 13‐9‐16 W3M,BESK‐0331.0,Cultivated,LAND ID 365,‐‐‐,‐‐‐,Subsidence_1,Monitor year 4,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
SW 18‐9‐15 W3M,BESK‐0333.0,Improved Pasture,LAND ID 367,Scalping,‐‐‐,Scalping,Monitor Year 5,‐‐‐,‐‐‐,Scalping,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 16‐9‐15 W3M,BESK‐0337.0,Native prairie,LAND ID 371,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 16‐9‐15 W3M,BESK‐0337.0,Native prairie,LAND ID 371,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 16‐9‐15 W3M,BESK‐0337.0,Cultivated,LAND ID 372,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 16‐9‐15 W3M,BESK‐0338.0,Cultivated,LAND ID 373,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 16‐9‐15 W3M,BESK‐0338.0,Cultivated,LAND ID 373,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_2,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 16‐9‐15 W3M,BESK‐0338.0,Cultivated,LAND ID 373,‐‐‐,‐‐‐,Incomplete PCEM assessment,Monitor Year 5,‐‐‐,‐‐‐,Incomplete PCEM assessment,Resolved,Incomplete Year 1&3 assessment due to land under fallow.,RESOLVED,,,
SW 15‐9‐15 W3M,BESK‐0339.0,Native prairie,LAND ID 375,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 15‐9‐15 W3M,BESK‐0339.0,Native prairie,LAND ID 375,‐‐‐,Weed concern_1,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 15‐9‐15 W3M,BESK‐0339.0,Cultivated,LAND ID 375b,‐‐‐,"Erosion (wind, water)_1","Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SW 15‐9‐15 W3M,BESK‐0339.0,Cultivated,LAND ID 375b,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_2",No Further Action Recommended.,Issue not recommended for repair.,RESOLVED,,,
SE 15‐9‐15 W3M,BESK‐0340.0,Cultivated,LAND ID 376,Compaction,‐‐‐,Compaction,Monitor Year 5,‐‐‐,‐‐‐,Compaction,Monitor,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 14‐9‐15 W3M,BESK‐0341.0,Hay,LAND ID 378,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 18‐9‐14 W3M,BESK‐0345.0,Native prairie,LAND ID 384,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Weed concern_1,Monitor,Confirm conditions are stable.,MONITOR,,,
SW 17‐9‐14 W3M,BESK‐0347.0,Cultivated,LAND ID 387,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 16‐9‐14 W3M,BESK‐0349.0,Cultivated,LAND ID 390,‐‐‐,‐‐‐,Admixing_1,Monitor Year 5,‐‐‐,‐‐‐,Admixing_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 16‐9‐14 W3M,BESK‐0349.0,Cultivated,LAND ID 390,‐‐‐,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 16‐9‐14 W3M,BESK‐0349.0,Cultivated,LAND ID 390,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 16‐9‐14 W3M,BESK‐0349.0,Cultivated,LAND ID 390,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 16‐9‐14 W3M,BESK‐0350.0,Cultivated,LAND ID 391,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 16‐9‐14 W3M,BESK‐0350.0,Cultivated,LAND ID 391,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Land capability is equivalent to off‐RoW conditions.,RESOLVED,,,
SW 15‐9‐14 W3M,BESK‐0351.0,Cultivated,LAND ID 392,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 15‐9‐14 W3M,BESK‐0352.0,Cultivated,LAND ID 393,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 14‐9‐14 W3M,BESK‐0353.0,Cultivated,LAND ID 394,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,MONITOR,,,
SW 14‐9‐14 W3M,BESK‐0353.0,Cultivated,LAND ID 394,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_1,Monitor,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 14‐9‐14 W3M,BESK‐0353.0,Cultivated,LAND ID 394,Site Visit,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Site visit,Resolved,No issues.,MONITOR,,,
SE 14‐9‐14 W3M,BESK‐0354.0,Cultivated,LAND ID 396,Contouring,‐‐‐,Contouring_1,Monitor Year 5,‐‐‐,‐‐‐,Contouring_1,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SE 14‐9‐14 W3M,BESK‐0354.0,Cultivated,LAND ID 396,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
NW 16‐9‐13 W3M,BESK‐0362.0,Cultivated,LAND ID 406,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 15‐9‐13 W3M,BESK‐0365.0,Hay,LAND ID 409,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Contouring_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SW 15‐9‐13 W3M,BESK‐0365.0,Hay,LAND ID 409,‐‐‐,‐‐‐,Vegetation establishment_1,Repair Year 3,Vegetation establishment_1,Monitor Year 5,Vegetation establishment_1,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
SE 15‐9‐13 W3M,BESK‐0366.0,Hay,LAND ID 410,‐‐‐,‐‐‐,Admixing_1,Monitor year 4,Admixing_1,Resolved,‐‐‐,‐‐‐,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SE 15‐9‐13 W3M,BESK‐0366.0,Hay,LAND ID 410,‐‐‐,Subsidence_1,Subsidence_1,Repair Year 3,Subsidence_1,Resolved,‐‐‐,‐‐‐,Landscape feature not observed to be an issue during Year 4 PCEM.,RESOLVED,,,
SW 14‐9‐13 W3M,BESK‐0367.0,Improved Pasture,LAND ID 412,"Erosion (wind, water)",‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SE 14‐9‐13 W3M,BESK‐0369.0,Improved Pasture,LAND ID 414,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SE 18‐9‐12 W3M,BESK‐0373.0,Improved Pasture,LAND ID 418,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,No Further Action Recommended.,Cattle compounded issue.,RESOLVED,,,
SE 15‐9‐12 W3M,BESK‐0379.0,Cultivated,LAND ID 424,‐‐‐,‐‐‐,Rutting,Monitor Year 5,‐‐‐,‐‐‐,Rutting,Resolved,Landscape feature not observed to be an issue during Year 5 PCEM.,RESOLVED,,,
SW 4‐9‐11 W3M,BESK‐0392.0,Cultivated,LAND ID 439,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Compaction,Resolved,No issues.,RESOLVED,,,
NW 26‐8‐11 W3M,BESK‐0399.0,Cultivated,LAND ID 446,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Monitor Year 5,‐‐‐,‐‐‐,"Erosion (wind, water)_1",No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NW 26‐8‐11 W3M,BESK‐0399.0,Cultivated,LAND ID 446,‐‐‐,‐‐‐,Weed concern_1,Monitor Year 5,‐‐‐,‐‐‐,Weed concern_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 24‐8‐11 W3M,BESK‐0404.0,Cultivated,LAND ID 451,Seed Catch,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,RESOLVED,,,
SW 24‐8‐11 W3M,BESK‐0404.0,Cultivated,LAND ID 451,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Vegetation establishment_2,No Further Action Recommended.,Issue expected to improve with agricultural practices.,RESOLVED,,,
NE 24‐8‐11 W3M,BESK‐0406.0,Cultivated,LAND ID 453,‐‐‐,"Erosion (wind, water)_1",‐‐‐,‐‐‐,‐‐‐,‐‐‐,"Erosion (wind, water)_1",Repair,Not expected to recover without repair.,REPAIR,,,
NE 24‐8‐11 W3M,BESK‐0406.0,Cultivated,LAND ID 453,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,‐‐‐,Subsidence_2,Repair,Not expected to recover without repair.,REPAIR,,,
NE 24‐8‐11 W3M,BESK‐0406.0,Cultivated,LAND ID 453,‐‐‐,‐‐‐,Vegetation establishment_1,Monitor Year 5,‐‐‐,‐‐‐,Vegetation establishment_1,Resolved,Vegetation and soil parameters are similar to off‐RoW.,REPAIR,,,
