Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 18-105-12 W6 to SW 18-105-12 W6,Treed Bog (37.10 to 37.40),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 18-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation re-establishment throughout tract; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - KP 37+500 - Sign posts fallen, recommend repairs. Sept 24, 2016 - KP 37+500 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
SW 18-105-12 W6,Shrubby Swamp (37.70 to 37.79),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 18-105-12 W6 to NW 7-105-12 W6,Shrubby Fen (37.90 to 38.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 7-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation establishment throughout tract with some small areas with lower vegetation cover.  Areas are expected to improve over time and no work recommended, as there are no associated secondary issues (eg erosion), issue resolved.",,,
NW 7-105-12 W6,Treed Bog (38.40 to 38.50),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
,Treed Fen (38.50 to 38.65),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
,Treed Fen (38.90 to 39.03),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
,Treed Fen (39.00 to 39.18),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 7-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,,,,
SW 7-105-12 W6,Open Water Pond (39.50 to 39.69),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 7-105-12 W6,unnamed tributary to Beaverskin Creek (39.60) Low Vegetation Establishment,"Low vegetation establishment was observed on both the north and south sides of this watercourse. No erosion issues observed. Sediment fencing required to remain in place. Seed as warranted and monitor vegetation establishment and slope stability in 2015, reseed if required. Removal of sediment fencing to be reassessed if required","July 19, 2016 - Creek bed across pipeline good, banks stable; area within beaver dam complex. - Silt fence both sides, recommend removal, due to good vegetation establishment.  2014 low vegetation issue resolved. - Signs and sign posts require repairs July 24, 2016 - Removed sediment fence from both sides of creek, issue resolved. Sept 24, 2016 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
NW 6-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation development; grasses, yarrow, willows; Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 6-105-12 W6,Treed Bog (39.80 to 40.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 6-105-12 W6,Treed Fen (40.20 to 40.51),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 6-105-12 W6,Forested Sediment Fencing 40.50,"Sediment fencing requires removal, remove as soon as practical. Scheduled for removal commencing February 2015.","July 19, 2016 - Good vegetation development throughout tract; grasses, yarrow, willows.  - Sediment fencing issue noted in 2014 was an error in KP`s (issue resolved at KP 40+500), location actually at KP 46+500.",,,
SW 6-105-12 W6,Shrubby Fen (40.60 to 40.80),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 6-105-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,,,,
SW 6-105-12 W6,Treed Fen (40.80 to 40.90),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 6-105-12 W6 to NW 31-104-12 W6,Broad-leaf Treed Swamp (41.10 to 41.60),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 31-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - KP 41+550 - Sign post requires repair. - Good vegetation cover in low muskeg areas; - Good grass cover on highland area with poplar and willows; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 24, 2016 - KP 41+550 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
NW 31-104-12 W6,Shrubby Fen (41.60 to 41.84),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 31-104-12 W6 to SW 30-104-12 W6,Treed Fen (41.90 to 44.20),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 31-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good grass cover on highland area with poplar and willows; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. - Adequate cross drains present and functional – no ponding present.",,,
NW 30-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - KP43+630, Signs, marker posts require repairs. - Good grass cover on highland area with poplar and willows; Low/moderate vegetation noted in 2014 is no longer present, issue resolved. Sept 24, 2016 - KP 43+630 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
SW 30-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Adequate cross drains present and functional – no ponding present.",,,
SW 30-104-12 W6 to NW 18-104-12 W6,Treed Bog (44.20 to 46.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 19-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Adequate cross drains present and functional – no ponding present.",,,
SW 19-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,,,,
SW 19-104-12 W6,Snowfall Creek/Beaver Dam Complex 46.0  Sediment Fencing,Sediment fencing in disrepair. Remove as soon as practical. Scheduled for removal commencing February 2015.,"July 19, 2016 - Silt fence to be removed for both sides of creek. - Marker posts require repairs. July 24, 2016 - Removed sediment fence from both sides of creek (KP 46+500), issue resolved. Sept 24, 2016 - Pipeline identification sign and marker posts repaired, issue resolved.",,,
NW 18-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation, black spruce infilling, planted spruce, raspberry, poplar, willow, alder gold thread, vetch, dewberries; Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 18-104-12 W6,Shrubby Fen (46.30 to 46.50),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 18-104-12 W6,Forested Garbage (46.4),"Garbage located and removed from site during September 5, 2014 survey. Issue resolved.",,,,
NW 18-104-12 W6,Treed Fen (46.80 to 47.10),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
SW 18-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation re-establishment throughout tract; Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
SW 18-104-12 W6,Garbage (47.8),"Garbage located and removed from site during September 5, 2014 survey. Issue resolved",,,,
NW 7-104-12 W6 to SW 7-104-12 W6,Treed Bog (47.90 to 49.30),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 7-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 19, 2016 - Good vegetation re-establishment throughout tract; Low/moderate vegetation noted in 2014 is no longer present, issue resolved.",,,
NW 7-104-12 W6,Rare Plant (48.5),"One individual slender-leaved sundew (S3) was observed on July 30, 2014. Resolved and successful.",,,,
NW 7-104-12 W6,Garbage (48.5),"Garbage was noted to the west of the right-of-way, within trees, at KP 48.5 (2 large pieces of plastic). Scheduled for clean-up commencing February 2015.","Garbage at KP 48+500 was removed in January 2015, issue resolved.",,,
NW 7-104-12 W6,Garbage (48.5 to 48.75),Old matting was located in 3 locations between KP 48.5 and 48.75 – on Timberwolf right-of-way work  Scheduled for clean-up commencing February 2015.,"Multiple attempts were made to remove matting from the right of way, it could not be completed safely without major disturbance to large sections of the right of way.  NGTL, in consultation with the NEB, determined that the mats would be left in place to deteriorate, and monitoring would continue.  Issue of mat removal is resolved. July 23, 2016 - Cable slings removed from deteriorating mats.",,,
SW 7-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,,,,
SW 7-104-12 W6 to NW 6-104-12 W6,Treed Fen (49.30 to 49.79),"Wetland observed to be on the trajectory of reaching pre-construction functional condition. Indicators of this on the construction right-of-way include: pre-construction contour restoration; observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  absence of excessive ponded water or impeded flow due to the construction right-of-way.",,,,
NW 6-104-12 W6,Forested Low/Moderate Vegetation Establishment,Moderate vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"Sept 24, 2016 - KP 49+750 - Pipeline identification sign and marker posts repaired.",,,
