Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 11-79-11,Forested,Moderate erosion issue,"May 27, 2014 - Vegetation cover 80-90% of off ROW - Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. - Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 and 15+000 in 2013.  Issues resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+825 appears to be functioning well, issue resolved. – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼.  Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","July 7, 2016 - 100% vegetation cover of off-ROW  - Cattle grazing evident.  - Canada thistle observed. Recommend weed control. - KP 14+825, cross drain repaired in 2014 appears to have eroded due to recent flooding.  Additional repairs recommended. - No subsidence observed in this ¼.  July 22, 2017 – Intermittent herbicide application conducted to control Canada thistle. September 27, 2016 - KP 14+825 – erosion repaired with washed cobble.  Issue Resolved.","May 28, 2017 - Vegetation cover 100% compared to off ROW control. Good grass establishment along ROW. Cattle grazing ¼ at time of assessment. - No noxious weeds observed in tract. - 2016 erosion repair at KP 14+825 is stable. No further work required, issue resolved. - Cross drain at KP 14+925 appears to be functioning well and is well-vegetated. No issues. September 27, 2017 - KP 14+815 and 15+350, Canada thistle observed and herbicide application conducted to control.  Issue resolved.",,,
SE 11-79-11,Forested,High noxious weed issue,"May 27, 2014 - Vegetation cover 80-90% of off ROW - Drainage 14+825, erosion rills noted, recommend installation of additional erosion materials. - Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, this includes the erosion noted at KP 14+750 and 15+000 in 2013.  Issues resolved. June 21, 2014 – KP 14+825, erosion repairs completed with recontouring, installation of erosion control materials, and seeding.","June 3, 2015 – Vegetation estimated to be 90% of off ROW control, primarily composed of grasses. – Fence on south side of tract along ROW. – Contouring consistent with natural topography throughout. – 2014 Cross drainage repairs at KP 14+825 appears to be functioning well, issue resolved. – Silt fence repaired at KP15+475 in drainage course. Drainage course is well vegetated, working well with no erosion present. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Patches of Canada Thistle were noted throughout ¼.  Recommend herbicide application. October 6, 2015 – herbicide application conducted intermittently to control Canada thistle.","July 7, 2016 - 100% vegetation cover of off-ROW  - Cattle grazing evident.  - Canada thistle observed. Recommend weed control. - KP 14+825, cross drain repaired in 2014 appears to have eroded due to recent flooding.  Additional repairs recommended. - No subsidence observed in this ¼.  July 22, 2017 – Intermittent herbicide application conducted to control Canada thistle. September 27, 2016 - KP 14+825 – erosion repaired with washed cobble.  Issue Resolved.","May 28, 2017 - Vegetation cover 100% compared to off ROW control. Good grass establishment along ROW. Cattle grazing ¼ at time of assessment. - No noxious weeds observed in tract. - 2016 erosion repair at KP 14+825 is stable. No further work required, issue resolved. - Cross drain at KP 14+925 appears to be functioning well and is well-vegetated. No issues. September 27, 2017 - KP 14+815 and 15+350, Canada thistle observed and herbicide application conducted to control.  Issue resolved.",,,
SW 11-79-11,Forested,High noxious weed issue Moderate erosion issue,"May 27, 2014 - Vegetation cover 80-90% of off ROW.  2013 vegetation cover issue resolved. - Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor - No subsidence noted at time of assessment - Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use.","June 3, 2015 – Vegetation is 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover.  Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 has mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson Creek crossing at KP 15+950, issue resolved. It appears that the occupant has transported in gravel and dumped it in the tributary to allow for his cattle to pass through easier and access other side for grazing. October 4, 2015 – ¼ has been grazed by cattle over the summer months. –Canada thistle noted at the watercourse crossing at KP 15+900.  Recommend weed control. October 6, 2015 – herbicide application conducted to control Canada thistle at KP 15+900.","July 7, 2016 - 100% vegetation cover compared to off-ROW. - Cattle grazing evident - Canada thistle observed. Recommend weed control. - KP 15+580, shrubby bog wetland appears to be in good condition. Area is well-vegetated. - KP 16+280, sign missing from post. Found sign and bolts nearby and re-installed. Issue resolved. Unnamed Creek - Cattle trail through creek has caused bare areas on hill slopes on either side of creek. - Creek bed and east bank appear stable.  - Gravel path through creek bed (placed by landowner) observed in 2015 appears to have washed out. - Sign missing from sign post on east side of creek. Recommend repairs. July 25, 2016 – Intermittent herbicide application conducted to control Canada thistle. September 5, 2016 – woody debris on-site placed to limit cattle access to areas of reduced vegetation cover that were caused by cattle activity. - Repaired sign post, issue resolved.","May 28, 2017 - Vegetation cover 100% compared to off ROW control. Good establishment of grasses, clovers and asters as well as willows and poplars. Cattle not grazing ¼ at time of assessment. Cattle path present through ROW. - KP 15+950 - Canada thistle and perennial sow thistle observed at watercourse crossing on both banks. Recommend weed control. - Shrubby bog (KP 15+580 to KP 15+610) is stable. Tree species emerging throughout wetland including pine, willow, and poplar. Various wetland species evident throughout wetland such as Labrador Tea, sphagnum mosses and scouring rushes indicate that hydrology is being maintained in wetland. Good peat moss soil and woody debris present throughout wetland - Unnamed creek at KP 15+950 is stable with moderate flow at time of assessment.  Cattle track leading into creek beginning to vegetate with grasses. Woody debris barrier along both banks are functioning well to keep cattle out of creek as no evidence of any recent crossing. Both banks show good establishment of vegetation and appear stable, with excellent willow establishment. Bed is stable with good cobble distribution. No further work required.  July 20, 2017 – Weed control conducted to control Canada thistle and perennial sow thistle at KP 15+950. Issue resolved. September 27, 2017 - Canada thistle individuals observed and herbicide application conducted to control. Issue resolved.",,,
,,High vegetation issues,"resolved. - Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor - No subsidence noted at time of assessment - Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use.","grasses. - Erosion concerns, no longer evident with improved vegetation cover.  Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 has mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson Creek crossing at KP 15+950, issue resolved. It appears that the occupant has transported in gravel and dumped it in the tributary to allow for his cattle to pass through easier and access other side for grazing. October 4, 2015 – ¼ has been grazed by cattle over the summer months. –Canada thistle noted at the watercourse crossing at KP 15+900.  Recommend weed control. October 6, 2015 – herbicide application conducted to control Canada thistle at KP 15+900.","- Cattle grazing evident - Canada thistle observed. Recommend weed control. - KP 15+580, shrubby bog wetland appears to be in good condition. Area is well-vegetated. - KP 16+280, sign missing from post. Found sign and bolts nearby and re-installed. Issue resolved. Unnamed Creek - Cattle trail through creek has caused bare areas on hill slopes on either side of creek. - Creek bed and east bank appear stable.  - Gravel path through creek bed (placed by landowner) observed in 2015 appears to have washed out. - Sign missing from sign post on east side of creek. Recommend repairs. July 25, 2016 – Intermittent herbicide application conducted to control Canada thistle. September 5, 2016 – woody debris on-site placed to limit cattle access to areas of reduced vegetation cover that were caused by cattle activity. - Repaired sign post, issue resolved.","clovers and asters as well as willows and poplars. Cattle not grazing ¼ at time of assessment. Cattle path present through ROW. - KP 15+950 - Canada thistle and perennial sow thistle observed at watercourse crossing on both banks. Recommend weed control. - Shrubby bog (KP 15+580 to KP 15+610) is stable. Tree species emerging throughout wetland including pine, willow, and poplar. Various wetland species evident throughout wetland such as Labrador Tea, sphagnum mosses and scouring rushes indicate that hydrology is being maintained in wetland. Good peat moss soil and woody debris present throughout wetland - Unnamed creek at KP 15+950 is stable with moderate flow at time of assessment.  Cattle track leading into creek beginning to vegetate with grasses. Woody debris barrier along both banks are functioning well to keep cattle out of creek as no evidence of any recent crossing. Both banks show good establishment of vegetation and appear stable, with excellent willow establishment. Bed is stable with good cobble distribution. No further work required.  July 20, 2017 – Weed control conducted to control Canada thistle and perennial sow thistle at KP 15+950. Issue resolved. September 27, 2017 - Canada thistle individuals observed and herbicide application conducted to control. Issue resolved.",,,
SE 10-79-11,Forested,High noxious weed issue,"May 27, 2014 - Vegetation cover 80-90% of off ROW - Minor rill erosion at 16+550, 16+700, 17+150, good vegetation gROWth and not affecting land use, monitor - No subsidence - No weeds observed","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013).  Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.","July 7, 2016 - 100% vegetative cover compared to off-ROW.  - No Noxious weeds observed - KP 16+550 and 16+700 and 17+080, previously observed erosion rills are well-vegetated, stable and are not affecting pipe integrity or land use. Issues resolved. July 25, 2016 - Canada thistle observed, intermittent herbicide application conducted to control.","May 28, 2017 - 100% vegetative cover compared to off-ROW consisting mainly of grasses with minimal common weeds.  - Canada thistle and perennial sow thistle observed.  Recommend weed control. - No subsidence observed in ¼ July 20, 2017 – Intermittent herbicide application conducted to control Canada thistle and perennial sow thistle.  Issue resolved. September 27, 2017 – Intermittent herbicide application conducted to control Canada thistle (low density).  Issue resolved.",,,
SE 10-79-11,Forested,Moderate erosion issue,"May 27, 2014 - Vegetation cover 80-90% of off ROW - Minor rill erosion at 16+550, 16+700, 17+150, good vegetation gROWth and not affecting land use, monitor - No subsidence - No weeds observed","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013).  Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.","July 7, 2016 - 100% vegetative cover compared to off-ROW.  - No Noxious weeds observed - KP 16+550 and 16+700 and 17+080, previously observed erosion rills are well-vegetated, stable and are not affecting pipe integrity or land use. Issues resolved. July 25, 2016 - Canada thistle observed, intermittent herbicide application conducted to control.","May 28, 2017 - 100% vegetative cover compared to off-ROW consisting mainly of grasses with minimal common weeds.  - Canada thistle and perennial sow thistle observed.  Recommend weed control. - No subsidence observed in ¼ July 20, 2017 – Intermittent herbicide application conducted to control Canada thistle and perennial sow thistle.  Issue resolved. September 27, 2017 – Intermittent herbicide application conducted to control Canada thistle (low density).  Issue resolved.",,,
SW 10-79-11,Forested,No issues observed,"May 29, 2014 – 90-100% vegetation cover – No Subsidence observed – Minor weeds at time of assessment (Canada thistle) continue to monitor. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Minor ruts from recreational ATV (3rdparty) use.","June 4, 2015 – Vegetation appears to be 100% of off ROW control. – Roach stable over ditch line and well vegetated. – Constructed cross drainages are mature and appear to be working effectively with wet areas on both sides of ROW flourishing. The bed and banks of the drainage courses are well vegetated with green native foliage throughout.  July 21, 2015 – Canada thistle and perennial sow thistle noted intermittently throughout tract.  Recommend herbicide application. July 23, 2015 - Herbicide application conducted intermittently to control Canada thistle and perennial sow thistle.   August 1, 2015 – Additional herbicide application conducted to control regROWth of Canada thistle. October 6, 2015 – Small patches of Canada thistle were observed in the forested area of the ¼.  Herbicide application conducted intermittently.","July 7, 2016 - 100% vegetative cover compared to off-ROW. - Canada thistle observed. Recommend weed control.  Spot spraying may be most effective method. - No erosion or subsidence observed within ¼.  Previously noted erosion rills are no longer present, issues resolved. July 25, 2016 – Intermittent herbicide application conducted to control Canada thistle.  Perennial sow thistle no longer present, issue resolved.","May 28, 2017 - 100% vegetative cover compared to off-ROW consisting mainly of grasses, willow, cat tails, and alder. - No noxious weeds were observed.  Previous noxious weed issues resolved. - No erosion or subsidence observed within ¼.  - No ROW fencing in this ¼.",,,
SE 9-79-11,Forested,,,"June 3, 2015 – Vegetation appears to be 90 % of off ROW control consisting of clover, timothy and brome grasses.  – ROW contour consistent with natural topography. – ROW is forested to the south and has hay land to the north. – No fence present at time of assessment. Aug. 1, 2015 – Removed silt fence and synthetic wattles, as needed. Issues resolved. October 6, 2015 - Canada thistle observed in the forested area of the ¼.  Herbicide application conducted intermittently.","July 11, 2016 - 100% vegetation cover of off-ROW. - Canada thistle observed. Recommend weed control. - KP 18+365, drainage course is in good shape. Heavy rain/flooding appears to have left a deposit of gravel/pebbles in basin. Doesn’t appear to be impeding water flow.  No work required, issue resolved. - KP 18+465, diversion berm has intermittent bare areas. Recommend to seeding bare areas. - No erosion or subsidence observed in ¼. July 25, 2016 – Intermittent herbicide application conducted to control Canada thistle. September 8, 2016 – KP 18+465 – Bare areas on diversion berm seeded.","May 28, 2017 - 100% vegetation cover of off-ROW consisting mainly of grasses with minimal common weeds.  - Drainage courses at KP 18+225, 18+365 are stable and well vegetated with no signs or erosion. - KP 18+465, diversion berm continues to have bare areas. Berm may just need more time for seed to catch as it was just seeded in the fall.  Continue to monitor and apply additional mitigation as needed. - No erosion or subsidence observed in ¼. July 4, 2017 – KP 18+465 – Mulch and seed applied to diversion berm.  Issue resolved. July 21, 2017 – KP 18+230 and 18+375 - Canada thistle observed and herbicide application conducted.  Issue resolved. September 27, 2017 – Intermittent herbicide application conducted to control Canada thistle (low density). Issue resolved.",,,
NE 9-79-11,Forested,High noxious weed issue,"May 29, 2014 – 90-100% vegetation cover  – No issues with subsidence or erosion. – Minor ruts from recreational ATV (3rdparty) use. – Picked 1 small plant of scentless chamomile at 18+550, Continue to monitor – No issues noted at drainages.","May 31, 2015 – Vegetation estimated to be 90 - 100% of ground cover on ROW compared to off ROW control. Some willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Contouring consistent with natural topography. – Rill erosion identified at KP 18+600, 18+880, and 18+900.  Monitor. –Scentless chamomile was found at KP 18+600. A total of 32 juvenile plants were hand-picked, bagged and disposed of.  Continue to monitor this area.   Aug 1, 2015 - KP 18+600 – 2 scentless chamomile plants to picked, bagged, and disposed of. - KP 18+600, 18+880, and 18+900 - erosion riling concerns from spring assessments are well vegetated, stable and not effecting land use. Issues resolved. October 6, 2015 – Previously noted Scentless Chamomile in erosion rill at KP 18+600 appears to have been controlled by hand picking as there was no further evidence of chamomile in area, continue to monitor.","July 11, 2016 - 100% vegetation cover compared to off-ROW.  - Canada thistle observed. Recommend weed control. - Scentless chamomile was not observed.  All previous issues resolved. - No subsidence was observed in ¼. July 26, 2016 – Intermittent herbicide application conducted to control Canada thistle.","May 28, 2017 - 100% vegetation cover of off-ROW consisting mainly of grasses with minimal common weeds. - No subsidence was observed in ¼. July 21, 2017 – Intermittent herbicide application conducted to control Canada thistle.  Issue resolved. September 27, 2017 – Intermittent herbicide application to control Canada thistle (several discrete patches). Issue resolved.",,,
NE 9-79-11,Forested,"Rare Plant – liverwort (S2) – KP 18+350 and 18+400 On August 9, 2013, Rare Plant Specialists visited the transplant locations and observed the snakeskin liverwort populations. Suitable habitat was observed at the site.  Resolved: no further monitoring is recommended.",,,,,,,
NW 9-79-11,Forested,Moderate erosion issue,"May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 18+850, 18+875, 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rdparty) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted.  Repairs recommended. Aug 1, 2015 - Removed erosion control materials at 18+960 and 19+400.  Issues resolved. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.","July 11, 2016 - 100% vegetation cover compared to off-ROW.  - Canada thistle observed.  Recommend weed control. - KP 19+590, small patch of oxeye daisy observed. Hand-picked, bagged, and disposed of. - KP 19+000 and 19+185, cross drains are well-vegetated and appear stable. - KP 19+390 and 19+655, 2015 erosion repairs effective.  Area is well-vegetated and stable. Issues resolved. - No subsidence observed in ¼ July 26, 2016 – Intermittent weed control conducted to control Canada thistle. - KP 19+590 – oxeye daisy (2 plants) hand-picked, bagged, and disposed of.","May 28, 2017 - 100% vegetation cover of off-ROW consisting mainly of grasses. - KP 18+900 and 19+400, Silt fence present and can be removed. - KP 19+350 to 19+775, Canada thistle observed, recommend weed control. - No subsidence observed in ¼  June 27, 2017 – KP 18+900 and 19+400 – silt fence removed, issues resolved. July 21, 2017 – KP 19+350 to 19+775 – Intermittent herbicide application conducted to control Canada thistle, issue resolved.",,,
NE 8-79-11,Forested,Moderate erosion issue,"May 29, 2014 – Good vegetation (90%)  – Erosion at 19+800, continue to monitor.  – Patch with no gROWth; L/O seeded with oats in hay land (20+500); Monitor. - Minor subsidence still observed at foreign crossing at KP 19+950; not affecting land use; continue to monitor","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control.  Previous vegetation cover issues is no longer present, issue resolved. – Ditch line has small roach evident with good vegetation cover. – Noted subsidence at ROW crossing at KP 19+950, not affecting land use. Continue to monitor. September 24, 2015 - KP 20+210, erosion rill observed along north boundary of ROW, repairs recommended. September 25, 2015 - KP 19+800, erosion rills, repairs recommended. - KP 19+835 and 19+885, subsidence. Repairs recommended. - Weather conditions prevented the completion of repairs in 2015, these repairs are scheduled for completion during the 2016 gROWing season. - Intermittent Canada thistle observed. Recommend herbicide application September 25, 2015 - Herbicide application conducted intermittently to control Canada thistle.","July 11, 2016 - 100% vegetation cover of off-ROW. - Canada thistle observed.  Weeds controlled through landowner farming operations (haying) - KP 19+800, erosion rill observed in 2015 is affecting haying operations. Recommend repairs.  - KP 20+210 – erosion rill no longer evident, issue resolved. - KP 19+835 to 20+010, intermittent subsidence observed in 2015 is affecting haying operation. Recommend repairs. September 29, 2016 – KP 19+800 – erosion repair completed. Issue resolved. - KP 19+835 to 20+010 – subsidence repairs completed. Issue resolved. - KP 20+110 – height of diversion berm reduced at landowner request.  Issue resolved. - KP 20+200 to 20+300 – small windROW along treeline removed at landowner request.  Issue resolved. October 4 and 5, 2016 – Installed erosion control materials on recent repair areas.","May 29, 2017 - 100% vegetation GROWth compared to off ROW. - KP 19+800, 2016 erosion repair is stable with vegetation infilling.  A minor additional rill is forming, monitor later in gROWing season and remove erosion control materials prior to haying. - KP 19+835 – 20+015, 2016 subsidence repair has mitigated issue.  Issue resolved.  Remove erosion control materials prior to Landowner haying. - KP 20+200 and 20+300, 2016 erosion repair is stable with vegetation infilling.  Erosion control materials are no longer required, remove prior to landowner haying. - Canada thistle individuals observed.  Recommend weed control. - No additional subsidence was identified in this ¼. June 27, 2017 – KP 19+800 – removed erosion control materials and additional erosion rill has stabilized, no further work required, issues resolved. - KP 19+835 – 20+015 and KP 20+200 and 20+300 – Erosion control materials removed, issue resolved. July 21, 2017 – Intermittent herbicide application conducted to control Canada thistle, issue resolved. September 27, 2017 - KP 19+835 – 20+015 – Volunteer oats and foxtail barley gROWing on 2016 subsidence repairs, recommend weed control. - KP 19+990 - Canada thistle individuals observed and herbicide application conducted to control, issue resolved. October 1, 2017 - KP 19+835 – 20+015 – Weed control conducted to control Volunteer oats and foxtail barley gROWing, issue resolved.",,,
NE 8-79-11,Forested,High microtopography (subsidence) issue,"May 29, 2014 – Good vegetation (90%)  – Erosion at 19+800, continue to monitor.  – Patch with no gROWth; L/O seeded with oats in hay land (20+500); Monitor. - Minor subsidence still observed at foreign crossing at KP 19+950; not affecting land use; continue to monitor","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control.  Previous vegetation cover issues is no longer present, issue resolved. – Ditch line has small roach evident with good vegetation cover. – Noted subsidence at ROW crossing at KP 19+950, not affecting land use. Continue to monitor. September 24, 2015 - KP 20+210, erosion rill observed along north boundary of ROW, repairs recommended. September 25, 2015 - KP 19+800, erosion rills, repairs recommended. - KP 19+835 and 19+885, subsidence. Repairs recommended. - Weather conditions prevented the completion of repairs in 2015, these repairs are scheduled for completion during the 2016 gROWing season. - Intermittent Canada thistle observed. Recommend herbicide application September 25, 2015 - Herbicide application conducted intermittently to control Canada thistle.","July 11, 2016 - 100% vegetation cover of off-ROW. - Canada thistle observed.  Weeds controlled through landowner farming operations (haying) - KP 19+800, erosion rill observed in 2015 is affecting haying operations. Recommend repairs.  - KP 20+210 – erosion rill no longer evident, issue resolved. - KP 19+835 to 20+010, intermittent subsidence observed in 2015 is affecting haying operation. Recommend repairs. September 29, 2016 – KP 19+800 – erosion repair completed. Issue resolved. - KP 19+835 to 20+010 – subsidence repairs completed. Issue resolved. - KP 20+110 – height of diversion berm reduced at landowner request.  Issue resolved. - KP 20+200 to 20+300 – small windROW along treeline removed at landowner request.  Issue resolved. October 4 and 5, 2016 – Installed erosion control materials on recent repair areas.","May 29, 2017 - 100% vegetation GROWth compared to off ROW. - KP 19+800, 2016 erosion repair is stable with vegetation infilling.  A minor additional rill is forming, monitor later in gROWing season and remove erosion control materials prior to haying. - KP 19+835 – 20+015, 2016 subsidence repair has mitigated issue.  Issue resolved.  Remove erosion control materials prior to Landowner haying. - KP 20+200 and 20+300, 2016 erosion repair is stable with vegetation infilling.  Erosion control materials are no longer required, remove prior to landowner haying. - Canada thistle individuals observed.  Recommend weed control. - No additional subsidence was identified in this ¼. June 27, 2017 – KP 19+800 – removed erosion control materials and additional erosion rill has stabilized, no further work required, issues resolved. - KP 19+835 – 20+015 and KP 20+200 and 20+300 – Erosion control materials removed, issue resolved. July 21, 2017 – Intermittent herbicide application conducted to control Canada thistle, issue resolved. September 27, 2017 - KP 19+835 – 20+015 – Volunteer oats and foxtail barley gROWing on 2016 subsidence repairs, recommend weed control. - KP 19+990 - Canada thistle individuals observed and herbicide application conducted to control, issue resolved. October 1, 2017 - KP 19+835 – 20+015 – Weed control conducted to control Volunteer oats and foxtail barley gROWing, issue resolved.",,,
NE 8-79-11,Forested,Moderate vegetation issues,"May 29, 2014 – Good vegetation (90%)  – Erosion at 19+800, continue to monitor.  – Patch with no gROWth; L/O seeded with oats in hay land (20+500); Monitor. - Minor subsidence still observed at foreign crossing at KP 19+950; not affecting land use; continue to monitor","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control.  Previous vegetation cover issues is no longer present, issue resolved. – Ditch line has small roach evident with good vegetation cover. – Noted subsidence at ROW crossing at KP 19+950, not affecting land use. Continue to monitor. September 24, 2015 - KP 20+210, erosion rill observed along north boundary of ROW, repairs recommended. September 25, 2015 - KP 19+800, erosion rills, repairs recommended. - KP 19+835 and 19+885, subsidence. Repairs recommended. - Weather conditions prevented the completion of repairs in 2015, these repairs are scheduled for completion during the 2016 gROWing season. - Intermittent Canada thistle observed. Recommend herbicide application September 25, 2015 - Herbicide application conducted intermittently to control Canada thistle.","July 11, 2016 - 100% vegetation cover of off-ROW. - Canada thistle observed.  Weeds controlled through landowner farming operations (haying) - KP 19+800, erosion rill observed in 2015 is affecting haying operations. Recommend repairs.  - KP 20+210 – erosion rill no longer evident, issue resolved. - KP 19+835 to 20+010, intermittent subsidence observed in 2015 is affecting haying operation. Recommend repairs. September 29, 2016 – KP 19+800 – erosion repair completed. Issue resolved. - KP 19+835 to 20+010 – subsidence repairs completed. Issue resolved. - KP 20+110 – height of diversion berm reduced at landowner request.  Issue resolved. - KP 20+200 to 20+300 – small windROW along treeline removed at landowner request.  Issue resolved. October 4 and 5, 2016 – Installed erosion control materials on recent repair areas.","May 29, 2017 - 100% vegetation GROWth compared to off ROW. - KP 19+800, 2016 erosion repair is stable with vegetation infilling.  A minor additional rill is forming, monitor later in gROWing season and remove erosion control materials prior to haying. - KP 19+835 – 20+015, 2016 subsidence repair has mitigated issue.  Issue resolved.  Remove erosion control materials prior to Landowner haying. - KP 20+200 and 20+300, 2016 erosion repair is stable with vegetation infilling.  Erosion control materials are no longer required, remove prior to landowner haying. - Canada thistle individuals observed.  Recommend weed control. - No additional subsidence was identified in this ¼. June 27, 2017 – KP 19+800 – removed erosion control materials and additional erosion rill has stabilized, no further work required, issues resolved. - KP 19+835 – 20+015 and KP 20+200 and 20+300 – Erosion control materials removed, issue resolved. July 21, 2017 – Intermittent herbicide application conducted to control Canada thistle, issue resolved. September 27, 2017 - KP 19+835 – 20+015 – Volunteer oats and foxtail barley gROWing on 2016 subsidence repairs, recommend weed control. - KP 19+990 - Canada thistle individuals observed and herbicide application conducted to control, issue resolved. October 1, 2017 - KP 19+835 – 20+015 – Weed control conducted to control Volunteer oats and foxtail barley gROWing, issue resolved.",,,
