Legal Location (W6),1<s>st</s> Year (2012) PCM Assessment,2<s>nd</s> Year (2013) PCRM Assessment and Work Completed,3<s>rd</s> Year (2014) PCRM Assessment and Work Completed,4<s>th</s> Year (2015) PCRM Assessment and Work Completed,5<s>th</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 5-79-15,Cultivated,Re assess spring 2014,"May 31, 2014 – KP 38+550 and KP38+875, subsidence, repairs required. – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, monitor crop growth. Sept 28, 2014 – KP 38+550 and KP 38+875, Subsidence repaired by strip and grade reclamation.","May 13, 2015 - KP 39+075 Subsidence observed, recommend repairs. May 28, 2015 - Field was cultivated and seeded. Soil conditions appear consistent with off ROW. - KP 39+020 – 39+085, Rill erosion on slope running down ROW where strip and grade was completed in 2014, repair. Subsidence issue resolved. - KP 39+075, Subsidence at 90-degree bend, repair. October 26, 2015 - KP 39+020 – 39+085, Rill erosion repaired. - KP 39+075, Subsidence repair completed.","June 7, 2016 - Field is seeded, vegetation appears to be consistent with off-RoW. Soil conditions appear consistent with off ROW soils. - 2015 subsidence (KP 39+075) and erosion (KP 39+020 to 39+085) repairs appear effective. There is good vegetative growth and soils appear consistent with off-RoW. Issues resolved. - No erosion or subsidence observed in this ¼.",,,
NE 31-78-15,Cultivated - High densities of lamb’s-quarters observed on the right-of-way from KP 39.25 to KP 39.99.,"Oct 28, 2013 - KP 39+250 to 40+000 This is a heavily grazed pasture that has no indication of weeds, 2012 weed issue (KP 39+250 to 39+990) resolved.","May 31, 2014 – No concerns, field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, monitor crop growth.","May 28, 2015 - Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, - No subsidence or erosion observed in this ¼.","June 6, 2016 - Field cultivated and seeded with no signs of weeds, vegetation and soil conditions appear consistent with off RoW, monitor crop growth.  - No subsidence or erosion observed in this ¼. - KP 39+165, Large rock observed on RoW. Moved rock to treed-ditch on edge of field. No further work required, issue resolved.",,,
NW 31-78-15,Hay,Re assess spring 2014,"May 31 - 2014 – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW. – KP 40+000, erosion on highway RoW near the pipeline markers on the NE side of the highway, monitor. SW portion of 1/4 – RoW SW of Alaska highway is seeded to pasture mix no signs of weeds, vegetation is 100% cover and consistent with off RoW.","May 28, 2015 East side of Highway - Hay field vegetation growth is at 100% of off ROW control growth.  - No weeds or erosion were observed in this ¼. - KP 39+075 and 39+830, Subsidence observed, recommend repairs. - KP 40+000, erosion on RoW near the pipeline markers on the NE side of the highway is still present and does not affect land use or pipe integrity, no work recommended, issue resolved. West side of Highway - ROW SW of Alaska highway is seeded to pasture mix no signs of weeds, vegetation is 100% cover and consistent with off RoW control. - KP 40+150, seasonal drainage is in good condition and is well vegetated. Diversion berms on either side are functional, well vegetated and have no signs of erosion.  August 11, 2015 - KP 39+075 and KP 39+830, Subsidence repairs completed.","June 7, 2016 East side of Highway - Hay field vegetation growth is at 100% of off ROW growth.  - No weeds or erosion were observed in this ¼. - KP 39+830, Subsidence repaired last year had poor seed catch. Re-assess in 2017 as landowner indicated parallel NGTL line to be constructed in spring 2017. - Subsidence repair at KP 39+075 no longer evident, issue resolved. August 25, 2016 - Completed follow-up assessment on hay portion now that it has been hayed. - No erosion or subsidence observed  - KP 39+830, consistent with June assessment. West side of Highway June 7, 2016 - ROW SW of Alaska highway is seeded to pasture mix no signs of weeds, vegetation is 100% cover and consistent with off RoW.",,,
NW 31-78-15,Rare plant - Torrey's sedge Resolved: No further monitoring is recommended.,,,,,,,
NW 31-78-15,"Rare plant - prairie buttercup Resolved, no further monitoring is recommended.",,,,,,,
NW 31-78-15,Tributary to Dawson Creek –,"Oct 28, 2013 - Unnamed tributary to Dawson Excellent creek restoration with 100 % vegetation cover and no indications of any slumping, subsidence or erosion. There are a large number of naturally occurring trees on both sides of the RoW. Silt fencing should be pulled in 2014","May 31, 2014 - Tributary to Dawson Creek– silt fence to be removed, drainage in good condition, soil wraps intact and vegetation cover 100% and consistent with off RoW. Vegetation cover is 100% on both banks with good density of shrubs and trees on both banks. June 17, 2014 - KP 40+250 silt fence removed.","May 28, 2015 - Trib. in good condition, soil wraps intact and vegetation cover is at 100% of off RoW. Vegetation cover is 100% on both banks compared to off ROW.  - Hill slopes are also well vegetated and appear stable. Diversion berms on either side are functional, well vegetated and have no signs of erosion. - KP 40+275 Canada thistle observed above west bank of creek. Control recommended July 4, 2015 – mechanical control and herbicide application conducted to control Canada thistle","June 7, 2016 - KP 40+250, Tributary in good condition, soil wraps intact and vegetation cover is at 100% of off RoW. Vegetation cover is 100% on both banks compared to off ROW.  - Hill slopes are also well vegetated and appear stable. Diversion berms on either side are functional, well vegetated and have no signs of erosion. - KP 40+225, Canada Thistle was identified on the east slope of the watercourse. Recommend spot spraying with herbicide.  July 5, 2016 KP 40+225 – herbicide application (spot spraying) conducted to control Canada thistle.",,,
NE 36-78-16,Tame pasture - High densities of lamb’s-quarters observed on the right-of-way from KP 40.35 to KP 41.22.,"June 2013 - Poor vegetation, large volume of lambs quarter, hemp nettle covering 50-60 % of ROW KP 40+750, erosion rills on north edge of ROW; recommend repairs. July 10, 2013 Landowner has cut and baled row. Landowner indicated that he will address weeds, 2012 and earlier 2013 issues resolved. Oct 28, 2013 - KP 40+350 to 41+200 Field has been cut and bailed, very few weeds noted. No other issues (subsidence, erosion [repairs no longer needed at KP 40+750, issue resolved], veg cover) to note.","May 31, 2014 – KP 40+850, subsidence, repairs required. – Pasture had no signs of weeds, 100% vegetation cover of conditions off RoW. September 23, 2014 - KP 40+810, KP 40+850, 40+875, and 41+010, subsidence repaired with topsoil fill and seeding completed","May 28, 2015 - Hay field at 100% vegetation growth compared to off RoW control. - RoW fence is still up on north boundary of pipeline. - KP 40+400 (both sides of seasonal drainage), KP 40+625, and KP40+675–40+715, Subsidence, recommend repairs. July 27, 2015 - KP 40+400 (both sides of seasonal drainage), KP 40+625, and KP40+675–40+715subsidence repairs completed. - KP 40+810, KP 40+850, 40+875, and 41+010, Repairs completed in 2014 look good. Vegetation is establishing. Some minor erosion rills were also noted but rills are vegetating. Issues resolved.","June 7, 2016 - Strong vegetation growth in this 1/4. Hay crop is already more than 60 cm tall. Vegetation cover is at 100% compared to off ROW.  - Subsidence repaired in 2015 at KP 40+400 and 40+625 is vegetating well and appears subsidence issue resolved. August 25, 2016 - Completed follow-up assessment on hay ¼ now that it has been hayed. - No erosion observed - KP 40+675, 41+105, and 41+120, subsidence observed. Recommend repairs. Wet conditions prevented completion of work in 2016, complete in 2017 as soon as ground conditions and landowner will allow.",,,
NW 36-78-16,Cultivated,"May 2013 - Landowner reported subsidence. Walked quarter and found little to no subsidence. Monitor. June 2013 - Seeded, no issues noted.","May 31, 2014 – KP 41+600, minor subsidence, monitor. – Field cultivated and seeded with no signs of weeds, soil conditions appear consistent with off RoW, monitor crop growth.","May 28, 2015 – Field cultivated and seeded, soil conditions appear consistent with off RoW. – KP 42+000, bell hole subsidence observed. Recommend repairs. – No erosion or weeds observed at this time. October 14, 2015 - KP 41+380, intermittent subsidence observed and repaired - KP 41+750 to KP 42+010, intermittent subsidence repaired. - Subsidence noted in 2014 at KP 41+600 is no longer evident, issue resolved.","June 7, 2016 - Soil conditions appear consistent with off ROW, however there seems to be some inconsistencies with crop growth, which is consistent with off ROW. - ROW has quite a few stones on the surface especially along south boundary. Stones should be picked up and removed following harvest. Wet conditions prevented completion of work in 2016, complete in 2017 as soon as ground conditions and landowner will allow. - Subsidence noted at KP 42+000 is no longer evident, issue resolved. - No erosion was identified in this ¼. July 16, 2014 Crop has matured and does not appear to have any inconsistencies with off ROW. Issue resolved.",,,
NE 35-78-16,Treed - Poor vegetation establishment observed where the right-of-way was not seeded. Moderate density of white cockle observed on the right-of-way. Tame Pasture - Moderate vegetation establishment observed on the right-of-way. High densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"June 2013 - Good vegetation (2012 vegetation cover issues resolved), no issues noted. No weeds noted (2012 white cockle, stinkweed, and lamb’s quarters issues resolved). August 1, 2013 KP 41+970 - East side of quarter installed 16’ wire gate  Oct 21, 2013 - KP 42+900-43+700 - Subsidence repair completed.","May 31, 2014 – KP 42+400, subsidence, repairs required. – RoW vegetation had no signs of weeds, 100% vegetation cover of conditions off RoW, monitor vegetation growth. Oct. 17, 2014 – KP 42+400, subsidence, repaired with topsoil fill, seeding completed.","May 30, 2015 – 100% vegetative cover compared to off RoW control. – No subsidence or erosion observed.","June 7, 2016 - Forested ¼ with well-established vegetation growth. Cover is at 100% compared to off ROW. - No noxious or invasive weeds were identified. - No erosion or subsidence was observed. - Subsidence repaired at KP 42+400 in 2014 is fully vegetated and consistent with the rest of the ROW. Issue resolved. - If ¼ is hayed this season, a second assessment should be done to ensure no subsidence or erosion was missed in the tall vegetation. August 25, 2016 - Completed follow-up assessment on hay ¼ now that it has been hayed. - No erosion or subsidence observed",,,
NW 35-78-16,MHTame pasture - Rill erosion observed on the right-of-way at KP 43.44. oderate vegetation establishment observed on the right-of-way. igh densities of lamb’s-quarters and stinkweed observed on the right-of-way.,"June 2013 - Landowner is very pleased with the way he has been treated through project. - Some weeds, mostly stinkweed, the alfalfa and grass is coming on; monitor. - KP 43+225 Subsidence throughout 1/4 the worst being on the east facing slope - Erosion rills on west boundary of ¼ Sept 24, 2013 - KP 42+780 Met with landowner, to discuss topsoil pile and a rock issue that is affecting land use. Oct 28, 2013 No indications of erosion noted at KP 43+440, issue resolved. Landowner has recently spread topsoil on several locations on the ¼, subsidence and erosion issues resolved. Nov 6, 2013 - Stones picked, issue resolved.","June 3, 2014 – KP 42+825 to 42+900, poor growth on ditchline, seeded in 2013, monitor vegetation growth. – KP 42+975 (access trail), KP 43+000 to 43+200, KP 43+400, 43+425, 43+500, and 43+600 poor vegetation growth, monitor. – No weeds identified (2012 and 2013 weed issues resolved). Vegetation growth 90% of off RoW on the majority of 1/4 section (2012 and 2013 vegetation issues resolved).","May 30, 2015 – 90% vegetative cover compared to off RoW. - Vegetation issues noted in 2014 at KP 42+975 (access trail), KP 43+000 to 43+200, KP 43+400, 43+425, 43+500, and 43+600 are no longer evident, issues resolved. – No weeds observed. – KP 43+520 and 43+620 subsidence observed. Recommend repairs. July 28, 2015 – KP 43+520, KP 43+570, KP 43+620 – subsidence repairs completed.","June 7, 2016 - 100% vegetative cover of conditions off RoW control. No noxious weeds observed. No erosion observed in ¼ - KP 43+630 to 43+640 subsidence. Recommend repairs. Re-assess area after hay cut.  - 2015 subsidence repairs (KP 43+520, 43+570, and 43+620) appear effective. Good vegetative growth and soils appear stable. Issues resolved. September 13, 2016 – subsidence repair at KP 43+630 to 43+640. Issue resolved.",,,
NE 34-78-16,HHay - Poor vegetation establishment observed on the right-of-way. igh densities of lamb’s-quarters and stinkweed observed on right-of-way.,"June 2013 - KP 44+000 subsidence throughout ¼, worst being on the slopes; recommend repairs. Weeds present, but crop is coming in well; monitor Oct 20 and 22, 2013 - KP 43+700-44+500 Subsidence repair completed topsoil to subsided area and began to spread with skid steer. Oct 28, 2013 - No indication of weeds noted on the ¼ (2012 weed issue resolved). Hay was recently cut (2012 vegetation cover issue resolved).","June 3, 2014 – KP 43+650, rutting on edge of road and onto RoW from farm machinery accessing field. – KP 43+725 to 44+300, 575 m of poor vegetation growth and minor erosion where topsoil was spread last fall, monitor vegetation growth and for further erosion. Subsidence issue resolved. – No weeds identified. Vegetation growth 95% of off RoW.","May 30, 2015 – KP 43+650, rutting on edge of road and onto RoW from farm equipment accessing the field, not related to the pipeline, no work recommended, issue resolved. – KP43+725 to 44+300, vegetation filling in well. No work recommended, issue resolved. – No weeds, subsidence, or erosion observed. Vegetative cover 90% of off RoW.","June 7, 2016 - 100% vegetative cover of conditions off RoW control. No noxious weeds observed. No erosion observed in ¼. - KP 43+650, vehicle ruts observed crossing RoW coming from 229 Rd. Recommend topsoil fill. Re-assess after hay cut. - KP 44+460, subsidence observed with cracking along ditch walls. Recommend re-assessing after hay cut. - KP 44+490, fence line between NE 34-78-16W6M and NW 34-78-16W6M crossing RoW is in disrepair. Recommend repairs. August 25, 2016 - KP 43+700, Subsidence noted, recommend repairs. September 12 and 13, 2016 - Re-assessed subsidence at KP 44+460, determined that it is not affecting land use, issue resolved. - KP 43+650 (vehicle ruts), KP 43+700 (subsidence), KP 44+490 (fencing) repairs completed. Issues resolved.",,,
NW 34-78-16,HTame pasture Treed - Patches of poor vegetation establishment observed on the right-of-way. igh density of white cockle and moderate densities of lamb’s-quarters and stinkweed observed on the right-of-way,"June 2013 - Good vegetation cover, stinkweed appears to being choked out by desired vegetation, monitor Minor subsidence through ¼; monitor for now Oct 28, 2013 - There were no indications of weeds and there was 100 % vegetation cover on RoW, 2012 weeds and vegetation cover issues resolved. Subsidence was noted at KP 44+825 – recommend repairs in 2014","June 3, 2014 -KP 44+510 and KP 44+825 to 44+925, subsidence, repairs required. – KP 45+250, minor rutting from vehicles accessing RoW from 231 road. – No weeds identified. Vegetation growth 95% compared to off RoW. Oct. 18, 2014 - KP 44+510, KP 44+825 to 44+925 subsidence repaired with topsoil fill, seeding completed. – KP 45+250, minor rutting from vehicles accessing RoW from 231 road. Not affecting land use and vegetating well, issue resolved.","May 30, 2015 – KP 44+825, minor rill erosion observed. Area is revegetating and should control erosion when plants establish. No work recommended, issue resolved. - 2014 subsidence repairs (KP 44+510, KP 44+825 to 44+925) are not evident, issues resolved. – Vegetative cover 95% of off RoW control.","June 7, 2016 - 100% vegetative cover of conditions off RoW control.  - No noxious weeds observed - No erosion or subsidence observed in ¼.",,,
NE 33-78-16,"Treed-pasture - Moderate vegetation establishment observed from KP 45.30 to KP 45.78. Moderate density of scentless chamomile observed on the right-of-way. One bag of scentless chamomile was picked on September 15, 2012.","June 2013 - Reduced cover on ROW, stinkweed, lambs quarters present, monitor. Oct 29, 2013 - 100% vegetation cover (2012 vegetation cover issue resolved). No indication of subsidence, erosion, or weeds. No indication of Scentless Chamomile, 2012 issue resolved.","June 3, 2014 – KP 45+475, KP 45+525, and 45+900, subsidence, repairs required. – No weeds identified. Vegetation growth 100% of off RoW,  Oct. 19, 2014 – KP 45+475, KP 45+525 to 45+575, and KP 45+900, subsidence repair completed by topsoil fill, seeding completed.","May 31, 2015 – 100% Vegetative cover compared to off RoW conditions. No erosion, subsidence, or weeds observed.  – Subsidence repaired areas from 2014 (KP 45+475, KP 45+525 to 45+575, and KP 45+900) are stable. Little vegetation growth. Recommend continued monitoring, subsidence issue resolved.","June 7, 2016 - Vegetation growth at 100% compared to off ROW. Cattle and horses are presently in ¼ and un-vegetated cattle trails run up and down ROW.  - No noxious or invasive weeds were identified. - No erosion was observed - Subsidence repairs completed in 2014 at KP 45+475, KP 45+525 to 45+575, and KP 45+900 are vegetating with exception of the cattle trail running down the middle of the repaired area. Issues resolved.",,,
NW 33-78-16,Hay - Moderate vegetation establishment observed on the right-of-way. High density of lamb’s-quarters observed on the right-of-way.,"June 2013 - Stinkweed noted at KP 46+600 lots of stink weed, but crop coming on; monitor Oct 29, 2013 - Cut and bailed 100% vegetation cover (2012 vegetation cover issue resolved) – no indication of subsidence or erosion.","June 3, 2014 – No Concerns, No weeds identified (2012 weed issue resolved). Vegetation growth 100% compared to off RoW.","June 9, 2015 - Vegetation growth is at 100% to off ROW control. - KP 46+415, Subsidence. No work recommended, issue resolved. - No erosion issues were observed in ¼.","June 8, 2016 - Vegetation cover is at 100% compared to off ROW. No erosional issues. - KP 46+325, Subsidence, recommend repairs. - Hay was quite tall in this ¼ making it hard to identify subsidence and erosional issues. A secondary assessment should be completed once hay is cut. August 20, 2016 - RoW has been cut and baled. Haying in progress in rest of field. - Vegetation is cut. No weeds observed. - No erosion observed - KP 46+260 to 46+440, intermittent subsidence observed, recommend repairs. September 14, 2016 - KP 46+325 and 46+260 to 46+440 – subsidence repairs completed. Issues resolved.",,,
SW 33-78-16,Treed - Patch of poor vegetation establishment observed on the right-of-way at KP 46.80,"Oct 29, 2013 - 100% vegetation cover (2012 vegetation issue, at KP 46+800, resolved) – no indication of subsidence or erosion. Limited weeds","June 3, 2014 - KP 46+900, depressions on south side of RoW, monitor vegetation growth and for subsidence. – No weeds identified. Vegetation growth 100% of off RoW.","June 9, 2015 - Vegetation growth is at 100% of off ROW control. - No erosional issues were observed during assessment. - KP 46+875 and 46+900 some minor bare spots as well as some tire ruts were noted. Recommend monitoring and re-seeding bare spots and repairing tire ruts as required.","June 8, 2016 - Vegetation 100% compared to off ROW.  - Vegetation and tire rut issues noted in 2015 (KP 46+875 and 46+900) are no longer evident, issues resolved. - Small portion of ROW is not being hayed. - No erosional or subsidence issues. - Common weeds are present but are comparable to off ROW control.",,,
SE 32-78-16,"PMTame pasture - Rill erosion observed on slope on the right-of-way at KP 47.30. oor vegetation establishment observed on the right-of-way from KP 47.40 to KP 47.60. oderate density of flixweed, lamb’s-quarters and stinkweed observed on the right-of-way.","June 2013 - KP 46+860 minor subsidence; monitor Poor vegetation growth close to east boundary of ¼ section, high ground suffering from reduced water retention. Rill erosion at KP 47+300 is no longer evident, issue resolved. No weeds noted (2012 weed issue resolved). Sept 30 and Oct 4 and 5, 2013 KP 46+860 Subsidence repairs completed, including reseeding.","June 3, 2014 – Multiple sites with subsidence repairs completed in fall 2013, erosion evident at KP 46+950 and KP 47+000. Good establishment of grasses on majority of ROW, monitor vegetation growth and for signs of erosion. No work recommended, issues resolved. – No weeds identified. Vegetation growth 80% of off RoW due to subsidence repairs last fall.  August 13, 2014 - erosion repairs completed at KP 46+950 and KP 47+000 with topsoil fill and reworking of soils, seeding also completed. Weeds (Canada thistle and foxtail barley) were pulled by hand and areas reseeded.","May 30, 2015 - Vegetation growth 80-90% of off RoW control. All previous vegetation issues resolved. - Good establishment of grasses on majority of ROW. - KP 46+950 – 47+100, Minor erosion rills require repairs. - No subsidence was observed in this ¼. October 30, 2015 - minor erosion rills at KP 46+950 – 47+100. Rills do not appear to be affecting land use at this time. Recommend re-assessing in spring 2016.","June 8, 2016 - Vegetation cover is approximately 90% compared to off ROW. - KP 46+950 to 47+150 and 47+560, reduced vegetation cover and minor erosion rills. Recommend repairing erosion rills and seeding. - No subsidence was observed in this ¼. September 2, 2016 - KP 46+950 to 47+150 and 47+560, areas that were showing reduced vegetation in the spring (June 8) have infilled nicely throughout the summer. Minor erosion rills have filled with vegetation and are no longer an issue. Roughness is minor in the area and does not impede haying operations as it appears consistent with off ROW. Issue Resolved. - Hay has been cut and baled. Bales are still on ROW at this time. - No subsidence was observed in this ¼.",,,
SW 32-78-16,RHay - Gully erosion caused by a breached drainage berm observed on the right-of-way at KP 48.44. ill erosion observed on the right-of-way at KP 48.53.,"June 2013 - Erosion of 2 seasonal drainages (KP 47+680 and 48+440). Oct 5 and 20, 2013 KP 47+680 and 48+440  Erosion repairs completed, including reseeding. Erosion issue noted at KP 48+440 in 2012 resolved. Rill erosion at KP 48+530 is no longer evident, issue resolved. Oct 22, 2013 - KP 49+900-50+200 - subsidence repairs completed.","May 26, 2014 – KP 48+425, erosion across RoW from overflowing drainage ditch on north side of ¼. Additional topsoil required, widen drainage, enlarge berm, and install erosion control measures. – KP 48+525, erosion across RoW in previously worked on drainage. Additional erosion control measures required and contour eroded areas.  June 3, 2014 – KP 48+300, subsidence, monitor. August 16, 2014 - Completed reclamation of erosion concerns at KP 48+425 and 48+525, by sloping drainage ditch more, expanding the flow area and hauling in more stone to prevent erosion.","May 30, 2015 - Vegetation growth is at 90-100% of off ROW control - Subsidence at KP 48+300 appears to have been repaired when completing erosion repairs last year. Issue resolved. - KP 48+425, Berm that was built up along drainage ditch to prevent overflowing appears functional and is vegetating. Erosion repair has minor rilling. No work recommended, issue resolved. - KP 48+525, Rock drainage repaired in 2014 is working well and has no signs of erosion. No further work required, issue resolved.","June 8, 2016 - Vegetation cover at 100% compared to off ROW control.  - Common weeds in this ¼ are comparable to off ROW. - No noxious or invasive weeds were identified. - Drainage at KP 48+450, erosion present and reduced vegetation cover. Recommend repairing erosion, installing erosion control measures, and seeding. - Cobbled drainage at KP 48+525 appears to be functioning well.  September 2, 2016 - Erosion at KP 48+450 remains an issue. - Hay has been cut and baled. Bales are still on ROW at this time. - No subsidence was observed in this ¼. October 13, 2016 – field covered with snow, erosion repairs at KP 48+450 are delayed; complete in 2017 as soon as ground conditions and landowner will allow.",,,
SE 31-78-16,Hay - High density of lamb’s-quarters observed on the right-of-way from KP 48.56 to KP 48.98.,"June 2013 - Poor vegetation, weeds present. - KP 49+200 – 49+500; intermittent Subsidence Oct 20 and 21, 2013 - KP 49+200-49+500 - Subsidence repair completed, including reseeding.","June 3, 2014 – KP 48+575, erosion issues related to dugout drainage issues. Fix drainage to prevent erosion, re-contour and seed. – KP 48+880, minor erosion, should farm out. Monitor erosion. – KP 49+900, drainage in good condition, no signs of erosion. – KP 49+075 to 49+175 and KP 49+925 erosion due to lack of vegetation on subsidence repaired areas in fall of 2013. Re-contour erosion with harrows and seed. – No weeds identified (2012 weed issue resolved). Vegetation growth 90% of off RoW. Sept 27, 2014 - No reclamation issues were addressed this fall due to Landowner request and late season hay removal. Schedule repairs for 2015.","May 31, 2015 - Vegetation growth is at 90-95% compared to off ROW control - No weeds were observed. - KP 48+575, Subsidence and water erosion associated with dugout at bell hole, repairs required. - KP 48+880, erosion was previously noted at this location but could not be located this year, issue resolved. - KP 48+975, Seasonal Drainage is well vegetated and appears stable. No signs of erosion.  - KP 49+075 – 49+225, 49+325; Erosion rills in previously repaired areas. Erosion rills have vegetated at this point but ROW is quite rough. Recommend repairs. October 30, 2015 - Have been unable to contact landowner since early spring. Multiple phone calls and house visits were attempted. Recommend postponing subsidence repairs until next spring and having land agents establish contact with landowner","July 16, 2014 Not hayed New lease pad being built on south side of pipeline. Several attempts to contact landowner to grant access to complete assessments were left unanswered – no assessment or work completed. Issues resolved due to lack of landowner involvement.",,,
SW 31-78-16,Tame pasture - Moderate density of lamb’s-quarters and stinkweed observed on the right-of-way.,"<s>J</s>une 2013 - Poor vegetation, weeds. - 49+700 – 49+950 subsidence - Minor rills on East boundary of ¼. Oct 20 and 21, 2013 - KP 49+500-50+200 - Subsidence repair completed.","June 3, 2014 – Subsidence repairs completed throughout ¼ fall of 2013 (issues resolved). Vegetation is establishing with minor erosion on less vegetated areas. Monitor erosion and vegetation cover. – No signs of weeds (2012 weed issue resolved), 80% vegetation cover of conditions off RoW, monitor vegetation growth.","May 30, 2015 Pasture - Vegetation growth is at 80-90% of off ROW control. Continue to monitor. - No signs of weeds. Hay - Vegetation growth is at 90-100% of off ROW control. Repaired areas from 2013 are a little less at 70-80% of off ROW. Continue to monitor.  - KP 50+000, Subsidence at end of repair completed in 2013, recommend repairs. - KP 50+130, Roughness on ROW due to either ruts or riling. Area has well-established vegetation. Recommend having look after hay is cut and completing repairs. August 27, 2015 - KP 50+000, Subsidence repairs completed. - KP 50+130 – rut/rilling repairs completed.","June 23, 2016 Pasture KP 49+450 to 49+950 - Vegetation growth is at 90-100% of off ROW control. No grazing on ROW this year and looks like the ROW will be hayed this year in this portion of the ¼.  - No noxious or invasive weeds were observed. Hay KP 49+950 to 50+250 - Vegetation growth is at 90-100% of off ROW control. - KP 50+000, Subsidence repaired in 2015 is vegetating nicely. There is some stinkweed present but it should choke out as desired vegetation continues to establish. Issue resolved.  - KP 50+130, Ruts and erosion rills that were repaired in 2015 are fully vegetated, issue resolved.  September 2, 2016 - Hay has been cut and baled. Bales are still on ROW at this time. - KP 49+450 to 49+950 area that was pastured in the past was hayed this year.  - No subsidence was observed in this ¼.",,,
SE 36-78-17,"Hay - Subsidence observed on the right-of-way at KP 50.26. Poor vegetation establishment observed on the right-of-way. High densities of stinkweed, lamb’s-quarters and narrow-leaved hawk’s-beard observed on the right-of-way. One plant of scentless chamomile was observed at KP 50.91. The plant was picked on September 15, 2012. Wetland from KP 50.42 to KP 50.49 has been cultivated by landowner and no longer functions as wetland. Remove from Wetland Function PCM Program. NGTL cannot be responsible for returning wetland to pre-construction condition if it is being disturbed by third party activities. Issue resolved.","June 2013 - Poor vegetation, weeds (KP 50+400 and 50+700), monitor No subsidence noted. Oct 29, 2013 - KP 50+260 – Subsidence could not be located – issue resolved. Landowner has not worked (cut/bailed etc.) this portion of the RoW. Scentless chamomile was not located, issue resolved.","June 6, 2014 - Subsidence at road bore (KP 50+290), import topsoil to repair. - Vegetation is 80-90% of off RoW (2012 vegetation issue resolved). No weeds noted (2012 weed issue resolved). August 18, 2014 - completed subsidence repair with topsoil fill at road bore (KP 50+290). Contoured new soil to prevent ponding.","May 30, 2015 - Landowner has worked field over and plans to re-seed field to hay. No vegetation.  - Subsidence repair at road bore (KP 50+290) appears to have been effective, issue resolved.  - No weeds were observed. - No erosion or subsidence was observed in this ¼.","June 12, 2016 - Landowner worked and seeded field to hay last year. Limited desired vegetation has been established both on and off ROW and ¼ is covered in common weeds. Did not locate and noxious on invasive species on ROW. Poor vegetation cover is not related to pipeline construction, no work required, issue resolved. July 25, 2016 - Vegetation on ROW is approximately 80-90% ground cover compared to off ROW.  - Subsidence repaired in 2014 at KP 50+290 is effective, issue resolved. - No subsidence or erosion was identified in this ¼.",,,
SW 36-78-17,"Hay - Poor vegetation establishment observed on the right-of-way. Small patches of scentless chamomile observed on the right-of-way at KP 51.58 and KP 51.85. The plants were picked on September 15, 2012.","June 2013 - Poor vegetation (KP 51+100), weeds, monitor and control as required.  Minor subsidence and rills, farming operations should alleviate. Oct 29, 2013 - Scentless chamomile was not located, issue resolved. Poor vegetation cover at 51+700, monitor in 2014","June 6, 2014 - Vegetation cover 60-70% of off ROW, 51+400 patch of 30% of off RoW cover, continue to monitor. - Subsidence at road allowance (KP 51+900) repairs required. Sept 22, 2014 - KP 51+900 Subsidence repair completed with topsoil fill. Site was contoured, harrowed and seeded. - KP 51+150 - Tractor ruts noted on ditch-line - Ruts were levelled, filled, and re-seeded.","May 30, 2015 - Vegetation growth at 70-80% to off ROW control, but it is comparable to off RoW (previous vegetation issues resolved). - KP 51+150, Tire rut repair completed in 2014 is vegetating nicely, issue resolved. - KP 51+400, Patch of ROW with vegetation growth at 40-50% compared to off ROW control, improved from 2014. Continue to monitor.  - KP 51+575, Drainage ditch is well vegetated and showing no signs of erosion. - KP 51+900, Subsidence repair completed in 2014. Minor reduction in vegetation cover, monitor.","June 12, 2016 - Vegetation cover at 80-90% compared to off ROW. Common weeds on ROW are comparable to those off ROW. - KP 51+400 has an area of moderate vegetation growth has improved growth (65 – 75 %) compared to prior growing seasons, issue resolved. - Tire rut repair completed in 2014 at KP 51+150 is well vegetated, issue resolved. - KP 51+400 to 51+500 Canada thistle was observed. Recommend spot spraying. - KP 51+900 subsidence repair completed in 2014 is well vegetated and comparable to off RoW. Issue resolved.  July 22, 2016 - Landowner to control Canada thistle (KP 51+400 to 51+500) through haying operations. Issue resolved.",,,
SE 35-78-17,Cultivated,"June 2013 - Too wet to travel on ROW, but no issues. Weeds may require control.","June 6, 2014 - Vegetation cover 70-80% of off RoW","May 29, 2015 – Field not seeded. Appears that it hasn’t been cultivated since last year, soil conditions appear consistent with off RoW. – KP 51+150, minor erosion rill observed, not affecting farming practices. No work recommend, issue resolved.","June 12, 2016 - Quarter section was cultivated and seeded. Soil conditions and crop growth appear consistent both on and off ROW. - Recent accumulations of rain have made field very wet and muddy. - No noxious or invasive weeds were identified. - No subsidence or erosion was identified in this ¼.",,,
