Land Description,Length  (m),Width (m),Observations 2010 Assessment,Observations 2011 Assessment,Observations 2012 Assessment¹,Observations 2013 Assessment,Observations 2014 Assessment¹,Observations 2015 Assessment,Observations 2016 Assessment,VEC,GIS,Topic
NE 27-34-5-W4,40,6,Native Range: excellent native grass growth (A2 mix); not able to distinguish what was seeded vs. fescue plugs in 40 m ditchline stripped area where suspected LT reclamation plot– could not confidently find the location where plugs were planted as there were no permanent reclamation plot signs NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.,"•  Good native vegetation establishment (± 80%) of A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species Kentucky bluegrass (28%), fowl bluegrass (12%). •  Recovering site Trending to Modified due to the presence of Kentucky bluegrass. •  Canada thistle and perennial sow thistle (1% each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species Kentucky bluegrass (41%), western wheat grass (11%). •  Site is lentic temporary wetland.  •  Kentucky bluegrass increased from 28% to 41%.  •  Site fenced, not grazed. •  Canada thistle (< 1%) and perennial sow thistle (< 1% each) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"KInnotech Alberta observations: •  Two and a half treatments from the north end have been overtaken by an ephemeral wetland. The ephemeral wetland is now observed to be drying; observable vegetation now contains mostly smooth brome grass and quack grass. •  There are wide low areas modified all around the right-of-way. •  Green needle grass is the only obvious sign of the seed mix. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NE 27-34-5-W4,40,6,Not applicable,Not applicable,Not applicable,Not applicable,"A2N- Site is in a broad valley on low slope lentic ephemeral high water table, site has been taken over by mesic species, Kentucky bluegrass and quack grass, very few seeded species showing, Fescue plugs not found.  Water foxtail, Awned sedge, sloughgrass, ephemeral wetland species with high forage value, the site has revegetated quickly and is a robust system.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 27-34-5 W4 CofT No. 971 161 342 +1,400,6,"Native Range:  Excellent native grass growth (A1, A2 and A3 seed mix); difficult to determine what was seeded fescue vs. what were plugs NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.","•  Good native vegetation establishment (± 80%) of A1-A2-A3 Seed Mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012. •  Plugs also within NRMP Follow-up Monitoring Plots-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report.","•  Dominant species needle-and-thread (14%), smooth brome (7%).  •  Plains rough fescue present (1%) from undetermined source. •  Recovering site Trending to Modified due to the presence of smooth brome. •  Canada thistle and perennial sow thistle (1%each) require control. •  Trending to Modified.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species awnless/  smooth brome (43%), Kentucky bluegrass (9%).  •  Plains rough fescue not recorded in 2014.  •  Awnless/smooth brome (43%), Kentucky bluegrass (9%). Awnless brome         (< 1%) and Kentucky bluegrass (9%) in control.  •  Gates open, light to moderate grazing intensity, observed utilization 15%. •  Canada thistle (< 1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Two and a half treatments from the north end have been overtaken by an ephemeral wetland. The ephemeral wetland is now observed to be drying; observable vegetation now contains mostly smooth brome grass and quack grass. •  There are wide low areas modified all around the right-of-way. •  Green needle grass is the only obvious sign of the seed mix. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NE 22-34-5 W4 CofT No. 971 161 342 +2,700,6,"Native Range:  Excellent establishment of fescue plugs (very distinguishable 3-5” high or better); has been lightly grazed during the summer; reclamation IOP indicates pasture mix (alfalfa, brome grass, crested wheatgrass).","•  Good vegetation establishment (± 80%) of tame mix (alfalfa, brome grass, crested wheatgrass).  •  Fescue plugs can be identified within the tame mix from seeded fescue. •  Land use is improved pasture and fescue plugs were incorrectly planted into this quarter section. •  Continue to monitor in summer of 2012.","Site observations only by Keystone in 2012. Detailed assessment for this site not conducted by Alta Rangeland Services Ltd.  Information below extrapolated from adjacent quarter section by Keystone. Conditions assumed to be similar, as the area has a similar seed mix, soils/ moisture conditions and agricultural use. •  Dominant species needle-and-thread (14%), smooth brome (7%).  •  Plains rough fescue present (1%) from undetermined source. •  Recovering site Trending to Modified due to the presence of smooth brome. •  Canada thistle and perennial sow thistle (1%each) require control.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Qualitative observations only, as detailed assessment was not conducted by a third party vegetation specialist. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2014 to address 2012 and 2013 findings.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 19-33-4 W4 CofT No.110Y209,250,6,Native Range: Very good native grass growth (revised A2 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established; most of the fescue plugs were 3-5” high.,"•  Excellent native vegetation establishment (± 85%) of revised A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (14%), green needle grass (7%). •  Plains rough fescue present (4%) from plugs and seed.  •  Canada thistle (1%) requires control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (21%), northern wheat grass (9%). •  Plains rough fescue constant at 4%. •  Site grazed, light to moderate grazing intensity, observed utilization 20%. •  Canada thistle (< 1%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results.  •  Monitoring to be conducted in 2017.,,,
NW 18-33-4 W4 CofT No. 941 304 721 +1,200,6,Native Range: Very good native grass growth (revised A2 mix) including seeded fescue and fescue plugs; fescue plugs (2009 planting) well established: most of the fescue plugs were 3-5” high.,"•  Excellent native vegetation establishment (± 85%) of revised A2 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (9%), northern wheat grass (4%), green needle grass (4%). •  Plains rough fescue present (4%) from plugs and seed.  •  Canada thistle (1%) requires control. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings.","•  Dominant species green needle grass (13%), Kentucky bluegrass (8%), northern wheat grass (7%). •  Plains rough fescue reduced from 4% to 2%. •  Kentucky bluegrass increased from <1% to 8%. •  Litter < 50 lb/ac. •  Site not fenced, moderate to heavy grazing intensity, observed utilization 80%, consider reducing grazing intensity.  •  Canada thistle (2%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016. •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
NE 6-33-4 W4 CofT No. 971 228 673 +3,600,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 75-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (20%), green needle grass (8%). •  Plains rough fescue present (4%) from plugs.  •  Canada thistle (1%) and perennial sow thistle (3%each) require control.  •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (24%), western porcupine grass (5%). •  Plains rough fescue cover down to 2% from 4% but more plants in 2014, (4 plant in 2014 vs. 2 plants in 2012), from plugs, rhizomes and seed. •  Gates open, unutilized to light grazing intensity, observed utilization 0%. •  Perennial sow thistle (<1%) requires control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 6-33-4 W4 CofT No. 971 228 778 +1,900,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species plains rough fescue (10%), needle-and-thread (6%). •  Plains rough fescue present from plugs and seed.  •  Canada thistle (1%) requires control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass and  green needle grass (9% each), western porcupine grass (7%). •  Plains rough fescue decreased from 10% to < 1%.  •  Gates open, heavy grazing intensity, observed utilization 80%. Consider reducing grazing intensity. •  Plant pedestalling and bare soil need to be addressed by reduced grazing intensity.  •  Canada thistle (< 1%) and sweet clover (< 10%) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 31-32-4 W4 CofT No. 118E49,800,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (26%), green needle grass (24%). •  Plains rough fescue present (<1%) from seed.  •  Canada thistle (1%) and perennial sow thistle (2%) require control; annual hawksbeard also present. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (22%), northern wheat grass (14%). •  Plains rough fescue constant at <1% from undetermined source.  •  Site fenced, not grazed, consider removing fence. •  Canada thistle (2%) requires control.",Weed control was conducted in 2015 based on assessment recommendations.,Keystone observations: •  Weed control conducted in 2016.  •  Fall assessment indicated good results. •  Monitoring to be conducted in 2017.,,,
SE 31-32-4 W4 CofT No. 118E49,800,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 80%) of A1 mix  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (18%), slender wheat grass (17%). •  Plains rough fescue present (<1%) from seed.  •  Canada thistle (4%) and perennial sow thistle (6%) require control; annual hawksbeard and goat’s-beard also present. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (34%), northern wheat grass (7%). •  Plains rough fescue increase slightly to 1% from undetermined source. •  Kentucky bluegrass present at 3%. •  Litter excessive (1800 lb/ac).  •  Site fenced, not grazed, consider removing fence. •  Canada thistle (< 1%) and perennial sow thistle (<1%) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 30-32-4 W4 CofT No. 110Y208,800,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (24%), slender wheat grass (16%). •  Plains rough fescue present (2%) from undetermined source.  •  Canada thistle and perennial sow thistle (2% each) require control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (47%), plains rough fescue (6%). •  Plains rough fescue increased from 2% to 6% from undetermined source. •  Kentucky bluegrass (5%), monitor for potential increase in cover. •  Kentucky bluegrass in control (5%) possibly due to increased precipitation.  •  Litter excessive (2000 lb/ac). •  Site fenced, not grazed, consider removing fence.   •  Canada thistle and perennial sow thistle (< 1% each) require control.",Weed control was conducted in 2015 based on assessment recommendations.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SE 30-32-4 W4 CofT No. 841 203 194,800,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 75-80%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species green needle grass (26%), slender wheat grass (14%). •  Plains rough fescue present (2%) from undetermined source.  •  Canada thistle and perennial sow thistle (1% each) require control. •  Consider removing fence. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (20%), northern wheat grass (7%). •  Plains rough fescue increased from slightly from 2% to 3% from plugs and rhizomes. •  Kentucky bluegrass (3%), crested wheat grass (3 plants) adjacent to transect, orchard grass (1 on transect and 1 adjacent), monitor species for potential increase in cover.  •  Litter appears to be excessive (1500 lb/ac). •  Site fenced, not gazed, consider removing fence. •  Canada thistle and perennial sow thistle (< 1% each) require control.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NE 31-31-4 W4 CofT No. 110 Y207A,200,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 70-75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species slender wheat grass (13%), northern wheat grass & western porcupine grass (7% each). •  Plains rough fescue present (<2%) from undetermined source.  •  Site is weedy, perennial sow thistle (9%); annual hawksbeard & alfalfa also present, requires control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (17%), slender wheat grass (9%). •  Plains rough fescue increased from 2% to 5% from undetermined source. •  Hybrid brome present (2%), monitor potential increase in cover.  •  Gates open, light to moderate grazing intensity, observed utilization 10%. •  Excessive precipitation has caused pugging of by livestock, monitor site to ensure that invasive weeds and hybrid brome do not increase due to bare soil conditions.  •  Canada thistle (< 1%) requires control.  •  Weed program appears to be effective.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
Pt SE 31-31-4 W4 N of Abandoned Railway CofT No. 110Y207A,400,6,Requires assessment in 2011.,"•  Good native vegetation establishment (± 70-75%) of A1 mix.  •  Difficult to identify fescue plugs from seeded fescue, but it does look like there is good success with fescue throughout the quarter. •  Difficult to identify the fescue from other grasses in the area due to grasses starting to go into the dormant stage for the winter. Not much re-growth after the ROW was mowed. •  Continue to monitor in summer of 2012.","•  Dominant species northern wheat grass (10%), green needle grass & fowl bluegrass (8%) each. •  Plains rough fescue present (2%) from undetermined source.  •  Site is weedy; Canada thistle (10%) and perennial sow thistle (12%) require control. •  Consider removing fence. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Keystone will be discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species green needle grass (23%), Kentucky bluegrass (15%). •  Plains rough fescue not recorded.  •  Kentucky bluegrass increased from 0% to 15%. •  Gates open, light to moderate grazing intensity, observed utilization 15%. •  Canada thistle (<1%) requires control. •  Weed program appears to be effective.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
NW 17-30-4 W4 CofT No. 951 093 108,160,6,"Native Range: LT reclamation plot – moderate native grass recovery; difficult to determine what was seeded (A2 mix) vs. what were plugs. Note: NW 17-30-4 W4: on the steep slopes d/s of Sounding Creek Site 9 (fenced from grazing pressure)…the seeded native grasses have flourished (green needle grass, western wheatgrass, northern wheatgrass, awned wheatgrass and fescue) – excellent coverage and density (A2 mix). NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.",•  Good native vegetation establishment (± 70%) of A2 mix.  •  Native range areas mowed to reduce growth of  invasive species (sweet clover). •  Riparian area establishing vegetation with minor area of flooding impacting veg. growth. •  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"•  Dominant species green needle grass (20%), northern & slender wheat grasses (10% each). •  Plains rough fescue present (1%) from undetermined source.  •  Perennial sow thistle (1%) requires control. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report.","•  Dominant species green needle grass (17%), northern wheat grasses (12%). •  Plains rough fescue increased from 1% to 4% from seed, plugs & rhizomes. •  Site not fenced, light to moderate grazing intensity, observed utilization 10%.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Green needle grass from seed mix is observed across whole site. •  Very little invasive forage present. •  Sedge, rhizomatous species and forbs have infilled the travel lane and spoil storage. •  The ditch line is dominant in green needle grass. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NW 17-30-4 W4 CofT No. 951 093 108,160,6,Not applicable,Not applicable,Not applicable,Not applicable,"•  A2M- thirteen stripped ground squirrels onsite. •  Seeded treatment with good cover, mid seral species dominant e.g. green needle and wheatgrasses.  •  Hay treatment with low bareground score and high forb count, Green needle and wheatgrasses have moved in from adjacent plots.  •  Seed and plugs- similar to seeded with additional fescue counts from plugs, some plugs at 4’diameter.  •  Seed and Hay similar to seed treatment with additional diversity of native species. •  One brome patch onsite, evidence of spot spraying for broadleaf invaders.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 17-30-4 W4 CofT No. 951 093 108,160,6,"Native Range: LT reclamation plot – moderate native grass recovery; difficult to determine what was seeded (A2 mix) vs. what were plugs. Note: NW 17-30-4 W4: on the steep slopes d/s of Sounding Creek Site 9 (fenced from grazing pressure)…the seeded native grasses have flourished (green needle grass, western wheatgrass, northern wheatgrass, awned wheatgrass and fescue) – excellent coverage and density (A2 mix). NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.",•  Good native vegetation establishment (± 70%) of A2 mix.  •  Native range areas mowed to reduce growth of  invasive species (sweet clover). •  Riparian area establishing vegetation with minor area of flooding impacting veg. growth. •  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"•  Dominant species green needle grass (20%), slender wheat grass (18%). •  No noxious weeds observed. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report. •  Vegetation stage appears to be stable with good ground cover.","•  Dominant species green needle grass (25%), western porcupine grass (6%). •  Site not fenced, light to moderate grazing intensity, observed utilization 0%.",Assessment indicated no weeds. No weed control required in 2015.,"KInnotech Alberta observations: •  Green needle grass from seed mix is observed across whole site. •  Very little invasive forage present. •  Sedge, rhizomatous species and forbs have infilled the travel lane and spoil storage. •  The ditch line is dominant in green needle grass. eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NW 8-30-4 W4 CofT No. 991 208 039,160,6,"Native Range: LT reclamation plot – moderate native grass recovery; difficult to determine what was seeded (A2 mix) vs. what were plugs; heavy grazing pressure outside of LT reclamation plot Note: on the approach slopes to Unnamed Creek Site 10 (fenced from grazing pressure)…the seeded native grasses have flourished (green needle grass, western wheatgrass, northern wheatgrass, awned wheatgrass and fescue) – excellent coverage and density (A2 mix). NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures - see Section 3.15.1 of Year 1 PCEM report.",•  Fair/ good native vegetation establishment (± 60%) of A2 mix.  •  Vegetation control to be implemented  earlier in season to control invasive species impacting native vegetation growth. •  Plugs only within NRMP Follow-up Monitoring Plot-Alberta Innovates Technology Futures. See Section 3.8.1 of Year 2 PCEM report. •  Continue to monitor in summer of 2012.,"•  Dominant species green needle grass & slender wheat grass (21%each), western porcupine grass (5%). •  Canada thistle and perennial sow thistle (1% each) require control. •  Site has a good cover of litter.  •  Consider removing fence but monitor grazing as adjoining control has moderate to heavy grazing pressure. •  Early Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover. •  Weed control conducted in 2013 to address 2012 findings. •  Observations within NRMP Follow-up Monitoring Plot by Alberta Innovates Technology Futures provided in Section 3.7 of Year 4 PCEM report. •  Keystone is discussing options regarding fencing with the landowners. Options are site specific based on grazing patterns, rotations, etc., and consist of removal, dropping wires, opening gates/ alleyways.","•  Dominant species northern wheat grass (12%), western wheat grass (10%). •  Plains rough fescue present at 1% from plugs. •  Site fenced and not grazed, consider removing fence but monitor grazing as adjoining control has moderate to heavy grazing pressure. •  Canada thistle (< 1%) requires control.",FWeed control was conducted in 2015 based on assessment recommendations. ence removed in 2015.,"KInnotech Alberta observations: •  Site appears to be performing well. •  Fescues are now observed in the mix (7 years post-reclamation). •  Very little forage grass and undesirable species (little invasion). eystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required. •  Weed control is considered complete.",,,
NW 8-30-4 W4 CofT No. 991 208 039,,,Not applicable,Not applicable,Not applicable,Not applicable,"•  A2S- Very little forage grass/ undesirable invasion, dry, south facing hilltop adding to community resilience.  •  Seed mix awned wheat-green needle grass dominant offering forage value, cover and erosion control. •  Hay treatment with needle and thread and low sedge dominant with forb diversity is best case scenario for hay treatment.  •  Seed and plugs similar to seed treatment but with moderately more fescue showing in quadrats. •  Seed and hay similar to seed treatment.",FWeed control was conducted in 2015 based on assessment recommendations. ence removed in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
SW 8-30-4 W4,,,Not applicable  Site added in 2012 vegetation assessment.,Not applicable  Site added in 2012 vegetation assessment.,"•  Dominant species green needle grass (20%), slender wheat grass (18%), western porcupine grass (9%). •  Smooth brome and crested wheat grass (1% each) observed; not a concern at this stage, continue to monitor. •  Mid Seral.","•  Qualitative observations only, as detailed assessment by third party vegetation specialist was not conducted in 2013. •  Vegetation stage appears to be stable with good ground cover.","•  Dominant species green needle grass (17%), northern wheat grass and western porcupine grass (7% each). •  Plains rough fescue increased from < 1% to 4% from seed. •  Awnless/smooth brome and   crested wheat grass not observed. •  Site not fenced, light to moderate grazing intensity, observed utilization 25%.",Assessment indicated no weeds. No weed control required in 2015.,"Keystone observations: •  2016 assessment indicated weed concentrations were equivalent to off- ROW, therefore controls were not required.  •  No further monitoring required. •  Weed control is considered complete.",,,
