SPREAD,QUARTER SECTION,LAND USE,ISSUES1,REPAIRS COMPLETED YR. 1 (2014),MONITOR/REPAIR YR. 2 (2015),MONITOR YR. 3,STATUS,VEC,GIS,Topic
B,SW 13-9-16 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 13-9-16 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 18-9-15 W3M,Improved pasture,Scalping; weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SE 18-9-15 W3M,Cultivated,Subsidence,n/a,n/a,Monitor subsidence,Unresolved,,,
B,SW 17-9-15 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 17-9-15 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 16-9-15 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 16-9-15 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 16-9-15 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 15-9-15 W3M,Cultivated,Wind/water erosion,Erosion repaired and/or ESC implemented,Monitor erosion and/or ESC,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 15-9-15 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; compaction; subsidence,Unresolved,,,
B,SW 14-9-15 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,SW 14-9-15 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 14-9-15 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 13-9-15 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 13-9-15 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 13-9-15 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 18-9-14 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 18-9-14 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SE 18-9-14 W3M,Improved pasture,Compaction; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,SW 17-9-14 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 17-9-14 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 17-9-14 W3M,Cultivated,Wind/water erosion,n/a,Monitor subsidence,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 16-9-14 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 16-9-14 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
B,SW 15-9-14 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SE 15-9-14 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 14-9-14 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 14-9-14 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 14-9-14 W3M,Cultivated,Contouring,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SW 13-9-14 W3M,Improved pasture,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 13-9-14 W3M,Native prairie,Scalping; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 13-9-14 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 13-9-14 W3M,Improved pasture,Compaction; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction,Unresolved,,,
B,NE 13-9-14 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 18-9-13 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 18-9-13 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 17-9-13 W3M,Cultivated,Unable to complete full PCEM assessment*; Compaction; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor compaction; erosion and/or ESC,Unresolved,,,
B,NE 17-9-13 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 16-9-13 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 16-9-13 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 16-9-13 W3M,Cultivated,Silt fence and/or construction debris; Wind/water erosion,Silt fence and/or construction debris removed,Monitor erosion and/or ESC,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 15-9-13 W3M,Hay,Subsidence; Weed concerns,Subsidence repaired,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SE 15-9-13 W3M,Hay,Subsidence; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; subsidence,Unresolved,,,
B,SE 15-9-13 W3M,Native prairie,Contouring; Scalping; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC; scalping,Unresolved,,,
B,SW 14-9-13 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 14-9-13 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 14-9-13 W3M,Improved pasture,Compaction; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,SW 13-9-13 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 13-9-13 W3M,Improved pasture,Subsidence; Weed concerns,Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SW 18-9-12 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 18-9-12 W3M,Improved pasture,Scalping; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; scalping,Unresolved,,,
B,SW 17-9-12 W3M,Improved pasture,Scalping,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SE 17-9-12 W3M,Hay,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SW 16-9-12 W3M,Hay,Compaction; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction,Unresolved,,,
B,SE 16-9-12 W3M,Hay,Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 15-9-12 W3M,Cultivated,Compaction; Rutting; Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop; compaction; erosion and/or ESC; rutting,Unresolved,,,
B,SE 15-9-12 W3M,Cultivated,Subsidence,Subsidence repaired,Monitor subsidence,Monitor subsidence,Unresolved,,,
B,NE 10-9-12 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 10-9-12 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 3-9-12 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 3-9-12 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 2-9-12 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 2-9-12 W3M,Native prairie,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 2-9-12 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 1-9-12 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 1-9-12 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 1-9-12 W3M,Improved pasture,Subsidence,Subsidence repaired,Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SW 6-9-11 W3M,Hay,Subsidence; Weed concerns,Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SE 6-9-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 5-9-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 5-9-11 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 4-9-11 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop,Unresolved,,,
B,SE 4-9-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 3-9-11 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SE 3-9-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 2-9-11 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 35-8-11 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop,Unresolved,,,
B,SW 35-8-11 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop,Unresolved,,,
B,NW 26-8-11 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,SW 26-8-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 23-8-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 23-8-11 W3M,Cultivated,Compaction; Contouring;  Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction; contouring; erosion and/or ESC,Unresolved,,,
B,SE 23-8-11 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction,Unresolved,,,
B,SW 24-8-11 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 24-8-11 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 24-8-11 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop,Unresolved,,,
B,NW 19-8-10 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
B,NE 19-8-10 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NW 20-8-10 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 20-8-10 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 21-8-10 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 21-8-10 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 22-8-10 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 22-8-10 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; compaction; erosion and/or ESC; subsidence,Unresolved,,,
B,NW 23-8-10 W3M,Improved pasture,Compaction; Trench crowning; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC; trench crowning,Unresolved,,,
B,NE 23-8-10 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 24-8-10 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 24-8-10 W3M,Cultivated,Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 19-8-9 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 19-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 19-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 19-8-9 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 18-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 18-8-9 W3M,Improved pasture,Compaction; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,SE 18-8-9 W3M,Native prairie,Compaction; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,NE 7-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 8-8-9 W3M,Native prairie,Subsidence; Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; subsidence,Unresolved,,,
B,NE 8-8-9 W3M,Improved pasture,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,NW 9-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 9-8-9 W3M,Cultivated,Unable to complete full PCEM assessment*; Wind/water erosion,n/a,n/a,Complete PCEM assessment; Monitor erosion and/or ESC,Unresolved,,,
B,NW 10-8-9 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC; subsidence,Unresolved,,,
B,NW 10-8-9 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SW 15-8-9 W3M,Hay,Unable to complete full PCEM assessment*; Contouring,n/a,n/a,Complete PCEM assessment; Monitor contouring,Unresolved,,,
B,SE 15-8-9 W3M,Cultivated,Compaction; Subsidence; Wind/water erosion,Subsidence repaired,Monitor erosion and/or ESC,Monitor stunted crop; compaction; erosion and/or ESC; subsidence,Unresolved,,,
B,SW 14-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 14-8-9 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 14-8-9 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 14-8-9 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 13-8-9 W3M,Cultivated,Subsidence,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SW 13-8-9 W3M,Hay,Contouring; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring; erosion and/or ESC,Unresolved,,,
B,SE 13-8-9 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SW 18-8-8 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SE 18-8-8 W3M,Cultivated,Subsidence,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,NE 7-8-8 W3M,Cultivated,Compaction; Wind/water erosion,n/a,n/a,Monitor stunted crop; compaction; erosion and/or ESC,Unresolved,,,
B,NW 8-8-8 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 8-8-8 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 9-8-8 W3M,Hay,Silt fence and/or construction debris; Subsidence; Weed concerns,Silt fence and/or construction debris removed,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,NE 9-8-8 W3M,Cultivated,Subsidence,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 10-8-8 W3M,Improved pasture,Silt fence and/or construction debris; Weed concerns,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 10-8-8 W3M,Improved pasture,Silt fence and/or construction debris; Weed concerns,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 15-8-8 W3M,Improved pasture,Silt fence and/or construction debris; Subsidence; Weed concerns,Silt fence and/or construction debris removed,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SW 14-8-8 W3M,Improved pasture,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring; subsidence,Unresolved,,,
B,SW 14-8-8 W3M,Native prairie,Subsidence; Trench crowning; Weed concerns,Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; trench crowning,Unresolved,,,
B,SE 14-8-8 W3M,Improved pasture,Contouring; Silt fence and/or construction debris; Subsidence; Weed concerns,Silt fence and/or construction debris removed,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; contouring; subsidence,Unresolved,,,
B,SE 14-8-8 W3M,Native prairie,Scalping; Silt fence and/or construction debris,n/a,Remove silt fence and/or construction debris,Monitor seed catch; noxious and/or aggressive weeds; scalping,Unresolved,,,
B,SW 13-8-8 W3M,Improved pasture,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SE 13-8-8 W3M,Native prairie,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SW 18-8-7 W3M,Improved pasture,Unable to complete full PCEM assessment*; Subsidence,n/a,Monitor subsidence,Complete PCEM assessment; Monitor subsidence,Unresolved,,,
B,SE 18-8-7 W3M,Improved pasture,Contouring; Wind/water erosion,n/a,n/a,Monitor contouring; erosion and/or ESC,Unresolved,,,
B,SW 17-8-7 W3M,Cultivated,Unable to complete full PCEM assessment*; Subsidence,n/a,Monitor subsidence,Complete PCEM assessment; Monitor subsidence,Unresolved,,,
B,SW 17-8-7 W3M,Hay,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SE 17-8-7 W3M,Hay,Compaction; Contouring; Subsidence,Subsidence repaired,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; contouring; subsidence,Unresolved,,,
B,SW 16-8-7 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring,Unresolved,,,
B,SE 16-8-7 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 15-8-7 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 15-8-7 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
B,SE 15-8-7 W3M,Improved pasture,Contouring; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; contouring,Unresolved,,,
B,SW 14-8-7 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
B,SW 14-8-7 W3M,Improved pasture,Subsidence; Weed concerns; Wind/water erosion,Subsidence repaired,Monitor subsidence,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SE 14-8-7 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC,Unresolved,,,
B,SE 14-8-7 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
B,SW 13-8-7 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 13-8-7 W3M,Improved pasture,Weed concerns; Wind/water erosion,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,SE 13-8-7 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 18-8-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SE 18-8-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,SW 17-8-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 17-8-6 W3M,Improved pasture,Subsidence; Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,SW 16-8-6 W3M,Hay,Compaction; Weed concerns; Wind/water erosion,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; compaction; erosion and/or ESC,Unresolved,,,
B,SE 16-8-6 W3M,Improved pasture,Subsidence; Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds; subsidence,Unresolved,,,
B,NE 9-8-6 W3M,Cultivated,Subsidence; Wind/water erosion,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,SE 9-8-6 W3M,Improved pasture,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,SE 9-8-6 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
B,NE 4-8-6 W3M,Cultivated,Contouring; Wind/water erosion,n/a,n/a,Monitor stunted crop; contouring; erosion and/or ESC,Unresolved,,,
B,SE 4-8-6 W3M,Cultivated,Silt fence and/or construction debris; Wind/water erosion,Silt fence and/or construction debris removed,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 33-7-6 W3M,Cultivated,Subsidence,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 34-7-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 34-7-6 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 34-7-6 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 34-7-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 35-7-6 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
B,NE 35-7-6 W3M,Cultivated,Subsidence,n/a,n/a,Monitor stunted crop; subsidence,Unresolved,,,
B,NW 36-7-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 36-7-6 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 31-7-5 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
B,NE 31-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 31-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 30-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SE 30-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,SW 29-7-5 W3M,Cultivated,Subsidence,Subsidence repaired,n/a,Monitor stunted crop,Unresolved,,,
B,NW 20-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 20-7-5 W3M,Hay,Weed concerns,n/a,n/a,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NW 21-7-5 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
B,NE 21-7-5 W3M,Cultivated,Unable to complete full PCEM assessment*,n/a,n/a,Complete PCEM assessment,Unresolved,,,
B,NW 22-7-5 W3M,Hay,Subsidence; Weed concerns; Wind/water erosion,n/a,Monitor erosion and/or ESC,Monitor seed catch; noxious and/or aggressive weeds; erosion and/or ESC; subsidence,Unresolved,,,
B,NW 22-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 22-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NW 23-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop; erosion and/or ESC,Unresolved,,,
B,NE 23-7-5 W3M,Improved pasture,Weed concerns,n/a,Monitor seed catch; noxious and/or aggressive weeds,Monitor seed catch; noxious and/or aggressive weeds,Unresolved,,,
B,NE 23-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 24-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NE 24-7-5 W3M,Cultivated,Wind/water erosion,n/a,n/a,Monitor stunted crop,Unresolved,,,
B,NW 19-7-4 W3M,Cultivated,n/a,n/a,n/a,n/a,Resolved,,,
