Alignment Sheet#,Approx. KP,Legal Location,Land Use,Environmental Issues,Discipline (field planning),"AMEC PCEM Observations, 2013","AMEC PCEM Observations, 2014","AMEC PCEM Observations, 2015","Amec FW Observations, 2016","Amec FW Observations, 2017","Wood Observations, 2018",Repairs to date,Status                  (Resolved/            Unresolved),Recommended Mitigation Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
28,93+000,SW 19-7-30 W1,Pasture,Weeds,Terrestrial,,June 2014: Weedy on- and off- RoW.  Noxious weeds: Canada thistle.,Issue not identified.,,,,None recommended.,Resolved,,,,
28,93+060,NW 19-7-30 W1,Pasture,Weeds,Terrestrial,,June 2014: Off-RoW noxious weeds: Canada thistle.  No noxious weeds on-RoW.,"Area sprayed, issue not identified.",,,,Cultivated in September 2014.,Resolved,,,,
28,93+950,NW 19-7-30 W1,Crop,Rutting,Terrestrial,,June 2014: Deep rutting to subsurface.,Issue not identified.,,,,None recommended.,Resolved,,,,
28,94+260 to 94+510,NE 19-7-30 W1,Wetland (W-201) Rutting,,Wetland,,July 2014: Some erosion on pipeline RoW at wetland crossing.,"Landowner created rutting, but no erosion.","Part of drainage/creek, currently dry. Entire wetland seeded to soybeans with some cattails.  Currently showing as Class II wetland. Erosion is no longer evident. Issue can be considered resolved and no further monitoring is recommended at this wetland.",,,,Resolved,,,,
28,94+450,NE 19-7-30 W1,Wetland,Rutting,Wetland,,June 2014: erosion.,"Landowner created rutting, but no erosion.",Appears to be duplicate issue to KP 94+260-94+510. See line above.,,,,Resolved,,,,
29,97+400,NW 28-7-30 W1,Wetland,Debris,Wetland,,June 2014: Dewatering bag in wetland.,Issue not identified.,,,,Dewatering bag removed September 2014.,Resolved,,,,
29,94+800,NE 19-7-31 W1,Crop,"Rutting, debris",Terrestrial,,"June 2014: Debris on RoW, and tire rutting to subsurface.","Landowner created rutting, debris (old signs and posts).",No deficiencies noted.,,,Debris cleaned up in September 2014.,Resolved,,,,
29,95+550,SW 29-7-30 W1,Wetland (W-357),"Topsoil, incomplete reclamation",Wetland,,June 2014: Silt fence and soil stockpile left in wetland.,Issues not identified.,Some gulling observed due to the removal of  sediment fence without proper re-contouring. No active erosion. Gully not impeding the health and function of the wetland. Issue appears to be resolved.,,,Topsoil replaced - September 2014. silt fence removed 6 days after topsoil replacement and sediment settled.,Resolved,,,,
29,96+050 to 96+100,SW 29-7-30 W1,Wetland (W-359) Contouring,,Wetland,,July 2014: Uneven re-contouring of the wetland substrate.,Not assessed in 2015.,Vegetation has established similar to off RoW. Riparian on RoW affected by agricultural practices. Weeds on/off RoW. Continue to monitor.,,,Landowner installed drainage trench before pipeline installation. Restored back to previous contour.,Resolved,Continue wetland health and function monitoring in Year Five.,,,
29,96+200 to 97+150,SE-33-7-30 W1,Crop,Sunken trenches,Terrestrial,,,,Sunken trenches and issues described by Enbridge inspector were not observed during the August 2016 field surveys.,,,,Resolved,,,,
30,99+400,NE-33-7-30 W1,Crop,Vegetation establishment,Terrestrial,,"June 2014: Weedy RoW.  Lamb's quarters, foxtail barley.","Sparse vegetation, weedy on- and off-RoW.  May be some compaction on shoo-fly, but the area is low so sparse growth may be due to excess moisture.",Land use changed. Currently summerfallow. No issues noted.,,,"Mowed, disced, cultivated, August 2014 harrowed, rocks picked.",Resolved,,,,
30,99+740,NW 34-7-30-W1,Wetland (W-487) Subsidence,,Wetland,,June 2014: subsidence.,Issue not identified.,"Edge not recovered, and no cattails present on RoW compared to off RoW, however health and function has exceeded pre-construction conditions. Consider this issue resolved.",,,"Mowed, disced, cultivated, August 2014 harrowed, rocks picked.",Resolved,,,,
