Legal Location (W6),Land Use,1st Year (2013) Issue(s),KP,1st Year (2013) Discussion,2nd Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 11-79-11,Forested,High vegetation issues,15+950,Seedlings are present and vegetation cover is expected to improve in subsequent years.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Watercourse crossing - bank raps holding well, east bank vegetation 60% of off ROW and west slope 80% of off ROW, minor weeds observed at time of assessment (Canada thistle), continue to monitor • No subsidence noted at time of assessment • Minor erosion rills throughout tract that have good vegetation cover and are not affecting land use, continue to monitor","June 3, 2015 – Vegetation appears to be 90% of off ROW control, consisting of clover, timothy, fescue and brome grasses. - Erosion concerns, no longer evident with improved vegetation cover. Previously noted issues, including those at KP 15+450 and 15+800, are resolved. – Minimal weeds present such as dandelions, horsetail, vetch and Canada thistle. Comparable to off ROW, not affecting land capability. Continue to monitor. – Contouring of ROW consistent with natural topography. – Shrubby bog at KP15+580 to KP15+610 in the wetland-tracking list appears to have mature desirable wetland vegetation throughout. Soil, bed and banks are well saturated, hosting amphibious life.  Watercourse crossing – Unnamed creek flows steadily to the north with low turbidity. Wrapped cribbed bank walls appear in good condition. An abundance of foliage has established throughout watercourse banks. Tributary watercourse bed is stable. Recommend removing silt fences throughout watercourse crossing. Aug 1, 2015 – Removed silt fence on east and west banks of tributary to Henderson",,,
,,No issues observed,16+100,Natural wet area.,,"Creek crossing at KP 15+950. It appears that the occupant has transported in gravel and dumped it in the tributary to allow for his cattle to pass through easier and access other side for grazing. October 4, 2015 – ¼ has been grazed by cattle over the summer months. – Minimal weeds were noted throughout ¼ with exception of Canada thistle that was noted at the watercourse crossing at KP 15+900. Recommend herbicide application. October 6, 2015 – herbicide application conducted to control Canada thistle at KP 15+900.",,,
SE 10-79-11,Forested,High noxious weed issue,16+350,Canada Thistle observed on the ROW,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Minor rill erosion at 16+550, 16+700, 17+100, good vegetation growth and not affecting land use, monitor • No subsidence • No weeds observed at time of assessment","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013). Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.",,,
SE 10-79-11,Forested,High noxious weed issue,16+400,Three thistle patches of Canada thistle observed along the edge of ROW on the work side.,"May 27, 2014 • Vegetation cover 80-90% of off ROW • Minor rill erosion at 16+550, 16+700, 17+100, good vegetation growth and not affecting land use, monitor • No subsidence • No weeds observed at time of assessment","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013). Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.",,,
SE 10-79-11,Forested,Moderate erosion issue,16+700,"Erosion gully. Good vegetation cover. During the fall of 2013, additional erosion control measures were installed.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Minor rill erosion at 16+550, 16+700, 17+100, good vegetation growth and not affecting land use, monitor • No subsidence • No weeds observed at time of assessment","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013). Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.",,,
SE 10-79-11,Forested,Moderate erosion issue,17+150,"Slight rill erosion on ROW sparse vegetation in rill but the rest of the ROW is revegetating well. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 27, 2014 • Vegetation cover 80-90% of off ROW • Minor rill erosion at 16+550, 16+700, 17+100, good vegetation growth and not affecting land use, monitor • No subsidence • No weeds observed at time of assessment","June 4, 2015 – Vegetation estimated to be 100% of off ROW control. Consisting mostly of clover, and fescue, wheat and brome grasses.  – Roach stable over ditch line and well vegetated. – At KP16+700 erosion rills noted across ROW, not affecting land use or pipe integrity at this time. Continue to monitor.  – Erosion across ROW at KP 17+080 (likely the same issue that was noted at KP 17+150 in 2013). Repairs recommended.  August 1, 2015 - KP 17+080, erosion rill/washout repaired, monitor in 2016.   -  Herbicide application conducted to control Canada thistle.",,,
SW 10-79-11,Forested,No issues observed,17+450,The ROW is revegetating well.,"May 29, 2014 – 90-100% vegetation cover – No Subsidence observed – Minor weeds at time of assessment (Canada thistle) continue to monitor. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Minor ruts from recreational ATV (3rd party) use.","June 4, 2015 – Vegetation appears to be 100% of off ROW control. – Roach stable over ditch line and well vegetated. – Constructed cross drainages are mature and appear to be working effectively with wet areas on both sides of right of way flourishing. The bed and banks of the drainage courses are well vegetated with green native foliage throughout.  July 21, 2015 – Canada thistle and perennial sow thistle noted intermittently throughout tract. Recommend herbicide application. July 23, 2015 - Herbicide application conducted intermittently to control Canada thistle and perennial sow thistle.  August 1, 2015 – Additional herbicide application conducted to control regrowth of Canada thistle. October 6, 2015 – Small patches of Canada thistle were observed in the forested area of the ¼. Herbicide application conducted intermittently.",,,
SE 9-79-11,Forested,,,,,"June 3, 2015 – Vegetation appears to be 90 % of off ROW control consisting of clover, timothy and brome grasses.  – ROW contour consistent with natural topography. – ROW is forested to the south and has hay land to the north. – No fence present at time of assessment. Aug. 1, 2015 – Removed silt fence and synthetic wattles, as needed.  October 6, 2015 – Assessed weeds in this ¼. Small patches of Canada thistle were observed in the forested area of the ¼. Herbicide application conducted intermittently.",,,
NE 9-79-11,Forested,High noxious weed issue,18+550,"20 scentless chamomile plants were hand-picked, bagged and disposed of in an appropriate manner.","May 29, 2014 – 90-100% vegetation cover  – No issues with subsidence or erosion. – Minor ruts from recreational ATV (3rd party) use. – Picked 1 small plant of scentless chamomile at 18+550, Continue to monitor – No issues noted at drainages.","May 31, 2015 – Vegetation estimated to be 90 - 100% of ground cover on ROW compared to off ROW control. Some willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Contouring consistent with natural topography. – Rill erosion identified at KP 18+600, 18+880, and 18+900. Monitor. –Scentless chamomile was found at KP 18+600. A total of 32 juvenile plants were hand-picked, bagged and disposed of. Continue to monitor this area.  Aug 1, 2015 - – KP 18+600 – 2 scentless chamomile plants to picked, bagged, and disposed of. - KP 18+600, 18+880, and 18+900 - erosion riling concerns from spring assessments are well vegetated, stable and not effecting land use. Issues resolved. October 6, 2015 – Previously noted Scentless Chamomile in erosion rill at KP 18+600 appears to have been controlled by hand picking as there was no further evidence of chamomile in area, continue to monitor.",,,
NW 9-79-11,Forested,Moderate erosion issue,18+850,"Erosion gully observed. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rd party) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted. Repairs recommended. Aug 1, 2015 - – Removed erosion control materials at 18+960 and 19+400. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.",,,
NW 9-79-11,Forested,No issues observed,18+875,The ROW is revegetating well.,"May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rd party) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted. Repairs recommended. Aug 1, 2015 - – Removed erosion control materials at 18+960 and 19+400. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.",,,
NW 9-79-11,Forested,Moderate erosion issue,19+150,"Erosion gully observed on the ROW. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rd party) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted. Repairs recommended. Aug 1, 2015 - – Removed erosion control materials at 18+960 and 19+400. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.",,,
NW 9-79-11,Forested,Moderate erosion issue,19+500,"Gully across ROW with sparse vegetation within. Vegetation is establishing well outside of gully. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rd party) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted. Repairs recommended. Aug 1, 2015 - – Removed erosion control materials at 18+960 and 19+400. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.",,,
NW 9-79-11,Forested,Moderate erosion issue,19+600,"Small erosion gullies observed on the ROW During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 29, 2014 – 90-100% vegetation cover  - Based on observed vegetation cover, erosion issues noted at KP 19+150, 19+500, and 19+600 are resolved. – Minor ruts from recreational ATV (3rd party) use. – Minor erosion rills not affecting land use. Continue to monitor.","May 31, 2015 – Vegetation estimated to be 100% of ground cover on ROW compared to off ROW control. Willow and poplar saplings throughout. – Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – Cross-drainage at KP 19+000 and 19+185 functional with consistent vegetation cover. – Cross-drainages at KP 19+390 and 19+655 – erosion noted. Repairs recommended. Aug 1, 2015 - – Removed erosion control materials at 18+960 and 19+400. – KP 19+390 and 19+655 – Repairs completed, monitor in 2016 and repair or remove erosion control materials as needed.",,,
NE 8-79-11,Forested,Moderate erosion issue,19+800,"Erosion gully observed across ROW. During the fall of 2013, additional erosion control measures were installed and the area was reseeded.","May 29, 2014 – Good vegetation (90%)  – Erosion at 19+800, continue to monitor.  – Patch with no growth; L/O seeded with oats in hay land (20+500); Monitor. - Minor subsidence still observed at Spectra crossing at KP 19+950; not affecting land use; continue to monitor","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control. – Ditch line has small roach evident with good vegetation cover. – Noted subsidence at ROW crossing at KP 19+950, not effecting land use. Continue to monitor. September 24, 2015 - KP 20+210, erosion rill observed along north boundary of ROW, repairs recommended.",,,
NE 8-79-11,Forested,High microtopography (subsidence) issue,19+950,"Subsidence at crossing of Spectra Line (cracks along edges. During the fall of 2013, subsidence was repaired.","May 29, 2014 – Good vegetation (90%)  – Erosion at 19+800, continue to monitor.  – Patch with no growth; L/O seeded with oats in hay land (20+500); Monitor. - Minor subsidence still observed at Spectra crossing at KP 19+950; not affecting land use; continue to monitor","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control. – Ditch line has small roach evident with good vegetation cover. – Noted subsidence at ROW crossing at KP 19+950, not effecting land use. Continue to monitor. September 24, 2015 - KP 20+210, erosion rill observed along north boundary of ROW, repairs recommended.",,,
,,Moderate vegetation issues,20+100,Seedlings present and vegetation cover is expected to improve in subsequent years.,,"September 25, 2015 - KP 19+800, erosion rills, repairs recommended. - KP 19+815 and 19+885, subsidence. Repairs recommended. - Weather conditions prevented the completion of repairs in 2015, these repairs are scheduled for completion during the 2016 growing season. - Intermittent Canada thistle observed. Recommend herbicide application September 25, 2015 - – herbicide application conducted intermittently to control Canada thistle.",,,
,Hayland,High noxious weed issue,20+350,"Perennial sow thistle observed on the ROW. During the summer of 2013, weed control measures were implemented.","May 29, 2014 –.  – Good vegetation (90%). - Based on vegetation cover noted, ponding no longer an issue at KP 20+525, issue resolved. – No weeds, subsidence or erosion observed.","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control.",,,
,Hayland,"Moderate surface drainage (ponding) and microtopography issue, moderate vegetation issues",20+525,"Dip in field with temporary, intermittent ponding causing bare patches. During the fall of 2013, topsoil was redistributed and reseeded.","May 29, 2014 –.  – Good vegetation (90%). - Based on vegetation cover noted, ponding no longer an issue at KP 20+525, issue resolved. – No weeds, subsidence or erosion observed.","May 31, 2015 – Vegetation estimated to be 95% of ground cover on ROW compared to off ROW control.",,,
,Cultivated,No issues observed,20+550,The seeded crop is comparable to the control.,,"May 31, 2015 – Landowner has cultivated land across ROW at KP 20+570 to 20+670. Soil color appears consistent throughout tract. Crop is starting to grow. Monitor crop growth in 2016.",,,
NW 8-79-11,Hayland,High noxious weed issue,21+300,"Perennial sow thistle observed on the ROW. During the summer of 2013, weed control measures were implemented.","May 29, 2014 – Good vegetation (90%)  – No issues with subsidence or erosion – No noxious weeds noted Watercourse Crossing – Minor weeds (Canada Thistle); continue to monitor. – Creek looks good; creek banks holding up well.","May 31, 2015 – Vegetation estimated to be 95% of off ROW control. –Small amounts of Canada thistle found throughout tract, not affecting land use. Continue to monitor. – No ROW fence. – Tributary at KP 20+850. The cribbed banks appear stable and foliage is growing abundantly throughout crossing. Creek bed has solid foundation with rock. Continue to monitor. – No signs of erosion or subsistence within tract.  September 25, 2015 - Canada thistle observed, intermittent herbicide application conducted.",,,
NE 7-79-11,Hayland,Moderate erosion and vegetation issue,21+750,"Rill erosion causing isolated bare patches. During the fall of 2013, erosion controls measures were installed, topsoil was replaced and the area was reseeded.","May 29, 2014 – Good vegetation (90-100%)  - Based on the observed vegetation coverage the erosion and bare patches noted at KP 21+750 are resolved. – No weeds at time of assessment – No issues with subsidence or erosion","May 30, 2015 - Vegetation on ROW is 90-100% comparable to off ROW control. - ROW is not fenced. - No subsidence or erosion issues evident within tract.",,,
NE 7-79-11,Hayland,No issues observed,22+000,The ROW is revegetating well.,"May 29, 2014 – Good vegetation (90-100%)  - Based on the observed vegetation coverage the erosion and bare patches noted at KP 21+750 are resolved. – No weeds at time of assessment – No issues with subsidence or erosion","May 30, 2015 - Vegetation on ROW is 90-100% comparable to off ROW control. - ROW is not fenced. - No subsidence or erosion issues evident within tract.",,,
SE 7-79-11,Forested,No issues observed,22+100,The ROW is revegetating well.,"May 29, 2014 – Vegetation at 70% with patches of 50%. Continue to monitor.","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% compared to off ROW",,,
SE 7-79-11,Forested,No issues observed,22+300,The ROW is revegetating well.,"May 29, 2014 – Vegetation at 70% with patches of 50%. Continue to monitor.","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% compared to off ROW",,,
,,No issues observed,22+600,The ROW is revegetating well.,"– Diversion berms are in great condition. – No issues with subsidence, erosion, or weeds.","control with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, avens and willow species. Continue to monitor - Drainage at (KP 22+060) appears stable with good vegetation establishment within. Willows starting to establish. Recommend removing exposed plastic matting. - No erosion or subsidence evident within tract. July 7, 2015 - KP 22+570, Canada thistle observed. Recommend herbicide application. - Removed plastic matting at seasonal drainage at KP 22+060 July 10, 2015 - KP 22+570 – herbicide application conducted to control Canada thistle. August 24, 2015 Herbicide appeared to have killed approximately 70% of Canada thistle. Recommend re-applying herbicide in fall September 25, 2015 – Herbicide application conducted to control Canada thistle at KP 22+570.",,,
SW 7-79-11,Forested,Moderate erosion issue,22+950,"Natural drainage area, small erosion rill observed on the ROW. During the fall of 2013, additional erosion controls measures were installed and the area was reseeded.","May 29, 2014 – Vegetation at 70% with patches of 50%. On west ½ of quarter. Continue to monitor. – East ½ of quarter 80-90% Vegetation cover  – 80% vegetation on west slope of drainage and 50% on east slope. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Signs and marker posts required at Pembina crossing at 23+175","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% comparable to off ROW with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover, avens and willow species. Continue to monitor. - Canada thistle is evident in sparse patches throughout ROW; likely to be outcompeted by native species development. Continue to monitor. - ATV rutting (3rd party) evident along south part of ROW. - Minor subsidence noted from KP 23+000 to KP23+060. Limited vegetation coverage, but does not appear to be affecting land use at this time monitor. - CNRL pipeline crossing recently disturbed, lack of vegetation growth. Cleanup not complete, monitor. - Drainage (KP 22+750 and 22+950) appears stable at time of assessment. Vegetation is establishing within, silt fences and straw waddles are functioning well. Erosion rill evident between straw waddles within drainage at 22+750, additional waddles recommended. The stable, well vegetated drainage at KP 22+950 indicates that the 2013 erosion and vegetation issues are resolved. - Remove steel pegs from drainages at KP 22+750, 22+900, KP 22+970, and KP 23+250 - Drainage at (KP 23+250) is functioning well at this time. Vegetation is starting to establish down slopes leading to drainage. Rollback on east-facing slope appears stable, but ATV rutting is evident through rollback and through drainage. Minor erosion evident south of drainage but exhibits vegetation establishment. Diversion berms on slopes are stable with good vegetation establishing at this time. Recommend removal of exposed plastic matting. Based on the observed improved vegetation the 2013 issue of limited vegetation cover is resolved. July 7, 2015 – KP 22+750 and KP 23+250 – additional waddles installed. added and steel pegs removed - KP 22+750, 22+900, 22+970, and 23+250 – steel pegs removed. September 25, 2015 - Canada thistle observed, herbicide application conducted to control. - Install signs and marker posts at KP 23+175 (Pembina crossing) in 2016.",,,
SW 7-79-11,Forested,Moderate vegetation issues,22+950,Vegetation cover is expected to improve in subsequent years.,"May 29, 2014 – Vegetation at 70% with patches of 50%. On west ½ of quarter. Continue to monitor. – East ½ of quarter 80-90% Vegetation cover  – 80% vegetation on west slope of drainage and 50% on east slope. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Signs and marker posts required at Pembina crossing at 23+175","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% comparable to off ROW with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover, avens and willow species. Continue to monitor. - Canada thistle is evident in sparse patches throughout ROW; likely to be outcompeted by native species development. Continue to monitor. - ATV rutting (3rd party) evident along south part of ROW. - Minor subsidence noted from KP 23+000 to KP23+060. Limited vegetation coverage, but does not appear to be affecting land use at this time monitor. - CNRL pipeline crossing recently disturbed, lack of vegetation growth. Cleanup not complete, monitor. - Drainage (KP 22+750 and 22+950) appears stable at time of assessment. Vegetation is establishing within, silt fences and straw waddles are functioning well. Erosion rill evident between straw waddles within drainage at 22+750, additional waddles recommended. The stable, well vegetated drainage at KP 22+950 indicates that the 2013 erosion and vegetation issues are resolved. - Remove steel pegs from drainages at KP 22+750, 22+900, KP 22+970, and KP 23+250 - Drainage at (KP 23+250) is functioning well at this time. Vegetation is starting to establish down slopes leading to drainage. Rollback on east-facing slope appears stable, but ATV rutting is evident through rollback and through drainage. Minor erosion evident south of drainage but exhibits vegetation establishment. Diversion berms on slopes are stable with good vegetation establishing at this time. Recommend removal of exposed plastic matting. Based on the observed improved vegetation the 2013 issue of limited vegetation cover is resolved. July 7, 2015 – KP 22+750 and KP 23+250 – additional waddles installed. added and steel pegs removed - KP 22+750, 22+900, 22+970, and 23+250 – steel pegs removed. September 25, 2015 - Canada thistle observed, herbicide application conducted to control. - Install signs and marker posts at KP 23+175 (Pembina crossing) in 2016.",,,
SW 7-79-11,Forested,Moderate vegetation issues,23+250,"Drainage channel with woody debris on west slope, east slope is bare. Vegetation cover is expected to improve in subsequent years.","May 29, 2014 – Vegetation at 70% with patches of 50%. On west ½ of quarter. Continue to monitor. – East ½ of quarter 80-90% Vegetation cover  – 80% vegetation on west slope of drainage and 50% on east slope. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Signs and marker posts required at Pembina crossing at 23+175","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% comparable to off ROW with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover, avens and willow species. Continue to monitor. - Canada thistle is evident in sparse patches throughout ROW; likely to be outcompeted by native species development. Continue to monitor. - ATV rutting (3rd party) evident along south part of ROW. - Minor subsidence noted from KP 23+000 to KP23+060. Limited vegetation coverage, but does not appear to be affecting land use at this time monitor. - CNRL pipeline crossing recently disturbed, lack of vegetation growth. Cleanup not complete, monitor. - Drainage (KP 22+750 and 22+950) appears stable at time of assessment. Vegetation is establishing within, silt fences and straw waddles are functioning well. Erosion rill evident between straw waddles within drainage at 22+750, additional waddles recommended. The stable, well vegetated drainage at KP 22+950 indicates that the 2013 erosion and vegetation issues are resolved. - Remove steel pegs from drainages at KP 22+750, 22+900, KP 22+970, and KP 23+250 - Drainage at (KP 23+250) is functioning well at this time. Vegetation is starting to establish down slopes leading to drainage. Rollback on east-facing slope appears stable, but ATV rutting is evident through rollback and through drainage. Minor erosion evident south of drainage but exhibits vegetation establishment. Diversion berms on slopes are stable with good vegetation establishing at this time. Recommend removal of exposed plastic matting. Based on the observed improved vegetation the 2013 issue of limited vegetation cover is resolved. July 7, 2015 – KP 22+750 and KP 23+250 – additional waddles installed. added and steel pegs removed - KP 22+750, 22+900, 22+970, and 23+250 – steel pegs removed. September 25, 2015 - Canada thistle observed, herbicide application conducted to control. - Install signs and marker posts at KP 23+175 (Pembina crossing) in 2016.",,,
SW 7-79-11,Forested,No issues observed,23+400,The ROW is revegetating well.,"May 29, 2014 – Vegetation at 70% with patches of 50%. On west ½ of quarter. Continue to monitor. – East ½ of quarter 80-90% Vegetation cover  – 80% vegetation on west slope of drainage and 50% on east slope. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Signs and marker posts required at Pembina crossing at 23+175","May 30, 2015 - Vegetation on ROW is appears to be approximately 70 - 80% comparable to off ROW with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover, avens and willow species. Continue to monitor. - Canada thistle is evident in sparse patches throughout ROW; likely to be outcompeted by native species development. Continue to monitor. - ATV rutting (3rd party) evident along south part of ROW. - Minor subsidence noted from KP 23+000 to KP23+060. Limited vegetation coverage, but does not appear to be affecting land use at this time monitor. - CNRL pipeline crossing recently disturbed, lack of vegetation growth. Cleanup not complete, monitor. - Drainage (KP 22+750 and 22+950) appears stable at time of assessment. Vegetation is establishing within, silt fences and straw waddles are functioning well. Erosion rill evident between straw waddles within drainage at 22+750, additional waddles recommended. The stable, well vegetated drainage at KP 22+950 indicates that the 2013 erosion and vegetation issues are resolved. - Remove steel pegs from drainages at KP 22+750, 22+900, KP 22+970, and KP 23+250 - Drainage at (KP 23+250) is functioning well at this time. Vegetation is starting to establish down slopes leading to drainage. Rollback on east-facing slope appears stable, but ATV rutting is evident through rollback and through drainage. Minor erosion evident south of drainage but exhibits vegetation establishment. Diversion berms on slopes are stable with good vegetation establishing at this time. Recommend removal of exposed plastic matting. Based on the observed improved vegetation the 2013 issue of limited vegetation cover is resolved. July 7, 2015 – KP 22+750 and KP 23+250 – additional waddles installed. added and steel pegs removed - KP 22+750, 22+900, 22+970, and 23+250 – steel pegs removed. September 25, 2015 - Canada thistle observed, herbicide application conducted to control. - Install signs and marker posts at KP 23+175 (Pembina crossing) in 2016.",,,
SE 12-79-12,Forested,Moderate erosion issue,23+750,"Erosion rills observed. Erosion control measures intact and functional. During the fall of 2013, additional erosion control measures were installed.","May 29, 2014 – No subsidence or weed issues. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Vegetation at 70% with patches of 50%. Continue to monitor.","May 30, 2015 - Vegetation on ROW appears to be approximately 70 - 80% comparable to off ROW control with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover and willow species. Continue to monitor. - ATV rutting (3rd party) evident along the southern portion of ROW. - Diversion berms throughout tract leading to meter station appear stable with good vegetation establishing within. No erosional issues evident at this time. - Drainage at (KP 23+750) appears stable at this time. Vegetation is established within. Silt fences and straw waddles appear to be functional at this time. No erosion evident within drainage. Recommend and removing steel pegs within waddles and continue to monitor for native vegetation growth. 2013 erosion issue noted at KP 23+750 is resolved. - No subsidence evident within tract. July 7, 2015 - Removed steel pegs at KP 23+750 September 25, 2015 - Canada thistle observed, intermittent herbicide application conducted.",,,
SE 12-79-12,Forested,Moderate vegetation issues,23+750,Vegetation cover is expected to improve in subsequent years.,"May 29, 2014 – No subsidence or weed issues. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Vegetation at 70% with patches of 50%. Continue to monitor.","May 30, 2015 - Vegetation on ROW appears to be approximately 70 - 80% comparable to off ROW control with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover and willow species. Continue to monitor. - ATV rutting (3rd party) evident along the southern portion of ROW. - Diversion berms throughout tract leading to meter station appear stable with good vegetation establishing within. No erosional issues evident at this time. - Drainage at (KP 23+750) appears stable at this time. Vegetation is established within. Silt fences and straw waddles appear to be functional at this time. No erosion evident within drainage. Recommend and removing steel pegs within waddles and continue to monitor for native vegetation growth. 2013 erosion issue noted at KP 23+750 is resolved. - No subsidence evident within tract. July 7, 2015 - Removed steel pegs at KP 23+750 September 25, 2015 - Canada thistle observed, intermittent herbicide application conducted.",,,
SE 12-79-12,Forested,No issues observed,23+950,The ROW is revegetating well.,"May 29, 2014 – No subsidence or weed issues. – Minor erosion rills throughout tract not affecting land use. Continue to monitor. – Vegetation at 70% with patches of 50%. Continue to monitor.","May 30, 2015 - Vegetation on ROW appears to be approximately 70 - 80% comparable to off ROW control with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grass, rushes, clover and willow species. Continue to monitor. - ATV rutting (3rd party) evident along the southern portion of ROW. - Diversion berms throughout tract leading to meter station appear stable with good vegetation establishing within. No erosional issues evident at this time. - Drainage at (KP 23+750) appears stable at this time. Vegetation is established within. Silt fences and straw waddles appear to be functional at this time. No erosion evident within drainage. Recommend and removing steel pegs within waddles and continue to monitor for native vegetation growth. 2013 erosion issue noted at KP 23+750 is resolved. - No subsidence evident within tract. July 7, 2015 - Removed steel pegs at KP 23+750 September 25, 2015 - Canada thistle observed, intermittent herbicide application conducted.",,,
