Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-L50,Treed swamp,"September 19, 2014 - Wetland located from KP 35+420 to KP 35+920 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Cross-drains installed along ditchline appear to be functional.","June 20, 2015  - Treed Swamp located between kp 35+420 and kp 35+920 contains riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional.   - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed swamp located between KP 35+420 and KP 35+920. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-L40,Low vegetation establishment,"September 19, 2014 - Vegetation showing healthy re-establishment, grass species, willow, wild rose, alder no issues (20% cover ditchline, 50% ROW).","June 20, 2015  - Vegetation establishment appears to be 70-80% comparable to off ROW control. Vegetation consisting mainly of wetland species and deciduous species’.  2013 and 2014 vegetation cover issues resolved. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - Recommend removal of silt fences on either side of wetland at KP 36+350 and KP 36+540. - No subsidence or erosional issues evident in tract. July 16, 2015  - 5 scentless chamomile plants at KP 36+530 within wetland area were handpicked, bagged and removed from ROW. - Removed silt fence and steel pegs within straw waddles on both sides of wetland at KP 36+350 and 36+540.  Issue resolved. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees and shrubs growing throughout.   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Tributary was well vegetated and appeared to be stable. No evidence of erosion or slumping was observed.  - Collected and removed straw plastic netted waddles from ROW along the southern bank of the tributary KP 36+400. Area was well vegetated and appeared to be stable at the time of removal.  Issue resolved.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Lower vegetation density in organic peat soil areas.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 36+550 – Herbicide application conducted to control scentless chamomile and perennial sow thistle. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - KP 36+500 – Straightened and secured marker posts and signage. Reinstalled fallen post. - KP 37+300 – Straightened and secured marker posts and signage. Reinstalled fallen post.",,,
94I-14-L40,Treed fen,Wetland located from KP 35+920 to KP 36+330 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Cross-drains installed along ditchline appear to be functional.,"June 20, 2015  - Treed Fen located between kp 35+920 and kp 36+330 contains riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional.   - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed fen located between KP 35+920 and KP 36+330. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Wetland has proper functional condition.  Issue resolved.",,,
94I-14-L40,Peat-accumulating marsh,"Wetland located from KP 36+330 to KP 36+430 is holding water, contains emergent and submergent riparian vegetation and appears functional. Channelized flow present along ditchline at 36+400, draining across ROW.","June 20, 2015  - Peat-accumulating Marsh located between kp 36+330 and kp 36+430 contains riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional.   - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Peat-accumulating marsh located between KP 36+330 and KP 36+430. - Emergent and submergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Open water present along ditchline throughout wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-L40,"Rare plant - Iowa golden saxifrage (S2S3) – KP 36+300 On August 23, 2013, rare plant specialists visited the location. No plants were located. However, the rare plant habitat was observed in the area. Unresolved: Recommend further monitoring in 2015 after rare plants have had sufficient time to re-establish.","September 5, 2014 - Target species not observed. Post-construction contours and habitat on the ROW are similar to off ROW conditions.  Mitigation measures appear to have effectively restored target species habitat. Resolved.  No further monitoring is recommended",,,,,
,"Rare plant - western Jacob's ladder (S4) – KP 36+300 On August 23, 2013, rare plant specialists visited the location and observed 50 to 100 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-14-L30,Low vegetation establishment,"September 19, 2014 - Subsidence noted. Predominate wetland species (common Labrador tea, black spruce) ditchline <20% ROW 50%.","June 20, 2015  - Vegetation establishment appears to be 80% comparable to off ROW control with areas exhibiting thinner cover likely attributed to heavier densities of mulch. 2013 and 2014 vegetation cover issues resolved. -  Patch of perennial sow thistle found at KP 37+050. Recommend herbicide application. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - Excessive rollback evident at KP 37+300 and appears to be inhibiting vegetation development. Continue to monitor for vegetation growth. July 16, 2015  - Herbicide application conducted at KP 37+050 to control perennial sow thistle. - Removed silt fence and steel pegs within straw waddles on either side of wetlands at KP 37+330 and 37+400. Issue resolved. September 26,2015  - Vegetation continues to establish along the ROW with numerous willows small shrubs. Conifer seedlings were observed throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Minor subsidence along the ditch line was noted between KP 37+582 and KP 37+621.  80 cm of cover was hand probed.  Recommend monitoring following spring thaw to determine extent of feature following soil stabilization. - Collected and removed silt fence with stakes from northern boundary of drainages (KP 37+230). Issue resolved. - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed, exhibiting excellent growth.  - Lower vegetation density in organic peat soil areas.  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 37+300 – non-classified drainage down from beaver dam is functioning well with slow flow across ROW. - KP 37+100 – Herbicide application conducted to control perennial sow thistle on ditch line. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - subsidence noted in 2015 at KP 37+582 and 37+621 are not inhibiting land use, no work was recommended, issues resolved.",,,
94I-14-L30,Peat-accumulating marsh,"September 19, 2014 - Wetland located from KP 37+290 to KP 37+390 is holding water, contains emergent and submergent riparian vegetation re-establishment and appears functional. Channelized section of wetland across ditchline is allowing water to flow and draining well across the ROW.","June 20, 2015  - Peat-accumulating Marsh located between kp 37+290 and kp 37+390 contains emergent riparian vegetation.  - Flowing water across ROW present at kp 29+000.  - Wetland has proper functional condition. Issue resolved.  - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Peat-accumulating marsh located between KP 37+290 and KP 37+390. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of open water located within wetland. - Wetland has proper functional condition.  Issue resolved.",,,
94I-14-L20,Low vegetation establishment,"September 19, 2014 - Silt fence at KP 37+800 can be removed, the roll back along this section is promoting good establishment of woody species.","June 20, 2015  - Vegetation establishment appears to be 70-80% cover on ROW. ROW exhibiting approximately 40-50% vegetation cover from KP 38+400 to 38+550 in organic peat soil. Continue to monitor vegetation growth. - Patch of perennial sow thistle found at KP 38+060. Recommend herbicide application. - Subsidence present at KP 38+060. Recommend filling in subsidence with excess ROW material. - Marker post floating in naturally flooded wetland area at KP 38+150. Recommend re-installing marker post when accessible. - Mounding appears to be functioning well as access control in tract at KP 38+200. - Roach appears stable with good vegetation establishment; cross drains are functioning well. July 17, 2015  - Herbicide application conducted at KP 38+030 to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. - Filled in subsidence area with excess ROW material at KP 38+060 to assist in promoting vegetation growth. Slopes leading into bell hole subsidence were reduced to help slow velocity inflow of water.  Issue resolved. September 26, 2015  - Vegetation was continuing to establish with small trees and willows observed throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Assessed previously backfilled subsidence, appeared to be stable, Small volume of water in the base of the feature.  - Previous herbicide application appears to be successful. No noxious or prohibited noxious weeds were observed.  - Foreign pipeline ROW crossings appeared to be well vegetated and did not appear to be impacting TCPL ROW.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Lower vegetation density in organic peat soil areas.  - Cross drains are vegetated and functioning.  - Previous subsidence repair at KP 38+060 is stable with vegetation beginning to encroach into repair area. Issue resolved. - 38+150 – marker posts down and floating do to ponding water on south side of road crossing.  - 38+200 to 38+400 – Herbicide application conducted to control perennial sow thistle in ditch.  September 27, 2016 - KP 38+000 to 38+150 – Herbicide application conducted to control perennial sow thistle in ditch.  - Vegetation continues to establish, exhibiting good growth. No issues. - Straightened and secured marker posts and signage throughout tract, including KP 38+150, issue resolved.",,,
94I-14-L20,Treed bog,"September 19, 2014 - Wetland located from KP 37+390 to KP 39+490 is holding water, contains emergent riparian vegetation re-establishment and appears functional. Well drained areas also present with no standing water. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 20, 2015   - Treed Bog located between kp 37+390 and kp 39+490 has standing water along ROW and contains submergent and emergent riparian vegetation.  - Wetland has proper functional condition. Issue resolved.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Bare patches of peat and mulch present along ROW.","Sept 27, 2016 - Treed bog located between KP 37+390 and KP 39+490. - Emergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-L19,Low vegetation establishment,"September 19, 2014 - Mounding along this track has been effective, positive establishment of shrubs.","June 20, 2015  - Vegetation establishment appears to be 80-85% comparable to off ROW control.  2013 vegetation cover issue resolved. - Patch of perennial sow thistle found at KP 38+830. Recommend herbicide application. - Roach exhibiting thin vegetation cover in areas (50%) but appears stable; cross drains are functioning well. - Fixed marker sign at KP 38+830. Issue resolved. - No subsidence or erosional issues evident in tract. July 17, 2015  - Patch of perennial sow thistle in wetland area at KP 38+830 was handpicked. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees observed. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign winter crossing did not appear to be impacted vegetation density or ground cover through the TCPL ROW  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 39+100 – herbicide application conducted to control perennial sow thistle on ditch line. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - KP 38+800 – Straightened and secured marker posts and signage at winter road crossing.",,,
94I-14-L19,"Rare plant - western Jacob's ladder (S4) – KP 38+900 On August 23, 2013, rare plant specialists visited the location and observed 3 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-14-L9,Low vegetation establishment,"September 19, 2014 - Healthy re-establishment of vegetation on both ditchline and ROW. 2013 vegetation cover issue resolved.","June 20, 2015  - Vegetation establishment appears to be 80-90% comparable to off ROW control consisting predominantly of wetland species’, native grasses and deciduous species’. - No weed issues evident within tract. - Exhibiting thinner vegetation cover in some areas (50%) but appears to be stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees observed. - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Drainage appeared to be well vegetated and stable.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Lower vegetation density in organic peat soil areas.  - No noxious weeds identified. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94I-14-L8,Low vegetation establishment,"September 19, 2014 - Healthy re-establishment of vegetation on both ditchline and ROW. 2013 vegetation cover issue resolved. October 3, 2014 - Utilized hand tools and material from the ROW to fill in the hydrovac hole located at KP 40+350. Approximately 0.6 meters of fill was added to the hydrovac hole. Area around the hole was staked out and flagged once repairs were completed.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over ROW. ROW exhibiting approximately 40-50% vegetation cover from KP 39+450 to 39+620 in organic peat soils. Continue to monitor for vegetation growth over bare areas. - Patch of perennial sow thistle found at road crossing from KP 40+015 to KP 40+570. Recommend implementing weed control. - Previous year subsidence repair at KP 40+350 is holding water at this time. Recommend further backfill with excess ROW material to reduce ponding. - Re-installed marker sign at KP 40+415. Issue resolved. - Roach is well vegetated and appears stable with cross drains functioning well. July 17, 2015  - Herbicide application conducted intermittently from 40+015 to 40+570 to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. - Previous subsidence repair at KP 40+360 was further backfilled due to ponding water with excess ROW materials.  Issue resolved. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small shrubs growing throughout.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign pipeline and road crossings appeared to be stable with no subsidence or erosion observed.   - Material appeared to have further subsided at KP 40+350, perimeter of feature suggests that it may be unstable. Recommend reassessment following winter freeze to determine stability of feature.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed in the vicinity of the herbicide application.","June 20, 2016 - KP40+350 subsidence repair, no additional subsidence observed.  Issue resolved. July 23, 2016 Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Lower vegetation density in organic peat soil areas. Vegetation cover has improved compared to 2015.  2015 vegetation issue resolved (KP 39+450 to 39+620). - Wetlands and cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 39+900, KP 40+000, and KP 40+230 to 40+280 – herbicide application conducted to control perennial sow thistle.  September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No issues. - KP 39+950, KP 40+300, and KP 40+400 – Straightened and secured marker posts and signs. - KP 40+150 – herbicide application conducted to control perennial sow thistle at road crossing.",,,
a-8-L/94-I-14 to c-97-E/94-I-14,Peat-accumulating marsh,"September 19, 2014 - Wetland located from KP 40+600 to KP 41+000 is holding water, contains emergent riparian vegetation and appears functional.  Beaver activity in the area is influencing hydrology along the ROW and is causing water to pond. Hole was observed at 40+850 that appears to be a hydrovac hole left over from construction probed for depth of cover no concerns, however should be filled in.","June 21, 2015  - Vegetation establishment appears to be 85-90% cover over ROW. Vegetation consisting of wetland species’, native grasses and deciduous species’. - Patch of perennial sow thistle present at KP 40+730. Recommend implementing weed control. - Roach is well vegetated appearing stable with cross drains functioning well. - Unable to locate previously noted hydrovac hole at KP 40+850; natural processes appear to have remediated issue. Issue resolved. - No subsidence or erosional issues evident within tract. July 17, 2015  - Patch of perennial sow thistle in wetland area at KP 40+730 was handpicked. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees including conifers observed during the assessment.    - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. - Tract is all wetlands and cross drains which are vegetated and functioning, comparable to adjacent lands. - No subsidence or erosion issues. September 27, 2016- Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - Perennial sow thistle no longer present, issue resolved. -  Peat-accumulating marsh located between KP 40+600 and KP 41+000. - Emergent and submergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Open water found throughout wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-E97,,,"June 21, 2015  - Vegetation establishment appears to be 65-70% cover over ROW. - Patch of perennial sow thistle present at KP 41+415. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts and signs down in open water wetland areas at KP 40+800 and KP 40+970. Recommend re-installing posts and signs when accessible. July 17, 2015  - Herbicide application conducted at KP 40+415 to control perennial sow thistle. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees including conifers observed during the assessment.   - Moss Creek crossing appeared to be stable and well vegetated.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No Noxious or prohibited noxious weeds were observed.  - Silt fence was collected and removed from the southern boundary of the water crossing. KP 40+880. Issue resolved.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Lower vegetation density in organic peat soil areas.  - Tract has a large wetland and drainage system, which is fully vegetated and functioning, comparable to adjacent lands.   - No subsidence or erosion issues. - KP 41+400 – herbicide application conducted to control perennial sow thistle. September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.",,,
94I-14-E87,Peat-accumulating marsh,"September 19, 2014 - Ditchline cover 60% ROW 100%. Wetland is holding water, contains emergent and submergent riparian vegetation and appears functional. Channelized section of wetland across ditchline is allowing water to flow and draining well across the ROW.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over ROW with some areas exhibiting thinner cover likely attributed to heavier densities of mulch. Vegetation consisting of wetland species’, native grasses, wild rose and deciduous species’. - Patch of perennial sow thistle present at KP 41+770 and KP 41+900. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts and sign down at KP 41+900 in wet area. Recommend re-installing when accessible. - Open water wetland with slow water flow at KP 42+180 appears stable. Marker posts down on southeast grass establishment. Recommend re-installing marker posts when accessible and removing silt fences on both sides of open-water wetland. July 17, 2015  - Herbicide application conducted from KP 41+770 to 42+460 to control perennial sow thistle. - Removed silt fence from both banks of open-water wetland at KP 42+460.  Issue resolved. September 26, 2015  - Vegetation continues to establish along the ROW with numerous willows and small trees observed during the assessment.    - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - Tributary to moss creek appeared to be stable and well vegetated with no erosion or slumping observed.  - No integrity concerns were noted.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Lower vegetation density in organic peat soil areas.  - Wetlands and cross drains are vegetated and functioning, comparable to adjacent lands.   - No subsidence or erosion issues. - Tributary at KP 42+250 – is amongst a wetland and drainage system. Water level is high, with little flow. - KP 41+800 to 41+900 – herbicide application conducted to control perennial sow thistle on ditch line.  September 27, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - Peat-accumulating marsh located between KP 42+200 and KP 42+320. - Emergent and submergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of open water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-E86,Treed bog,"September 19, 2014 - Wetland located from KP 42+600 to KP 43+200 is holding water and appears functional. • Establishment of emergent and submergent riparian vegetation present along ROW. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 21, 2015  - Vegetation establishment appears to be 70-75% comparable to off ROW control. Vegetation consisting predominantly of wetland species’. - Patch of perennial sow thistle evident at KP 42+720. Recommend implementing weed control. - Roach appears stable with good vegetation establishment; cross drains are functioning well. Some minor settling of roach evident in tract within wetland areas. September 26, 2015 -  - Vegetation continues to establish along the ROW with numerous willows and small trees observed during the assessment.   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - No subsidence or erosion issues. - Intermittent herbicide application to perennial sow thistle on ditch line. September 28, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - Treed bog located between KP 42+600 and KP 43+200. - Emergent riparian vegetation present throughout wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-E76,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing healthy re-establishment, ditchline cover 60% ROW 100%.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over ROW. Vegetation consisting predominantly of wetland species’. 2013 vegetation cover issue resolved. - Perennial sow thistle evident through entire tract. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts down at KP 43+100. Recommend re-installing marker posts when accessible. - Minor screw anchor subsidence evident in tract at KP 43+700. Not affecting land-use at this time, issue resolved. July 17, 2015  - Herbicide application conducted throughout tract to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. September 26, 2015 -  - Vegetation continues to establish along the ROW with numerous willows and small trees observed during the assessment.    - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign access road crossing located at KP 42+832 appeared to be stable. Vegetation was establishing throughout the access road   - No erosion or subsidence observed. - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed.  - Lower vegetation density in organic peat soil areas.  - Wetlands and cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 42+800 – 43+300 – intermittent herbicide application conducted to control perennial sow thistle on both sides of a foreign road crossing.  September 28, 2016 s- KP 43+100 – straightened and secured marker posts. - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.",,,
94I-14-E76,Treed fen,"September 19, 2014• Wetland located from KP 43+340 to KP 45+080 is holding water and appears functional. Establishment of emergent and submergent riparian vegetation present along ROW. Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.","June 21, 2015  - Treed Fen located between kp 43+340 and kp 45+080 contains submergent and emergent riparian vegetation.  - Large sections of peat and mulch present along ROW within wetland area.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Wetland has proper functional condition. Issue resolved.","Sept 28, 2016 - Treed fen located between KP 43+340 and KP 45+080. - Emergent riparian vegetation present throughout wetland. - Spruce saplings establishing along ROW boundaries. - Intermittent areas of open water located within wetland. - Wetland has proper functional condition. Issue resolved",,,
94I-14-E66,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing healthy re-establishment. 2013 vegetation cover issue resolved.","June 21, 2015  - Vegetation establishment is 70-75% comparable to off ROW control. ROW exhibiting 40% cover from 44+500 to 44+750. Vegetation consisting predominantly of wetland species’. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts down at KP 44+180 in wet area. Recommend re-installing posts when accessible. - No subsidence or erosional issues evident in tract. September 26, 2015  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Lower vegetation density in organic peat soil areas.  - No noxious weeds identified. - No subsidence or erosion issues. - KP 44+200 – New access road to adjacent foreign pipeline activity. One piece of matting was left in place over top of TCPL ditch line.  September 28, 2016 - KP 44+200 – Deep rutting and ponding water at foreign access road, which crosses the HRML cabin section. Mat left behind.  - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.",,,
94I-14-E66,"Rare plant - western Jacob's ladder (S4) – KP 44+300. On August 23, 2013, rare plant specialists visited the location and observed 8 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-14-E66,"Rare plant - European water hemlock (S2S3) – KP 44+400. On August 23, 2013, rare plant specialists visited the location and observed 3 plants. Resolved: No further monitoring is recommended.",,,,,,
94I-14-E56,Moderate vegetation establishment,"September 19, 2014 - Poor cover over ditchline < 10%, however good cover over the rest of the ROW. 2013 vegetation cover issue resolved.","June 21, 2015  - Vegetation establishment is 70-75% comparable to off ROW control. - Vegetation cover on roach is approximately 30-40% compared to ROW and exhibiting some minor settlement in wetland areas with cross drains functioning well. - Re-installed marker posts at KP 45+115. - Minor screw-anchor subsidence throughout tract, currently not affecting land-use, issue resolved. September 26, 2016  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Non classified drainage located at 44+993.5 appeared to be stable and well vegetated - Winter access road located at KP 45+122 appeared to be stable and well vegetated.  - No Noxious or prohibited noxious weeds were observed.","July 23, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No noxious weeds were identified. - No subsidence or erosion issues. September 28, 2016 - KP 45+130 – Straightened and secured marker posts and signage and cathodic protection posts.  - KP 45+000, 45+100 – removed skids. - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.",,,
,Rare plant - European water hemlock (S2S3) - East of KP 45+100 - Temp Access Road. No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Species not observed during site visit; however recorded GPS location of the pre-disturbance population is located on a proposed access not used during construction. No suspected Project related effects to the pre-disturbance population. Resolved. No further monitoring is recommended.",,,,,
,Rare plant - western Jacob's ladder (S4) - East of KP 45+100 - Temp Access Road. No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Species observed during site visit (5 individuals). Recorded GPS location of the pre-disturbance population is located on a proposed access not used during construction. No suspected Project related effects to the pre-disturbance population. Resolved. No further monitoring is recommended.",,,,,
,Rare plant - jack pine lodgepole pine hybrid - East of KP 45+100 - Temp Access Road. No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Species could not be positively identified during site visit as diagnostic features of the plants reproductive structures (cones) could not be observed; however, the recorded GPS location of the pre-disturbance population is located on a proposed access not used during construction. No suspected Project related effects to the pre-disturbance population. Resolved. No further monitoring is recommended.",,,,,
94I-14-E55,Shrubby fen,"September 19, 2014 - Wetland located from KP 45+500 to KP 45+870 is well drained and not holding water.  Wetland is establishing emergent vegetation throughout. Margins of emergent vegetation growth are dry likely due to time of year of assessment. Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover compared to off ROW control. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well.","July 24, 2016 - 80-90% vegetation established within tract compared to off ROW. - Tract predominately vegetated by wetland species and is inundated with standing water. - No noxious weeds observed during assessment. September 28, 2016 - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues. - Shrubby fen located between KP 45+500 and KP 45+870. - Emergent and submergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Intermittent areas of standing water located within wetland. - Wetland has proper functional condition. Issue resolved.",,,
94I-14-E45,Moderate vegetation establishment,"September 19, 2014 - Healthy re-establishment of vegetation on ROW, ditchline 30% cover, no issues. 2013 vegetation cover issue resolved.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover compared to off ROW control. Vegetation consisting predominantly of wetland and deciduous species’. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. July 17, 2015  - Herbicide application conducted at KP 46+100 to control perennial sow thistle. September 26, 2015  - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs growing throughout the ROW  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Non classified drainage appeared to be stable and well vegetated  - Foreign access road and pipeline crossings appeared to be stable with no erosion or subsidence and are not impacting TCPL ROW.","July 24, 2016 - 80-90% vegetation established compared to off ROW. - Intermittent bare patches present within tract, monitor. - Marker posts at KP 46+700 have fallen over within wetland. Recommend repairs.  - Perennial Sow Thistle plants observed at KP 46+100, primarily along ditchline. Herbicide application conducted to control. September 28, 2016 - KP 46+700 - Straightened and secured marker posts and signage. Issue resolved. - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.",,,
