Legal Location (W6),Land Use,2012 PCMP Recommendation(s),2013 PCRM Assessment and Work Completed,2014 PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,2016 PCRM Assessment and Work Completed,VEC,GIS,Topic
SE 4-66-7,Treed,"Monitor in 2013 and, if warranted, repair. Reseed at KP 26.88 and monitor in 2013. If warranted, install erosion control measures. Monitor vegetation growth in 2013.",KP 26+100 Good regeneration,"• June 18, 2014: • 85-90% vegetation cover on ROW compared to off ROW control with some extensive areas exhibiting thinner vegetation. Good establishment of willow and deciduous species in sections along ROW. • One bull thistle identified within tract. Hand-removed noxious weed and bagged it.  • Removed silt fencing stakes that were piled on the edge of ROW at KP 26+070. • Cross drains within tract functioning well with good vegetation proliferation within. One exception of poor water drainage within cross drain KP 26+700 with ponding water on ditchline. Cross drain was hand dug at time of assessment to remediate ponding water. • No erosion, subsidence or contour issues evident within tract at time of assessment.","• June 4, 2015: • Vegetation is 90-95% compared to off ROW control with some areas exhibiting thinner vegetation cover. • Minor ponding evident across ROW at KP 26+700. Area appears to be a natural low area. Vegetation indicative of wet conditions such as bulrush and scouring rushes. No issues at this time, issue resolved. • Cross drains within tract appear stable with good vegetation growth and no evident ponding issues a time of assessment, ponding issue noted in 2014 at KP 26+700 is resolved. • No subsidence, erosion or contour issues evident within tract.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. Good establishment of willows, rosebushes and poplar saplings. Previous issue, including those noted in 2012, 2014, and 2015, with vegetation cover is resolved. • No noxious weeds identified.  • No erosion or subsidence issues. Subsidence noted in 2012 is no longer evident, issue resolved. • KP 26+400 and 26+700 - ponding across ROW has re-appeared, but is stable with wetland vegetation well established, issue resolved. • Cross drains through tract appear stable with good vegetation growth. • August 16, 2016: • meadow hawkweed individuals were observed throughout ¼. Herbicide applied to control. • Bull thistle no longer present, issue resolved.",,,
SE 4-66-7,Drainage (D6),None.,,• No issues noted. ,• No issues noted. ,• No issues noted. ,,,
NW 33-65-7,Treed,Monitor vegetation growth in 2013.,,"• June 18, 2014: • Majority of ROW exhibits 90% vegetation cover on ROW compared to off ROW control Good establishment of willow and deciduous species in sections along ROW.  • Canada thistle found within tract.  • Cross drain functioning well with good vegetation proliferation within. No erosion, subsidence or contour issues evident within tract at time of assessment.","• June 4, 2015: • 90% vegetation establishment compared to off-ROW control. • Cross drains are functioning and well vegetated.  • No noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation cover issues are resolved. Good establishment of willows, rosebushes and poplar saplings. No noxious weeds identified.  • No erosion or subsidence issues. • August 16, 2016: • Several meadow hawkweed individuals were observed throughout ¼. Herbicide applied to control. • Canada thistle no longer present, issue resolved.",,,
NE 33-65-7,Treed,Monitor vegetation growth in 2013.,,"• June 18, 2014: • Majority of ROW exhibits 90-95% vegetation cover compared to off ROW control. Good establishment of willow and deciduous species in sections along ROW.  • Scentless chamomile found within tract. They were hand-picked and bagged. Perennial sow thistle present within tract;  • Erosion evident at KP 27+047 at the edge of spoil side on ROW, recommend repairs. • Removed several steel pegs from straw waddles within tract. • June 26, 2014 – intermittent herbicide application conducted between KP 27+025 and 27+800 to control Canada thistle, perennial sow thistle, and scentless chamomile. • July 14, 2014 – Erosion repair at KP 27+047 completed. • July 23, 2014: • broadleaf vegetation within areas of herbicide application exhibit significant wilting, thorough affects within areas treated. Grasses indicate slight stressing within this area of herbicide application • KP 27+300 – scentless chamomile identified on either side of drainage within 30m setback, recommend hand picking. • September 19, 2014 – intermittent herbicide application conducted to control Canada Thistle.","• June 4, 2015: • 90% vegetation establishment compared to off-ROW control. • Erosion repairs from previous years, at KP 27+047, work are functioning and in good condition. Issue resolved. • No noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation issues are resolved. Good establishment of willows, rosebushes and poplar saplings.  • No noxious weeds identified.  • No erosion or subsidence issues. • August 16, 2016: • Several meadow hawkweed individuals were observed throughout ¼. Herbicide applied to control. • Scentless chamomile, perennial sow thistle, and Canada thistle are no longer present, issues resolved.",,,
NE 33-65-7,Drainage (D7),"Monitor in 2013 and, if warranted, repair.",KP 27+300 and 27+600 Removed silt fencing and all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 18, 2014 – Cross drain D7 at KP 27+330 exhibits minor subsidence on both south and north banks - monitor. Good vegetation establishment seems to have stabilized banks.","• June 4, 2015: • Some ponding occurring over ditchline at Drainage 7, but water is flowing off-ROW. • Banks of Drainage 7 exhibit slumping, but are well vegetated, issue is resolved.","• June 23, 2016 – Drainage bed and banks are stable. Subsidence previously noted, first in 2012, has not impeded the recovery of the ROW, issue resolved.",,,
SE 33-65-7,Treed,"Monitor vegetation growth in 2013. Monitor weeds in 2013 and, if warranted, implement weed control measures.",,"• June 18, 2014: • Majority of ROW ~85-90% vegetation establishment compared to off ROW. Cross drains and diversion berms functioning well with vegetation establishing. Weeds (scentless chamomile) noted on ROW. • 27+850 removed steel pins from cross drain straw waddle. • KP 28+430, poor contouring on ditchline within cross drain. Slight depression providing potential for ponding of water. Vegetating well no issues at this time. • June 26, 2014 – intermittent herbicide application conducted between KP 27+800 and 28+800 to control scentless chamomile. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected.","• June 4, 2015: • 90% vegetation establishment compared to off-ROW control. • Minor bare patches of present along Ditchline. • Cross drains and diversion berms are functioning and well vegetated. • No noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation issues are resolved. Good establishment of willows, rosebushes and poplar saplings. No noxious weeds identified.  • No erosion or subsidence issues.  • Issue noted in 2014 within cross drain at KP 28+430, no longer evident, issue resolved. • August 16, 2016: • meadow hawkweed was observed throughout ¼. Herbicide applied to control. • Scentless chamomile noted in 2012 and 2014 is no longer present, issue resolved.",,,
NE 28-65-7,Treed,Monitor vegetation growth in 2013.,KP 29+000 Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 18, 2014: • Majority of ROW exhibits ~85-90% vegetation establishment compared to off ROW. Cross drains functioning well with vegetation establishing. Some ponding water, most exhibiting minimal flow. Removed steel pins from straw waddles.  • KP 29+450 2 bull thistle found and removed. Tall buttercup also located. • June 26, 2014 – intermittent herbicide application conducted between KP 28+800 and 29+450 with herbicide to control tall buttercup. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected.","• June 5, 2015: • 90% vegetation establishment compared to off-ROW control. • Cross drains are functioning and well vegetated with some minor ponded water draining out. • Bare soil and ponding water present at KP 29+000, recent new foreign line crossing, continue to monitor. • Bare soil present at KP 29+350, recent new foreign line crossing, continue to monitor. • No Noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation issues are resolved. Good establishment of willows, rosebushes and poplar saplings. No noxious weeds identified.  • No erosion or subsidence issues. • Cross drains are vegetated and functioning, issues with ponding water are resolved. • Foreign line crossing disturbances (KP 29+000 and 29+350) are stable with no significant erosion. Vegetation is establishing, issues resolved. • August 16, 2016: • meadow hawkweed was observed throughout. Herbicide applied to control. A small patch of scentless chamomile (3-4 plants) was handpicked and bagged for disposal. • Tall buttercup and bull thistle are no longer present, issues resolved.",,,
SE 28-65-7,Treed,Monitor vegetation growth in 2013.,,"• June 18, 2014: • Majority of ROW exhibits ~95% vegetation establishment compared to off ROW. Cross drains functioning well with vegetation establishing, some exhibiting minimal flow.  • KP 29+450 Removed steel pins from straw waddle at cross drain.  • Scentless chamomile noted on ROW.  June 26, 2014 – intermittent herbicide application • conducted between KP 29+450 and 30+325 to control scentless chamomile. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration.","• June 5, 2015: • 90-95% vegetation establishment compared to off-ROW control. • Cross drains are functioning and well vegetated. • No noxious weeds observed within tract during assessment.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. 2012 vegetation issues are resolved. Good establishment of willows, rosebushes and poplar saplings. No noxious weeds identified.  • No erosion or subsidence issues.  • Cross drains are vegetated and stable. • KP 29+600 – Hydrovac hole identified at foreign pipeline crossing was filled in. Issue resolved. • August 17, 2016: • meadow hawkweed was observed throughout ¼. Herbicide applied to control. • Scentless chamomile no longer present, issue resolved.",,,
NE 21-65-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, implement weed control measures.","KP 31+225  Natural regeneration very weak (Jack pine stand) - Clover is the only species growing KP 31+300 – Valve Site Large number of weeds (Scentless, Ox eyed Daisy and Hawk weed was observed at the Valve site. Sprayed - assess success in 2014.","• June 18, 2014: • Majority of ROW exhibits 80-90% vegetation compared to off ROW control. Areas of reduced vegetation cover were noted and are associated with high levels of woody debris – these areas are re-vegetating, but just a slower rate. • One scentless chamomile identified on ditchline on south side of valve site. Plant was picked and bagged, continue to monitor. • June 26, 2014 – intermittent herbicide application conducted between KP 30+325 and 31+400 to control scentless chamomile.  • July 23, 2014: • Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • Scentless chamomile at KP 30+730 to 30+ 880. Spraying is recommended. Majority of area identified was not previously sprayed. Scentless chamomile at KP 31+120, picked and bagged (1 plant). Continue to monitor. • July 28, 2014: • scentless chamomile was handpicked and bagged for disposal. Approximately 0.75 large garbage bags were picked from location. • Intermittent herbicide application conducted between KP 30+250 and 30+660 to control Scentless Chamomile. • September 19, 2014 – intermittent herbicide application conducted to control Canada thistle.","• June 5, 2015: • 90% vegetation establishment compared to off-ROW control. • Minor bare patches of present along ditchline. • Cross drains are functioning and well vegetated.  • No noxious weeds observed within tract or within valve station located at KP30+780.","• June 23 2016: • Good establishment of grasses and native vegetation, consistent with off right of way (2013 issue of species composition is resolved). 2012 vegetation cover issue is resolved. No noxious weeds were identified within this tract. • Area around valve station (KP 30+780) has been disturbed by recent construction. This disturbed area will be monitored as a part of that pipeline’s PCM program • August 17, 2016: • meadow hawkweed was observed throughout ¼. Herbicide applied to control. • Scentless chamomile and ox-eyed daisy no longer present, issues resolved.",,,
SE 21-65-7,Treed,Monitor vegetation growth in 2013.,,"• June 19, 2014: • Majority of the ROW exhibits ~90% vegetation establishment compared to off ROW. Deciduous species establishing well • Scentless chamomile identified.  • June 26, 2014 – intermittent herbicide application conducted between KP 31+400 and 31+475 to control scentless chamomile. • July 23, 2014: • Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • Scentless chamomile at KP 31+420 on roadway at Pipeline crossing. Herbicide was not previously sprayed on roadway. Continue to monitor. • July 29, 2014 – Previously assessed Scentless Chamomile along road crossing at KP 31+425 was picked and bagged.","• June 5, 2015: • 90% vegetation establishment compared to off-ROW. • No noxious weeds observed within tract during assessment.","• June 24, 2016 – Good establishment of grasses and native vegetation, consistent with off right of way. 2012 vegetation cover issue is resolved. No noxious weeds were identified within this tract. • August 17, 2016: • No noxious weeds observed. • Scentless chamomile no longer present, issue resolved.",,,
SW 22-65-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, implement weed control measures.","KP 31+500 Scentless chamomile was spotted along the right-of-way at same location as last year, requires picking and spraying. KP 31+600 Artesian Flow Water coming to surface on centerline in bottom of a seasonal drain, monitor for pipeline integrity issues. KP 31+500 to KP 33+000 Weeds spot Sprayed.","• June 19, 2014: • Majority of ROW exhibits ~95% vegetation establishment compared to off ROW. Good establishment of native grasses across ROW. Conifer species emerging and deciduous species establishing. Cross drains functioning effectively with vegetation establishing. Some water present. • Ponding water adjacent to pipeline on workside and spoil side of ditchline at side bend - continue to monitor. • Scentless chamomile picked and bagged. • June 26, 2014 – intermittent herbicide application conducted between KP 31+475 and 32+250 to control scentless chamomile. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected.","• June 5, 2015: • Vegetation is 90-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover. Vegetation consisting of native grasses, clover, rush, Indian paintbrush as well as coniferous, poplar and willow species. • Previous year spraying activities appear to have been effective as no noxious weeds were found. • Ponding on west side of ROW at side bend at KP 31+750 appears to be draining off ROW effectively as a result of hand digging work. Good vegetation is developing within drainage. East side of ditchline exhibits more ponding but appears to be draining off ROW effectively. • KP 31+600 – groundwater flow issue noted in 2013, no longer evident, issue resolved. • Cross drains within tract appear to be functioning effectively and exhibit good vegetation establishment within. • No subsidence, erosion or contour issues evident within tract.","• June 24, 2016: • Good establishment of grasses, shrubs and willows along right of way, consistent with off right of way. 2012 and 2015 vegetation cover issues are resolved. No noxious weeds were identified within this tract. • KP 31+750, ponding no longer evident, issue resolved. • August 17, 2016: • intermittent meadow hawkweed patches were observed throughout ¼. Herbicide applied to control. • Scentless chamomile no longer present, 2012 issue is resolved.",,,
SE 22-65-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, redistribute woody debris.",KP 31+500 to KP 33+000 Weeds spot Sprayed.,"• June 19, 2014: • ~80-85% vegetation establishment compared to off ROW. Good establishment of grasses across ROW. Many thinly vegetated areas mainly on ditchline.  • ATV activity evident throughout tract - defined trail. • KP 32+050 - Cross drain exhibiting minor erosion on ROW across spoil side and ditchline, continue to monitor. • KP 32+600 Ponding water along spoil side of ditchline. No cross drain present- continue to monitor, no work required at this stage. • July 23, 2014 – Scentless chamomile at KP 31+120, picked and bagged (1 plant). Continue to monitor.","• June 5, 2015: • Vegetation on ROW is 85-90% comparable to off ROW control with some areas showing thinner vegetation cover. Vegetation consisting of native grasses, clover, rush, Indian paintbrush as well as coniferous, poplar and willow species. • Patch of perennial sow thistle found at KP 32+400. Recommend implementation of control measures. • Could not locate previously assessed ponding at 32+600; issue appears to have been remediated naturally. Issue resolved. • New pipeline construction evident along north boundary of ROW throughout tract. • Cross drains appear to be functioning well within tract and are exhibiting good vegetation cover. • No subsidence, erosion or contour issues evident. • September 20, 2015 – herbicide application conducted to control perennial sow thistle at KP 32+400.","• June 24, 2016: • Good establishment of grasses, native vegetation, willows, shrubs, aspen and evergreen, consistent with off right of way. 2012 and 2014 vegetation cover, and associated woody debris, issues are resolved. No noxious weeds were identified within this tract. • Adequate drainage across right of way. • ATV activity no longer noted, issue resolved. • August 17 and 19, 2016: • meadow hawkweed was observed throughout ¼. Herbicide applied to control. • Scentless chamomile and perennial sow thistle are no longer present, issues resolved.",,,
SE 22-65-7,Rare Plant (northern moonwort),,"KP 32+350 On August 8, 2013 Rare Plant Specialists visited the location and observed northern moonwort off the right-of-way. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
SW 23-65-7,Treed,"Monitor vegetation growth in 2013 and, if warranted, reseed.",,"• June 19, 2014: • ~85-90% vegetation establishment as opposed to off ROW. Good establishment of grasses across ROW. Areas of surface material disturbance having less vegetation cover at time of assessment. Cross drains functioning effectively with vegetation establishing. Some water present. Conifer species emerging and deciduous species establishing.  • KP 33+455, minor ponding water on work side of ditchline - no cross drainage – continue to monitor. • KP 35+620, thistle and scentless chamomile identified at South end of tract • June 26, 2014 – intermittent herbicide application conducted between KP 33+075 and 33+700 to control thistle and scentless chamomile. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration. Grasses mainly unaffected. • September 19, 2014 – intermittent herbicide application conducted to control Canada thistle.","• June 5, 2015: • Vegetation on ROW appears to be 90% comparable to off ROW control. Vegetation consisting of native grasses, clover, Indian paintbrush as well as coniferous, poplar and willow species. • One bull thistle found on ditchline at KP 33+690. Plant was handpicked and removed. • Recent NGTL pipeline construction ends at KP 33+600. ROW has been recently disturbed from KP 33+300 to 33+400. This disturbed area will be monitored as a part of that pipeline’s PCM program. • No subsidence, erosion or contour issues evident within tract. • August 30, 2015 – Observed a patch of bull thistle at 33+620 recommend fall herbicide application. • September 20, 2015 – Intermittent herbicide application conducted to control perennial sow thistle and bull thistle.","• June 24, 2016: • Good establishment of grasses, native vegetation, willows, shrubs, and evergreen, consistent with off right of way. 2012 vegetation cover issue resolved. No noxious weeds were identified within this tract. • Recent NGTL pipeline construction ends at KP 33+600. ROW has been recently disturbed from KP 33+300 to 33+400. This disturbed area will be monitored as a part of that pipeline’s PCM program. • KP 33+455 – ponding noted in 2014, no longer evident, issue resolved. • August 19, 2016: • meadow hawkweed was observed throughout ¼. Herbicide applied to control. • Canada thistle, scentless chamomile, bull thistle, and perennial sow thistle no longer present, issues resolved.",,,
NW 14-65-7,Treed,Monitor vegetation growth in 2013.,KP 34+790 No Issues noted.,"• June 19, 2014 – 85-90% vegetation cover on ROW compared to off ROW control. Good establishment of willow, deciduous species along ROW. Natural regrowth of spruce noted along sections of ROW indicating effective, successful succession after disturbance. • June 26. 2014 – Herbicide applied between KP 33+700 and 34+500 to control Thistle. • July 23, 2014 – Previously sprayed herbicide applied intermittently throughout this tract appears successful. Broad leafed species within areas sprayed showing signs of health degradation in the form of wilting and discoloration.","• June 5, 2015: • Vegetation is 85-90% comparable to off ROW control. Vegetation consisting of native grasses, clover, poplar and willow species. • Patch of scentless chamomile found within tract from KP 34+440 to KP 34+400. Recommend spraying. • Minor erosion within cross drain at KP 34+370. Drainage appears stable and exhibits good vegetation establishment; water is draining off ROW effectively. No further work required, issue is resolved. • No subsidence evident within tract. • July 10, 2015 – intermittent herbicide application conducted to control Noxious weeds. • August 30, 2015: • Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species. • A patch of perennial sow thistle at KP 33+930. Recommend fall herbicide application. • September 20, 2015 – Intermittent herbicide application conducted to control perennial sow thistle and scentless chamomile.","• June 24, 2016: • Good establishment of grasses, native vegetation, willows, aspen, shrubs, and evergreen, consistent with off right of way. 2012 vegetation cover issue is resolved. • A patch of Tall Buttercup was observed at KP 34+060. Recommend herbicide application. • July 14, 2016 – herbicide application conducted (spot spraying) to control tall buttercup at KP 20+670. • August 19, 2016: • patches of meadow hawkweed were observed throughout ¼. Herbicide applied to control. • Canada thistle, scentless chamomile, and perennial sow thistle no longer present, issues resolved",,,
NW 14-65-7,W6Drainage (D8),"Monitor in 2013 and, if warranted, repair.",KP 34+000 Minor subsidence – monitor in 2014 to determine if repairs are required. KP 34+000 - Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 19, 2014: • Ephemeral draw (KP 33+970) shows good vegetation proliferation. Minor subsidence on north and south banks. Possible minor erosion on north side of draw with good vegetation establishment within. Continue to monitor. Removed silt fencing stakes that were piled on east edge of ROW within draw. • Cross drains functioning well with good vegetation with one exception, KP 34+370, which exhibits minor erosion, monitor. Removed steel pegs at this drainage.","• June 5, 2015: • drainage stable and draining water off ROW effectively. Vegetation establishment is good within drainage. Subsidence on both north and south slopes remains as previously assessed in 2014 with good vegetation development, issue resolved. • Erosion no longer evident at KP 34+370, issue resolved.","• June 24, 2016 – drainage exhibiting minor slumping, first noted in 2012, no change to conditions; no safety or pipe integrity concerns, with land capability comparable to adjacent lands. Soil conditions remain stable with good vegetation establishing in and around minor slumping, issues resolved. Minor rutting is evident attributed to recreational ATV activity.",,,
SW 14-65-7,Treed,Reseed at KP 34.66 and KP 35.26 and monitor in 2013. Monitor vegetation growth in 2013.,KP 34+920 Rare Plant Area All rare plant areas are recovering very well,"• June 19, 2014: • 90-95% vegetation cover on ROW compared to off ROW control. Good establishment of willow and deciduous species in sections along ROW. Cross drain functioning well within tract exhibiting good vegetation proliferation within • Tall buttercup found within tract. Weeds were hand-picked and bagged. • Removed steel pegs from drainage. • KP 34+610 Diversion berm exhibits minor rill erosion, monitor. • June 26, 2014 – Tall buttercup present from kp 34+900 to kp 35+350 within rare plant area. Noxious weeds were handpicked. Continue to monitor. • July 23, 2014 – Previous remedial efforts (hand picking of buttercup) achieved desired control of noxious weeds. Buttercup was not identified within tract. Continue to monitor.","• June 9, 2015: • Vegetation is 95% comparable to off ROW control. Areas of the tract exhibit good establishment of woody vegetation. No Noxious/Prohibited weeds observed. • Intermittent patches of reduced vegetation along the ROW. Average vegetative cover in these areas is 70%. Continue to monitor. • Cross drainages and seasonal drainages within the tract are functioning and well vegetated. • An area of erosion rills was observed at 34+610. Monitor. • August 30, 2015 – Noxious weeds were not observed in this tract and it was not previously sprayed in 2015.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. Good establishment of willows, wild rose bushes and poplar saplings. Vegetation cover issues noted in 2012 and 2015, no longer evident, issue resolved. • No erosion or subsidence issues. Erosion previously noted at KP 34+610 (2014 and 2015), 34+660 (2012), and 35+260 (2012) no longer evident, issues resolved. • ATV ruts through tract. • Tall buttercup identified in patches and intermittently throughout ROW. • July 28, 2016 – Tall buttercup with a lot of emerging plants was identified on East side of ROW at 34 +900. Herbicide was not applied due to proximity to rare plant populations. 2 bags of Tall buttercup were picked and bagged within the rare plant area 34+700 to 35+500.",,,
,,,,,," • August 19, 2016: • intermittent meadow hawkweed patches were observed throughout 1/4. Herbicide applied to control. No weeds observed within proximity to rare plant location. • Although still present, tall buttercup was reduced in extent from approximately 450 m in 2014 to one location in 2016.",,,
,Rare Plant (northern moonwort),,"KP 34+700 to 35+500 On August 8, 2013 Rare Plant Specialists visited the location and observed northern moonwort along the east boundary of the right-of-way as well as ascending grape fern. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
,Tributary to Cutbank River (WC14),None.,KP 34+700 Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 19, 2014 – minor subsidence on north and south bank. Minor slumping evident along ditchline indicated by deeper ponding of water. Vegetation establishing on slopes. Minimal flow evident within tributary at time of assessment.","• June 9, 2015: • Well vegetated. - Minor flow observed. • Banks are stabile with no erosion observed. • Subsidence, previously noted, observed is well vegetated and consistent with previous condition. It is not inhibiting the recovery of the ROW. Issue resolved. • No Noxious/Prohibited weeds observed. • Pipeline markers are absent. Recommend installing.","• June 24, 2016: • Tributary is stable and densely vegetated with minimal flow. No issues. • Pipeline markers are absent. Recommend installing. • September 14, 2016 – Installed signs and marker posts on both sides of WC14, issue resolved.",,,
,Tributary to Cutbank River (WC15),None.,KP 35+100 Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.,"• June 19, 2014 – minor slumping on north bank. ATV rutting evident on east end of tributary on edge of ROW. Exceptional vegetation establishment on both banks. Amphibians using tributary as habitat. Bed and bank appear stable at time of assessment.","• June 9, 2015: • Well vegetated. Minor flow observed. • Banks are stabile with no erosion observed. • Subsidence, previously noted, observed is well vegetated and consistent with previous condition. It is not inhibiting the recovery of the ROW. Issue resolved - No Noxious/Prohibited weeds observed. • Amphibians observed. • Pipeline markers are absent. Recommend installing.","• June 24, 2016: • Tributary is stable and densely vegetated with minimal flow. No issues. • Pipeline markers are absent. Recommend installing. • September 14, 2016 – Installed signs and marker posts on both sides of WC15, issue resolved.",,,
NW 11-65-7,Treed,None.,,"• June 19, 2014: • 90% vegetation cover on ROW compared to off ROW control. Good establishment of willow and deciduous species along ROW.  • Tall buttercup found intermittently throughout tract. Weeds were hand-picked and bagged.  • Cross drains functioning well at time of assessment with no ponding and good vegetation establishment. Removed several steel pegs from straw waddles within tract. • June 26, 2014 – Tall buttercup present from kp 34+900 to kp 35+350 within rare plant area. Noxious weeds were handpicked. Continue to monitor.","• June 9, 2015: • Vegetation is 95% comparable to off ROW control. • Rutting and erosion were not observed. • Tall buttercup were picked and disposed of at KP 35+665 and 35+860. Monitor and implement additional weed control measures as required. • July 10, 2015 – intermittent herbicide application conducted to control tall buttercup from KP 35+300 to 36+100.  • August 30, 2015 – Previous herbicide application throughout this tract appears successful. Visible signs of health degradation were noted in target species. No additional noxious weeds were identified.","• June 23, 2016: • Vegetation is well established with desirable species throughout ROW. Good establishment of willows, wild rose bushes and poplar saplings.  • No erosion or subsidence issues. ATV ruts through tract. • Tall buttercup identified in patches and intermittently throughout ROW. Recommend herbicide application. • July 14, 2016 – herbicide application conducted (spot spraying) to control tall buttercup. One oxeyed daisy was picked and bagged at 35+700. Rare plant areas were identified and herbicide was not applied within proximity to the rare plant locations, weeds were handpicked within this area.",,,
NW 11-65-7,,,," • July 23, 2014: • Previous remedial efforts (hand picking of buttercup) achieved desired control of noxious weeds. Buttercup was not identified within tract. Continue to monitor.  • Scentless chamomile at KP 35+800, picked and bagged (1 plant). Continue to monitor.",," • August 19, 2016: • individuals of meadow hawkweed were observed throughout 1/4. Herbicide applied to control. No weeds observed within buffer at rare plant location at KP 35+850. • Scentless chamomile no longer present, issue resolved.",,,
,Seasonal Drainage,"Monitor in 2013 and, if warranted, repair.","KP 35+500 Minor subsidence within drainage. No adverse effects noted, vegetation is excellent, flow is not affected. Monitor in 2014 to determine if repairs are required. KP 35+500 Removed all steel pegs and non-biodegradable material from seasonal drain. Re-distributed the cobble that is holding back water. Checked for depth of cover with hand probe prior to any shovel work to correct drainage and cobble being re-distributed.","• June 19, 2014 – exceptional vegetation proliferation. Minor subsidence on south and north banks. Amphibians present within drainage using it as habitat. Minimal water movement at time of assessment. Removed spikes within erosion control matting, work-side of ROW. Silt fence remains, requires removal. • July 14, 2014 – Removed ~30m of silt fencing on North bank of drainage.","• June 9, 2015: • Vegetation is 95% comparable to off ROW control. • Cross drainages and seasonal drainages within the tract are functioning and well vegetated. Minor flow observed. • Subsidence previously observed, first noted in 2012, was assessed as well vegetated and not posing an issue to the recovery of the ROW. Issue resolved • Rutting and erosion were not observed.","• June 23, 2016 – Drainage stable and functioning. ",,,
,Rare Plant (northern moonwort),,"KP 35+800 to 35+860 On August 8, 2013 Rare Plant Specialists visited the location and observed one northern moonwort off the right-of-way along the west edge of the right-of-way boundary. Resolved and successful: no further monitoring is recommended. Issue resolved.",,,,,,
