Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
B-096-E/094-I-10,Line-of-Sight Control (22+100),The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The line-of-sight covers the entire right-of-way.,"June 21, 2016 - Wildlife Line of sight barriers - some of the barriers have fallen over, recommend repairs. July 26, 2016 - Temporary repairs completed to barriers, additional tools/materials required to complete. Oct 15, 2016 - Additional repairs completed with appropriate materials, issue resolved.","August 7, 2017 - Line of sight barrier on ROW has effectively served its purpose and can now be removed as deciduous tree and shrub species (alder & buck brush) growth exceeding 1m across ROW for 100m to the east of barrier. Trees are providing effective natural line of sight break in area. September 29, 2017 - KP 22+750 – Removed all line of site barrier material from ROW. Issue Resolved.","June 21, 2018 - Area with previously line-of-sight barrier at KP 22+100 continues to vegetate well; no issues.  Deciduous tree and shrub species (alder & buck brush) growth exceeding 1m across ROW for 100m to the east of barrier. Trees are providing effective natural line of sight break in area.",,,
B 096 E/094 I 10 to  A 096 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Treed swamp on ROW from KP 22+120 to 22+630 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder and poplar. Good establishment of hydrophytic species through wetland. - No noxious weeds identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. High organic scent present in substrate. Areas exhibiting peat depth exceeding greater than 40cm; mottling occurring. - Wetland exhibiting fully saturated conditions with standing present throughout entire wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 22+120 to KP 22+630 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting predominantly of hydrophytic vegetation including graminoids (rushes & grasses), common cattail, common Mares tail, and common great bulrush. Some alder and willows emerging throughout. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting fully-saturated conditions with surface water present throughout entire marsh. - Wetland providing good habitat opportunities through the presence of standing water, snags and good vegetation cover.  - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
A-096-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established (High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) on ditch line.","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - KP 22+250 to 22+600 – Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.  October 2, 2017 - No noxious weeds identified. Issue resolved.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, common cattail, common bulrush, aster, large-leaf aven and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height.   - KP 22+450 – Perennial sow thistle observed.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 – KP 22+450 – Herbicide application conducted to control perennial sow thistle. September 20, 2018 – No noxious weeds observed, issue resolved.",,,
A-096-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (22+408),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,"August 7, 2017 - KP 22+408 - Ditch plug is functioning with vegetation cover establishing.  Issue resolved.","June 21, 2018 - Ditch plug at KP 22+408 continues to establish vegetation and function properly; no issues.",,,
A-096-E/094-I-10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Emergent Marsh on ROW from KP 22+630 to 22+640 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and submergent vegetation in standing water areas. Good establishment of hydrophytic species throughout wetland.  - No noxious weeds were observed. - Trench crown present through wetland but settled due to high saturation, with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. High organic scent present in substrate. - Wetland exhibiting fully saturated conditions with standing water throughout the entire wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Seasonal emergent marsh on ROW from KP 22+630 to KP 22+640 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting predominantly of hydrophytic vegetation including graminoids (rushes & grasses), common cattail, common Mares tail, and common great bulrush. Some alder and willows emerging throughout. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting fully-saturated conditions with surface water present throughout entire marsh. - Wetland providing good habitat opportunities through the presence of standing water, snags and good vegetation cover.  - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
B-095-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established (High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line. September 22, 2016 - KP 26+000 – straitened and secured marker posts and sign.  - KP 23+100 – herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover).","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.  October 2, 2017 – Intermittent herbicide application conducted to control perennial sow thistle.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, common cattail, common bulrush, aster, large-leaf aven and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 1m in height. - KP 22+900, 23+240 and 23+300 – Perennial sow thistle observed.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - Missing marker sign & post at KP 23+240.  Repairs recommended. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 – KP 22+900, 23+240 and 23+300 – Herbicide application conducted to control perennial sow thistle. September 20, 2018 – KP 23+240 – sign & post repaired.  Issue resolved. KP 23+800 – Herbicide application conducted to control perennial sow thistle.",,,
,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Treed Bog on ROW from KP 22+640 to 22+900 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, Labrador tea, lichen and sphagnum mosses. Excellent establishment of hydrophytic species throughout wetland. - No noxious weeds were identified in wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Peat depth exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions; no surface water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Treed bog on ROW from KP 22+640 to KP 22+900 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids, alder, horsetails, broadleaf shrubs, sphagnum mosses, Labrador tea and black spruce. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat accumulating throughout wetland. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
,Forested Rare Plant (23+000),No slender mannagrass were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Three individual plants observed during site visit. Mitigation for this rare plant occurrence is considered to have been effective, and this site is considered resolved.",N/A,N/A,,,
B 095 E/094 I 10 to  A 095 E/094 I 10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Emergent Marsh on ROW from KP 22+900 to 23+130 appears to be at full, proper functionality. Wetland is inclusive of undulating terrain resulting in upslope drier conditions in wetland from KP 22+900 to 23+000. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows and submergent vegetation in standing water areas. Good establishment of hydrophytic species throughout wetland. Upslope areas of wetland exhibiting higher densities of broadleaf shrubs and trees. - No noxious weeds were observed. - Trench crown present through wetland but settled in areas due to high saturation, with sufficient breaks to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. High organic scent present in substrate. - Wetland exhibiting fully saturated conditions with standing water throughout the entire wetland. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Seasonal emergent marsh on ROW from KP 22+900 to KP 23+130 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids (rushes & grasses), common cattail, common great bulrush, alder, willow and broadleaf shrubs. - Trench crown present through wetland but has slightly settled as a result of hydrologic influence. Sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover and hydrologic conditions. - Wetland exhibiting fully-saturated conditions with surface water present throughout entire marsh. - Wetland providing good habitat opportunities through the presence of standing water, snags and good vegetation cover.  - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
A-095-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established (High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.  October 2, 2017 – Intermittent herbicide application conducted to control perennial sow thistle.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A large portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, common cattail, common bulrush, aster, large-leaf aven and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 1m in height. - KP 22+900, 23+240 and 23+300 – Perennial sow thistle observed.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 – KP 22+900, 23+240 and 23+300 – Herbicide application conducted to control perennial sow thistle. September 20, 2018 – KP 23+800 – Herbicide application conducted to control perennial sow thistle",,,
A 095 E/094 I 10 to  A 094 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Swamp on ROW from KP 23+340 to 23+820 appears to be at full, proper functionality. Wetland comprised of intermittent areas of peat accumulation resulting in diverse compositions of vegetation. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder, poplar, tamarack and submergent vegetation in standing water areas. Vegetation consisting of black spruce, tamarack, willow, alder, Labrador tea and sphagnum mosses in areas of peat accumulation. Good establishment of hydrophytic species throughout wetland.  - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. High organic scent present in substrate. Areas exhibiting peat depth exceeding greater than 40cm; mottling occurring. - Wetland exhibiting fully saturated conditions with standing water in areas. - Wetland providing good habitat opportunity through good vegetation cover and standing water. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 23+340 to KP 23+820 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow, horsetails, Labrador tea and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
B-094-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.  October 2, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, rushes, milk vetch and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 23+410 to 24+090 - Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 - KP 23+410 to 24+090 – intermittent herbicide application conducted to control perennial sow thistle. September 20, 2018 – No noxious weeds observed.  Issue resolved.",,,
A-094-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established (Moderate, 50 – 80 %, to High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.  October 2, 2017 - Intermittent herbicide application conducted to control perennial sow thistle.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species.   - Excellent establishment of various grasses, rushes, milk vetch and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 2m in height. - KP 23+410 to 24+090 - Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 - KP 23+410 to 24+090 – intermittent herbicide application conducted to control perennial sow thistle. September 20, 2018 – No noxious weeds observed.  Issue resolved.",,,
A-094-E/094-I-10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Treed Bog on ROW from KP 23+820 to 23+900 appears to be at full, proper functionality.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, poplar, alder, broadleaf shrubs, lichen and sphagnum mosses. Excellent establishment of hydrophytic species throughout wetland. - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. - Wetland exhibiting semi-saturated conditions; no surface water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Treed bog on ROW from KP 23+820 to KP 23+900 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids, alder, horsetails, broadleaf shrubs, sphagnum mosses and Labrador tea. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. Peat accumulating throughout wetland. - Wetland exhibiting semi- saturated conditions with no visible surface water presence throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours. Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW",,,
A 094 E/094 I 10 to  B 093 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land (High, 80 – 100 % vegetation cover compared to off right-of-way). - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.","August 7, 2017 - Swamp on ROW from KP 23+900 to 24+250 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, poplar, alder, broadleaf shrubs, lichen and sphagnum mosses. Excellent establishment of hydrophytic species throughout wetland.  - Trench crown present through wetland with sufficient breaks present to maintain hydrology. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth, comparing with off ROW conditions. - Wetland exhibiting semi-saturated conditions with intermittent areas of surface water emergence. - Wetland providing good habitat opportunity through good vegetation cover. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.","August 6, 2018 - Mixedwood treed swamp on ROW from KP 23+900 to KP 24+250 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Vegetation establishment within wetland is at 80-100% cover compared with off ROW control.  - Vegetation throughout wetland on ROW consisting of graminoids, alder, aspen, willow, horsetails and broadleaf shrubs. - Trench crown present through wetland with sufficient cross-drains present for hydrology to be maintained across the ROW; no issues of hydrologic connectivity were noted. - Substrate within wetland appears healthy through uniform vegetation cover. - Wetland exhibiting semi-saturated conditions with no visible surface water present throughout. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours with no ponding or erosion issues identified throughout. Vegetation biodiversity has been attained across the ROW.",,,
B-093-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established (High, 80 – 100 % vegetation cover compared to off right-of-way) within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle (Low; 0 – 10 % cover) throughout tract, primarily on ditch line.","August 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle. - Cross drains are functioning.  - Stub berms along trench crown have been effective at providing there intended function. - No soil stability issues.","June 21, 2018 - Vegetation establishment throughout tract remains as 80-100% cover comparable to off ROW control. A portion of this tract is inclusive of wetlands, whereby much of the vegetation consists of water-tolerant species. - Excellent establishment of various grasses, common cattail, common bulrush, aster, large-leaf aven and raspberry. Broadleaf tree growth on ROW is exceptional, including willows, aspen and alder species, all exceeding 1m in height. - KP 24+090 to 24+200, 24+430, and 24+705 – Perennial sow thistle observed intermittently.  Recommend weed control. - Trench crown present throughout tract with effective cross drains and stub berms functioning appropriately. - No erosion, subsidence or soil stability issues were noted within tract. July 18, 2018 - KP 24+090 to 24+200, 24+430, and 24+705 – Intermittent herbicide application conducted to control perennial sow thistle. September 20, 2018 – No noxious weeds observed.  Issue resolved.",,,
B-093-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (24+057),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014, with the placement of organics over the bentonite plug.",Monitor in 2017.,"August 7, 2017 - KP 24+ 057– Ditch plug - Drain and Bentonite bags exposed. Recommend removing excess drain material and covering bentonite with soil from surrounding ditch crown.  October 2, 2017 - KP 24+ 057– Ditch plug - Removed excess drain material and covered exposed bentonite with soil from surrounding area. Issue resolved.","June 21, 2018 - Ditch plug at KP 24+057 continues to establish vegetation and function properly; no issue.",,,
