Legal Location (W4M),Land Use,Condition/ Issues Noted (Rating),"Kilometre Post1,2",Notes,Recommendation(s),Status,VEC,GIS,Topic
NW 07-086-18,Forested,Plant Growth (Moderate),53+500 to 53+580,• Limited desirable plant growth  • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
NW 07-086-18,Forested / Wetland,Noxious Weeds (High),53+500 to 53+950,"• Scentless chamomile (Tripleurospermum inodorum) present throughout the quarter section in very dense patches • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
NW 07-086-18,Forested,Subsidence (High),53+600,• Minor subsidence present at a pipeline crossing   • Depths were approximately 30 cm or less,Monitor in 2019,Unresolved,,,
NW 07-086-18 continued,Wetland,Wetland 34-6 (Low),53+580 to 53+950,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 18-086-18,Wetland,Wetland 34-6 (Low),53+950 to 53+915,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 18-086-18,Forested / Wetland,Noxious Weeds (High),53+950 to 54+915,"• Scentless chamomile (Tripleurospermum inodorum) present on the ROW only throughout the quarter section • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
SW 18-086-18,Forested,Plant Growth (Moderate),53+915 to 54+880,• Intermittent limited plant growth on the ROW throughout the quarter section • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
SW 18-086-18,Forested,Erosion (High),54+100,"• Erosion present over the ditch at the crest of the slope at Livock River (WC8), approximately 45 cm deep • Additional erosion present on the north bank, erosion mid-slope on the spoil side",Monitor in 2019 and repair as required,Unresolved,,,
SW 18-086-18,Forested,Watercourse - Livock River (WC8) (Moderate),54+170,• Good first-year vegetation establishment present for the majority of this watercourse crossing  • Minor erosion present on both sides of the river • Seeded species were establishing well on the south slope of Livock River (WC8) • Intermittent plant growth present on the north slope • Sediment fencing is present on the slopes and require repairs as some were not functioning where erosion was observed,Monitor in 2019 and repair erosion control as required,Unresolved,,,
SW 18-086-18,Forested,Access Control (N/A),54+800,• Rollback is effective at controlling access,None,No issue,,,
SW 18-086-18,Wetland,Wetland 35-1 (Low),54+880 to 54+915,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-086-18,Forested,Plant Growth (Moderate),54+915 to 55+760,• Limited desirable plant growth in upland areas • Trace covers of establishing native vegetation  • Bare patches are consistent with Year 1 vegetation establishment,Monitor in 2019,Unresolved,,,
NW 18-086-18 continued,Forested,Noxious Weeds (High),54+915 to 55+760,"• Scentless chamomile (Tripleurospermum inodorum) present on the ROW only throughout the quarter section • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
NW 18-086-18 continued,Wetland,Wetland 36-1 (Low),55+180 to 55+360,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-086-18 continued,Wetland,Wetland 36-2 (Low),55+440 to 55+470,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-086-18 continued,Wetland,Wetland 37-1 (Low),55+530 to 55+610,• Wooded swamp observed to be on an acceptable trajectory of reaching pre-construction functional conditions • Pre-construction contours restored • Appropriate wetland species are establishing  • Plant growth consistent with Year 1 vegetation expectations,Monitor in 2019,Unresolved,,,
NW 18-086-18 continued,Wetland,Surface Drainage / Erosion (Moderate),55+550,• Ponding present with erosion channels leading to larger ponding near the facility • Erosion channels 20 cm deep,None,No issue,,,
SW 19-086-18,Wetland,Noxious Weeds (High),55+760 to 55+790,"• Scentless chamomile (Tripleurospermum inodorum) present in the extra work space west of the facility • Selective weed control completed on September 26, 2018",Monitor in 2019 and control as required,Unresolved,,,
"Notes: 1. KP locations are approximate  2. KP locations may be repeated if an issue is present in multiple areas, and/or multiple issues are identified",,,,,,,,,
