Legal Location (W4M),Tract (EEH),Start KP,End KP,Land Use,KP of Issue,UTM of Issue,Environmental Issue(s) Observed,2016 CH2M Observations/ Comments,2016 Status<s>a</s>,2016 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,Recommendations/ Notes,2017 CH2M Observations/ Comments,2017 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge,2017 Status<s>a</s>,2017 Recommendations/ Notes,2018 Landowner Consultation/ Comments/ Repair Work Completed by Enbridge/Assessment Required by CH2M,2018 Jacobs Observations/ Comments,2018 Status<s>a</s>,2018 Recommendations/ Notes,VEC,GIS,Topic
NE 16-48-19,0176,69.030,69.445,Wetland,69.300,385574 E 5889859 N,Vegetation - weeds,"Weed issue observed at wetland on the ROW. Lamb’s-quarters, perennial sow-thistle and stinkweed observed at high densities at wetland area on the ROW.",U,"December 16, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Not able to assess the wetland during the 2017 survey.,--,U,Monitor in 2018.,--,Bare soil/poor vegetation reestablishment observed in several areas along the ROW.,U,Monitor in 2019.,,,
NW 15-48-19,0178 0179 0180,69.445,70.329,Tame pasture,69.445 to 70.329,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor weed growth and vegetation establishment in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 15-48-19,0181,70.329,70.583,Cultivated,--,--,Vegetation – establishment,Crop parameters were equal on and off the ROW.  No issues observed in 2016.,R,"June 28, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition.",--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil.",--,U,Seed and monitor vegetation establishment in 2018.,--,There were no vegetation issues observed.,R,None.,,,
NE 15-48-19,0181,70.329,70.583,Cultivated,70.394 to 70.379; 70.340 to 70.375,--,Landscape – subsidence,--,--,--,--,--,--,--,--,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Minor subsidence (<5 cm deep) was observed causing reduced crop height over the trench line. Approximately 5 cm deep x 90-120 cm wide at KP 70.394 to KP 70.379; approximately 5 cm deep x 60 cm wide at KP 70.340 to KP 70.375. Farming practices may alleviate subsidence.,U,Monitor subsidence in 2019.,,,
NE 15-48-19,0181,70.329,70.583,Wetland,70.400,386587 E 5889430 N,Vegetation - weeds,Weed issue observed at wetland area. High density of lamb’s-quarters observed on the ROW. Lamb’s quarters is an annual pioneer species and it is expected that it will be outcompeted by native wetland vegetation.,U,"January 13, 2017: land agent attempted to contact the landowner via telephone. Landowner was left a voicemail informing them of work to be undertaken in spring 2017.","Monitor in 2017, to ensure wetland species establish over time.","Wetland species re-establishing, although, some weeds are still noted.",--,U,Continue to monitor wetland vegetation in 2017.,--,Density and distribution of weed species were equal on and off ROW.,R,None.,,,
SE 15-48-19,0182,70.583,70.810,Hay,70.583 to 70.810,--,Vegetation - weeds,"Weed issue observed on the ROW. Lamb’s-quarters, Russian pigweed and scentless chamomile observed at higher densities on ROW compared to off.",U,"September 15, 2016: land agent met with the landowner and provided compensation to undertake weed control during 2016 growing season. Landowner indicated they had no additional issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.","Control weeds and monitor in 2017, to determine if further weed control is required.",Density and distribution of weed species were equal on and off the ROW. High densities of scentless chamomile off the ROW. Some weeds encroaching on the ROW.,--,R,None.,Canada thistle was sprayed in June 2017.,Density and distribution of weed species were equal on and off the ROW. Canada thistle was observed at equal densities on and off ROW.,R,None.,,,
SE 15-48-19 (cont’d),See above,70.810,71.189,Tame pasture,70.810 to 71.189,--,Vegetation - weeds,"Weed issue observed on the ROW. Lamb’s-quarters, Russian pigweed and scentless chamomile observed at higher densities on ROW compared to off.",U,"September 15, 2016: land agent met with the landowner and provided compensation to undertake weed control during 2016 growing season. Landowner indicated they had no additional issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,"Density and distribution of weed species were equal on and off the ROW. Higher densities of Dalmatian toadflax were observed on the ROW; however, it does not appear to be competing with vegetation establishment.",--,R,None.,Canada thistle was sprayed in June 2017.,Density and distribution of weed species were equal on and off the ROW. Canada thistle was observed at equal densities on and off ROW.,R,None.,,,
SE 15-48-19 (cont’d),See above,70.810,71.189,Tame pasture,70.100,387144 E 5889201 N,Vegetation – rare,"Population of yellow cress (Rorippa curvipes) was observed. Abundance declined compared to  pre-construction population observed in 2013. Ponding, poor revegetation and a high density of non-native invasive species are contributing to decline in abundance. Current site conditions do not support preferred habitat, but it is possible these conditions will improve with time.",U,"October 4, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor in 2017,"July 21, 2017: site had recently been hayed and identification was not possible. No plants resembling yellow cress (Rorippa curvipes) were observed onsite.  Continue monitoring.",--,U,Monitor in 2018,--,"Heavy hay coverage on the centreline. Some Rorippa species were observed in pugged area north off ROW, but no yellow cress (Rorippa curvipes).  Due to changed agricultural use suitable habitat is no longer present and therefore not suitable growing conditions for this rare plant. For this reason this is considered resolved.",R,None.,,,
SW 14-48-19,0183,71.189,71.750,Cultivated/Tame Pasture,71.189 to 71.750,--,Vegetation - weeds,"Weed issue observed on the ROW. Lamb’s-quarters, Russian pigweed and scentless chamomile observed at higher densities on ROW compared to off.",U,"September 15, 2016: land agent met with the landowner and provided compensation to undertake weed control during 2016 growing season. Landowner indicated they had no additional issues or concerns with ROW condition.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW. High densities of scentless chamomile off the ROW. Some scentless chamomile encroaching on the ROW.,--,R,None.,Canada thistle was sprayed in June 2017. Enbridge reported as still an issue.,Canada thistle was observed at higher densities on the ROW within the pasture land use. High densities of weeds were also observed on adjacent ROWs.,U,Spot spray weeds and monitor in 2018.,,,
SW 14-48-19,0183,71.189,71.750,Cultivated/Tame Pasture,71.750 to 72.089,--,Vegetation – establishment,--,--,--,--,--,--,--,--,--,Reduced crop growth was observed in cultivated land use. An additional growing season may alleviate soil and vegetation issues.,U,Monitor in 2019.,,,
SE 14-48-19,0184,72.089,72.750,Cultivated,72.440 to 72.460,--,Vegetation – crop growth,Reduced crop density and distribution observed on the ROW compared to off ROW conditions. No soil issues.,U,"September 7, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Monitor crop growth in 2017.,Reduced crop growth allowing for increased density and distribution of weed species on the ROW.,--,U,"Control weeds, reseed, and monitor in 2018.",--,Crop parameters were equal on and off ROW.  Crop has established well.,R,None.,,,
SE 14-48-19,0184,72.089,72.750,Cultivated,72.089 to 72.750,--,Vegetation – weeds,--,--,--,--,Weed issue observed on the ROW. Scentless chamomile was observed at a higher density and distribution on the ROW.,--,U,"Control weeds, reseed, and monitor in 2018.",--,There were no weed issues observed on the ROW.,R,None.,,,
SE 14-48-19,0184,72.089,72.750,Cultivated,72.089 to 72.425; 72.715 to 72.775,--,Landscape – contouring and subsidence,--,--,--,--,"Moderate contouring issue was observed at KP 72.48, causing an area of bare soil on the ROW. Contouring issue is located where the pipeline bends.",--,U,"Repair contouring, reseed, and monitor in 2018.",Landowner reported subsidence in fall 2017. Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Repair work is scheduled for 2019.,Subsidence was observed approximately 1 m wide x 10-25 cm deep at KP 72.089 to KP 72.425; KP 72.715 to KP 72.775. Contour issue at KP 72.480 is resolved.,U,Monitor in 2019. Repair subsidence when feasible.,,,
SE 14-48-19,0184,72.750,72.928,Hay,72.750 to 72.928,--,Vegetation - weeds,"Area was recently mowed. Unable to determine vegetation establishment success. Weed issue observed in mowed area on the ROW. Pineappleweed, stinkweed and lamb’s-quarters were observed on the ROW at higher densities than off ROW.",U,"August 25, 2016: land agent met with landowner and provided compensation to undertake weed control during 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.","Assess vegetation at full growth. Control weeds, as necessary, and monitor in 2017.",Hay was recently cut in this area. Density and distribution of weed species could not be assessed.,--,U,Monitor in 2018.,--,Hay was recently cut in this area. Density and distribution of weed species could not be assessed.,U,Monitor in 2019.,,,
SW 13-48-19,0185 0186,72.928,73.635,Hay,73.160,389165 E 5888554 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair erosion,"and monitor repairs in 2017, to ensure areas are stabilized.",The ROW was cleared due to recent disturbance/repair work.,--,R,None.,--,--,--,--,,,
SW 13-48-19,0185 0186,72.928,73.635,Hay,73.490,389494 E 5888546 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair erosion,"and monitor repairs in 2017, to ensure areas are stabilized.",The ROW was cleared due to recent disturbance/repair work.,--,R,None.,--,--,--,--,,,
SW 13-48-19 (cont’d),See above,See above,See above,See above,72.928 to 73.635,--,Vegetation - establishment,Hay was recently cut in this area. Unable to determine vegetation establishment success. Cut weed species were identified but it was not possible to determine densities.,U,"December 16, 2016: land agent met with the landowner. Landowner was informed of work to be undertaken in spring 2017. Landowner indicated they had no issues or concerns with what was discussed.",Monitor vegetation establishment and weeds in 2017.,The ROW was cleared due to recent disturbance/repair work. Unable to determine vegetation establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,Reduced crop growth was observed on the ROW.  Soil issues were observed.,U,"Monitor in 2019. If crop growth parameters do not improve, sourcing additional topsoil may be required.",,,
SW 13-48-19 (cont’d),See above,See above,See above,See above,72.928 to 73.635,--,Soil – mixing,--,--,--,--,--,--,--,--,--,Moderate to heavy soil mixing causing reduced crop growth and topsoil was observed on the ROW.  Soil mixing is likely a result of repair work conducted in 2017.  Farming practices and an additional growing season may be required to alleviate vegetation issues.,U,"Monitor in 2019. If crop growth parameters do not improve, sourcing additional topsoil may be required.",,,
NE 12-48-19,0189,73.821,74.410,Tame Pasture,73.821 to 74.410,--,Vegetation - weeds,"Reduced vegetation establishment observed on the ROW due to moderate to high density of weeds and cattle traffic. Lamb’s-quarters, scentless chamomile, rough cinquefoil, stinkweed, curled dock, shepherd’s purse and redroot pigweed were observed at higher densities on the ROW compared to off.",U,"August 15, 2016: land agent met with the landowner and provided compensation to undertake weed control during 2016 growing season. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,"White cockle, absinthe wormwood, Canada thistle, and scentless chamomile were sprayed in August 2017.","Density and distribution of weed species were equal on and off the ROW. Low density of absinthe wormwood was observed on and off ROW and does not appear to be outcompeting vegetation. Scentless chamomile was not observed on ROW; however, it was observed off ROW near the field edge. Higher densities of pear-leaved goosefoot and lamb’s quarters were observed along a trail throughout the tract, not related to ETH reclamation.",R,None.,,,
NE 12-48-19 (cont’d,See above,74.410,74.841,Cultivated,74.410,390207 E 5887970 N,Landscape – industrial refuse,Erosion and sediment control measures (coir logs) left on fence line from erosion clean-up. Crop parameters equal on and off ROW.,U,"September 7, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Remove coir logs.,Coir log is still hanging on the fence line.,--,U,Remove coir log from fence line.,--,Coir log has been removed.,R,None.,,,
SE 12-48-19,0189.1,74.841,74.998,Tame pasture,74.910,390459 E 5887597 N,Landscape - erosion,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Repair erosion,and monitor in 2017.,Erosion was repaired. Gully was filled in.,--,R,None.,--,--,--,--,,,
SE 12-48-19,0189.1,74.841,74.998,Tame pasture,74.910,--,Vegetation - establishment,--,--,--,--,Bare soils over repaired gully erosion.,Repair Work: Area was seeded after 2017 assessment.,U,Monitor vegetation establishment in 2018.,--,Recent spraying of weeds has impacted alfalfa.,U,Monitor in 2019 to ensure vegetation has come back and weed control was effective.,,,
SE 12-48-19,0189.1,74.841,74.998,Tame pasture,74.841 to 74.998,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and seed area. Monitor vegetation establishment in 2017.,Density and distribution of weed species were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SW 7-48-18,0191 0192,74.998,75.810,Hay,74.998 to 75.810,--,Vegetation - establishment,Hay was recently cut in this area. Unable to determine vegetation establishment success. Cut weed species were identified but it was not possible to determine densities.,U,"July 20, 2016: land agent met with the landowner. Landowner indicated they had no issues or concerns with ROW condition. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017. Repair Work: June 7, 2016: the ROW was sprayed. July 21, 2016: the ROW was mowed.",Assess vegetation establishment and weeds in 2017.,"Hay was recently cut in this area. Unable to determine vegetation establishment success. Cut weed species were identified, but it was not possible to determine densities.",--,U,Assess vegetation establishment and weeds in 2017.,"Scentless chamomile, Canada thistle and white cockle were sprayed in August 2017. Enbridge and landowner assessed the ROW in 2018. No issues were observed on either any lines.","Hay was recently cut in this area. Unable to determine vegetation establishment success. Cut weed species were identified, but it was not possible to determine densities. The landowner has no issues with the state of the ROW.",R,None.,,,
SW 7-48-18,0191 0192,74.998,75.810,Hay,75.356; 75.470 to 75.485; 75.485 to 75.810,--,Landscape - subsidence,--,--,--,--,--,--,--,--,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Enbridge and landowner assessed the ROW in  2018. No issues were observed on any Enbridge lines.,Minor subsidence was observed between KP 75.470 to KP 75.485. Soil cracking and minor subsidence was observed at KP 75.356 and between KP 75.485 to KP 75.810. The landowner has no issues with the state of the ROW.,R,None.,,,
NW 5-48-18,0195,76.816,77.310,Cultivated,76.816 to 77.310,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 5-48-18,0195,77.310,77.450,Hay,77.310 to 77.450,--,Vegetation - weeds,Area was not seeded. Weed issue observed on the ROW. Lamb’s-quarters and shepherd’s purse were observed at higher densities on ROW compared to off.,U,"August 30, 2016: land agent met with landowner and provided compensation to undertake weed control and reseeding for 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and seed area. Monitor vegetation establishment in 2017.,"Area was not seeded. Weed issue observed on the ROW. Canada thistle, curled dock, lamb’s-quarters, and narrow-leaved hawk’s beard were observed at higher densities on the ROW compared to off the ROW. Land owner was compensated for weed control and seeding.",--,U,Landowner to control weeds and seed ROW.,--,Access was not granted at time of assessment.,U,Monitor weeds in 2019.,,,
NW 5-48-18,0195,77.570,77.796,Cultivated,77.57 to 77.796,--,Soil –  soil mixing,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 5-48-18,0196,77.796,77.890,Cultivated,77.796 to 77.890,--,Soil –  soil mixing,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 5-48-18,0196,77.890,78.287,Cultivated,77.890 to 78.287,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
SE 5-48-18,0197,78.287,78.755,Cultivated,--,--,Vegetation - establishment,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,The ROW was cleared due to recent disturbance/repair work. Unable to determine vegetation establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,Crop parameters were equal on and off the ROW.,R,None.,,,
SE 5-48-18,0197,78.287,78.755,Wetland,--,--,Landscape - contouring,--,--,--,--,--,"October 24, 2017: landowner reported contouring issue with wetland. Wetland has enlarged on the ROW, affecting field access.  Enbridge to conduct repair work in 2018.",U,Repair if warranted and monitor in 2018.,"Landowner reported that the ETH pipeline crossing increased the wetland boundaries. In January 2019, further consultation with the landowner indicated the Enbridge will revisit this location and assess.",The wetland boundaries appear to follow the natural contour and pre-construction wetland delineation and mapping.,U,Assess in 2019.,,,
SW 4-48-18,0198,78.755,78.910,Tame pasture,78.755 to 78.910,--,Vegetation – weeds,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,"Weed issue observed on the ROW. Lamb’s quarters, shepherd’s purse, stinkweed, foxtail barley and common knotweed were observed at higher densities on the ROW compared to off the ROW.",--,U,Control weeds and monitor in 2018.,--,"Weed densities have reduced compared to previous years.  However, yellow sweet clover, lamb’s quarters, foxtail barley, shepherd’s purse and common knotweed were observed at low densities on the ROW.",U,Monitor in 2019.,,,
SW 4-48-18 (cont’d),See above,78.910,79.727,Cultivated,78.910 to 79.347,--,Vegetation – establishment,--,--,--,--,The ROW was cleared due to recent disturbance/repair work. Unable to determine vegetation establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,Reduced crop height was observed over the trench line.  Crop growth improved between KP 79.347 to KP 79.727 Subsidence was not observed.,U,Monitor in 2019.,,,
SW 4-48-18 (cont’d),See above,79.050,79.120,Tame pasture/ wetland,--,--,--,--,--,--,--,No issues were observed.,--,R,None.,--,--,--,--,,,
SE 4-48-18,0199,79.727,79.861,Wetland,--,--,--,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,Access was not granted at time of assessment.,--,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2018. Will continue to monitor in 2018.,--,Vegetation re-establishing on the ROW appropriately.,R,None.,,,
NE 33-47-18,0200,79.861,79.910,Hay/tame pasture,79.861 to 79.910,--,Vegetation – weeds,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,"Weed issue observed on the ROW. Canada thistle, perennial sow thistle, curled dock, white and yellow sweet clover were observed at higher densities on the ROW compared to off the ROW. No soil issues were observed.",--,U,"Control weeds and monitor in 2018. Control weeds on the adjacent ROW as well, to prevent further spread.",--,High density and distribution of yellow sweet clover was observed on the ROW.  Perennial sow thistle and Canada thistle were also observed at higher densities on the ROW.,U,Mow and monitor in 2019.,,,
NE 33-47-18,0200,79.910,80.094,Hay,79.910 to 80.094,--,Vegetation – establishment,--,--,--,--,Hay was cut at the time of assessment. Unable to determine vegetation establishment success.,--,U,Assess vegetation establishment in 2018.,--,Field was fallow on and off ROW at the time of assessment.,U,Monitor in 2019.,,,
NE 33-47-18,0200,79.910,80.094,Hay,80.045,--,Vegetation – weeds,--,--,--,--,Weed issue observed on the ROW. A patch of stinkweed was observed on the ROW.,--,U,Control weeds and monitor in 2018.,--,Field was fallow on and off ROW at the time of assessment.,U,Monitor in 2019.,,,
NE 33-47-18,0200,80.094,80.723,Cultivated,80.220; 80.723,--,Vegetation – establishment,--,--,--,--,The ROW was cleared due to recent disturbance/repair work. Unable to determine vegetation establishment success.,--,U,Seed and monitor vegetation establishment in 2018.,--,Crop parameters were equal on and off the ROW.,R,None.,,,
NE 33-47-18 (cont’d),See above,--,--,--,80.155 to 80.226.,--,Landscape – subsidence,--,--,--,--,--,"October 24, 2017: Landowner reported a low spot on the ROW.  Enbridge to conduct repair work in 2018.",U,Confirm location of contouring issue. Repair if warranted and monitor in 2018.,Landowner reported a low area in October 2017. Repair Work:: Enbridge is in negotiations with landowner regarding repair work.,Subsidence was observed over the trench approximately 10-10 cm deep x 80 cm wide between KP 80.155 to KP 80.226.,U,Monitor in 2019. Repair subsidence when feasible.,,,
NW 34-47-18,0201,80.723,81.359,--,80.885 to 80.916; 80.965 to 80.971; 81.234 to 81.241,--,Landscape – contouring and subsidence,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,Enbridge personnel observed a contouring issue at NW 34-47-18 W4M. It is unclear where that issue was.  Potential contouring issue was observed by CH2M personnel at KP 81.18. It appears to be a seasonal wetland.,--,U,Enbridge to confirm location of contouring issue.  Monitor in 2018.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Repair work was completed in fall 2017.  Enbridge assessed the ROW in 2018. No issues were observed on any Enbridge lines.,"There were no contouring issues observed. Minor subsidence was observed, ranging from 5-10 cm deep x 120-150 cm wide, over the trench line throughout the quarter-section. Areas of soil cracking within subsidence was also observed.",R,Farming practices may alleviate subsidence.,,,
SW 34-47-18,0202,81.359,81.671,--,81.370 to 81.374,--,--,Access was not granted at time of assessment.,U,No access granted at time of assessment. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.,Assess in 2017.,No issues were observed.,--,R,None.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority. Enbridge assessed the ROW in 2018. No issues were observed on any Enbridge lines.,Minor subsidence was observed approximately 10 cm deep over the trench line between KP 81.370 to KP 81.374.,R,Farming practices may alleviate subsidence.,,,
SE 34-47-18,0203,81.671 --,82.594 --,Hay,81.671 to 82.594,--,Vegetation - weeds,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Control weeds,and monitor vegetation establishment in 2017.,"Density and distribution of weed species (not within wetland) were equal on and off the ROW. Most weeds are within the wetland, which takes up majority of the ROW at SE 34-47-18 W4M.",--,R,None.,--,--,--,--,,,
SE 34-47-18 (cont’d),See above,See above,See above,See above,--,--,Landscape - contouring,--,--,--,--,--,--,--,--,Landowner reported a drainage issue. Unable to cross ROW to the other side of the field. Rig mats are currently in place but require a permanent solution.,"Rig mats were observed approximately 25 m northeast off the ROW in close proximity to the construction shoo-fly. The location of the rig mat appeared to be at the edge of the wetland, and not where farm equipment appeared to travel. There is a large wetland along the ROW. The location of the drainage issue was not confirmed.",U,"Confirm location of drainage issue and if this is ETH related. If drainage issue is related to ETH, if warranted, recontour and monitor in 2019. If repair work is required, schedule repairs when feasible.",,,
SE 34-47-18 (cont’d),See above,See above,See above,See above,82.020 to 82.080,--,Landscape – Subsidence,-,-,-,-,-,-,--,-,-,Subsidence and soil cracking was observed over the trench outside of the wetland.,U,Monitor subsidence in 2019.,,,
SE 34-47-18 (cont’d),See above,81.960,82.030,Wetland,81.960 to 82.030,--,Vegetation - weeds,"Weed issue observed on ROW within wetland. Perennial sow-thistle, lamb’s-quarters observed at higher densities within wetland on ROW.",U,"June 22, 2016: land agent spoke with the landowner via telephone. Landowner committed to controlling weeds on the ROW in the 2016 growing season.  Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,Weeds observed within wetland.,--,U,Monitor in 2018.,--,Density and distribution of weed species were equal on and off ROW.,R,None.,,,
SW 35-47-18,0204,82.594,83.013,Cultivated,82.500 to 83.013,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 26-47-18,0205,83.013,83.541,Cultivated,83.013 to 83.541,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,growth in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 26-47-18,0206,83.541,84.466,Cultivated,83.541 to 84.466,--,Vegetation – crop growth,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Monitor crop,maturity in 2017.,Crop parameters were equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NE 26-47-18,0206,83.541,84.466,Cultivated,83.390,397672 E 5883246 N,Landscape – contouring*,Refer to Year 1 PCEM Report.,U,,Refer to Year 1 PCEM Report.  Monitor in 2017.   Contouring issue was,repaired.,--,R,None.,--,--,--,--,,,
NE 26-47-18,0206,83.541,84.466,Cultivated,84.350 to 84.410.,--,Vegetation – establishment,--,--,--,--,"The ROW was cleared due to recent disturbance/repair work, causing an area of bare soil.","May 26, 2016: Landowner reported settling on the east side of the quarter section. Repair Work: Repair work was completed in July 2017.",U,Seed and monitor vegetation establishment in 2018.,--,Reduced crop growth was observed on the ROW between KP 84.350 to KP 84.410. Farming practices and an additional growing season may be required to allow for vegetation recovery. No soil issues were observed.,U,Monitor in 2019.,,,
NW 25-47-18,0207,84.466,84.664,Fallow/ valve site,84.466 to 84.664,--,Vegetation - establishment,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Seed and,monitor crop growth and weed establishment in 2017.,Vegetation parameters are equal on and off the ROW.,--,R,None.,--,--,--,--,,,
NW 25-47-18,0207,84.466,84.664,Fallow/ valve site,84.560 to 84.664,--,Landscape - contouring,Refer to Year 1 PCEM Report.,U,Refer to Year 1 PCEM Report.  Recontour and,monitor in 2017.,Area appears to be in a wetland. Wetland vegetation has established well. Not a contouring issue.,--,R,None.,--,--,--,--,,,
SW 25-47-18,0208,84.664,85.410,Wetland,84.790,398880 E 5882538 N,Vegetation - weeds,"Weed issue observed in wetland area. Scentless chamomile, lamb’s-quarters and perennial sow-thistle observed in wetland area.",U,"April 12, 2016: land agent met with the landowner. Landowner compensated to control weeds for the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor in 2017.,"Scentless chamomile, lambs-quarters, and perennial sow-thistle observed in wetland (denser at margins).",Follow-up with operations to ensure continued weed control.,U,Monitor for weeds in 2018.,--,Density and distribution of weed species were equal on and off ROW.,R,Remove silt fence and straw logs from field edges.,,,
SW 25-47-18,0208,--,--,Cultivated,84.647 to 84.720; 84.950 to 84.960; 85.065 to 85.075,--,Landscape - subsidence,--,--,--,--,Landowner observed a subsidence issue in 2016. Repair work was conducted in July 2017.,--,U,Monitor repair work for subsidence and vegetation establishment in 2018.,Repair Work: Enbridge has indicated that the location will be managed and completed based on priority.,Subsidence was observed over the trench line throughout the quarter section.  Subsidence was approximately 10 cm deep x 1-2 m wide.,U,Monitor in 2019. Repair subsidence when feasible.,,,
SE 25-47-18,0209,85.41,86.334,Tame Pasture,--,--,--,Access was not granted at time of assessment.,U,Access not granted at time of assessment. Enbridge currently in negotiations with landowner.,Assess in 2017.,Access not granted at time of assessment.,--,--,Assess in 20018.   Weed issue,identified by Enbridge.,Access not granted at time of assessment.,U,Monitor in 2019.,,,
NW 19-47-17,0211,86.880,87.280,Tame pasture,86.880 to 87.280,--,Vegetation - weeds,"Weed issue observed on the ROW causing reduced vegetation establishment. Lamb’s-quarters, stinkweed, marsh cudweed and shepherd’s purse observed at higher densities on ROW compared to off.",U,"April 20, 2016: land agent met with the landowner. Landowner compensated to control weeds for the 2016 growing season. Enbridge Operations to follow-up in 2017. Will continue to monitor in 2017.",Control weeds and monitor vegetation establishment in 2017.,"Weed issue observed on the ROW. Canada thistle, scentless chamomile, foxtail barley, kochia, lamb’s quarters, and curled dock were observed at higher densities on the ROW compared to off the ROW.",--,U,Control weeds and monitor in 2018.,--,"Perennial sow thistle, Canada thistle, narrow-leaved hawk’s beard, curled dock, shepherd’s purse and foxtail barley were observed at higher densities on ROW.",U,Control weeds and monitor in 2019.,,,
