Legal Location (W6),Land Use,1st Year (2013) Issue(s),2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 14-80-20,Forested,Moderate surface drainage (ponding) issue,"August 13, 2014 - KP 19+810, vegetation is well established. – Native forbs and vegetation encroaching on ROW. - KP 20+050 – Ponding is no longer evident, issue resolved. – Canada thistle present in small patches throughout ROW, recommend weed control. September 15, 2014 – Intermittent herbicide application conducted throughout ¼.","June 18, 2015 – Excellent vegetation, with strong growth and density throughout tract.  – Native forbs and vegetation continuing to encroach on ROW enhancing the flora diversity. – Excellent soil and foliage cover over ditch line.  – No issues at time of assessment. October 1, 2015– Observed intermittent Canada thistle within ¼, herbicide application conducted to control.","June 29, 2016 - Strong vegetation growth and cover.  Vegetation cover at 90-100%  - KP 20+050, 1 tall buttercup plant was observed and hand-picked, bagged, and disposed of. Issue resolved. - No visible signs of erosion. - No subsidence was observed. July 14, 2016 – Intermittent ox-eye daisy and Canada thistle observed and herbicide applied to control.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - No noxious weeds observed in this ¼. Previous noxious weed issues resolved - No subsidence or erosion observed in this ¼",,,
NE 15-80-20,Forested,"Moderate surface drainage (ponding), Moderate microtopography (erosion) issues, moderate vegetation issue","–August 13, 2014 - patches of ox-eye daisy and narrow leaf hawk’s beard throughout ¼, weed control recommended. August 13, 2014 -  KP 20+980, wood shavings and rutting at Stewart Lake Road crossing on ROW, 3<s>rd</s>party vehicle appears to have left road surface and entered ROW possibly spilling shavings onto ROW, monitor area to ensure there are no persistent concerns associated with this issue. – Moderate channel erosion along uphill slope of water diversion berm running across the ROW. September 15, 2014– Intermittent herbicide application conducted to control ox-eye daisy and narrow leaf hawk’s beard.","June 18, 2015 – Well vegetated, with strong growth and density throughout tract. Moderate vegetation and ponding issues noted in 2013 at KP 20+350 and 20+750 are resolved. –2014 herbicide application appears to have worked effectively at removing ox-eye Daisy, narrow leaf hawks beard and other undesired species. Issues resolved. – KP 20+100, diversion berms have great foliage cover and were stable at time of assessment. – KP 20+300 to 20+370 has moderate growth, additional time needed to establish better growth. Not affecting land use, continue to monitor.  – KP 20+700, Natural drainage is functioning well with a steady flow, low turbidity, soil saturation, and secure wetland flora. – No subsidence or erosion noted at time of assessment, contouring and topography matches off ROW control. - KP 20+980 – no long further impacts noted from 3<s>rd</s>party vehicle and wood shavings, issue resolved.","June 29, 2016 - Strong vegetation growth and cover for the majority of the ¼.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth on the work side of the ROW, continue to monitor - KP 20+150 to 20+275 - ox-eye daisy was observed, recommend weed control. - No subsidence or erosional issues were observed in this ¼. July 14, 2016 – KP 20+150 to 20+275 - Intermittent herbicide application conducted to control ox-eye daisy and Canada thistle.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth observed in 2016 have infilled well and show 80 to 100% vegetation cover on the ROW compared to off-ROW control. Issue resolved. - KP 20+160, One bull thistle plant observed over ditch line. Plant was handpicked bull thistle and bagged for disposal. Issue resolved. - KP 20+760, Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼ June 10, 2017 – KP 20+760 – Weed control implemented on Canada thistle. August 20, 2017 – KP 20+750 to 21+760 – Weed control implemented on Canada thistle.  Issue resolved.",,,
NE 15-80-20,Forested,Moderate Noxious weed issue,"–August 13, 2014 - patches of ox-eye daisy and narrow leaf hawk’s beard throughout ¼, weed control recommended. August 13, 2014 -  KP 20+980, wood shavings and rutting at Stewart Lake Road crossing on ROW, 3<s>rd</s>party vehicle appears to have left road surface and entered ROW possibly spilling shavings onto ROW, monitor area to ensure there are no persistent concerns associated with this issue. – Moderate channel erosion along uphill slope of water diversion berm running across the ROW. September 15, 2014– Intermittent herbicide application conducted to control ox-eye daisy and narrow leaf hawk’s beard.","June 18, 2015 – Well vegetated, with strong growth and density throughout tract. Moderate vegetation and ponding issues noted in 2013 at KP 20+350 and 20+750 are resolved. –2014 herbicide application appears to have worked effectively at removing ox-eye Daisy, narrow leaf hawks beard and other undesired species. Issues resolved. – KP 20+100, diversion berms have great foliage cover and were stable at time of assessment. – KP 20+300 to 20+370 has moderate growth, additional time needed to establish better growth. Not affecting land use, continue to monitor.  – KP 20+700, Natural drainage is functioning well with a steady flow, low turbidity, soil saturation, and secure wetland flora. – No subsidence or erosion noted at time of assessment, contouring and topography matches off ROW control. - KP 20+980 – no long further impacts noted from 3<s>rd</s>party vehicle and wood shavings, issue resolved.","June 29, 2016 - Strong vegetation growth and cover for the majority of the ¼.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth on the work side of the ROW, continue to monitor - KP 20+150 to 20+275 - ox-eye daisy was observed, recommend weed control. - No subsidence or erosional issues were observed in this ¼. July 14, 2016 – KP 20+150 to 20+275 - Intermittent herbicide application conducted to control ox-eye daisy and Canada thistle.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth observed in 2016 have infilled well and show 80 to 100% vegetation cover on the ROW compared to off-ROW control. Issue resolved. - KP 20+160, One bull thistle plant observed over ditch line. Plant was handpicked bull thistle and bagged for disposal. Issue resolved. - KP 20+760, Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼ June 10, 2017 – KP 20+760 – Weed control implemented on Canada thistle. August 20, 2017 – KP 20+750 to 21+760 – Weed control implemented on Canada thistle.  Issue resolved.",,,
NE 15-80-20,Forested,"Moderate surface drainage (ponding), issues, moderate vegetation issue","–August 13, 2014 - patches of ox-eye daisy and narrow leaf hawk’s beard throughout ¼, weed control recommended. August 13, 2014 -  KP 20+980, wood shavings and rutting at Stewart Lake Road crossing on ROW, 3<s>rd</s>party vehicle appears to have left road surface and entered ROW possibly spilling shavings onto ROW, monitor area to ensure there are no persistent concerns associated with this issue. – Moderate channel erosion along uphill slope of water diversion berm running across the ROW. September 15, 2014– Intermittent herbicide application conducted to control ox-eye daisy and narrow leaf hawk’s beard.","June 18, 2015 – Well vegetated, with strong growth and density throughout tract. Moderate vegetation and ponding issues noted in 2013 at KP 20+350 and 20+750 are resolved. –2014 herbicide application appears to have worked effectively at removing ox-eye Daisy, narrow leaf hawks beard and other undesired species. Issues resolved. – KP 20+100, diversion berms have great foliage cover and were stable at time of assessment. – KP 20+300 to 20+370 has moderate growth, additional time needed to establish better growth. Not affecting land use, continue to monitor.  – KP 20+700, Natural drainage is functioning well with a steady flow, low turbidity, soil saturation, and secure wetland flora. – No subsidence or erosion noted at time of assessment, contouring and topography matches off ROW control. - KP 20+980 – no long further impacts noted from 3<s>rd</s>party vehicle and wood shavings, issue resolved.","June 29, 2016 - Strong vegetation growth and cover for the majority of the ¼.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth on the work side of the ROW, continue to monitor - KP 20+150 to 20+275 - ox-eye daisy was observed, recommend weed control. - No subsidence or erosional issues were observed in this ¼. July 14, 2016 – KP 20+150 to 20+275 - Intermittent herbicide application conducted to control ox-eye daisy and Canada thistle.","June 7, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 20+300 to 20+520 and KP 20+775 to 20+900, areas of moderate vegetation growth observed in 2016 have infilled well and show 80 to 100% vegetation cover on the ROW compared to off-ROW control. Issue resolved. - KP 20+160, One bull thistle plant observed over ditch line. Plant was handpicked bull thistle and bagged for disposal. Issue resolved. - KP 20+760, Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼ June 10, 2017 – KP 20+760 – Weed control implemented on Canada thistle. August 20, 2017 – KP 20+750 to 21+760 – Weed control implemented on Canada thistle.  Issue resolved.",,,
SE 22-80-20,Watercourse,"No issues observed Rare plant - purple-stemmed aster (S3) – KP 21+200 Purple-stemmed aster - observed growing on the right-of-way, including the ditch line. Issue resolved.","August 19, 2014 – KP 21+250 to 21+270 subsidence observed, not affecting land use, monitor in 2015. - KP 21+100 to 21+150 (Stewart Creek) riparian areas appear stable with excellent vegetation growth at wetland and watercourse margins. Watercourse flow (construction right-of-way creek bed dry) and cross drainage appear stable and maintained within the wetland and associated channel.  - KP 21+100 to 21+150 and KP 21+070, Silt fending no longer required, remove.  - KP 21+070 to 21+000 poor vegetation cover on hillslope, erosion noted at KP 21+070 – erosion repairs and seeding recommended. September 11, 2014– KP 21+070 – erosion re-contoured/repaired and erosion control measures installed.  Issues resolved. – Silt fencing removed at KP 21+100, KP 21+150, and KP 21+070. Issues resolved. September 20, 2014 - KP 21+000 to KP 21+070 - area with limited vegetation cover seeded and harrowed. - KP 21+070 - silt fence at base of slope was re-installed.","June 18, 2015 – Well vegetated, with strong growth and density throughout tract. – KP 21+150 - Canada thistle on north side of creek, weed control recommended. October 17, 2015– KP 21+150 – herbicide application conducted to control Canada thistle. – Stewart Creek riparian areas appear to be very mature, with an abundance of healthy foliage.  Banks are covered and cribbing is stable. Silt fence is intact, secure and functioning well. – KP 21+070 to KP 21+000 poor vegetation cover on hill slope. Soil amendments and seeding required in order for vegetation to establish. Spread mulch over area and reseeded – KP 21+070 diversion berm and straw waddles are stable and have worked well at preventing erosion. October 17, 2015- KP 21+075 to 21+150 - Scentless chamomile observed.  Handpicked chamomile and spot sprayed area surrounding plants. October 31, 2015- KP 21+075 to 21+150, spread tackifier over mulched area using hand seeder. Used hand rake to mix tackifier with mulch/soil.","June 29, 2016 - Strong vegetation growth and cover in this ¼ with exception to the previously identified bare area at KP 21+070. - KP 21+070 to 21+140 - Vegetation cover is at approximately 60% compared to the rest of the ROW. With small bare spots, with vegetation in-filling. - KP 21+140, Silt fence no longer required and can be removed. - KP 21+180 WC-2 Stewart Creek, top soil wraps on both sides of the creek were eroded by recent flooding. Repairs required. - Lower soil wraps remain intact and the leading edge of the soil wraps did not incur any damage. - KP 21+200 - Canada Thistle was observed on diversion berm.  Location is in proximity to rare plants, hand pick weeds to control. - Drummonds thistle and purple stemmed aster (rare plants), were observed between KP’s 21+160 and 21+220. - KP 21+250 to 21+270 – subsidence noted in 2014 is no longer evident, issue resolved. July 15, 2016 - KP 21+200 – Handpicked Canada thistle to control within proximity to rare plant location.","June 7, 2017 - Vegetation cover on the ROW within the remaining portions of the ¼ is 80 to 100% compared to the off-ROW control.  - KP 21+070 to 21+140 – Vegetation cover 65 – 80 % compared to off ROW control.  Monitor later in growing season. - KP 21+200 to 21+220 - Canada thistle observed. - KP 21+140, Recommend removal of silt fence. - No subsidence observed within this ¼  Watercourse - KP 21+180, WC-2 Stewart Creek, top soil wraps and banks on both sides of creek eroded in 2016 have stabilized, issue resolved. Recommend removal of Dekowe strands that are hanging and installing additional willow staking. June 10, 2017 – KP 21+200 to 21+220 – Weed control implemented on Canada thistle. KP 21+180, WC-2 Stewart Creek – Loose Dekowe strands removed and additional willow staking installed, issue resolved.  Repairs will be monitored in 2018 - KP 21+140 – Removed silt fence, issue resolved. August 20, 2017 – KP 21+200 to 220 - Weed control implemented on Canada thistle.  Issue resolved. - KP 21+070 to 21+140 – Vegetation cover has improved over growing season and is now 80 - 100 % compared to off ROW control. Issue resolved. June 28, 2017 – KP 21+100 to 21+150 – This wetland appears to be at full, proper functionality. Pre-construction contours have been achieved with sufficient amount of vegetation establishment, maintained hydrology, substrate, water quality and habitat opportunity. Vegetation species biodiversity has been maintained in area; conifer species emerging onto ROW.",,,
SW 22-80-20,Forested,Moderate vegetation issues,"August 19, 2014 - Excellent vegetation establishment on hill slopes and berms. - KP 21+850 Canada thistle observed and pulled by hand. - KP 21+800 minor trench subsidence observed. Monitor in 2015. - KP 21+650 ponding at the base of slopes on the pipeline trench, restore contours  - KP 21+550 – reduced vegetation cover <50%, compared to off Row control, monitor in 2015. September 16, 2014 – Intermittent weeds identified and herbicide application conducted. September 17, 2014 – KP 21+650 – Drainage trench hand-dug from the ponding area on the south side of the ROW to the north side of ROW to help prevent ponding water on ditchline. Issue resolved.","June 19, 2015 – Excellent vegetation, tract hosting a broad flora diversity, and strong growth with high density. Previous vegetation cover issues resolved. – Diversion berms and drainage channels are well vegetated and stable. – KP 21+650 Drainage trench dug from the ponding area on the east side of the ROW to the west side of ROW in 2014 appears to be working well. – No subsidence or erosion noted at time of assessment, contouring and topography is consistent with off ROW control. - KP 21+800 – subsidence no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - Handpicked two bull thistle on ROW. – Diversion berms throughout ¼ appear well-vegetated and effective  – KP 21+640, Drainage trench crossing ROW appears to be effective. – No erosion or subsidence observed. July 15, 2016 – Intermittent herbicide application conducted to control Canada thistle and bull thistle.","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150) observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 – Weed control implemented on Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150). August 20, 2017 – Weed control implemented on Canada thistle (KP 21+315 to 21+720), bull thistle (KP 21+780 to 21+800), and tall buttercup (KP 22+090).  Issues resolved.",,,
SW 22-80-20,Forested,Moderate microtopography (subsidence) issue,"August 19, 2014 - Excellent vegetation establishment on hill slopes and berms. - KP 21+850 Canada thistle observed and pulled by hand. - KP 21+800 minor trench subsidence observed. Monitor in 2015. - KP 21+650 ponding at the base of slopes on the pipeline trench, restore contours  - KP 21+550 – reduced vegetation cover <50%, compared to off Row control, monitor in 2015. September 16, 2014 – Intermittent weeds identified and herbicide application conducted. September 17, 2014 – KP 21+650 – Drainage trench hand-dug from the ponding area on the south side of the ROW to the north side of ROW to help prevent ponding water on ditchline. Issue resolved.","June 19, 2015 – Excellent vegetation, tract hosting a broad flora diversity, and strong growth with high density. Previous vegetation cover issues resolved. – Diversion berms and drainage channels are well vegetated and stable. – KP 21+650 Drainage trench dug from the ponding area on the east side of the ROW to the west side of ROW in 2014 appears to be working well. – No subsidence or erosion noted at time of assessment, contouring and topography is consistent with off ROW control. - KP 21+800 – subsidence no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - Handpicked two bull thistle on ROW. – Diversion berms throughout ¼ appear well-vegetated and effective  – KP 21+640, Drainage trench crossing ROW appears to be effective. – No erosion or subsidence observed. July 15, 2016 – Intermittent herbicide application conducted to control Canada thistle and bull thistle.","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150) observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 – Weed control implemented on Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150). August 20, 2017 – Weed control implemented on Canada thistle (KP 21+315 to 21+720), bull thistle (KP 21+780 to 21+800), and tall buttercup (KP 22+090).  Issues resolved.",,,
SW 22-80-20,Forested,Moderate vegetation issues,"August 19, 2014 - Excellent vegetation establishment on hill slopes and berms. - KP 21+850 Canada thistle observed and pulled by hand. - KP 21+800 minor trench subsidence observed. Monitor in 2015. - KP 21+650 ponding at the base of slopes on the pipeline trench, restore contours  - KP 21+550 – reduced vegetation cover <50%, compared to off Row control, monitor in 2015. September 16, 2014 – Intermittent weeds identified and herbicide application conducted. September 17, 2014 – KP 21+650 – Drainage trench hand-dug from the ponding area on the south side of the ROW to the north side of ROW to help prevent ponding water on ditchline. Issue resolved.","June 19, 2015 – Excellent vegetation, tract hosting a broad flora diversity, and strong growth with high density. Previous vegetation cover issues resolved. – Diversion berms and drainage channels are well vegetated and stable. – KP 21+650 Drainage trench dug from the ponding area on the east side of the ROW to the west side of ROW in 2014 appears to be working well. – No subsidence or erosion noted at time of assessment, contouring and topography is consistent with off ROW control. - KP 21+800 – subsidence no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - Handpicked two bull thistle on ROW. – Diversion berms throughout ¼ appear well-vegetated and effective  – KP 21+640, Drainage trench crossing ROW appears to be effective. – No erosion or subsidence observed. July 15, 2016 – Intermittent herbicide application conducted to control Canada thistle and bull thistle.","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150) observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 – Weed control implemented on Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150). August 20, 2017 – Weed control implemented on Canada thistle (KP 21+315 to 21+720), bull thistle (KP 21+780 to 21+800), and tall buttercup (KP 22+090).  Issues resolved.",,,
SW 22-80-20,Forested,Moderate microtopography (subsidence) issue,"August 19, 2014 - Excellent vegetation establishment on hill slopes and berms. - KP 21+850 Canada thistle observed and pulled by hand. - KP 21+800 minor trench subsidence observed. Monitor in 2015. - KP 21+650 ponding at the base of slopes on the pipeline trench, restore contours  - KP 21+550 – reduced vegetation cover <50%, compared to off Row control, monitor in 2015. September 16, 2014 – Intermittent weeds identified and herbicide application conducted. September 17, 2014 – KP 21+650 – Drainage trench hand-dug from the ponding area on the south side of the ROW to the north side of ROW to help prevent ponding water on ditchline. Issue resolved.","June 19, 2015 – Excellent vegetation, tract hosting a broad flora diversity, and strong growth with high density. Previous vegetation cover issues resolved. – Diversion berms and drainage channels are well vegetated and stable. – KP 21+650 Drainage trench dug from the ponding area on the east side of the ROW to the west side of ROW in 2014 appears to be working well. – No subsidence or erosion noted at time of assessment, contouring and topography is consistent with off ROW control. - KP 21+800 – subsidence no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - Handpicked two bull thistle on ROW. – Diversion berms throughout ¼ appear well-vegetated and effective  – KP 21+640, Drainage trench crossing ROW appears to be effective. – No erosion or subsidence observed. July 15, 2016 – Intermittent herbicide application conducted to control Canada thistle and bull thistle.","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150) observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 – Weed control implemented on Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150). August 20, 2017 – Weed control implemented on Canada thistle (KP 21+315 to 21+720), bull thistle (KP 21+780 to 21+800), and tall buttercup (KP 22+090).  Issues resolved.",,,
SW 22-80-20,Forested,Moderate vegetation issue,"August 19, 2014 - Excellent vegetation establishment on hill slopes and berms. - KP 21+850 Canada thistle observed and pulled by hand. - KP 21+800 minor trench subsidence observed. Monitor in 2015. - KP 21+650 ponding at the base of slopes on the pipeline trench, restore contours  - KP 21+550 – reduced vegetation cover <50%, compared to off Row control, monitor in 2015. September 16, 2014 – Intermittent weeds identified and herbicide application conducted. September 17, 2014 – KP 21+650 – Drainage trench hand-dug from the ponding area on the south side of the ROW to the north side of ROW to help prevent ponding water on ditchline. Issue resolved.","June 19, 2015 – Excellent vegetation, tract hosting a broad flora diversity, and strong growth with high density. Previous vegetation cover issues resolved. – Diversion berms and drainage channels are well vegetated and stable. – KP 21+650 Drainage trench dug from the ponding area on the east side of the ROW to the west side of ROW in 2014 appears to be working well. – No subsidence or erosion noted at time of assessment, contouring and topography is consistent with off ROW control. - KP 21+800 – subsidence no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - Handpicked two bull thistle on ROW. – Diversion berms throughout ¼ appear well-vegetated and effective  – KP 21+640, Drainage trench crossing ROW appears to be effective. – No erosion or subsidence observed. July 15, 2016 – Intermittent herbicide application conducted to control Canada thistle and bull thistle.","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150) observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 – Weed control implemented on Canada thistle (KP 21+375, KP 21+875, KP 21+950, and KP 22+045), bull thistle (KP 21+875), and tall buttercup (KP 22+080 to 22+150). August 20, 2017 – Weed control implemented on Canada thistle (KP 21+315 to 21+720), bull thistle (KP 21+780 to 21+800), and tall buttercup (KP 22+090).  Issues resolved.",,,
NW 22-80-20,Forested,Moderate vegetation issue,"August 19, 2014 - Vegetation appears to be establishing well, compared to the off ROW control. - KP 22+200 to 22+100 – subsidence, not affecting land use. Area appears to be stable and well drained, no integrity or erosion concerns were observed at the time of the assessment. Monitor in 2015 September 16, 2014– KP 22+160 Perennial sow thistle patch identified and herbicide application conducted.","June 19, 2015 – Excellent vegetation, tract hosting high flora diversity, strong growth and density. Moderate vegetation coverage noted at KP 22+150 and 22+450 in 2013 is resolved. – KP 22+160 herbicide application to control perennial sow thistle in September 2014 appears to have effectively removed the undesired species. Issue resolved. – KP 22+100 to 22+200 - Minor subsidence, area is stable and well drained, no integrity or erosion issues observed at this time, issue resolved.  - Subsidence noted at KP 22+450 in 2013 is no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  –  No weeds observed. – Diversion berms throughout ¼ appear well-vegetated and effective  – No erosion observed","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 22+260 to 22+300 - Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 - KP 22+260 to 22+300 – Weed control implemented on Canada thistle. August 20, 2017 - KP 22+260 to 22+310 - Weed control implemented on Canada thistle. Issue resolved.",,,
NW 22-80-20,Forested,Moderate microtopography (subsidence) issue,"August 19, 2014 - Vegetation appears to be establishing well, compared to the off ROW control. - KP 22+200 to 22+100 – subsidence, not affecting land use. Area appears to be stable and well drained, no integrity or erosion concerns were observed at the time of the assessment. Monitor in 2015 September 16, 2014– KP 22+160 Perennial sow thistle patch identified and herbicide application conducted.","June 19, 2015 – Excellent vegetation, tract hosting high flora diversity, strong growth and density. Moderate vegetation coverage noted at KP 22+150 and 22+450 in 2013 is resolved. – KP 22+160 herbicide application to control perennial sow thistle in September 2014 appears to have effectively removed the undesired species. Issue resolved. – KP 22+100 to 22+200 - Minor subsidence, area is stable and well drained, no integrity or erosion issues observed at this time, issue resolved.  - Subsidence noted at KP 22+450 in 2013 is no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  –  No weeds observed. – Diversion berms throughout ¼ appear well-vegetated and effective  – No erosion observed","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 22+260 to 22+300 - Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 - KP 22+260 to 22+300 – Weed control implemented on Canada thistle. August 20, 2017 - KP 22+260 to 22+310 - Weed control implemented on Canada thistle. Issue resolved.",,,
NW 22-80-20,Forested,Moderate vegetation issue,"August 19, 2014 - Vegetation appears to be establishing well, compared to the off ROW control. - KP 22+200 to 22+100 – subsidence, not affecting land use. Area appears to be stable and well drained, no integrity or erosion concerns were observed at the time of the assessment. Monitor in 2015 September 16, 2014– KP 22+160 Perennial sow thistle patch identified and herbicide application conducted.","June 19, 2015 – Excellent vegetation, tract hosting high flora diversity, strong growth and density. Moderate vegetation coverage noted at KP 22+150 and 22+450 in 2013 is resolved. – KP 22+160 herbicide application to control perennial sow thistle in September 2014 appears to have effectively removed the undesired species. Issue resolved. – KP 22+100 to 22+200 - Minor subsidence, area is stable and well drained, no integrity or erosion issues observed at this time, issue resolved.  - Subsidence noted at KP 22+450 in 2013 is no longer evident, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  –  No weeds observed. – Diversion berms throughout ¼ appear well-vegetated and effective  – No erosion observed","June 8, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 22+260 to 22+300 - Canada thistle observed. Recommend weed control. - No subsidence or erosion observed in this ¼  June 10, 2017 - KP 22+260 to 22+300 – Weed control implemented on Canada thistle. August 20, 2017 - KP 22+260 to 22+310 - Weed control implemented on Canada thistle. Issue resolved.",,,
NE 21-80-20,Forested,"High microtopography (subsidence) issue High microtopography (subsidence) issue, Moderate vegetation issue","August 18, 2014 - Excellent vegetation establishing on all hill slopes and berms. Moderate vegetation at KP 22+700 issue resolved. - KP 23+400 to 23+250 – minor presence of Canada Thistle, foxtail, and perennial sow thistle, plants were pulled by hand. - KP 23+200 - minor sinkhole present on a hillslope slope. - KP 23+000 to 23+100 – reduced vegetation cover on low lying area. - KP 22+570 to 22+620 – subsidence noted, repairs recommended. - KP 22+700 – subsidence noted in 2013 is no longer evident, issue resolved. September 16, 2014 – KP 22+750 and KP 22+770 – Silt fence was removed from both sides of drainage. Silt fence was no longer functional. Issue resolved. – Weeds identified and herbicide application conducted intermittently September 19, 2014 – KP 22+570 to 22+620 – subsided areas were re-contoured, erosion control materials installed, and the area was seeded and harrowed.  Issues resolved.","June 19, 2015 - Vegetation appears well established on all hill slopes and berms. - KP 22+450 and 22+650, minor subsidence observed, not affecting land use. Recommend continued monitoring. - KP 23+100, reduced vegetation observed. Area appears to be filling in slowly. Recommend continued monitoring. - KP 23+100, intermittent tall buttercup observed. Recommend weed control.  July 5, 2015 – herbicide application conducted to control tall buttercup. October 1, 2015– Additional herbicide application conducted to control tall buttercup. - Weeds at KP 23+250 to 23+400 were no longer present, issue resolved.","May 30, 2016 – Vegetation is 90-100% of off-ROW.  - No weeds observed. - KP 23+100, reduced vegetation cover areas have filled in well. No further work required, issue resolved. - KP 22+700 – moderate vegetation issue is no longer present, issue resolved. – Diversion berms throughout ¼ appear well-vegetated and effective  – No erosion observed – KP 22+450 and 22+650, previously assessed subsidence appears well-vegetated, stable, and doesn’t appear to be affecting land use. No further work required, issue resolved. - KP 23+200 – Sink hole noted in 2014 is no longer present, issue resolved. July 15, 2016 - KP 23+090 to 23+130 - Tall buttercup observed at foreign line crossing. Herbicide application conducted to control on Project ROW. - Intermittent herbicide application on remaining portion of ROW to control ox-eye daisy and Canada thistle.","June 8, 2017 - Vegetative cover on the ROW is 80 to 100% compared to the off-ROW control.  - KP 22+780 to KP 22+820 – Vegetation cover is 50 – 65 % compared to the off ROW control. Recommend additional seeding. - KP 23+000 to 23+050 - Tall buttercup observed. Recommend weed control.  - No additional subsidence or erosion observed within ¼  June 9 and 10, 2017 - 22+780 to KP 22+820 – Seeding completed. KP 23+000 to 23+050 – Implemented weed control on tall buttercup. July 16, 2017 - Checked vegetation growth between KP 22+780 and 22+820 – Vegetation cover is within 80 – 100 % of the off ROW control, issue resolved. July 18, 2017 - KP 23+000 to 23+050 – Implemented weed control on tall buttercup August 20, 2017 KP 23+000 to 23+050 – Implemented weed control on tall buttercup (KP 23+000 to 23+050), perennial sow thistle (KP 23+270 to 23+340), and Canada thistle (KP 23+590 to 23+600). Issues resolved.",,,
