Legal Location,1st Year Issue/ Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
NE 25-96-10 W6,- Invasive Species,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 moderate vegetation issues resolved). Planted spruce trees were observed throughout this section of the ROW and all the trees observed were in good health. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - Canada thistle (KP 20+625) and perennial sow thistle (KP 20+750, 20+850, 20+970, and 21+015) observed, recommend weed control. - Evergreens were observed emerging throughout ROW. - No subsidence or erosion was observed in the ¼. July 13, 2016 - herbicide application conducted to control Canada thistle (KP 20+625) and perennial sow thistle (KP 20+750, 20+850, 20+970, and 21+015).  Issue resolved.","July 17, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Conifer species (spruce, pine) emerging within the tract.  - Canada thistle (KP 20+620) and perennial sow thistle (KP 20+950 to 21+200) observed, recommend weed control. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - Winter 2016 integrity dig site observed at KP 21+470. Site is re-establishing vegetation well (80-100%). No concerns, issue resolved. July 26, 2017 – Intermittent herbicide application conducted to control Canada thistle (KP 20+620) and perennial sow thistle (KP 20+750 to 21+300).  Issue resolved. September 29, 2017 – Herbicide application conducted to control Canada thistle (KP 20+620 and 20+910) and perennial sow thistle (KP 20+750 to 21+300).  Issue resolved.",,,
NW 25-96-10 W6,Invasive Species,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.  Rollback located at 21+100. The roll back at this location was used as line of sight measure. The rollback material was stacked approximately 2 m high for the width of the ROW.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - line-of-sight break in place, continue to monitor for stability. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - Line of sight berm at KP 21+055 is made of timbers and is effectively limiting sight lines. - Planted evergreens were observed on work side of the ROW in upland areas. - No noxious weeds were identified in this ¼. - No erosional issues were observed in this ¼. July 13, 2016 – Intermittent herbicide application conducted.  Issue resolved.","July 17, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  - Line of sight break at KP 21+055 is intact and functioning well.  September 29, 2017 - No noxious weeds were observed.",,,
NW 25-96-10 W6,Treed Bog,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.  Rollback located at 21+100. The roll back at this location was used as line of sight measure. The rollback material was stacked approximately 2 m high for the width of the ROW.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - line-of-sight break in place, continue to monitor for stability. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.",- Wetland in west end of the ¼ is well vegetated with wetland grasses and mosses as well as some willows and shrubs.  Cross drains are in place and are effectively allowing water across ditch line.,"July 17, 2017 - Treed bog on ROW from KP 22+100 to 22+290 appears to be at full functionality.  - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, buck brush, Labrador Tea and mosses. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions with as a result of an elevated water table. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.",,,
NE 26-96-10 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover, pea vine, poplar saplings, aspen, prickly rose and grass species (2013 moderate vegetation issue is resolved). Planted spruce trees were observed throughout this section of the ROW and all the trees observed were in good health. There was a tree plot area at 22+950. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼. - KP 22+385 and 22+680 - Canada thistle observed, recommend weed control. - Planted evergreens observed. - No erosional or subsidence issues. July 13, 2016 - KP 22+385 and 22+680 - Herbicide application conducted to control Canada thistle.  Issue resolved","July 17, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - No noxious weeds were identified in tract.  - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 29, 2017 - No noxious weeds were observed.",,,
NW 26-96-10 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar were emerging throughout. Planted pine trees were observed throughout this section of the ROW. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - No noxious or invasive weeds were observed in this ¼. - No erosional issues.","July 17, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Spoil side very well established with maturing vegetation, particularly willows and aspens.   - No noxious weeds were identified in tract. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - No erosion or subsidence identified within tract.  September 29, 2017 - No noxious weeds were observed.",,,
,Treed Fen,There has been bear activity observed throughout the ROW.,,"July 5, 2016 - Wetland in ¼ has portions of moderate vegetation growth, however native shrubs and plants are establishing.  Lots of shrub willows and aspen saplings populating the ROW.","July 17, 2017 - Treed fen on ROW from KP 23+320 to 23+640 appears to be at full functionality. Wetland terrain is undulating resulting in three varying areas of vegetation composition and hydrological conditions. - KP 23+320 to 23+370 exhibiting high peat conditions with water table slightly below surface. - KP 23+370 to 23+520 exhibiting upslope conditions with low moisture in substrate and hardwood species. - KP 23+520 to 23+640 exhibiting fully saturated conditions with water table level with surface of substrate. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush and willows. Peat area exhibiting higher density of Labrador Tea and mosses compared to other portions of wetland. Willows and shrubs are present in higher density on roach in fully saturated portion of wetland. - Trench crown present in wetland and is stable with sufficient breaks to maintain hydrology. Roach is slightly settled in fully saturated portions of wetland but hydrology remains. - Substrate appears stable through alternating moisture retention capabilities and organic content for different portions of wetland. - Wetland exhibiting good potential for wildlife; birds observed using wetland as habitat. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.",,,
SW 26-96-10 W6,Moderate Vegetation Establishment,There has been bear activity observed throughout the ROW.,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation in this ¼.  Entire ¼ is a wetland and is vegetated with wetland grasses and cat tails.  There is also lots of willow and shrub growth.  Establishment of native species was also evident.  - No noxious or invasive weeds were observed in this ¼. - No erosional issues.","July 17, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Identified on tract common yarrow, clover, and broadleaf shrubs.  - Volunteer pine trees establishing on tract, from off ROW.   - No erosion or subsidence on tract.  - No noxious weeds identified on tract.  September 29, 2017 - No noxious weeds were observed.",,,
SW 26-96-10 W6,Treed Fen,There has been bear activity observed throughout the ROW.,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation in this ¼.  Entire ¼ is a wetland and is vegetated with wetland grasses and cat tails.  There is also lots of willow and shrub growth.  Establishment of native species was also evident.  - No noxious or invasive weeds were observed in this ¼. - No erosional issues.","July 18, 2017 - Treed fen on ROW from KP 23+680 to 23+860 appears to be at full functionality. Fen is in the beginning of a transitional zone from upslope hardwood forest to low-lying fen to the south; resulting in drier soils to the north becoming more wet progressing south off ROW; similar to off ROW conditions. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, poplar, pine and shrubs. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through low-moderate moisture holding capacity and uniform vegetation growth throughout wetland. High organic content in substrate on spoil side of ROW leading towards low area of wetland to the south. - Wetland exhibiting dry to semi-saturated conditions progressing south. - Wetland exhibiting good potential for wildlife. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SE 27-96-10 W6,Moderate Vegetation Establishment,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼. - KP 23+900, Test lead marker posts required. - KP 24+420 - Perennial sow thistle observed, recommend weed control. - No erosional issues were identified. July 13, 2016 – Intermittent herbicide application conducted. August 24, 2016 - KP 23+900 – marker posts were installed.  Issue resolved. - Effective control of noxious weeds observed.","July 18, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Vetch, common yarrow, clover, and birdsfoot trefoil also identified on tract.  - Trench crown present and stable. Cross drains functioning well no water ponding - No erosion or subsidence on tract.  - KP 23+900 marker post straightened and stabilized, issue resolved. - No noxious weeds identified on track. September 29, 2017 - No noxious weeds were observed.",,,
SE 27-96-10 W6,Treed Bog,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Wetland at KP 24+070 is vegetated with wetland grasses, cat tails, birdsfoot trefoil shrubs, willows and mosses. Establishment of native species was also evident.  There is some woody debris slowing vegetation establishment in small areas, although vegetation is in-filling.","July 18, 2017 - Treed bog on ROW from KP 24+080 to 24+130 appears to be at full functionality. Argo rutting identified through wetland; not overall affecting wetland function and will settle over time. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, Labrador Tea, spruce, pine and mosses. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in bog exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions due to elevated water table existing slightly below substrate surface. - Wetland exhibiting good potential for wildlife; birds observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SE 27-96-10 W6,Treed Fen,,"– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Wetland at KP 24+365 is well vegetated with wetland grasses, cat tails, birdsfoot trefoil, avens, shrubs, willows and mosses.  Cross drains are in place and serving purpose.  Volunteer evergreens were also observed emerging from vegetation.","July 18, 2017 - Treed fen on ROW from KP 24+370 to 24+810 appears to be at full functionality. Wetland alters from peat-like conditions to saturated conditions at KP 24+600 to 25+800. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, Labrador Tea, spruce, pine and mosses. Higher density of willows and buck brush observed in saturated portion of wetland. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in exceeding 40cm; mottling occurring. High organic content in saturated portion of wetland as noted through high odour. - Wetland exhibiting semi-saturated to fully saturated conditions due to elevated water table existing slightly below substrate surface and at ground level. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW through time as a tertiary successional species. No net loss of wetland function was observed.",,,
SW 27-96-10 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 moderate vegetation issue is resolved). Shrubby fen areas were well vegetated with reed grass, sedges, dwarf birch and willows. There was standing water on both the work side and ditch side. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Roach is present along ditchline for the duration of the tract, remaining consistent throughout, with suitable cross drains implemented to accommodate appropriate migration of runoff.","July 18, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, willows and aspens. Present on tract vetch, common yarrow, clover, birdsfoot trefoil, cattails, reed grass, and broadleaf shrubs.  - No noxious weeds identified on tract. - No erosion or subsidence on tract.  - Trench crown present and stable. With moderate height through tract.  Cross drains functioning well no ponding and good vegetation established.  September 29, 2017 - No noxious weeds were observed.",,,
SW 27-96-10 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 moderate vegetation issue is resolved). Shrubby fen areas were well vegetated with reed grass, sedges, dwarf birch and willows. There was standing water on both the work side and ditch side. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions","July 18, 2017 - Shrubby fen on ROW from KP 24+810 to 24+930 appears to be at full functionality - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows and buck brush. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through very high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions due to elevated water table existing at ground level. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW through time as a tertiary successional species. No net loss of wetland function was observed.",,,
SW 27-96-10 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings (2013 moderate vegetation issue is resolved). Shrubby fen areas were well vegetated with reed grass, sedges, dwarf birch and willows. There was standing water on both the work side and ditch side. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 5, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions","July 18, 2017 - Shrubby fen on ROW from KP 25+090 to 25+140 appears to be at full functionality. Fen exists on the ROW as the southern edge of a meandering low-lying wetland to the north. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, willows, poplar, shrubs and spruce. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through moderate-high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting wetter conditions progressing to the north. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
,Shrubby Fen,,,,"July 18, 2017 - Shrubby fen on ROW from KP 25+230 to 25+300 appears to be at full functionality. Fen exists on the ROW as the southern edge of a meandering low-lying wetland to the north. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows. Roach exhibiting higher density of shrubs due to slight elevation. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions due to water table existing at ground level. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW vegetation successfully establishing on ROW; species biodiversity maintained. No net loss of wetland function was observed.",,,
SE 28-96-10 W6,Moderate Vegetation Establishment,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar and aspen were emerging throughout. Planted spruce trees were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 6, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Emerging coniferous species were identified along the north side of the right of way. - Minimal roach is present along ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff. - KP 25+510 – Pipeline sign requires repairs. - KP 25+760 and 25+830 – Perennial sow thistle observed, recommend weed control. July 13, 2016 - KP 25+760 and 25+830 - Herbicide application conducted to control perennial sow thistle.  Issue resolved. August 24, 2016 - KP 25+510 – Pipeline sign repaired, issue resolved. - KP 25+760 and 25+830 - Effective control of noxious weeds observed","July 18, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Present on tract common yarrow, clover, birdsfoot trefoil, and broadleaf shrubs. - Cattails, reed grass, and sedges are establishing in low areas.  - Trench crown present and stable.  Cross drains functioning well no ponding on tract.  - KP 25+575 and 25+830 – Perennial sow thistle observed, recommend weed control. July 26, 2017 – KP 25+575 and 25+830 – Herbicide application conducted to control perennial sow thistle.  Issue resolved. September 29, 2017 – KP 25+840 and 25+960 – Herbicide application conducted to control Canada thistle.  Issue resolved. - Effective control of noxious weeds observed on remaining portions of ROW.",,,
SE 28-96-10 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of vegetation being clover, vetch and grasses (2013 moderate vegetation issue is resolved). Woody species such as poplar and aspen were emerging throughout. Planted spruce trees were observed throughout this section of the ROW and the spruce trees were healthy. There were no weeds observed. The cross drainages appeared to be in appropriate locations and functional.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 6, 2016 - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions.","July 18, 2017 - Shrubby fen on ROW from KP 26+190 to 26+270 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids and willows - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions due to water table existing at ground level. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW through time as a tertiary successional species. No net loss of wetland function was observed.",,,
SW 28-96-10 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, grass species and poplar saplings. Shrubby fen areas revegetation species were consistent with off ROW control, with the woody species being willows and dwarf birch. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 6, 2016 - Excellent establishment of grasses, clover, Birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions. - Minimal roach is present along ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.","July 18, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Present on tract common yarrow, clover, cattails, reed grass, and broadleaf shrubs.  - Trench crown present and stable. - No erosion or subsidence on tract.  - No noxious weeds identified on tract.  Shrubby Fen - Shrubby Fen on ROW from KP 26+360 to 26+660 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush and willows. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. High organic content present in substrate. - Wetland exhibiting fully saturated conditions due to water table existing at ground level. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW through time as a tertiary successional species. No net loss of wetland function was observed. September 29, 2017 - No noxious weeds were observed.",,,
SE 29-96-10 W6,Shrubby Fen,"The ROW was well vegetated, with the majority of the vegetation being clover, vetch, grass species and poplar saplings. Shrubby fen areas revegetation species were consistent with off ROW control, with the woody species being willows and dwarf birch. There were no weeds observed. The cross drainages appeared to be in appropriate locations.","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 6, 2016 - Excellent establishment of grasses, clover, birdsfoot trefoil, American vetch, shrubs, aspen and willows providing a heavy canopy of vegetation throughout the tract.   - Emerging coniferous trees identified along both sides of the right of way, as well as along ditchline - Good establishment of vegetation within wetland locations, including cattails in lower areas.  Wetlands appear to meeting adequate function consistent with pre-construction conditions. - Roach is present along ditchline for the duration of the tract, with adequate cross drains implemented to accommodate appropriate migration of runoff.","July 18, 2017 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly grasses, vetch, willows and aspens. Identified on tract common yarrow, clover, and broadleaf shrubs.  - Volunteer pine trees establishing on tract, from off ROW.   - No erosion or subsidence on tract.  - No noxious weeds identified on tract.  - Cross drains functioning well no ponding and tract and well vegetated.  Shrubby Fen - Shrubby Fen on ROW from KP 27+300 to 27+690 appears to be at full functionality. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of herbaceous graminoids, buck brush, willows and sphagnum mosses. Higher density of shrubs on ditch line as a result of slightly elevated roach. - Trench crown present in wetland with sufficient amount of breaks for hydrology to be maintained. - Substrate appears stable through high moisture holding capacity and uniform vegetation growth throughout wetland. Peat depth in fen exceeding 40cm; mottling occurring. - Wetland exhibiting semi-saturated conditions due to water table existing slightly below substrate surface. - Wetland exhibiting good potential for wildlife; birds and amphibians observed in wetland. - No subsidence or erosion was observed in wetland. - Wetland is stable with appropriate pre-construction contours achieved. Off ROW Black Spruce to eventually emerge onto ROW through time as a tertiary successional species. No net loss of wetland function was observed. September 29, 2017 – KP 27+915 – Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
SW 29-96-10 W6,Rutting,"The ROW was well vegetated throughout this section. There was a combination of herbaceous and woody species throughout. The slope at 28+300 was well vegetation with no erosion issues. Monitor silt fencing effectiveness and remove/repair, as required.  The diversion berms appear to be working and are moderately vegetated. The seasonal drainage area (28+350) is also well vegetated with large amounts of woody species throughout. Monitor silt fencing effectiveness and remove/repair, as required. There are no erosion concerns noted at the time of assessment.  Rutting could not be located in 2014. Vegetation has likely covered the area. The 2013 assessment indicated that the rutting was not affecting the ROW. No further work required related to the rutting (issue resolved).","– Excellent vegetation cover on ROW, > 95 %, compared to the off ROW control. - No subsidence, erosion, or ponding issues noted during aerial assessment.  Continue to monitor ROW in 2016.","July 6, 2016 - Well established vegetation consisting of grasses, clover, birdsfoot trefoil, American vetch, and common yarrow, providing dense ground cover in ¼.  Shrubs, Aspen and willows observed throughout ¼.  - Planted evergreens were observed in various areas emerging throughout ¼. - Diversion berms and hill slopes are very well vegetated, stable and showing no signs of erosion.  - Silt fence can be removed from diversion berms at KP 29+180 and 28+225 and at the well vegetated drainage at KP 28+380. - No noxious weeds were identified in this ¼. - No subsidence or erosional issues were observed. August 24, 2016 - KP 28+225, 28+380, and 29+180 – remove sediment fencing, issue resolved. - KP 28+650 – Pipeline marker posts/sign repaired, issue resolved. - KP 28+240 – Perennial sow thistle observed, recommend weed control. Sept 19, 2016 - KP 28+240 – Herbicide application conducted to control perennial sow thistle.  Issue resolved.","July 18, 2017 - Vegetation cover on the ROW is 80-100% compared to off-ROW control. Good establishment of grasses, broadleaf shrubs, willows, and aspens throughout tract.  - Conifer species (spruce, pine) emerging within the tract – both planted and volunteer.   - KP 28+240 – Canada thistle observed, recommend weed control. - Trench crown present in tract; cross drains functioning well with no pooling or ponding water observed.  - Pipeline marker post stabilized at KP 28+150, issue resolved.  July 26, 2017 – KP 28+240 – Herbicide application conducted to control Canada thistle.  Issue resolved. September 29, 2017 – KP 28+050 and 28+240 - Herbicide application conducted to control Canada thistle.  Issue resolved.",,,
