Alignment Sheet,Legal Location (WPM),Approximate KP,Tract No.,Environmental Issue(s),Mitigative Measures Implemented During Construction,Outstanding Issue(s) from As-Built Report,Observations in 2010,Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
76,SE 22-7-17,1073.3,4153,"Soils - Admixing, Subsidence, Erosion",Landowner commented that additional grass seeding is required and two sink holes need to be addressed.,"Potential admixing, subsidence and erosion.",Identified during spring over-flight. Repairs observed on right-of-way during ground reconnaissance.,Resolved,None.,,,
76,SE 22-7-17,1073.4,4152,SWater Quality and Quantity Fish and Fish Habitat ouris River,Vehicles and equipment used existing bridges to access site. Trenchless (HDD) method used.,Replacement of slope cuts and topsoil on both sides of the Souris River,No issues observed on right-of-way.,Resolved,None.,,,
76,SW 23-7-17,1074.1 to W 0.4,4155,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for burdock and leafy spurge; full wash station for equipment cleaning set up at the edge of the bush.,Potential for weed introduction and spread.,"Moderate density of redroot pigweed, leafy spurge, false ragweed, stinkweed, kochia, lamb’s-quarters, creeping thistle, green foxtail and Russian thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,SW 23-7-17,1074.1,4155,Soils - Water Erosion Water Quality and Quantity - Field Drain,Two rows of silt fence installed at field drain.,Potential for sedimentation until vegetation established and for alteration of surface water drainage patterns.,Silt fencing damaged on right-of-way. No alteration of drainage patterns observed on right-of-way.,Unresolved,Repair silt fences in 2010 and monitor in 2011.,,,
76,NW 14-7-17,W 1.0,4155.01,Soils - Erosion,Landowner commented that flooded area at crossing was not seeded during clean-up. Seed mixture to be determined.,Potential for sedimentation until vegetation established.,No issue observed on right-of-way.,Resolved,None.,,,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Establishment,--,--,Poor vegetation establishment of desired wetland species observed on right-of-way within wetland crossing during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
76,NW 14-7-17,W 1.0,4155.01,Vegetation - Weeds,--,--,"Moderate density of common knotweed, foxtail barley, Russian thistle, perennial sow-thistle, lamb’s-quarters, kochia, field dock observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,NW 18-7-16,W 4.1,4158 4158.01,SSoils - Water Erosion Fish and Fish Habitat pring Brook,Appropriate vehicle crossing installed. Swamp mats. Adhered to instream RAP. Dry crossing - open cut method used. Fish salvage investigated but not warranted. Reshaped and compacted bed and banks. Silt fence and straw mats installed.  Seeded banks. Final clean-up complete.,Potential for erosion until vegetation is established.,Severe cattle impacts to west bank of crossing.,Unresolved,Restrict cattle access at west bank until vegetation has stabilized the bank.,,,
76,NW 18-7-16,W 4.1,4158 4158.01,SVegetation – Weeds pring Brook,--,--,"Moderate density of false ragweed, creeping thistle, field dock spear-leaved goosefoot and stinkweed observed on banks on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,NE 18-7-16,W 5.1,4159,USoils - Water Erosion nnamed Drainage,Open cut method Ford with swamp mats. Silt fence installed. Seeded banks. Final clean-up complete.,Potential for erosion until vegetation is established and for alteration of drainage patterns.,Poor vegetation establishment within drainage on right-of-way.,Unresolved,Reseed drainage and monitor grass growth in 2011.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,Right-of-way does not appear to have been seeded.,Unresolved,Seed right-of-way and assess vegetation in 2011.,,,
76,NW 16-7-16,W 6.9 to W 7.2,4162,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"Moderate density of foxtail barley, wild oats, Russian thistle, kochia and lamb's-quarters on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,NW 16-7-16,W 7.2 to W 7.35,4162,Soils - Compaction,--,--,Moderate to severe compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,
76,NW 16-7-16,W 7.2 to W 7.35,4162,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
76 (cont'd),NW 16-7-16 (cont'd),W 7.35 to W 7.9,4162,Soils - Admixing,--,--,Moderate admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
76 (cont'd),NW 16-7-16 (cont'd),W 7.35 to W 7.9,4162,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,Right-of-way does not appear to have been seeded.,Unresolved,Seed right-of-way and assess vegetation in 2011.,,,
76 (cont'd),NW 16-7-16 (cont'd),W 7.35 to W 7.9,4162,Vegetation - Weeds,--,--,"Moderate density of foxtail barley, wild oats, Russian thistle, Kochia and lamb's-quarters observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,NE 16-7-16,W 7.9 to 1082.3,4163,Vegetation - Weeds,Compressed air/shovel cleaning of equipment for kochia.,Weed introduction and spread.,"Moderate density of redroot pigweed, downey brome, stinkweed, false ragweed, lamb’s-quarters, kochia, Russian thistle, creeping thistle and spear-leaved goosefoot on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,NE 16-7-16,W 7.9 to 1082.3,4163,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
76,NE 16-7-16,W 7.9 to 1082.3,4163,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
76,SE 15-7-16,1083.6,4165,UWater Quality and Quantity nnamed Creek,Appropriate vehicle crossing installed - ramp. Dry crossing - open cut method used. Seeded banks. Final clean-up complete.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
76,SE 15-7-16,1083.7 to 1084.0,4166,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
76,SE 15-7-16,1083.7 to 1084.0,4166,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
76,SE 15 to SW 14-7-16,1083.7 to 1084.3,4166,Soils - Problem lower subsoil (contrasting soil textures),Three-lift soils handling.,Potential for soil admixing.,No issues observed on right-of-way.,Resolved,None.,,,
76,SW 14-7-16,1084.0 to 1084.3,4167,Soils - Problem lower subsoil (contrasting soil textures),Three-lift soils handling.,Potential for soil admixing.,No issues observed on right-of-way.,Resolved,None.,,,
76,SW 14-7-16,1084.0 to 1084.8,4167,Vegetation - Weeds,--,--,"High density of false ragweed, green foxtail, kochia, creeping thistle, redroot pigweed and prostrate pigweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
76,SE 14-7-16,1084.8 to 1085.7,4168,Vegetation - Weeds,Compressed air/shovel cleaning of equipment.,Potential for weed introduction and spread.,"High density of false ragweed, green foxtail, downey brome, Russian thistle, kochia, redroot pigweed and creeping thistle on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,SE 13-7-16,1086.5 to 1087.4,4169.01 4169.02,OTopography - Unstable banks Soils - Wind and Water Erosion and Sedimentation Vegetation - Weeds Fish and Fish Habitat  ak Creek,"Replace slope in lifts, install diversion berms where necessary. Appropriate vehicle crossing installed - single span bridge. Adhered to instream RAP. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Rip-rap armouring installed after construction on both banks. Straw mats, coconut mats, stenlogs, straw crimping and silt fence installed. Final reclamation complete.",Potential for erosion until vegetation is established. Potential for sloughing.,No erosion issues observed on right-of-way.,Resolved,None.,,,
77,SE 13-7-16,1086.5 to 1087.4,4169.01 4169.02,OVegetation - Weeds ak Creek,--,--,"High weeds density false ragweed, lamb’s-quarters, Russian thistle, stinkweed, creeping thistle, Canada fleabane and field dock on south east bank of right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,SE 18-7-15,1088.2 to 1088.7,4171,Vegetation - Weeds Land and Resource Use - Organic farm,Equipment cleaned prior to entry. Water and bleach cleaning station upon entry; compressed air/shovel cleaning of equipment upon exit. Signs installed. No refueling or waste receptacles installed.  No herbicides to control weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
77,SW 18-7-15,1088.7 to 1089.1,4172,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
77,SW 18-7-15,1088.7 to 1089.1,4172,Vegetation - Weeds,--,--,"High density of green foxtail, spear-leaved goosefoot, lamb’s-quarters, false ragweed and creeping thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,NW 8-7-15,1089.1 to 1089.8,4173,Vegetation - Weeds Land and Resource Use - Organic Farm,Equipment cleaned prior to entry. Compressed air/shovel cleaning of equipment upon exit. Signs installed. No refueling or waste receptacles installed.  No herbicides to control weeds.,Potential for weed introduction and spread.,"Moderate density of redroot pigweed, wild oats, green foxtail and downy brome on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
77,NE 8-7-15,1089.8 to 1090.7,4173.01,Vegetation - Weeds Land and Resource Use - Organic Farm,Equipment cleaned prior to entry. Compressed air/shovel cleaning of equipment upon exit. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
77,NE 8-7-15,1089.8 to 1090.7,4173.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
77,NW 9-7-15,1090.7 to 1091.5,4174,Vegetation - Weeds,--,--,"Moderate density of redroot pigweed, green foxtail and prostrate pigweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,NE 9-7-15,1091.5 to 1092.4,4175,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
77,NE 9-7-15,1091.5 to 1092.4,4175,Land and Resource Use - Organic Farm Vegetation - Weeds,Equipment cleaned prior to entry. Water and bleach cleaning station upon entry; compressed air/shovel cleaning of equipment upon exit. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds. Equipment cleaned prior to entry.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
77,NW 10-7-15,KP 1092.4 to 1093.2,4176,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
77,NW 10-7-15,KP 1092.4 to 1093.2,4176,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
77,NW 10-7-15,KP 1092.4 to 1093.2,4176,"Land and resource use - Organic farm
Vegetation - Weeds",Equipment cleaned prior to entry. Water and bleach cleaning station upon entry; compressed air/shovel cleaning of equipment upon exit. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,"High density of green foxtail, kochia, prostrate pigweed, redroot pigweed and wild oats on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
77,NE 10-7-15,1093.2 to 1093.9,4177,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
77,SE 10-7-15,1094,4178,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
77,SE 10-7-15,1094,4178,Vegetation - Weeds,--,--,"Moderate density of false ragweed, redroot pigweed, green foxtail, lamb’s-quarters and wild buckwheat observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,SE 11-7-15,1095.5,4181,"Vegetation - Weeds
land and resource use - certified seed land",Landowner requested full wash station for cleaning equipment prior to entry onto Certified seed land.,Potential for weed introduction and spread.,"Moderate density of green foxtail, prostrate pigweed, redroot pigweed, volunteer canola, creeping thistle and wild oats on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
77,SW 12-7-15,1095.7 to 1096.5,4182,"Vegetation - Weeds
land and resource use - certified seed land",Equipment cleaned prior to entry. Signs installed.,Potential for weed introduction and spread.,No issues observed on right-of-way.,Resolved,None.,,,
77,SW 12-7-15,1095.7 to 1096.5,4182,Soils - Compaction,--,--,Moderate compaction and reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,
77 to 78,NE 5-7-14,1100.3 to 1100.8,4188,Soils - Admixing,Landowner reports that there is exposed subsoil in the east half of quarter section.,Potential admixing and crop growth issues.,Reduced crop growth on right-of-way. Moderate admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
78,SW 2-7-14,GB 1.5 to GB 2.3,4193.03 4194,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,SW 2-7-14,GB 1.5 to GB 2.3,4193.03 4194,Vegetation - Weeds,--,--,"High density of kochia, false ragweed, field dock, creeping thistle and foxtail barley observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SW 1-7-14,1105.8 to 1106.5,4197,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,SW 1-7-14,1105.8 to 1106.5,4197,Vegetation - Weeds,--,--,"High density of wild oats, green foxtail, green smartweed, lamb’s-quarters, perennial sow-thistle, redroot pigweed, kochia and white cockle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,NW 36-6-14,1106.5 to 1107.4,4198,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,NW 36-6-14,1106.87 to 1107.18,4198,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (60%),Topsoil salvaged from area staked by Environmental Inspector and stored separately from other topsoil. Wetland topsoil replaced according to stakes.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (31%). Undesirable species dominant on right-of-way. Bare ground on right-of-way. Landowner has cultivated portion of right-of-way.,Unresolved,Monitor in 2011.,,,
78,NE 36-6-14,1107.4 to 1108.4,4199,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,NE 36-6-14,1107.4 to 1108.4,4199,Land and Resource Use - Organic Farm Vegetation - Weeds,Equipment cleaned prior to entry. Water and bleach cleaning station upon entry; compressed air/shovel equipment cleaning upon exit. Signs installed. No refueling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,"Moderate density of spear-leaved goosefoot, dandelion, creeping thistle, common plantain and foxtail barley on right-of-way.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Soils - Compaction,--,--,Moderate compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Alleviate compaction in 2011, if warranted.",,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Soils - Admixing,--,--,Moderate admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
78,NW 31-6-13,1108.4 to 1108.9,4199.01 4200,Vegetation - Weeds,--,--,"Moderate density of spear-leaved goosefoot, foxtail barley, false ragweed, stinkweed, common peppergrass, green foxtail, wild buckwheat and creeping thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SW 31-6-13,1108.9 to 1109.3,4200.01,Soils - Erosion,Straw crimped.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,SW 31-6-13,1108.9 to 1109.3,4200.01,Vegetation - Weeds,--,--,"High density of spear-leaved goosefoot, lamb’s quarters, false ragweed, green foxtail and perennial sow-thistle observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SE 31-6-13,1109.3,4201.01,OWater Quality and Quantity Fish and Fish Habitat ak Creek,Appropriate vehicle crossing installed. Adhered to in stream RAP. Dry crossing - open cut method used. Fish salvage investigated but not undertaken due to dry conditions. Reshaped and compacted bed and banks. Seeded banks. Final reclamation complete.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,SE 31-6-13,1109.4 to 1110.0,4201,Vegetation - Weeds,--,--,"Moderate density of perennial sow-thistle, dandelion, spear-leaved goosefoot, field dock, common knotweed and foxtail barley observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SE 31-6-13,1109.4 to 1110.0,4201,Vegetation - Establishment,--,-,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
78,SW 32-6-13,1110.0 to 1111.0,4201.01,Vegetation - Weeds,--,--,"High density of field dock, creeping thistle, perennial sow-thistle, dandelion and false ragweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SW 32-6-13,1110.3,4201.01,OSoils - Erosion Water Quality and Quantity Fish and Fish Habitat ak Creek,Appropriate vehicle crossing installed. Adhered to in stream RAP. Dry crossing - open cut method used. Reshaped and compacted bed and banks. Seeded banks. Final reclamation complete.,Potential for erosion until vegetation is established.,No issues observed on right-of-way.,Resolved,None.,,,
78,SW 32-6-13,1110.33 to 1110.83,4201.01,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with Problems (91%),Wetland crossing constructed during LSr pipeline construction. Vegetation walked down. Trench line stripped during frozen conditions. Remaining areas of the right-of-way had the vegetation walked down and frost packed to allow heavy equipment to drive on it without rutting or admixing soils.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,"Health: healthy with problems (61%). Weeds: creeping thistle, perennial sow thistle. Elevated trench crown (approx. 10 to 40 cm). Undesirable species dominant on right-of-way. Bare ground on right-of-way.",Unresolved,Follow weed control plan. Monitor in 2011.,,,
78,NE/SE 28-6-13,1112.78 to 1113.12,4204 4205,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy (82%),Wetland crossing constructed during pipeline construction. Trench line stripped during frozen conditions. Remaining areas of the right-of-way had the vegetation walked down and frost packed to allow heavy equipment to drive on it without rutting or admixing soils.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (63%). Undesirable species dominant on right-of-way. Landowner has cultivated right-of-way.,Unresolved,Monitor in 2011.,,,
78,SE 28-6-13,1113.0 to 1113.6,4205,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
78,SW 27-6-13,1113.6 to 1114.4,4206,Vegetation - Weeds,--,--,"High density of kochia, Russian thistle, spear-leaved goosefoot and false ragweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
78,SW 27-6-13,1113.6 to 1113.75,4206,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
78,SW 27-6-13,1113.8,4206,Water Quality and Quantity - Field Drain,Installed field drains to accommodate surface run-off.,Potential for sedimentation until vegetation established and for alteration of surface water drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
79,SE 24-6-13,1118.4 to 1118.6,4213,Wetland Class Overall: III Wetland Class on right-of-way: III 2008 Health: Healthy with problems (70%),Installed geotextile and shale ramp. Trenched through wetland. Backfilled trench. Geotextile and shale thoroughly removed from the wetland ramp.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Healthy with Problems (68%).,Resolved,None.,,,
79,SW 19-6-12,1119.0 to 1119.5,4214,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
79,SW 19-6-12,1119.5,4214,Vegetation - Weeds,Compressed air/shovel cleaning of equipment prior to entering Organic farm.,Potential for weed introduction and spread.,"Moderate density of redroot pigweed, kochia, perennial sow-thistle and false ragweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow weed control plan and monitor in 2011.,,,
79,NW 18-6-12,1119.6 to 1119.8,4215,Land and Resource Use - Organic Farm Vegetation - Weeds,Equipment cleaned prior to entry. Signs installed. No refuelling or waste receptacles installed. No herbicides to control weeds.,Potential for weed introduction and spread.,"Moderate density of creeping thistle, white cockle, stinkweed and false ragweed observed on right-of-way during ground reconnaissance.",Unresolved,Follow non-chemical weed control plan and monitor in 2011.,,,
79,NE 18-6-12,1119.8 to 1120.3,4216,Vegetation - Weeds,"Landowner concerned with the presence of weeds, especially concerned with creeping thistle. Landowner mentioned the weeds are directly related to the 1998 pipeline construction. Compressed air/shovel cleaning of equipment upon exit from the Cypress River used during co-construction at KP 1120.1, but not during Alberta Clipper pipeline consecutive construction. Weeds were mowed September 2008. Included in weed control spraying program during summer 2009 (Jun. 25 to Jul. 5, 2009).",Potential for weed introduction and spread.,"Moderate density of stinkweed, spear-leaved goosefoot and common plantain on right-of-way.",Unresolved,Follow weed control plan and monitor in 2011.,,,
79,NE 18-6-12,1119.8 to 1120.3,4216,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
79,NE 18-6-12,1120.0 to 1120.1,4216,Soils - Subsidence,--,--,Moderate subsidence observed on right-of-way during ground reconnaissance.,Unresolved,Repair subsidence and monitor in 2011.,,,
79,NE 18-6-12,1120.1,4216,CSoils – Erosion Water Quality and Quantity ypress River,"Appropriate vehicle crossing installed - single span bridge. Isolation method used. Fish salvage conducted. Reshaped and compacted bed and banks. Hand seeded banks. Soil wrapped east bank, Curlex installed on west bank and notched areas of bridge. Silt fence installed. Consultant confirmed the compaction to meet the requirements of MWS.",Potential for erosion/sedimentation until vegetation is established and for alteration of drainage patterns.,"Poor vegetation establishment on both banks. Minor rill erosion, slumping and unstable slopes on both banks. Approximately 50 to 70% willow success rate on both banks.",Unresolved,"Reseed, repair slumping and erosion on both banks and monitor grass growth and bank stability in 2011.",,,
79,NE 18-6-12,1120.25 to 1120.7,4216,Soils - Shallow Topsoil,Shallow topsoil only 10 cm deep on average. Clay exposed in spots on surface. Topsoil was added to bald exposed areas.,Potential admixing.,No issues observed on right-of-way.,Resolved,None.,,,
79 (cont'd),NE 18-6-12 (cont'd),1120.25 to 1120.7 (cont'd),4216 (cont'd),Soils - Erosion,--,--,Gully erosion and reduced crop growth on down slopes of undulating topography on right-of-way observed during ground reconnaissance.,Unresolved,"Monitor crop growth and erosion potential in 2011 and repair, if warranted.",,,
79 (cont'd),NE 18-6-12 (cont'd),1120.25 to 1120.7 (cont'd),4216 (cont'd),Soils - Topsoil Loss,--,--,Severe topsoil loss on down slopes of undulating topography on right-of-way observed during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address topsoil loss in 2011, if warranted.",,,
79,SE 16-6-12,1123.4 to 1123.7,4220,Soils - Admixing,Subsoil placed on topsoil pile by inexperienced hoe Operator due to lack of Foreman guidance. The Senior Environmental Inspector addressed the issue with the Foreman.  The material was removed.,Potential admixing.,Minor admixing on right-of-way.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
79,NE 9-6-12,1123.8 to 1124.3,4221,Soils - Erosion Water Quality and Quantity - Field Drain,Silt fence installed near 1124.1 as there is a wetland within 20 m of the right-of-way.,Potential for erosion/sedimentation until vegetation is established. Potential for disruption of natural drainage patterns.,No issues observed on right-of-way.,Resolved,None.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Erosion,Straw crimping completed along the construction right-of-way from KP 1124.4 to KP 1124.5 and KP 1124.9 to KP 1126.3.,Potential for erosion/sedimentation until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Vegetation - Crop Growth,--,--,Reduced crop growth observed on right-of-way during ground reconnaissance.,Unresolved,Monitor crop growth in 2011.,,,
79,NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,--,--,Moderate admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor crop growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
79,NW 10-6-12,1124.4 to 1124.5,4222,Vegetation - Weeds,Manure incorporated into subsoil to restore soil conditions.,Potential for weed introduction and spread.,No issue observed on right-of-way.,Resolved,None.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils - Erosion,Straw crimping completed along the construction right-of-way from KP 1124.4 to KP 1124.5 and KP 1124.9 to KP 1126.3.,Potential for erosion/sedimentation until vegetation is established.,No issue observed on right-of-way.,Resolved,None.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Establishment,--,--,Poor vegetation establishment observed on right-of-way during ground reconnaissance.,Unresolved,Reseed and monitor grass growth in 2011.,,,
79,NW 10-6-12,1124.6 to 1125.0,4222,Soils - Compaction,--,--,Moderate compaction observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Alleviate compaction, if warranted.",,,
79,NW 10-6-12,1124.7 to 1124.86,4222,Wetland Class Overall: IV Wetland Class on right-of-way: III 2008 Health: Unhealthy (24%),Ramp and flume installed for vehicle crossing. Silt fence in place to prevent silt from entering the wetland. Landowner requested a new ramp and flume be constructed across the wetland. Ramp and flume installed and left in place.,Potential for sedimentation until vegetation is established and for alteration of drainage patterns.,Health: Unhealthy (40%).,Resolved,None.,,,
79,NW 10-6-12,1124.9 to 1125.3,4222,Vegetation - Weeds,Manure incorporated into subsoil to restore soil conditions.,Potential for weed introduction and spread.,No issue observed on right-of-way.,Resolved,None.,,,
79,E1/2 10-6-12,1125.3 to 1126.3,4222.01 4222.02,Vegetation - Weeds,Manure incorporated into subsoil to restore soil conditions.,Potential for weed introduction and spread.,No issue observed on right-of-way.,Resolved,None.,,,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,GTopography Soils - Water Erosion rass waterway,"Straw logs placed on grass waterway, from KP 1125.1 to KP 1126.3 Subsoil diversion berms, and round straw bales installed to divert water. Straw bales obtained from landowner to minimize weed potential.","Grass waterway to be re-contoured, and the alfalfa and brome grass put back to the appropriate locations. Potential for erosion/sedimentation until vegetation is established.",Erosion rills and gullies forming down slopes of undulating topography and in between straw logs.,Unresolved,"Recontour slopes in 2010. Monitor grass growth, erosion and drainage in 2011.",,,
79,NE 10-6-12,1125.3 to 1125.4,4222.01,Soils - Admixing,--,--,Moderate to severe admixing observed on right-of-way during ground reconnaissance.,Unresolved,"Monitor grass growth in 2011. Source and add clean topsoil to address admixing in 2011, if warranted.",,,
