Legal Location,1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,VEC,GIS,Topic
C 009 L/094 I 10 to  D 009 L/094 I 10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, and some shrubs throughout the majority of this wetland. Emerging mosses were observed within this area; vegetation establishment indicates progressive succession of wetland function.   - volunteer species of black spruce and tamarack are present; also native species establishing such as Labrador tea. - cross drainage present is functional",,,
D-009-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
D 009 L/094 I 10 to  A 009 L/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract.   - cross drainage present is functional.",,,
A-009-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 23, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
A-009-L/094-I-10,Poor Vegetation Establishment/ Ditch Plug (19+757),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-008-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"""July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 23, 2016 Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Excellent willow and poplar re growth on edge of ROW and within TWS’s.",,,
B 008 L/094 I 10 to  A 008 L/094 I 10,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, seral species and some shrubs throughout. - Vegetation establishment indicates progressive succession of wetland function.   - Volunteer black spruce are observed to be emerging throughout the work side of the right of way. - cross drainage present is functional.",,,
A-008-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 23, 2016 Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Excellent willow and poplar re growth on edge of ROW and within TWS’s.",,,
B-007-L/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line September 23, 2016 - KP 20+900 – additional herbicide application to control perennial sow thistle and common tansy.",,,
B-007-L/094-I-10,Poor Vegetation Establishment/ Ditch Plug (20+760),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-007-L/094-I-10,Kyklo Creek (20+900)  High Vegetation Establishment,The reclamation of Kyklo Creek was completed in compliance with the site-specific reclamation plan. All silt fencing was removed in November 2014. Monitor in 2015.,"June 21, 2016 - KP 20+900 Kyklo Creek, banks appear stable at time of assessment, high flows, creek at bank full. - Beaver dam located downstream of crossing, off-ROW. July 26, 2016 - Banks are stable and well vegetated, revetments are in good condition. Continue to monitor.",,,
C-097-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle on ditch line.",,,
C-097-E/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 13, 2016 - Considerable establishment of grasses, willows, alders, seral species and some shrubs throughout the majority of this tract. Vegetation establishment indicates progressive succession of wetland function.   Volunteer black spruce are observed to be emerging throughout the work side of the right of way.   - cross drainage present is functional",,,
C-097-E/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
C 097 E/094 I 10 to  B 096 E/094 I 10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
D-097-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle on ditch line.",,,
A-097-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle on ditch line.",,,
A-097-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (21+557),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-096-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle on ditch line.",,,
B-096-E/094-I-10,Line-of-Sight Control (22+100),The line-of-sight control is standing correctly and is effectively blocking views down the right-of-way. The line-of-sight covers the entire right-of-way.,"June 21, 2016 - Wildlife Line of sight barriers - some of the barriers have fallen over, recommend repairs. July 26, 2016 - Temporary repairs completed to barriers, additional tools/materials required to complete. Oct 15, 2016 - Additional repairs completed with appropriate materials, issue resolved.",,,
B 096 E/094 I 10 to  A 096 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
A-096-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 – additional intermittent herbicide application conducted to control perennial sow thistle on ditch line.",,,
A-096-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (22+408),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
A-096-E/094-I-10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
B-095-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 - KP 26+000 – straitened and secured marker posts and sign.  - KP 23+100 – herbicide application conducted to control perennial sow thistle.",,,
B-095-E/094-I-10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
B-095-E/094-I-10,Forested Rare Plant (23+000),No slender mannagrass were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Three individual plants observed during site visit. Mitigation for this rare plant occurrence is considered to have been effective, and this site is considered resolved.",,,
B 095 E/094 I 10 to  A 095 E/094 I 10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
A-095-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
A 095 E/094 I 10 to  A 094 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
B-094-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
A-094-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 75-85% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
A-094-E/094-I-10,Treed Bog,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
A 094 E/094 I 10 to  B 093 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
B-093-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line.",,,
B-093-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (24+057),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014, with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B 093 E/094 I 10 to  A 093 E/094 I 10,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
A-093-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,,,,
A-093-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (24+656),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
A 093 E/094 I 10 to  B 092 E/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning by maintaining hydrology.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
B-092-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 70-80% vegetation established within tract compared to off ROW. Tract dominated by wetland vegetation. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract, primarily on ditch line. September 22, 2016 - KP 24+900 and 25+200 – herbicide application conducted to control perennial sow thistle.",,,
B-092-E/094-I-10,Rare Plant (25+100),No saxifrage species were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Location not assessed in 2016, monitor in future monitoring programs.",,,
B-092-E/094-I-10,Rare Plant (25+100),"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014. Issue resolved.",,,,
B 092 E/094 I 10 to  B 100 F/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Emergent riparian vegetation throughout. - Appropriate species such as sedge, bulrush and willow species continue to re-establish.  - Grass species and grass density comparable to adjacent land. - Cross drains within wetland are functioning.  - Ponded water intermittently. - Wetland functional, issue resolved.",,,
A-092-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"July 26, 2016 - 80-90% vegetation established within tract compared to off ROW. - Tract dominated by wetland vegetation. - Standing water present within wetland throughout tract. - No weeds observed within tract during assessment.",,,
A-092-E/094-I-10,Rare Plant (25+300),40 bog adder’s-mouth orchid were observed. Issue resolved.,,,,
A-092-E/094-I-10,Poor Vegetation Establishment/ Ditch Plug (25+456),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-091-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 26+000 – straightened and secured marker posts and sign.  - Vegetation continues to establish, exhibiting good growth. No issues.",,,
A-091-E/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B-100-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B-100-F/094-I-10,Poor Vegetation Establishment/ Ditch Plug (26+256 and 26+410),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B-100-F/094-I-10,Unnamed drainage to Kotcho River (26+500) Moderate/High Vegetation Establishment,Vegetation has established well at this watercourse. No erosion issues were observed. Silt fencing removed in November 2014. Monitor vegetation establishment in 2015. Ensure banks remain stable and no erosion is occurring.,"September 22, 2016 - KP 26+300 – straightened and secured marker posts and signs on both sides of water crossing.  - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B 100 F/094 I 10 to  A 100 F/094 I 10,Seasonal Emergent Marsh,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
A-100-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - Vegetation continues to establish, exhibiting good growth. No issues.",,,
A 100 F/094 I 10 to  B 098 F/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
B-099-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 27+550 – herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
A-099-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 27+550 – herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B-098-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 27+800 - herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B 098 F/094 I 10 to  A 098 F/094 I 10,Needle-Lead Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
A-098-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 27+800 - herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
A-098-F/094-I-10,Rare Plant (28+100),No saxifrage species were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at recorded pre-disturbance locations. Litter accumulation from competing graminoid (grass) species is likely limiting to species re-establishment at this site. As this species has not been observed during two consecutive monitoring events encompassing three growing seasons since final cleanup, further monitoring at this location is not recommended.  Issue resolved.",,,
A-098-F/094-I-10,Rare Plant (28+200),Three individual orange touch-me-not plants were located off the right-of-way in an existing right-of-way. These plants were not monitored because they are off the right-of-way. Issue resolved.,,,,
A-098-F/094-I-10,Rare Plant (28+300),"Due to the change in conservation priority status for western Jacob’s-ladder in BC, no monitoring was warranted for this species in 2014. Issue resolved.",,,,
A 098 F/094 I 10 to B 097 F/094 I 10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
B-097-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - KP 28+700 - herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth. No issues.",,,
B-097-F/094-I-10,Poor Vegetation Establishment/ Ditch Plug (28+654),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014 with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
B 097 F/094 I 10 to  A 097 F/094 I 10,Shrubby Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
A-097-F/094-I-10,Forested Moderate/High Vegetation Establishment,Moderate to high vegetation establishment observed on majority of construction right-of-way with patches of low vegetation establishment.,"September 22, 2016 - Vegetation continues to establish, exhibiting good growth. No issues.",,,
A-097-F/094-I-10,Rare Plant (28+900),No saxifrage species were observed. Unresolved – habitat is suitable for this species. Monitor in 2016.,"August 20, 2016 - Species not observed at pre-disturbance locations. Mitigation measures taken during construction effectively maintained habitat conditions similar to pre-disturbance conditions.  Further monitoring at this site is not recommended. Issue resolved.",,,
A-097-F/094-I-10,Mixedwood Treed Swamp,"Wetland observed to be on the trajectory of reaching pre construction functional condition. Indicators of this on the construction right of way include: • pre construction contour restoration; • observation of a reclaimed seedbank, based on the growth of the appropriate succession species; and  • absence of excessive ponded water or impeded flow due to the construction right of way.","Oct 14, 2016 - Considerable establishment of, willows, alders, native lowland grasses, cattails and some shrubs throughout the majority of this tract. - Cross drains within wetland are functioning.",,,
A-097-F/094-I-10,Poor Vegetation Establishment/ Ditch Plug (28+955),"Ditch plug constructed so that bentonite plug is exposed to the surface, limited to no vegetation over ditch plug. Repaired in November 2014, with the placement of organics over the bentonite plug.",Monitor in 2017.,,,
