Legal Location,1st Year (2013) Issue/Condition,2nd Year (2014) PCRM Assessment and Work Completed,3rd Year (2015) PCRM Assessment and Work Completed,4th Year (2016) PCRM Assessment and Work Completed,5th Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-F9,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW","June 21, 2015 - Vegetation establishment appears to be 80-90% cover compared to off ROW control. ROW exhibiting poor vegetation cover in peat soils from KP 52+180 to 52+500 and from 52+720 to 52+920. Continue to monitor for vegetation growth in peat soils. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 27, 2015 - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  2013, 2014, and early 2015 vegetation cover issues resolved. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - 80-90% vegetation established compared to off ROW. - Tract well vegetated with no noxious weeds observed during assessment. - Intermittent bare patches present within tract, monitor. - No issues at this time. September 28, 2016- Stub berms and cross drains are vegetated and functioning with minimal subsidence.  - Vegetation continues to establish, exhibiting good growth.  - No noxious weeds identified. No issues.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified. - Cross drains are functioning.  - Stub berms along trench crown are effective. - No soil stability issues.  Oct 1, 2017 - No noxious weeds identified. No issues.",,,
94I-14-F8,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW","June 21, 2015 - Vegetation establishment appears to be 85-95% cover compared to off ROW control.  2013 and 2014 vegetation cover issue resolved. - No weed issues evident in tract. - Roach is showing 70% vegetation cover compared to ROW with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 27, 2015 - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were noted. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - 85-95% vegetation established compared to off ROW. - Intermittent bare patches present within tract, monitor. - Perennial sow thistle observed intermittently throughout the tract.  Herbicide application conducted to control. September 28, 2016 - KP 53+500 - Straightened and secured marker posts and signage at winter road crossing. - Stub berms and cross drains are vegetated and functioning with minimal subsidence.  - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - No noxious weeds identified.   - Cross drains are functioning. - Stub berms along trench crown are effective. - No soil stability issues.  Oct 1, 2017 - No noxious weeds identified. All previous issues resolved.",,,
94I-14-C98,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW","June 22, 2015 - Vegetation establishment appears to be 85-95% comparable to off ROW control with some areas exhibiting thinner cover likely attributed to higher densities of mulch.  2013 and 2014 vegetation cover issue resolved. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted from KP 53+800 to 54+040 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. - All perennial sow thistle plants found in wetland areas were handpicked. September 27, 2015 - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted.  - Foreign pipeline and winter road crossings appeared to be well vegetated and stable.  No erosion or subsidence was observed. - Non classified drainage appeared to be stable and well vegetated.  No evidence of erosion was observed.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","September 28, 2016 – Intermittent herbicide application conducted to control perennial sow thistle. - Vegetation continues to establish, exhibiting good growth.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issues resolved. - Cross drains are functioning. - Stub berms along trench crown are effective. - No soil stability issues.  - Rollback on ROW from KP 53+850 to 54+200 providing effective access control from perpendicular cutline at KP 54+000. Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
94I-14-C87,Moderate vegetation establishment,"September 19, 2014 - Vegetation showing slow re-establishment, lots of bare patches across ROW","June 22, 2015 - Vegetation establishment appears to be 85-95% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’.  2013 and 2014 vegetation cover issue resolved. - Patch of perennial sow thistle found at KP 54+570. Recommend implementing weed control. - Roach is well vegetated and appears stable with cross drains functioning well. - Rollback along ROW is functioning well as no foreign activity is evident. - Slow, wide creek crossing at KP 55+500 appears stable with good vegetation establishment on both banks. Bed appears stable. Beaver activity evident downstream of crossing. Wetland vegetation establishing within creek bed, as comparable to off ROW. Fixed marker sign on northwest bank. - No subsidence or erosional issues evident in tract. July 18, 2015 - Patch of perennial sow thistle was handpicked in wetland area at KP 54+570. September 27, 2015 - Vegetation is establishing well throughout the ROW with Willows, small shrubs and trees observed.  High concentrations of tall clover were observed throughout the tract however native vegetation was noted growing under the clovers.  - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - KP 55+500 – removed silt fence and T-posts on east edge of ROW. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 28, 2016 - KP 54+600 – removed skid.  - KP 55+500 - Straightened and secured marker posts and signage - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - Spruce saplings have sprouted throughout ROW. High density on ditch line. - No issues.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are functioning.  - Stub berms along trench crown are effective. - No soil stability issues.  Oct 3, 2017 - No noxious weeds identified. All previous issues resolved.",,,
94I-14-C86,Moderate vegetation establishment,"September 19, 2014 - Silt fence can be removed at 55+500, healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline.  2013 vegetation cover issue resolved.","June 22, 2015 - Vegetation establishment appears to be 85-90% comparable to off ROW control. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach is well vegetated and appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. - All perennial sow thistle plants located in wetland areas were handpicked. - Removed silt fences on both banks of slow-moving wide creek (KP 55+500), issue resolved. A section of silt fence uphill on the north bank was left in place appearing to retain silt.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Metlahdoa Creek - KP 55+550 –There is a large beaver dam to the east, causing ponded water across right of way. Area is mature and stable. Little to no flow at this time.  - Intermittent herbicide application conducted to control perennial sow thistle, predominantly on ditch line. September 28, 2016   Intermittent herbicide application conducted to control perennial sow thistle, predominantly on ditch line. - Vegetation continues to establish, exhibiting good growth.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are functioning.  - Stub berms along trench crown are effective. - No soil stability issues.  Caribou Habitat Restoration Location - Rollback added to both sides of watercourse crossing from KP 55+270 to 55+650 providing effective access control in area.  Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
,Peat-accumulating marsh,"September 19, 2014 - Wetland located from KP 55+480 to KP 55+580 is well drained and not holding water.  - Wetland is establishing emergent vegetation throughout. - Margins of emergent vegetation growth are dry likely due to time of year of assessment. - Channelized flow present along ditchline, draining across ROW.","June 22, 2015 - Peat-accumulating marsh located between kp 55+480 and kp 55+580 has open water along ROW and contains emergent riparian vegetation.  - Wetland is associated with beaver dam complex located at kp 55+500.  - Wetland functional. Issue resolved.","Sept 28, 2016 - Peat-accumulating marsh located between KP 55+480 and KP 55+580. - Watercourse crossing located at KP 55+530. - Open water ponded along crossing due to upstream beaver activity. - Banks stable, no visible sign of bank revetments. - Wetland functional. Issue resolved.","August 2, 2017 - Marsh on ROW from KP 55+480 to 55+580 appears to be at full, proper functionality. Wetland is inclusive of beaver-influenced creek crossing. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids and submergent vegetation. Deciduous and coniferous tee species successfully establishing in riparian zones of water course to compare with off ROW conditions.  - Trench crown has settled through watercourse; hydrology maintained. No subsidence or erosion issues were identified in wetland. - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. No peat accumulation observed in wetland on or off ROW.  - Wetland exhibiting fully saturated conditions, comparable to off ROW conditions resulting from creek crossing. - Wetland providing good habitat opportunity through good vegetation cover and standing water; birds observed throughout beaver-influenced ecosystem. Minnows observed in watercourse. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW; species diversity maintained. No net loss of wetland function was observed.",,,
,Treed fen,"September 19, 2014 - Wetland located from KP 56+250 to KP 58+800 is well drained and holding water.  - Wetland is establishing emergent vegetation throughout. - Margins of emergent vegetation growth are dry likely due to time of year of assessment. - Cross-drains installed along ditchline appear to be functional.","June 22, 2015 - Treed Fen located between kp 56+250 and kp 58+800 has standing water on ROW and contains emergent riparian vegetation.  - Wetland is associated with watercourse crossing located at KP 57+450.  - Bare patches of peat and mulch present along ROW.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across ROW.   - Wetland functional. Issue resolved.","Sept 29, 2016 - Treed fen located between KP 56+250 and KP 58+800. - Watercourse crossing located at KP 57+500. - Revetments are stable and functioning on both creek banks. Ponding present on ditchline likely due to nearby beaver activity. Banks are stable and well vegetated. Substrate dominated by fines. No erosion concerns observed on banks of watercourse. - Emergent and submergent riparian vegetation present throughout wetland. - Alder/willow species present along fringe of wetland. - Wetland functional. Issue resolved.","August 2, 2017 – Treed Fen on ROW from KP 56+250 to 58+800 appears to be at full, proper functionality. Wetland exhibiting undulating terrain throughout resulting in dry upslope areas and low lying wet areas providing unique habitat opportunities. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, alder, poplar, willows, broadleaf shrubs, pine, spruce, tamarack and sphagnum mosses. Hydrophytic species emerging throughout wetland. - Some areas of wetland exhibiting high densities of sweet clover. Common weeds will be outcompeted by natural succession of vegetation. No work required. - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosion issues were identified in wetland. - Substrate in wetland appears healthy through low-high moisture retention capabilities and uniform vegetation growth. Some low lying areas exhibiting peat accumulation.  - Wetland exhibiting dry to fully saturated conditions throughout with intermittent areas of standing water. - Wetland providing good habitat opportunity through good vegetation cover and standing water; birds and bear tracks observed throughout. Two Sandhill Cranes observed on ROW at KP 58+750. - Wetland has achieved pre-construction contours. Off ROW vegetation successfully emerging onto ROW. No net loss of wetland function was observed.",,,
94I-14-C76,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline.  2013 vegetation cover issue resolved.","June 22, 2015 - Vegetation establishment appears to be 85-95% comparable to off ROW control with some areas exhibiting thinner cover likely attributed to higher densities of mulch. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. All perennial sow thistle plants located in wetland areas were handpicked. September 27, 2015 - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Foreign powerline and access road appeared to be stable. No erosion or subsidence was observed  - Non-classified drainage appeared to be stable.  - No evidence of erosion was observed  - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed. - Cross drains are vegetated and functioning.  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 28, 2016 - Vegetation continues to establish, exhibiting good growth. No noxious weeds identified. No issues. - KP 38+800 – Straightened and secured marker posts and signage at winter road crossing.","August 2, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are functioning.  - Stub berms along trench crown are effective. - No soil stability issues.  Caribou Habitat Restoration Location - Rollback on ROW from KP 56+270 to 56+470 providing effective access control. Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
94I-14-C75,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), poor establishment on ditchline. 2013 vegetation cover issue resolved.","June 22, 2015 - Vegetation establishment appears to be 85-95% comparable to off ROW control. - Perennial sow thistle found throughout entire tract. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. Minor roach settlement evident in wetland areas. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted intermittently throughout tract to control perennial sow thistle. A 30m setback was applied to wetland areas within tract.  All perennial sow thistle plants located in wetland areas were handpicked. September 27, 2015 - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW  - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.  - No issues.","August 2, 2017 - Rollback present on ROW from KP 57+000 to 57+100 providing effective access and erosional control measures.  August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
94I-14-C65,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline","June 22, 2015 - Vegetation establishment appears to be 85-95% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to higher densities of mulch. -  Patch of perennial sow thistle found at KP 57+270 and KP 57+800. Recommend implementing weed control. - Roach exhibiting thin vegetation cover in areas but appears stable with cross drains functioning well. Minor roach settlement evident in wetland areas. - No subsidence or erosional issues evident in tract. July 18, 2015 - Patches of perennial sow thistle in wetland areas at KP 57+270 and 57+800 were handpicked. September 27, 2015 - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW   - Soils appeared stable with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed.  - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract s - Vegetation continues to establish, exhibiting good growth.  - No issues.","August 2, 2017 - Rollback on ROW to the north of creek crossing from KP 57+450 to 57+500 providing effective access control. August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
94I-14-C65,Unnamed tributary to Metlahdoa Creek,"September 19, 2014 - Silt fence can be removed at KP 57+500","June 22, 2015 - Wide creek crossing at KP 57+400 appears to be stable with good vegetation establishment on both banks. Rollback leading to creek is effective as no foreign activity is present. Slow, meandering watercourse caused wetland vegetation development in crossing as comparable to off ROW. Bed appears stable at this time with slow moving water. Fixed marker post and sign on south bank. Recommend removal of silt fences on both banks. July 18, 2015 - Removed silt fences on both banks of creek at KP 57+400, issue resolved. September 27, 2015 - Metlahdoa Creek crossing appeared to be stable.  - Banks were well vegetated and no subsidence or erosion was observed  - Beavers have constructed several dams in the area.  - Removed silt fence and straw waddles from northern and southern boundary of creek crossing, issue resolved.","July 24, 2016 - Ponding water over ditch line, little to no flow. Banks are well vegetated and mature.","August 3, 2017 - KP 57+500 – Tributary banks are fully vegetated; good establishment of riparian vegetation exists. No issues",,,
94I-14-C55,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline","June 22, 2015 - Vegetation establishment appears to be 80-90% comparable to off ROW control with some areas exhibiting thinner vegetation cover likely attributed to heavier densities of mulch. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 58+260. Recommend implementing weed control. - Roach exhibiting approximately 70% vegetation cover compared to ROW but appears stable with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Patch of perennial sow thistle in wetland area at KP 58+260 was handpicked. September 27, 2015 - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW  - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were observed. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.  - No issues.","August 2, 2017 - Rollback present on ROW from KP 58+400 to 58+450 providing effective access control in area. August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 - No noxious weeds identified. All previous issues resolved.",,,
94I-14-C45,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline","June 22, 2015 - Vegetation establishment appears to be 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. - Patch of perennial sow thistle present at KP 59+170. Recommend implementing weed control. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted at KP 59+170 to control perennial sow thistle. A 30m setback was applied to wetland areas within tract. September 27, 2015 - Vegetation appeared to be well established with numerous willows and small trees as well as grasses and forbs throughout the ROW. - Soils appeared stable with no apparent subsidence, erosion or contour issues.  - No integrity concerns were observed. - Herbicide application appears successful. No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No subsidence or erosion issues. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.  - No issues.","August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 - No noxious weeds identified. All previous issues resolved.",,,
94I-14-C44,Moderate vegetation establishment,"September 19, 2014 - healthy establishment of desired species across ROW (wild rose, raspberry, popular and alder), 2013 vegetation cover issue resolved. poor establishment on ditchline","June 22, 2015 - Vegetation establishment appears to be 85-90% comparable to off ROW control. Good variety of native grasses, broad-leaf and deciduous species’. - Roach is showing good vegetation establishment and appears stable with cross drains functioning well. - Slow moving watercourse at KP 59+500 appears to be stable with good vegetation establishment on both banks. Rollback appears to be functioning well as no activity is present around watercourse. Wide channel has induced vegetation establishment in crossing as comparable to off ROW. Bed appears stable with slow movement of water. Recommend removal of silt fence on both banks. - No subsidence or erosional issues evident in tract. July 18, 2015 - Removed silt fence on north bank of creek crossing at KP 59+500, issue resolved. September 28, 2015 - Vegetation appeared to be well established throughout the ROW with numerous willows and small tress observed.  - High concentrations of sweet clover were also present however native vegetation appeared to be establishing underneath the stands. - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted. - Unnamed tributary water crossing appeared to be stable.  Banks appeared to be well vegetated with numerous short to medium willows as well as small trees.  A beaver dam that had caused water to pond in the area as well as across the ROW appeared to have recently broken resulting in the draining of the area. This exposed a large amount of bare soils adjacent to the tributary drainage course. These exposed soils appeared to be stable as they were in the down slope position with minimal to no grade. Additionally, large numbers of tree roots and stumps were observed throughout the area. - Collected silt fence from southern boundary of tributary crossing KP 59+547, issue resolved. - No Noxious or prohibited noxious weeds were observed.","July 24, 2016 - Vegetation continues to establish with desirable species throughout ROW. A diverse mix of vegetation observed  - No subsidence or erosion issues. - Tributary at KP 59+450 – there is a large beaver dam to the west causing ponded water through out. Banks are vegetated and mature, there is no flow at this time.  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract September 29, 2016  - Intermittent herbicide application conducted to control perennial sow thistle throughout tract - Vegetation continues to establish, exhibiting good growth.  - No issues.","August 2, 2017 - Caribou Habitat Restoration Location - Rollback on ROW to the south of road crossing from KP 59+900 to 60+000 providing effective access control. Rollback beginning 150m to the North of road crossing providing access control in area. - Rollback on ROW on both banks of creek from KP 59+350 to 59+750 providing effective access control. August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 - No noxious weeds identified. All previous issues resolved.",,,
94I-14-C34,Moderate vegetation establishment,"September 20, 2014 - Vegetation showing healthy establishment. Willow (10%) and Raspberry (20%) are present across the ROW.  2013 vegetation cover issue resolved. One juvenile scentless chamomile plant was observed at KP 60+600 picked and bagged, no other issues.","June 22, 2015 - Vegetation establishment appears to be 75-80% cover of ROW. - Perennial sow thistle at KP 60+530 and from KP 60+830 to KP 61+100. Recommend implementing weed control. - Roach showing approximately 75% cover compared to ROW; cross drains are functioning well. - Rollback appears to be effective within tract as no foreign activity is evident. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted at KP 60+530 and 60+830 to control perennial sow thistle. Patch of perennial sow thistle plants in wetland area at KP 61+100 were handpicked. September 28, 2015 - Vegetation continues to establish along the ROW with numerous willows small shrubs throughout the ROW - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted.  - Non classified drainage appeared to be stable - Several tall buttercup were observed along ditch line KP 61+197, monitor in the future and implement weed control, as required. - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed in the vicinity of the herbicide application.","July 25, 2016 - 75-85% vegetation established within tract compared to off ROW. - Perennial Sow Thistle observed at KP 60+600 and KP 60+975 to 61+000, primarily along ditchline.  Herbicide application conducted to control. September 29, 2016 - KP 60+600 – Straightened and secured marker posts and sign at road crossing. - Intermittent herbicide application conducted to control perennial sow thistle throughout tract. - Vegetation continues to establish, exhibiting good growth.","August 2, 2017 Caribou Habitat Restoration Location - Rollback on ROW from KP 60+400 to 60+500 providing access control to the North of Kyklo road and from KP 60+660 to 60+730 providing access control to the south of Kyklo road. August 3, 2017 - Vegetation cover on the ROW is 80 to 100% compared to the off ROW control.  Vegetation is well established with a diverse mix of vegetation observed, exhibiting good growth.  Excellent establishment of varying shrub species, willows, alders and poplar trees varying in height across ROW.  - Intermittent herbicide application conducted to control perennial sow thistle.  Issue resolved. - Cross drains are fully vegetated.  - No soil stability issues.  Oct 3, 2017 – Intermittent herbicide application on work side to control perennial sow thistle.  Issue resolved.",,,
94I-14-C24,Treed bog,"September 20, 2014 Wetland located from KP 61+000 to KP 61+300 is well drained and not holding water.  - Wetland is establishing emergent riparian vegetation throughout. - Cross-drains installed along ditchline appear to be functional.","June 22, 2015 - Vegetation establishment appears to be 80-90% cover of ROW. Good variety of native grasses, broad-leaf and deciduous species’. - Perennial sow thistle from KP 61+550 to KP 62+000. Scentless chamomile present at KP 62+000. Recommend implementing weed control. - Roach showing approximately 70% cover compared to ROW; cross drains are functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015 - Herbicide application conducted from KP 61+550 to 62+000 to control perennial sow thistle and scentless chamomile. September 28, 2015 - Vegetation continues to establish along the ROW with numerous willows small shrubs throughout the ROW - Soils appeared stable with no apparent subsidence, erosion or contour issues. - No integrity concerns were noted.  - Non classified drainage appeared to be stable - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed.","June 20, 2016 - KP 62+000 Previous Scentless chamomile location, no flowering plants visible.  July 25, 2016 - 80-90% vegetation established compared to off ROW. - Perennial sow thistle observed intermittently throughout tract.  Herbicide application conducted to control. September 29, 2016 - Intermittent herbicide application conducted to control perennial sow thistle throughout tract  - Vegetation continues to establish, exhibiting good growth.","August 2, 2017 - Treed Bog on ROW from KP 61+000 to 61+300 appears to be at full, proper functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation consisting of herbaceous graminoids, willows, alder and broadleaf shrubs. Hydrophytic species emerging throughout wetland.  - Trench crown present throughout wetland with sufficient breaks to maintain hydrology. No subsidence or erosion issues were identified in wetland. - Substrate in wetland appears healthy through high moisture retention capabilities and uniform vegetation growth. Some areas exhibiting peat accumulation while others exhibiting high humification. - Wetland exhibiting semi-saturated conditions. - Wetland providing good habitat opportunity through good vegetation cover and standing water; birds and bear tracks observed throughout. - Wetland has achieved pre-construction contours. Off ROW spruce to emerge over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed.",,,
94I-14-C24,Rare plant - Iowa golden saxifrage (S2S3) - West of KP 61+500 No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Unable to access the site due to helicopter safety concerns. Unresolved, further monitoring is recommended",,"August 20 and September 29, 2016- Species not observed; however, no project related disturbance of this site was observed.  The pre-disturbance locations of these species were identified south of the temporary project access road, and were not disturbed during project construction. Resolved, no further monitoring recommended.",,,,
,Rare plant - western Jacob's ladder (S4) - West of KP 61+500 No PCM conducted during the 2013 surveys.  Unresolved: Recommend monitoring in 2015.,"September 5, 2014 - Unable to access the site due to helicopter safety concerns. Unresolved, further monitoring is recommended",,"August 20 and September 29, 2016 - Species not observed; however, no project related disturbance of this site was observed.  The pre-disturbance locations of these species were identified south of the temporary project access road, and were not disturbed during project construction. Resolved, no further monitoring recommended.",,,,
