Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),TERA Observation(s) in 2010,TERA Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,Repairs to Date  (2010 to 2013),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
53,SW 20-16-15,R 77.1 to R 77.2,3101,Vegetation - Weeds,"Moderate density Canada thistle, field dock, absinthe, perennial sow-thistle and others observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of perennial sow-thistle, foxtail barley, Canada thistle, lamb’s-quarters, shepherd’s purse and scentless chamomile observed on construction right-of-way during ground reconnaissance.",Weed densities observed on construction right-of-way are higher than densities observed off the construction right-of-way.,"2012: Seeded, harrowed and packed. 2013: Monitored scentless chamomile throughout the season and hand picked (a few plants).",Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
53,SW 20-16-15,R 77.1 to R 77.4,3101,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way during ground reconnaissance.,No subsidence issues observed on construction right-of-way during ground reconnaissance.,"No subsidence issues observed. As a result of the 2012 NEB Information Request (IR) No.1, this issue will be re-assessed in 2014 to resolve any discrepancies.","Discing, harrowing and seeding in 2011; reseeded in June 2012.",Resolved,Monitor in 2014.,,W2M,
54,SE 15-16-15,751.0,3109,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,No vegetation issues observed.,Reseeded July 2012.,Resolved,None.,,W2M,
54,NW 11-16-15,751.6 to 752.0,3111,Vegetation – Establishment,--,--,Areas on edges of construction  right-of-way not seeded.,Patches of bare ground present on construction right-of-way. EI noted that the landowner was compensated to reseed the construction right-of-way in 2012. Two strips were missed by the seeder at that time. This issue will be monitored in 2014 to determine if infill by natural encroachment is occurring.,Reseeded May 2012.,Unresolved,"Re-seed, if warranted, and monitor in 2014.",,W2M,
54,NW 11-16-15,751.6 to 752.0,3111,Vegetation - Weeds,--,--,Low densities of absinthe and Canada thistle observed on construction  right-of-way during ground reconnaissance.,Weed species composition and density on construction right-of-way equal to off construction right-of-way.,Weeds sprayed in 2011 and August 2012. Downy brome hand-picked August 2012.,Resolved,None.,,W2M,
54,NE 11-16-15,752.0 to 752.8,3112,Vegetation – Establishment,--,--,--,No vegetation issues observed. Grasses well-established.,Landowner to seed in 2012; seed supplied by Enbridge.,Resolved,None.,,W2M,
54,NE 11-16-15,752.0 to 752.8,3112,Vegetation – Weeds,--,--,--,No weed issues observed.,Landowner controlling weeds; land organic.,Resolved,None.,,W2M,
54,SW 12-16-15,753.2 to 753.8,3115,Vegetation - Weeds,"High weed density of white cockle, Canada thistle, flixweed and others observed on construction right-of-way during ground reconnaissance.",Moderate density of absinthe and Canada thistle observed on construction right-of-way during ground reconnaissance.,Canada thistle density equal on and off construction right-of-way. Moderate density of absinthe observed on construction right-of-way.,No weed issues observed.,Weeds sprayed August 2012.,Resolved,None.,,W2M,
54,SW 7-16-14,754.8 to 755.0,3117,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way at KP 754.8 near fenceline.,Low vegetation establishment observed on construction right-of-way.,--,Unresolved,Reseed and Monitor in 2013.,,W2M,
54,NW 6-16-14,755.0 to 755.6,3118,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way (more severe near fencelines) during ground reconnaissance.,No vegetation establishment issues observed. Vegetation now well-established. Integrity dig located near KP 755.55.,--,Resolved,None.,,W2M,
55,NW 25-16-14,764.0 to 764.1,3133,Soils - Sediment Fence,--,--,--,Sediment fence has been removed.,--,Resolved,None.,,W2M,
56,SE 10-15-12,782.0 to 782.8,3160,Vegetation - Weeds,"High weed density of lamb’s-quarters, false ragweed, Canada thistle and others observed on construction right-of-way during ground reconnaissance.","Moderate density of gumweed, foxtail barley, flixweed and lamb's-quarters observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of gumweed, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",No vegetation/weed issues observed. Grasses now well-established. Weed species composition and density on construction right-of-way equal to off construction right-of-way.,--,Resolved,None.,,W2M,
56,SW 11-15-12,782.8 to 783.7,3161 3161.02,Vegetation - Weeds,"Moderate weed density of Canada thistle, pepper grass, foxtail barley, perennial sow-thistle and others observed on construction right-of-way on west side of Chapleau Lake during ground reconnaissance. High to moderate weed density of false ragweed, Russian pigweed, foxtail barley and others observed on construction right-of-way on east side of Chapleau Lake during ground reconnaissance.",Moderate density of foxtail barley and gumweed observed on construction right-of-way on both sides of Chapleau Lake during ground reconnaissance.,"Moderate densities of Canada thistle, perennial sow-thistle and gumweed observed on construction right-of-way during ground reconnaissance.",No weed issues observed. Grasses now well-established. Weed species composition and density on construction right-of-way equal to off construction  right-of-way.,Weeds sprayed in fall 2011.,Resolved,None.,,W2M,
56,SW 11-15-12,783.4,3161.02,Topography – Slopes Vegetation - Establishment Water Quality and Quantity Fish-Bearing Watercourse Chapleau Lake,Erosion matting uneven on west bank and sediment fences damaged on both banks of Chapleau Lake. Moderate subsidence on east bank on construction right-of-way.,Poor vegetation establishment and heavy cattle traffic observed on west bank on construction right-of-way at Chapleau Lake.  Potential for future erosion to develop until vegetation can further establish on west bank on construction right-of-way. No subsidence observed on construction right-of-way during ground reconnaissance.,Patch of poor vegetation establishment observed on east bank on construction right-of-way during ground reconnaissance.,"Grasses now well-established. No vegetation issues observed. Some cattle pugging observed, but not a construction-related issue.","Spread large straw bales, removed old coconut matting; removed fence from disposal site; reseeded July 2012.",Resolved,None.,,W2M,
56,SE 5-15-11,789.05 to 789.3,3171,Soils - Compaction,--,No issues observed on construction right-of-way during ground reconnaissance.,--,No compaction observed. Penetrometer readings similar on and off the construction right-of-way. Crop health parameters equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
57,NW 29-14-10,798.95,3189,Soils – Erosion,Identified during spring overflight. Erosion and reduced crop growth observed on construction right-of-way during ground reconnaissance.,Rill erosion observed at KP 799.1 on construction right-of-way during ground reconnaissance.,Minor rill erosion observed on construction right-of-way during ground reconnaissance.,No erosion issues observed. Site appears stable.,Erosion repaired in fall 2011. 2012: Erosion repaired.,Resolved,None.,,W2M,
57,SE 27-14-10,803.7,3195.01,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence (approximately  4 m x 0.30 m x 200 m) observed on construction right-of-way. Not affecting crop growth.,"Issue not assessed by TERA in 2013 to avoid crop damage. No subsidence was observed by Enbridge EI in May 2013, however, this site will be further monitored in 2014.",Subsidence repaired in 2010.,Unresolved,Monitor in 2014.,,W2M,
58,NW 19-14-9,807.9,3202,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence (approximately  1.5 m x 0.15 m x 25 m) observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Repair subsidence, if warranted, and monitor in 2013.",,W2M,
58,NE 19-14-9,807.95 to 808.75,3203,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed in patches on construction right-of-way during ground reconnaissance.,Vegetation establishment following seeding is not yet equal to off the construction right-of-way.,Reseeded in June 2012.,Unresolved,Monitor in 2014.,,W2M,
58,NE 19-14-9,807.95 to 808.75,3203,Vegetation – Weeds,--,--,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Weed species composition and density on construction right-of-way not equal to off construction right-of-way.,Fall 2013: Chemical application completed.,Unresolved,Control weeds and monitor in 2013.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Soils – Compaction,Moderate compaction at road crossing observed on construction right-of-way during ground reconnaissance.,Unable to fully assess effects on crop growth since field was fallow.,Minor compaction observed on right-of-way during ground reconnaissance.,Issue assessed by EI. No soil issues observed. Crop appeared comparable on and off the construction right-of-way.,--,Resolved,None.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Vegetation – Crop Growth,--,Unable to fully assess effects on crop growth since field was fallow.,Poor crop growth observed in patches on construction right-of-way during ground reconnaissance.,Issue assessed by EI. No soil issues observed. Crop appeared comparable on and off the construction right-of-way. EI to follow-up with landowner to ensure no crop issues exist.,--,Resolved,None.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Soils - Admixing,--,Unable to fully assess effects on crop growth since field was fallow.,Minor admixing observed on right-of-way during ground reconnaissance.,Issue assessed by EI. No soil issues observed. Crop appeared comparable on and off the construction right-of-way. EI to follow-up with landowner to ensure no crop issues exist.,--,Resolved,None.,,W2M,
58,SE 22-14-9,813.45 to 813.78,3209,Vegetation – Establishment,--,--,Vegetation not yet established on repaired area. Reassess next year.,"With the exception of the weed issue at this location, vegetation has established well. No establishment issues observed.",Reseeded in 2012.,Resolved,None.,,W2M,
58,SE 22-14-9,813.45 to 813.78,3209,Vegetation – Weeds,"High density of lamb’s-quarters, wild buckwheat, dandelion, green foxtail and others observed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,Unvegetated area should be reassessed next year for weed issues.,Weed density is higher on the construction right-of-way than off. Mostly annual weeds observed.,--,Unresolved,Monitor in 2014.,,W2M,
58,NE 13-14-9,816.4 to 817.1,3214,Soils - Compaction,Minor compaction observed on construction right-of-way during ground reconnaissance.,Unable to fully assess effects on crop growth since field was fallow.,Moderate compaction observed on construction right-of-way during ground reconnaissance causing reduced crop height (up to 20 cm) and density.,"No soil issues observed. Penetrometer readings equal on and off construction  right-of-way. Crop parameters equal on and off construction right-of-way. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Resolved,None.,,W2M,
59,NW 10-14-8,822.65 to 822.95,3223,Vegetation - Weeds,Issue reported by construction contractor.,"Moderate density of foxtail barley, false ragweed, wild buckwheat and Canada thistle observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds picked and sprayed in 2010 and June 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
59,NE 10-14-8,823.0 to 823.8,3224,Vegetation – Weeds,"High density of Canada thistle, perennial sow-thistle, false ragweed, black medick, dandelion and others on construction right-of-way.","High density of false ragweed, Canada thistle, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.",High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010. Weeds sprayed in 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
59,NW 12-14-8,825.6 to 825.8,3227,Soils – Sediment Fence,--,--,--,Sediment fence has been removed.,--,Resolved,None.,,W2M,
59,SE 12-14-8,826.85 to 827.1,3229  3229.01,Vegetation – Weeds,"High density of lamb’s-quarters, perennial sow-thistle, redroot pigweed, wild buckwheat observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, prickly lettuce, perennial sow-thistle and green foxtail observed on construction right-of-way during ground reconnaissance.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,Densities of Canada thistle and perennial sow-thistle were observed as being higher on the construction right-of-way than off.,--,Unresolved,Control weeds and monitor in 2014.,,W2M,
60,SE 1-14-7,836.3 to 837.1,3245,Vegetation – Weeds Land and Resource  Use - Organic Farm,"High density of perennial sow-thistle, kochia and Canada thistle on and off construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of Canada thistle, wild mustard, perennial sow-thistle, lamb’s-quarters and foxtail barley observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.",Comments from EI indicate that the landowner has no concerns relating to Clipper construction within this quarter-section.,Landowner disced right-of-way in 2012.,Resolved,None.,,W2M,
60,SE 1-14-7,836.3 to 837.1,3245,Vegetation – Crop Growth,--,--,Recent disturbance observed during ground reconnaissance.,Comments from EI indicate that the landowner has no concerns relating to Clipper construction within this quarter-section.,--,Resolved,None.,,W2M,
60,SW 6-14-6,837.1 to 837.7,3246,Vegetation – Weeds Organic Farm,"Moderate weed density of perennial sow-thistle, dandelion and Canada thistle on and off construction right-of-way including topsoil piles observed during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of foxtail barley, Canada thistle, perennial sow-thistle and lamb’s-quarters observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.",This is organic land. Weeds being controlled by the landowner. Comments from EI indicate that the landowner has no concerns relating to Clipper construction within this quarter-section.,Landowner disced right-of-way in 2012.,Resolved,None.,,W2M,
60,SW 6-14-6,837.1 to 837.7,3246,Vegetation – Crop Growth,--,--,Recent disturbance observed during ground reconnaissance.,Land not seeded for a number of years. No complaints from landowner. Comments from EI indicate that the landowner has no concerns relating to Clipper construction within this quarter-section.,--,Resolved,None.,,W2M,
60,NE 31-13-6,838.5,3248,Vegetation - Weeds,--,--,Weed density and composition equal on and off construction right-of-way.,No scentless chamomile observed.,Weeds sprayed in 2010. Reseeded in 2011. Weeds hand-picked summer 2012. Weeds sprayed August 2012.,Resolved,None.,,W2M,
60,NE 31-13-6,838.78,3248,Soils – Contouring,--,--,No contouring issues observed on construction right-of-way during ground reconnaissance.,No contour issues observed.,Levelled soil pile and reseeded in June 2012.,Resolved,None.,,W2M,
60,NW 25-13-6,845.98 to 846.3,3260,Soils – Admixing,Moderate admixing on construction right-of-way between wetlands observed on construction right-of-way during ground reconnaissance.,Moderate admixing and reduced crop growth observed on construction right-of-way between wetlands during ground reconnaissance.,"Admixing issue no longer affecting crop growth. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",No admixing issues observed. Crop parameters similar on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,NW 25-13-6,845.7 to 846.3,3260,Soils – Compaction,--,--,"Repeated freeze thaw events and standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",Soil was very dry at time of assessment which makes testing for compaction difficult. Soil parameters (including compaction factors) appear equal on and off the construction right-of-way.,--,Resolved,None.,,W2M,
60,NW 25-13-6,845.7 to 846.3,3260,Vegetation – Crop Growth,--,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,"Crop height and density is equal on and off the construction right-of-way. Variations in crop maturity exist on the construction right-of-way, however, these variations also exist off the construction right-of-way.",Area decompacted in 2012.,Resolved,None.,,W2M,
60,SE 25-13-6,846.6 to 847.15,3262,Soils - Admixing,--,Moderate admixing and reduced crop growth observed on construction right-of-way by EI.,Minor admixing observed on construction right-of-way affecting crop growth in some areas.,Integrity dig in this area. No crop issues observed at time of assessment.,--,Resolved,None.,,W2M,
60,NE 20-13-5,K 0.0 to 0.7,3267,Vegetation - Weeds,--,--,--,Issue added to 2013 EIL as a result of the 2012 NEB IR No.1.,Area mowed and graded during a subsidence issue repair in July 2012.,Unresolved,Monitor in 2014.,,W2M,
60,NE 20-13-5,K 0.2 to K 0.6,3267,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.,Land access not granted at time of survey.,Disced and reseeded in July 2012.,Unresolved,Monitor in 2014.,,W2M,
61,NW 14-13-5,K 5.2,3267.1,Vegetation - Weeds,--,High density of prostrate pigweed observed on construction right-of-way during ground reconnaissance.,High density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
61,NE 14-13-5,K 6.0 to K 6.5,3267.2,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. High amount of cattle pugging and high densities of weeds observed.,Several patchy/bare spots observed on construction right-of-way.,--,Unresolved,"Reseed, if warranted, and monitor in 2014.",,W2M,
61,NE 14-13-5,K 6.5 to K 6.6,3267.2,Vegetation – Weeds,--,--,High densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,High densities of foxtail barley observed on construction right-of-way during ground reconnaissance.,Fall 2013: Chemical application completed.,Unresolved,Control weeds and monitor in 2014.,,W2M,
61,NE 14-13-5,K 6.3,3267.2,Soils – Subsidence,--,--,--,Minor subsidence issue not observed. 2012 repairs appear to have been successful.,Subsidence repaired in 2012.,Resolved,None.,,W2M,
61,NW 13-13-5,K 7.0 to K 7.4,3267.3,Vegetation - Weeds,--,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of perennial sow-thistle and Canada thistle seedlings observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.,Landowner has indicated that this is transitioning to become organic land.,--,Resolved,None.,,W2M,
61,NW 13-13-5,K 7.0 to K 7.4,3267.3,Vegetation – Crop Growth,--,--,Recent disturbance observed during ground reconnaissance.,Landowner has indicated that this is transitioning to become organic land.,--,Resolved,None.,,W2M,
61,SW 15-13-4,862.4 to 863.3,3293,Vegetation – Establishment,--,--,Area recently reworked/disturbed. Reassess next year.,No vegetation establishment issues observed. Construction right-of-way undistinguishable from adjacent lands.,Landowner disced right-of-way summer 2012.,Resolved,None.,,W2M,
61,N 1/2 11-13-4,864.2 to 865.9,3296  3297,Vegetation – Establishment Land and Resource  Use - Organic Farm,--,--,Field has been disced at the time of survey.,Comments from the EI indicate that the landowner has been compensated to reseed construction right-of-way.,Landowner to disc and reseed right-of-way in 2012.,Resolved,None.,,W2M,
62,NW 12-13-4,865.9 to 866.65,3298,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of foxtail barley, stinkweed, perennial sow-thistle and common plantain observed on construction right-of-way during ground reconnaissance.","This is the first year of a hay crop at this location. Weed densities higher on construction right-of-way than off. Moderate densities of foxtail barley, perennial sow-thistle and lamb’s-quarters observed.",Landowner reseeded in 2012.,Unresolved,Monitor in 2014.,,W2M,
62,SW 7-13-3,867.55 to 868.4,3300  3301,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.","Low to moderate densities of flixweed, stinkweed, foxtail barley, lamb’s-quarters, red-root pigweed, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",This is the first year of a hay crop at this location. Weeds observed at a higher density on construction right-of-way than off. Seeded grasses beginning to establish well.,Landowner reseeded in 2012.,Unresolved,Monitor in 2014.,,W2M,
62,NW 4-13-3,871.48 to 871.8,3306,Vegetation – Establishment Water Quality and Quantity Fish and Fish Habitat Montgomery Creek,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate vegetation establishment on west approach slope observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way within creek bed and east of creek (KP 871.48 to KP 871.80) during ground reconnaissance.,No vegetation establishment issues observed. Alfalfa crop appears very dense and healthy.,Disced and reseeded July 2012.,Resolved,None.,,W2M,
62,NE 4-13-3,871.8 to 872.7,3307,Vegetation – Crop Growth,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Reduced crop height (10-30 cm) and density observed on construction right-of-way during ground reconnaissance. Possibly related to compaction issues.,No crop issues observed on the construction right-of-way. The 2012 issue was determined to be related to an integrity dig.,--,Resolved,None.,,W2M,
62,NE 4-13-3,871.8 to 872.7,3307,Soils - Compaction,--,--,Moderate compaction observed on construction right-of-way during ground reconnaissance. Possibly causing reduced crop height and density.,No crop issues observed on the construction right-of-way. Crop growth in this area looks good. No signs of compaction were observed. Compaction parameters on construction right-of-way appear equal to off.,--,Resolved,None.,,W2M,
62,NW 31-12-2,877.9,3318,Vegetation – Weeds,--,Canada thistle observed on construction right—of-way during rare plant monitoring.,Canada thistle observed on construction right—of-way during rare plant monitoring.,Bison present within this field. Not assessed.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
63,SW 26-12-2,884.7 to 885.5,3330,Vegetation – Weeds,--,--,Unable to assess due to wet conditions at time of survey. Reassess in 2013.,Much of this area is a permanent wetland. No issues observed within upland areas of the construction right-of-way.,--,Resolved,None.,,W2M,
63,NW 24-12-2,886.75 to 887.2,3333,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of lamb's-quarters and foxtail barley observed on construction right-of-way during ground reconnaissance.,Moderate densities of perennial sow-thistle and curled dock observed on construction right-of-way during ground reconnaissance.,Weed species composition and density on the construction right-of-way equal to off.,Weeds sprayed August 2012.,Resolved,None.,,W2M,
63,NE 24-12-2,887.43 to 887.56,3334,Soils - Subsidence,--,--,Subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence observed on construction right-of-way during ground reconnaissance.,Fall 2013: Subsidence repaired.,Unresolved,"Repair subsidence, if warranted, and monitor in 2014.",,W2M,
63,SE 19-12-1,889.0 to 889.8,3337,Vegetation – Crop Growth,--,--,Reduced crop height (20 cm) observed on construction right-of-way during ground reconnaissance. No admixing or compaction observed.,No crop growth or soil issues observed.,--,Resolved,None.,,W2M,
63,SW 20-12-1,VD 0 to VD 0.8,3338,Vegetation – Weeds,--,--,Vegetation has been recently cut; unable to assess weed densities.,High density of foxtail barley observed on construction right-of-way.,Landowner cut and burned bales July 2012. 2013: Selective hand spraying of thistle species. 2013: Landowner cut/baled and burned bales.,Unresolved,"Control weeds, if warranted, and monitor in 2014.",,W2M,
63,NW 16-12-1,891.65,3342,Vegetation – Establishment,--,--,Patch of poor vegetation establishment (50 m long) observed on construction right-of-way during ground reconnaissance.,No vegetation establishment issues observed. Vegetation now established in areas where it was previously low.,--,Resolved,None.,,W2M,
63,SE 15-12-1,894.3 to 895.15,3346,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of lamb’s-quarters and Canada thistle observed on construction right-of-way during ground reconnaissance.,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
64,NE 11-12-1,896.55 to 896.73,3349,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.,"Moderate densities of Canada thistle, bull thistle and gumweed observed on construction right-of-way during ground reconnaissance.",Weed species composition and density equal on and off construction right-of-way.,2013: Selective hand spraying of thistle and absinthe.,Resolved,None.,,W2M,
64,NE 11-12-1,896.8,3349,UVegetation - Establishment nnamed Drainage – Field Identified,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Vegetation establishment on construction right-of-way not equal to off. Patches of weeds observed on construction  right-of-way in areas where vegetation is less dense.,Reseeded in summer 2011. Reseeded creek banks and trail in June 2012.,Unresolved,Monitor in 2014.,,W2M,
64,SE 1-12-34,898.8,3353,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,--,Low to moderate densities of Canada thistle and perennial sow-thistle observed during ground reconnaissance.,Weed species composition and density equal on and off the construction  right-of-way.,--,Resolved,None.,,WPM,
64,SE 1-12-34,898.8 to 899.0,3353,Vegetation – Establishment,--,--,Poor vegetation establishment observed on construction right-of-way (KP 898.9 20 m x 5 m) during ground reconnaissance. Slight admixing observed where small patches of poor vegetation establishment occurred.,Vegetation not well-established in low/wet areas. Establishment issue not likely related to admixing. Appears to be related to topography.,Reseeded in June 2012.,Unresolved,Reseed and monitor in 2014.,,WPM,
64,SE 1-12-34,899.2,3353,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,--,Low to moderate densities of perennial sow-thistle observed during ground reconnaissance.,Weed species composition and density equal on and off the construction  right-of-way.,--,Resolved,None.,,WPM,
64,NW 31-11-33,900.0 to 900.4,3356,Vegetation – Weeds,--,--,--,No weed issues observed on construction right-of-way. Weed management efforts successful.,Weeds sprayed September 2012. 2013: Selective hand spraying target Canada thistle and absinthe.,Resolved,None.,,WPM,
64,NE 31-11-33,900.5 to 901.2,3357,Vegetation – Weeds,--,--,--,No weed issues observed on construction right-of-way. Weed management efforts successful.,Weeds sprayed September 2012. 2013: Selective hand spraying target Canada thistle and absinthe.,Resolved,None.,,WPM,
64,SW 33-11-33,903.1,3361,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,High density of false ragweed and foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,No weed issues observed on construction right-of-way. Weed management efforts successful.,Weeds sprayed August 2012.,Resolved,None.,,WPM,
64,SW 33-11-33,903.0 to 903.3,3361,Soils – Erosion,--,--,Gully erosion observed on construction right-of-way during ground reconnaissance in field draining to water body on east approach slope.,This area now appears stable. No erosion concerns observed.,Repaired rill erosion in spring 2012.,Resolved,None.,,WPM,
64,NE 28-11-33,904.0,3364,Vegetation - Establishment,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Vegetation now well-established. No issues observed.,Reseeded bar ditch July 2012.,Resolved,None.,,WPM,
64,NE 27-11-33,905.6 to 906.1,3366,Vegetation - Establishment,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way.,"Vegetation now established. Crop (hay) recently cut, however, crop density appears similar on and off the construction  right-of-way.",Mowed and seeded July 2012.,Resolved,None.,,WPM,
64,NE 27-11-33,905.6 to 906.1,3366,Soils – Erosion,--,--,No erosion observed on construction right-of-way during ground reconnaissance.,This area now appears stable. No erosion concerns observed.,Repaired rill erosion and seeded July 2012.,Resolved,None.,,WPM,
64,NE 27-11-33,906.1,3366,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of false ragweed, foxtail barley and common peppergrass observed on construction right-of-way during ground reconnaissance.",Vegetation has been recently cut; unable to assess weed densities.,Weed species composition and density similar on and off the construction  right-of-way.,Weeds mowed July 2012.,Resolved,None.,,WPM,
64,SE 27-11-33 to SE 26-11-33,906.1 to 907.7,3367 3368 3369,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate density of false ragweed, foxtail barley and Canada thistle observed on construction right-of-way during ground reconnaissance.",Vegetation has been recently cut; unable to assess weed densities.,Weed species composition and density similar on and off the construction  right-of-way.,Weeds mowed July 2012. 2013: Interseeded with landowner approved mix where required.,Resolved,None.,,WPM,
64,SE 26-11-33,907.65,3369,Vegetation - Weeds,--,--,--,"Landowner complaint at KP 907.65 regarding foxtail barley. There is a low density of foxtail barley in this area, concentrated to low/wet areas that are not being cropped. Weed species composition and density similar on and off the construction  right-of-way.",2013: Interseeding done in an effort to shift plant population to more desirable species.,Resolved,None.,,WPM,
64,NE 23-11-33,907.7,3370,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate density of false ragweed and foxtail barley observed on construction right-of-way during ground reconnaissance.,Vegetation has been recently cut; unable to assess weed densities.,"Not assessed in 2012. In 2013, weed species composition and density similar on and off the construction right-of-way.",2012: Interseeded with alfalfa.,Resolved,None.,,WPM,
64,NW 24-11-33,908.4 to 909.4,3371  3371.01,Vegetation - Weeds,--,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Vegetation has been recently cut; unable to assess weed densities.,"Foxtail barley density is very low. Only a few small patched observed, equal to off construction right-of-way.",Weeds mowed July 2012. Reseeded July 2012. 2012: Interseeded with alfalfa.,Resolved,None.,,WPM,
