Legal Location,1st Year Issue/Condition,1st Year (2016) Issue(s),2nd Year (2017) PCRM Assessment and Work Completed,3rd Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
,WC-5 Unnamed tributary to Seymour Creek 12+380,"- no terrain instability (e.g., subsidence, erosion etc.) observed - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate plant cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel - silt fencing and erosion control (e.g., erosion matting) were observed and there was minimal erosion on the surrounding slopes","June 18, 2017 - KP 12+380 WC #5. Well vegetated, banks are stable, and silt fence is functioning well. September 16, 2017 - Silt Fencing was removed from both sides of watercourse as slopes leading into watercourse are well vegetated and silt fence is no longer providing function. Issue resolved.","June 29, 2018 - Watercourse banks are well vegetated and is at 65-80% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good condition with strong willow growth with low mortality. - Currently there is no flow in creek and cobbled channel has prevented any erosion across disturbed area. - Marker posts and warning signs are in place and in good condition.",,,
,Temporary Ponding (moderate) 12+500,- the cross drain noted was not effective and ponding was present next to the ditchline - issue repaired fall of 2016 - Issue resolved.,"June 18, 2017 - KP 12+380 WC #5. Well vegetated, banks are stable, and silt fence is functioning well. September 16, 2017 - Silt Fencing was removed from both sides of watercourse as slopes leading into watercourse are well vegetated and silt fence is no longer providing function. Issue resolved.","June 29, 2018 - Watercourse banks are well vegetated and is at 65-80% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good condition with strong willow growth with low mortality. - Currently there is no flow in creek and cobbled channel has prevented any erosion across disturbed area. - Marker posts and warning signs are in place and in good condition.",,,
NW 34-062-07 W6,Moderate to High Issues with Plant Growth (high) 13+085 to 13+900,- decreased percent cover of vegetation was noted throughout the quarter section except in the wetland,"June 19, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - Silt fence and cross drains functioning well. - KP 13+860 ponding identified and trench break not functioning as should. Hand dug to promote flow and drainage. Issue resolved. - No weeds identified on site.  July 12, 2017 - KP 13+500 to 13+700 – Intermittent herbicide application conducted to control meadow hawkweed. September 12, 2017 – KP 13+135 – Herbicide application conducted to control scentless chamomile. Meadow hawkweed no longer observed, issue resolved. September 16, 2017 – KP 13+200 – Silt fence repaired, issue resolved. - KP 13+240 and 13+420 – Silt fence removed from slopes leading drainages. The vegetation is providing adequate sediment control and the silt fencing is no longer providing function. Issue resolved.","June 29, 2018 - Vegetation cover on the ROW is 65-80% comparable to off ROW control. Various Grasses establishing well along with broadleaf shrubs including raspberry and willows. - KP 13+555 to 13+850 – Meadow hawkweed observed intermittently, recommend herbicide application. - KP 13+205 and 13+230 – Reduced vegetation cover on hillslopes, there are no secondary issues (i.e., erosion). Continue to monitor. - KP 13+360 - Diversion berm and ditch plug functioning well. Good vegetation establishment.  - No subsidence or erosion observed during assessment.  July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 13+555 to 13+850), oxeye daisy (KP 13+860) and tall buttercup (KP 13+860). August 21, 2018 – No additional noxious weeds observed. Sept 6, 2018 - No noxious weeds were identified on ROW.",,,
NW 34-062-07 W6,Wetland (treed bog) 13+200 to 13+300,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. Vegetation in wetland suitably established. - pre-construction contours recreated - appropriate wetland species were beginning to establish. - no excessive ponded water or impeded flow due to the construction ROW.,"June 19, 2017 - Treed Bog at KP 13+200 – 13+300 appears stable and on the trajectory of reaching preconstruction function. -Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes, grasses, willows and moss. - Drainage runs through bog at KP 13+250 acting as a hydrological outlet for the wetland.  - Trench crown present through wetland and functioning well. Trench breaks allowing for through flow of water. - No significant ponding issues were observed on ROW. - Silt fence material present and functioning well to prevent sediment from entering wetland. Recommend monitoring for adequate vegetation growth for removal of material. - Substrate is stable with good depth of peat. - Moist soil conditions and surface water signify hydrology is maintained. - No subsidence or erosion issues evident in wetland.","July 11, 2018 - Treed Bog at KP 13+200 – 13+300 appears stable and resembles pre-construction, baseline conditions; no net loss of wetland function was observed. - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes, grasses, willows, Common Cattails, Vernal Water Starwort, horsetails, Cotton grass, buckbrush, Labrador tea, sedges and sphagnum mosses. - Drainage runs through bog at KP 13+250 acting as a hydrological outlet for the wetland with a channelized flow to the south.  - Silt fence material has been removed as requested. Issue resolved. - Trench crown present through wetland and functioning well. Trench breaks allowing for hydrology to be maintained across the ROW. There was no identifiable impediment of flow within drainage through wetland. - Substrate throughout wetland appears healthy through uniform saturation, vegetation cover and organic content.  - Substrate is showing moderate saturation with some intermittent standing water throughout as the water table is near the ground surface. - Peat depth observed on the ROW increased from north to south due to the natural elevation change of the terrain in the region; peat levels are comparable to off ROW control. Mottling was observed in peat. - Wetland is showing good habitat opportunities for wildlife through water presence, snags and a good diversity of vegetation. Signs of mammals were identified through wetland. - Pre-construction contours within wetland have been achieved. No significant ponding or erosion issues were observed on ROW. Vegetation biodiversity has been attained on ROW.  - Coniferous tree species to emerge onto ROW over time through succession.",,,
NW 34-062-07 W6,Rare Plant 13+240,"the meadow bittercress (Cardamine pratensis; SNA) population was not located; however, the species is no longer considered rare by ACIMS - Issue resolved.","June 19, 2017 - Treed Bog at KP 13+200 – 13+300 appears stable and on the trajectory of reaching preconstruction function. -Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes, grasses, willows and moss. - Drainage runs through bog at KP 13+250 acting as a hydrological outlet for the wetland.  - Trench crown present through wetland and functioning well. Trench breaks allowing for through flow of water. - No significant ponding issues were observed on ROW. - Silt fence material present and functioning well to prevent sediment from entering wetland. Recommend monitoring for adequate vegetation growth for removal of material. - Substrate is stable with good depth of peat. - Moist soil conditions and surface water signify hydrology is maintained. - No subsidence or erosion issues evident in wetland.","July 11, 2018 - Treed Bog at KP 13+200 – 13+300 appears stable and resembles pre-construction, baseline conditions; no net loss of wetland function was observed. - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes, grasses, willows, Common Cattails, Vernal Water Starwort, horsetails, Cotton grass, buckbrush, Labrador tea, sedges and sphagnum mosses. - Drainage runs through bog at KP 13+250 acting as a hydrological outlet for the wetland with a channelized flow to the south.  - Silt fence material has been removed as requested. Issue resolved. - Trench crown present through wetland and functioning well. Trench breaks allowing for hydrology to be maintained across the ROW. There was no identifiable impediment of flow within drainage through wetland. - Substrate throughout wetland appears healthy through uniform saturation, vegetation cover and organic content.  - Substrate is showing moderate saturation with some intermittent standing water throughout as the water table is near the ground surface. - Peat depth observed on the ROW increased from north to south due to the natural elevation change of the terrain in the region; peat levels are comparable to off ROW control. Mottling was observed in peat. - Wetland is showing good habitat opportunities for wildlife through water presence, snags and a good diversity of vegetation. Signs of mammals were identified through wetland. - Pre-construction contours within wetland have been achieved. No significant ponding or erosion issues were observed on ROW. Vegetation biodiversity has been attained on ROW.  - Coniferous tree species to emerge onto ROW over time through succession.",,,
NE 34-062-07 W6,Rollback 14+650 to 14+725,,,"June 29, 2018 - Rollback between KP’s 14+650 and 14+725 remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
NE 34-062-07 W6,Moderate to High Issues with Plant Growth (high) 13+900 to 14+725,- decreased percent cover of vegetation was noted throughout the quarter section except in the wetland,"June 19, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved - No weeds identified on site.  - No issues.  July 12, 2017 - KP 14+675 – Picked bagged and disposed of 2 meadow hawkweed plants. September 15, 2017 - No noxious weeds observed in ¼. Meadow hawkweed issue resolved.","SOJune 29, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Vegetation consists of grasses, sedges, Indian paintbrush, willow, avens, yarrow, bluebell and clover  - KP 14+150 to 14+250 - Reduced vegetation cover (0-50% compared to off ROW control) observed, continue to monitor. - KP 14+260 – Silt fence requires repairs. - KP 14+700 – Erosion observed, recommend repairs. - No subsidence or additional erosion was identified in this ¼. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (handpicked within wetland buffers). August 21, 2018 – KP 14+050 – Perennial sow thistle observed, recommend herbicide application. ept 6, 2018 – KP 14+050 – Herbicide application conducted to control perennial sow thistle. ct 2, 2018 – KP 14+260 – Silt fence repaired, issue resolved. Oct 4, 2018 - KP 14+700 – Erosion repaired and erosion control materials installed, issue resolved. Oct 10, 2018 – KP 14+150 to 14+250 – Vegetation cover improved to 50 – 65% of off ROW control, issue resolved.",,,
NE 34-062-07 W6,Wetland (treed fen) 14+300 to 14+650,"- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. Vegetation in wetland suitably established. - pre-construction contours recreated - appropriate wetland species were beginning to establish except on the ditchline - no excessive ponded water or impeded flow due to the construction ROW - minimal erosion was observed around the erosion berms on the slopes into the fen along the ROW, but erosion control was effectively preventing sediment from entering the wetland","June 19, 2017 - Treed Fen at KP 14+300 – 14+650 appears stable and on the trajectory of reaching preconstruction function. Vegetation cover is 80-100% comparable to off ROW with excellent establishment of grasses throughout wetland.  - Trench crown present through wetland and functioning well. Trench breaks allowing for hydrology to be maintained. - No significant ponding issues were observed on ROW. - Silt fence material present and functioning well to prevent sediment from entering wetland. Recommend monitoring for adequate vegetation growth for removal of material. - Substrate is healthy with good depth of peat. - Snags present along with good cover of vegetation providing potential habitat. - No subsidence or erosion issues evident in wetland. September 15, 2017 - Silt Fencing was removed from east side of wetland at KP 14+650 as Slope leading into wetland is well vegetated and silt fence is no longer providing function. Issue resolved.","June 29, 2018 - - KP 14+300 to 14+650 – Meadow hawkweed handpicked, bagged and disposed of within wetland. July 11, 2018 Treed Fen on ROW from KP 14+300 – 14+650 appears to be at pre-construction, baseline conditions with no net loss of wetland function observed. Wetland is on the trajectory to becoming a bog wetland through the high level of humification causing a build up of litter / peat accumulation. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation within fen consisting predominantly of graminoids (sedges), scouring rushes, sphagnum mosses, willows, arrow heads, horse tails and buck brush. Excellent establishment of hydrophytic vegetation throughout wetland. - Sporadic low-density meadow hawkweed present on elevated ditch roach through wetland. Weeds will be controlled later this 2018 PCRM season. - Trench crown present through wetland but has slightly settled from hydrologic influence. Sufficient cross drains present along ditch roach for hydrology to be maintained across the ROW. - Substrate throughout wetland appears healthy through uniform vegetation growth and hydrology. Humification occurring throughout wetland with a very high organic content in the topsoil layer comparing with off ROW conditions. Test samples were taken on and off ROW and mottling was identified within top layer of peat. - The substrate throughout wetland exhibiting fully-saturated conditions with the water table at the ground surface (depth of 10-20cm); conditions are comparable to off ROW.  - Silt fence on western edge of wetland will be removed later this 2018 PCRM season. - Wetland providing good habitat opportunity through good vegetation cover, standing water and sufficient snags (mulch). Several bird, rodent, mammal tracks and amphibian species were observed within wetland. - Wetland has achieved pre-construction contour; no ponding or erosion issues were identified within wetland. Vegetative biodiversity on ROW resembling off ROW; black spruce will emerge onto ROW over time through natural succession. July 15, 2018 – Meadow hawkweed handpicked within wetland buffers. August 21, 2018 – KP 14+00 to 14+650 – Picking of meadow hawkweed was successful. No further weeds observed.",,,
NW 35-062-07 W6,Rollback 14+725 to 15+540,,,"June 29, 2018 - Rollback on slopes of ROW. Vegetation within the roll back at KP14+760 to 14+790 is 0 to 50% compared to ROW control.",,,
NW 35-062-07 W6,Moderate to High Issues with Plant Growth (high) 14+725 to 15+540 Erosion (moderate) 14+950,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed - minor rill erosion approximately 10 cm deep was noted across the ROW,"June 19, 2017 - Vegetation cover on the ROW is 65 to 80% compared to the off ROW control. Vegetation is well established with desirable species found throughout ROW. 2016 decreased percent cover vegetation issue resolved. - KP 14+800 – Repairs required at diversion berm. - KP 14+950 – Erosion rills remain, recommend repairs. - KP 15+ 300 – Ponding observed, recommend repairs. - KP 15+500 – Meadow hawkweed observed, recommend herbicide application. July 12, 2017 – KP 15+500 – Herbicide application conducted to control meadow hawkweed. September 15, 2017 - KP 15+035 to 15+280 – Intermittent herbicide application conducted to control scentless chamomile. Meadow hawkweed no longer present, issue resolved. September 14, 2017 - Silt Fencing was removed from both sides of drainage at KP 15+475 as area is well vegetated and silt fencing is no longer providing function. Issue resolved. - KP 15+300 – Ponding repaired, issue resolved. September 15, 2017 – KP 14+800 – Diversion berm repaired, issue resolved. - KP 14+950 – Erosion repaired and erosion control materials installed, issue resolved.","June 29, 2018 - Vegetation cover on the ROW remains at 65 to 80% compared to the off ROW control. Grasses establishing well along with broadleaf shrubs including raspberry. Desirable vegetation continues to establish on ROW. - KP 14+800 to 15+500 – Meadow hawkweed observed, recommend herbicide application. June 30, 2018 – KP 14+760 to 14+790 – Erosion observed, repairs recommended. - KP 14+950 – Additional erosion control materials added to 2017 repair, issue resolved. - KP 15+300 – Silt fence requires repairs on west side of drainage, can be removed from east side of drainage (vegetation is providing adequate sedimentation protection). July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 14+800 to 15+500) and marsh thistle (KP 15+380, 15+400, and 15+480). August 22, 2018 – KP 14+800 to 15+500 – Meadow hawkweed observed, recommend additional herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed (KP 14+800 to 15+500) and perennial sow thistle (KP 15+000). Oct 3, 2018 – KP 15+300 – silt fence repaired on west side of drainage and removed from east side of drainage, issues resolved. Oct 4 and 10, 2018 – KP 14+760 to 14+790 – Erosion repaired, issue resolved.",,,
NE 35-062-07 W6,Rollback 15+540 to 16+360,,"June 19, 2017 - Poor vegetation on through rollback on work side compared to off ROW.","June 30, 2018 - Rollback between KP’s 15+540 and 16+300 remains unchanged and serving its purpose. No evidence of 3rd party use was observed. There are some areas of reduced vegetation cover as noted above. - Mounding KP 16+300 to 16+350 is providing affective access control and is infilling with vegetation.",,,
NE 35-062-07 W6,Moderate to High Issues with Plant Growth (high) 15+540 to 16+360,- decreased percent cover of vegetation was noted throughout the quarter section except in the treed bog,"June 19, 2017 - KP 15+675 ponding observed, recommend repairs. - KP 16+040 cross drain. Recommend redistributing cobble. - No weeds identified on tract.  July 12, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 13, 2017 – KP 15+675 – Ponding repaired, issue resolved. - KP 16+040 – Cobble redistributed within cross drain, issue resolved. September 15, 2017 – KP 15+900 – Herbicide application conducted to control scentless chamomile (KP 15+900) and perennial sow thistle (KP 16+300). Meadow hawkweed is no longer present, issue resolved.","June 30, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Vegetation consists of mostly grasses, clover, willows, avens, yarrow, bluebell, strawberry and sedges. - White cockle (KP 16+015) and meadow hawkweed observed, recommend herbicide application. - No erosion or subsidence was observed in ¼. July 15, 2018 – Intermittent herbicide application conducted to control white cockle (KP 16+015) and meadow hawkweed. August 22, 2018 – Meadow hawkweed (intermittently) observed, recommend additional herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and perennial sow thistle (KP 16+020).",,,
NE 35-062-07 W6,Wetland (treed bog) 16+100 to 16+350,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish - no excessive ponded water or impeded flow due to the construction ROW,"June 19, 2017 - Treed Bog at KP 16+100 – 16+350 appears stable and on the trajectory of reaching preconstruction function. - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes and grasses. - Trench crown present through wetland and functioning well. Trench breaks allowing for through flow of water. - Workside rollback present in wetland from KP 16+300 – 16+350.  - Saturated soils and surface water indicate hydrology is maintained. - Substrate is stable with good depth of peat. - No subsidence or erosion issues evident in wetland.","July 11, 2018 - Treed Bog at KP 16+100 – 16+350 appears stable and on the trajectory of reaching pre-construction function.  - KP 16+300 to 16+350 mounding is present with standing water within depressions, allowing for microsite ecosystems. Emergent and non-emergent vegetation present within mounding.  - KP 16+100 to 16+300 Rollback is present providing sufficient snags throughout ROW.  - Vegetation cover is 80-100% comparable to off ROW with good establishment of rushes and grasses. - Other vegetation observed include, Common Cattails, Water Starwort, Sedges, Willows,  - Trench crown present through wetland and functioning well.  - Trench breaks allowing for hydrolohy to be maintained across the ROW. There was no identifiable impediment of flow within drainage through wetland. - Substrate throughout wetland appears healthy through uniform saturation, vegetation cover and organic content.  - Substrate is showing moderate saturation with some intermittent standing water throughout as the water table is near the ground surface.  - Peat levels are comparable to off ROW control. Mottling was observed in peat. - Wetland is showing good habitat opportunities for wildlife through water presence, snags and a good diversity of vegetation. Signs of mammals were identified through wetland. - Pre-construction contours within wetland have been achieved. No significant ponding or erosion issues were observed on ROW. Vegetation biodiversity has been attained on ROW.  - Coniferous tree species to emerge onto ROW over time through succession. - ATV/UTV rutting through was observed on the north adjacent ROW.  - Samples on and off ROW had a peat depth of 10cm both exhibiting mottling. - No subsidence or erosion issues evident in wetland. - Birds, Amphibians, and mammal tracts observed on tract.",,,
NW 36-062-07 W6,Intermittent Rollback 16+360 to 17+230,,"June 19, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","June 30, 2018 - Mounding at KP 17+000 remains effective. Vegetation continues to establish on the mounds - Rollback between 16+360 and 17+230 functioning as intended. Vegetation continues to infill area.",,,
,Moderate to High Issues with Plant Growth (high) 16+360 to 17+230,- decreased percent cover of vegetation was noted throughout the quarter section,"June 19, 2017 - Vegetation cover on the ROW is 0-50% compared to the off ROW control for most of the 1/4. Vegetation cover on spoil side of ROW is 65-80% intermittently compared to the off ROW control. - Desirable vegetation continues to establish on ROW.  - Cross drains and diversion berms throughout ¼ are functioning. - KP 18+875 – Picked/bagged and disposed of 2 Scentless Chamomile plants.  July 12, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 15, 2017 – KP 17+050 – Herbicide application conducted to control scentless chamomile. Meadow hawkweed is no longer present, issue resolved.","June 30, 2018 - Vegetation cover in this ¼ has increased to 65-80% in the ¼ from the previous assessment compared to off ROW control. Low vegetation cover issues resolved. Various Grasses establishing well along with broadleaf shrubs including raspberry, yarrow, bedstraw and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed throughout, recommend herbicide application. Scentless chamomile (KP 16+840), 1 plant picked, bagged and disposed of. - Diversion berms and cross drains in ¼ are functioning well, appear stable and vegetating. - KP 16+825 – Erosion observed, recommend repairs. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 17+000). August 22, 2018 – Meadow hawkweed (intermittently), scentless chamomile (KP 16+470) and perennial sow thistle (KP 16+800) observed, recommend additional herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 16+470) and perennial sow thistle (KP 16+800). Oct 3, 2018 – KP 16+825 – Erosion repaired and nearby silt fence removed, issues resolved.",,,
NE 36-062-07 W6,Intermittent Rollback 17+230 to 18+055,,,"June 30, 2018 - Intermittent rollback KP 17+230 to 18+055 remains unchanged and functioning as intended. No evidence of 3rd party use was observed.",,,
NE 36-062-07 W6,Moderate to High Issues with Plant Growth (high) 17+230 to 18+055,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 19, 2017 - Vegetation cover on ROW is predominantly 0-50% compared to the off ROW control. Desirable vegetation continues to establish on ROW. - No noxious weeds were identified. - Cross drains throughout ¼ are functioning. - No soil stability issues. - 17+650 - Silt fence no longer required, recommend removal. July 12, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 12, 2017 – KP 17+650 – Silt fence removed, issue resolved. September 15, 2017 – KP 17+510 and 17+740 – herbicide application conducted to control scentless chamomile. Meadow hawkweed is no longer present, issue resolved","June 30, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control. Previous low vegetation density issues resolved. Vegetation consists of mostly grasses, clover, willows, avens, yarrow, bluebell, strawberry and sedges. - Meadow hawkweed (intermittently) observed, recommend herbicide application. - KP 17+625 – Erosion observed, recommend repairs. - Drainage crossing at KP 17+650 is stable well vegetated and has infilling willows. - No subsidence or additional erosion was identified in this ¼. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed and scentless chamomile (KP 18+000) Sept 6, 2018 - No noxious weeds were identified on ROW. Oct 3, 2018 – KP 17+625 – Erosion repaired, issue resolved.",,,
NE 36-062-07 W6,Wetland (treed fen) 18+000 to 18+100,- wetland observed to be on an acceptable trajectory of reaching preconstruction functional conditions. - pre-construction contours recreated - appropriate wetland species were beginning to establish - no excessive ponded water or impeded flow due to the construction ROW,"June 19, 2017 - Treed Fen at KP 18+000 – 18+100 appears stable and on the trajectory of reaching preconstruction function. - Vegetation cover is 65-80% comparable to off ROW with good establishment of grasses and shrubs with 0-50% vegetation on work side from KP 18+000 – 18+050. - Trench crown present through wetland and functioning well. Trench breaks allowing for through flow of water. - Minor intermittent localized ponding present on ROW; not affecting wetland health. - Saturated soils indicate hydrology is maintained. - Substrate is stable with good depth of peat. - Watercourse 6 runs through middle of wetland acting as hydrological outlet of wetland. - No subsidence or erosion issues evident in wetland.","July 11, 2018 - Treed Fen on ROW from KP 18+000 – 18+100 appears to be at pre-construction, baseline conditions with no net loss of wetland function observed. Wetland is inclusive of Watercourse 6 (Unnamed Tributary to Seymour Creek) and its associated riparian zone. - Vegetation establishment through wetland has increased to 80-100% (previously assessed at 65-80%) cover compared to off ROW control with the exception of the work side of ROW from KP 18+000 to 18+050, at 65-80% cover. Vegetation within fen consisting of clover, large-leaf aven, willows, sphagnum mosses and cotton grass. Black Spruce saplings and Labrador tea infilling on ROW edges. - Increased hydrophytic vegetation on spoil side of ROW from KP 18+000 to 18+050 combined with decreased cover and lack of hydrophytic vegetation suggests that hydrology is not being maintained across the ROW. Recommend implementing two additional cross-drains across the ditch roach at KP 18+000 and 18+010 to allow for successful hydrological connectivity across the ROW, promoting uniform hydrophytic vegetation growth. - Sporadic low-density meadow hawkweed present through wetland. Weeds will be controlled later this 2018 PCRM season. - Trench crown present through wetland but has slightly settled from hydrologic influence. There is a southern channelized flow within the watercourse; no impediment of flow was observed. - Substrate throughout wetland appears healthy through uniform vegetation growth and hydrology throughout. Humification occurring throughout wetland with a moderate organic content in the topsoil layer comparing with off ROW conditions. Test samples were taken and peat depth exceeded 0.3m both on and off ROW with mottling occurring. - The substrate throughout wetland exhibiting semi-saturated conditions with the water table near the ground surface; conditions are comparable to off ROW.  - Wetland providing good habitat opportunity through good vegetation cover, standing water (in watercourse) and sufficient snags (mulch). Several bird, mammal tracks and amphibian species were observed within wetland. - Wetland has achieved pre-construction contour. Vegetative biodiversity on ROW resembling off ROW; black spruce will continue to emerge onto ROW over time through natural succession.",,,
,Watercourse (WC 6) Unnamed tributary to Seymour Creek 18+050,"- no terrain instability (e.g., subsidence, erosion etc.) observed directly associated with the watercourse. - good first-year vegetation establishment was observed for this watercourse crossing; however, moderate vegetation cover was observed upslope of the silt fencing - riprap was present on the ROW in the watercourse channel","June 19, 2017 - WC#6 at KP 18+050 – Bed and banks stable. Sufficient cobble placement. Vegetation is establishing well on banks. Moderate flow at this time.  - KP 18+050 – Silt fence is no longer required, recommend removal. September 12, 2017 - Silt fence removed, issue resolved.","June 30, 2018 - Watercourse banks are well vegetated and is at 80-100% cover compared to off ROW control. - Coir wraps and revetment post are stable and in good condition with strong willow growth with low mortality. - Currently there is light flow in creek and cobbled channel has prevented any erosion across disturbed area. - Marker posts and warning signs are in place and in good condition.",,,
NW 31-062-06 W6,Rollback 18+055 to 18+870,,"June 19, 2018 - Access control has not been altered and appears to be functioning effectively. No signs of Access onto pipeline ROW.","June 30, 2018 - Vegetation continues to infill the rollback area from KP 18+050 to 18+870. Rollback continues to remain effective.",,,
NW 31-062-06 W6,Moderate to High Issues with Plant Growth (high) 18+055 to 18+870,- decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 19, 2017 - Vegetation cover on the ROW is 0-50% compared to the off ROW control for most of the 1/4. Vegetation cover on spoil side of ROW is 65-80% intermittently compared to the off ROW control. - No noxious weeds identified. - Desirable vegetation continues to establish on ROW.  - Cross drains and diversion berms throughout ¼ are functioning. - No soil stability issues.  - KP 18+200 – Silt fence no longer required, recommend removal. July 12, 2017 – Intermittent herbicide application conducted to control meadow hawkweed. September 15, 2017 – KP 18+240 and 18+525 to 18+810 – Intermittent herbicide application conducted to control scentless chamomile. Meadow hawkweed is no longer present, issue resolved. September 12, 2017 – KP 18+200 – Silt fence removed, issue resolved.","June 30, 2018 - Vegetation cover in this ¼ has increased to 65-80% in the ¼ from the previous assessment compared to off ROW control. Previous low vegetation cover issues resolved. Grasses establishing well along with broadleaf shrubs including raspberry and willows. Desirable vegetation continues to establish on ROW. - Meadow hawkweed observed (intermittently), recommend herbicide application. Bull thistle (KP 18+800) individual picked, bagged and disposed of. - KP 18+240 - Drainage crossing D12(a) has good water flow. The area around the crossing has good vegetation growth. Silt fence that was in place was removed as no longer required from vegetation growth, issue resolved.  - KP 18+270 to 18+310 – Erosion at berm, recommend repairs. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed. August 22, 2018 – Meadow hawkweed (intermittently), perennial sow thistle (KP 18+200) and scentless chamomile (KP 18+300) observed, recommend additional herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, perennial sow thistle (KP 18+200) and scentless chamomile (KP 18+300). Oct 3 and 4, 2018 – KP 18+270 to 18+310 – Erosion repaired, including installation of erosion control materials. Issue resolved.",,,
NE 31-062-06 W6,Rollback 19+130 to 19+240,,"June 19, 2017 - Access control has not been altered and appears to be functioning effectively. No signs of access onto pipeline ROW.","June 30, 2018 - Rollback KP 19+130 to 19+240 remains unchanged and serving its purpose. No evidence of 3rd party use was observed.",,,
NE 31-062-06 W6,Moderate to High Issues with Plant Growth (high) 18+870 to 19+840,- intermittent decreased percent cover of vegetation was noted throughout the quarter section - sparse areas of establishing native vegetation were observed,"June 19, 2017 - Vegetation cover on the ROW is 65-80% compared to the off ROW control for most of the 1/4. Spoil side of ROW exhibits higher vegetation density than work side. Vegetation cover through rest of the ROW is 0-50% intermittently compared to the off ROW control. Desirable vegetation continues to establish on ROW.  - No noxious weeds identified. - Cross drains and diversion berms throughout ¼ are functioning. - No soil stability issues.  July 14, 2017 - No noxious weeds were identified. September 15, 2017 - No noxious weeds observed in ¼.","June 30, 2018 - Vegetation has recovered well in this ¼ and is at 65-80% vegetation cover compared to off ROW control for majority of ¼ section. Previous low vegetation cover issues resolved. Vegetation consists of mostly grasses, clover, willows, avens, yarrow, bluebell, strawberry and sedges. - Meadow hawkweed (intermittently), Canada thistle (KP 19+000) and perennial sow thistle (19+000) observed, recommend herbicide application. - No erosion or subsidence was observed in ¼. July 15, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, Canada thistle (KP 19+000) and perennial sow thistle (19+000). August 22, 2018 – Meadow hawkweed (intermittently) and perennial sow thistle (KP 19+000) observed, recommend additional herbicide application. Sept 6, 2018 – Intermittent herbicide application conducted to control meadow hawkweed, scentless chamomile (KP 19+140) and Canada thistle (KP 19+160).",,,
