Legal Location,1st Year Issue/ Condition,1st Year (2014) Issue(s),3rd Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Reduced vegetation density throughout tract (Moderate; 50 – 80% vegetation cover compared to off right-of-way). Intermittent minor erosion rill noted, continue to monitor vegetation recovery. Minor erosion rills identified within areas exhibiting sparse vegetation (Low; 0 – 50% vegetation cover compared to off right-of-way), continue to monitor for vegetation recovery. - KP 16+210 – erosion identified, repairs recommended. Sept 2 and 13, 2016 - KP 16+210 – Erosion repairs completed by hand.","July 10, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with some areas exhibiting lesser vegetation cover (65-80%). Good establishment of broadleaf shrubs and aspen. Pine trees establishing well in sandy bare areas as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. Previous low vegetation issues resolved. - No noxious weeds observed in tract. - Trench crown present throughout tract and stable; cross drains are functioning well. - Erosion rills on observed on RoW. - Previous year erosion rill repair in diversion berm at KP 16+210 appears successful, issue resolved. - Previously identified intermittent erosion rills are stable and not inhibiting the recovery of the ROW, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil. Other vegetation consists of various grasses, willows, alders, aspen and raspberries - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼.  - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 16-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Majority of the right of way is moderately vegetated (50 – 80% vegetation cover compared to off right-of-way) with birdsfoot trefoil, grasses, shrubs, willows, alders, and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Low; 0 – 50% vegetation cover compared to off right-of-way). Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - Adequate cross drains present and functional – no ponding present. - KP 16+350 – Drainage is stable and well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way), moderate flow identified. Issue noted at drainage entry point, erosion occurring to form new channel across ROW, repairs recommended. - KP 16+520 – Drainage is stable and well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way), no issues moderate flow identified. - KP 16+320 and 16+490 – Marker posts required repairs. Sept 2, 2016 - KP 16+320 and 16+490 – Marker posts and signs repaired, issue resolved. - KP 16+350 – Erosion noted earlier in growing season has stabilized with improved vegetation cover (Moderate; 50 – 80 % vegetation cover compared to off right-of-way), work no longer required, issue resolved.","July 10, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Excellent establishment of broadleaf shrubs throughout RoW. Area of lesser vegetation cover (50-65%) observed on RoW from KP 16+770 to 16+780. Pine trees establishing well in sandy bare areas as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. Previous low vegetation issues resolved. - No noxious weeds observed in tract. - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 16+980 - Ponding observed, cross drain repaired, issue resolved.  - Previously identified intermittent erosion rills are stable and not inhibiting the recovery of the ROW, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout RoW. Trees up to 1-3m tall. - Vegetation heights are providing a functional line of sight break. - No Noxious weeds identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
SE 17-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 12, 2016 – Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, grasses, shrubs, willows, alders, and aspen, 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (KP 17+000 to 17+300) (Low; 50 – 80 % vegetation cover compared to off right-of-way). Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - Diversion berms in this ¼ are vegetating and functioning well. - KP 17+840, Sediment fence near tree line, remove. - No noxious weeds were identified. Sept. 9, 2016 - KP 17+840 - Removed wattles and sediment fence, issue resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of broadleaf shrubs, grasses, and aspen. All previous low vegetation issues resolved. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - Diversion berms in tract stable with good vegetation establishment and functioning well. - KP 17+400 and 17+465 - Removed synthetic wattles within diversion berms that were no longer required, issue resolved.  - KP 17+710 – Erosion observed, requires repairs.  August 29, 2017 – KP 17+750 to 17+800 – removed erosion control materials that were no longer required, issue resolved. KP 17+710 – Erosion repaired and erosion control materials installed, issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation continues to establish throughout this ¼ and is at 80 - 100% vegetation cover compared to off ROW control. Alder trees showing excellent growth on the work side of the ROW. Vegetation consists of various grasses, willows, yellow rattle, yarrow, vetch, birds-foot trefoil and raspberry. - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 17-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 – Majority of the right of way is moderately vegetated (50 – 80% vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). Minor erosion rills identified within areas exhibiting sparse vegetation, continue to monitor for vegetation recovery. - KP 17+990 – Subsidence identified on ditchline, no work recommended, not presenting as a pipeline integrity issue or preventing the right of way from recovering, issue resolved. - KP 18+030 – Drainage lined with rock cobble is stable and functioning well. One area where cobble is absent, recommend redistribution of cobble. - KP 18+200 to 18+400 - Diversion berms, minor erosion occurring within diversion berms. Sept 9, 2016 KP 18+030 – Cobble redistributed, issue resolved. Sept 14, 2016 - KP 18+200 to 18+400 – Erosion noted earlier in growing season is no longer present, vegetation improvements have stabilized the area, no work required, issue resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of grasses, broadleaf shrubs and aspen. Pine trees establishing well throughout tract. - KP 18+220 to 18+310 - Bare area exhibiting sparse vegetation growth on ditch line (0 - 50%). Minimal vegetation establishment identified. Recommend enhancing growth through seeding with approved seed mixture. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - Drainage in tract from KP 18+030 is stable with good cobble distribution within.  - No subsidence or erosion issues identified in tract. October 2, 2017 - No noxious weeds were observed. October 4, 2017 – KP 18+220 to 18+310 – Seeded bare area with approved seed mix. Issue resolved.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 1-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - Pine tree plots are 1 – 2m tall. - No noxious weeds were identified. - KP 18+030 –Cobble drainage. Vegetation is beginning to establish within drainage.  - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
SW 17-96-6 W6,Sloat Creek (KP 17+900) Low Vegetation Establishment,"At the time of the assessment, work was occurring on the approach slopes of the watercourse to stabilize the soil.  Monitor in 2015 and re-seed if required","July 3, 2016 - banks are stable, no slumping evident, grasses emerging, coir lifts functioning well. Upper bank on the east side of the watercourse crossing is exhibiting new emerging grasses, but appears to have been stressed during dry period earlier this summer. Sediment fencing and wattles remain functional – some minor repairs required. Sand bags along watercourse are not bio-degradable and will require removal upon establishment of vegetation (20 removed that were no longer required). Sept 2, 2016 - KP 17+870 and 18+000 – Repaired marker posts and signs, issue resolved. - KP 17+900 – removed sediment fence. Sept 9, 2016- Removed all remaining sediment fences, synthetic wattles, and synthetic sand bags. Issues resolved.","July 11, 2017 - Sloat Creek at KP 17+900 appears stable. - Right bank (east slope) of creek crossing exhibiting further vegetation growth compared to previous year. Grasses, broad leaf shrubs (Birdsfoot Trefoil & Clover) establishing well on bank. Willow stakes beginning to show leaf emergence. Previous vegetation cover issues resolved. - Left bank (west slope) exhibiting 80-100% vegetation cover with good establishment of broadleaf shrubs. - Bed of creek is stable with sufficient cobble and good distribution; moderate flow observed.  - Revetment posts functioning well in stabilizing bed / banks of creek.","July 25, 2018 - Banks are fully vegetated and stable. - Good natural recovery along banks of trib. Trees 3-5m tall w/n snow fill areas.  - Water level and flow is moderate.  - Willows well established along West bank and slope.",,,
SE 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). - KP 18+765 to 18+825, Erosion on spoil side, recommend repairs - KP 19+180 and 19+265 - Ponding water, repair of cross drain required. - KP 19+350, Erosion due to inadequate cross drain, repair cross drain. - No noxious weeds were observed in this ¼. Sept 14, 2016 - KP 18+765 to 18+825 – contoured erosion and installed erosion control measures to repair erosion. Issue resolved. - KP 19+180, 19+265, and 19+350 – Cross drains repaired by hand. Issues resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with intermittent areas along tract exhibiting 65-80% cover. Good establishment of grasses, broadleaf shrubs and aspen. Pine trees establishing well as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. All previous vegetation cover issues resolved. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 18+765 to 18+825 – Additional erosion repairs required, additional erosion occurred since 2016 repairs. August 30, 2017 – KP 18+765 to 18+825 – Erosion repairs completed by hand and with installation of erosion control materials. Issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Alders and pine showing excellent growth on the work side of the ROW. Vegetation consists of various grasses, willows, vetch, aspens, alders, raspberry, sedges, rush and cattails.  - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch and grasses. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (KP 19+730 to 19+900) (Low; 0 – 50 % vegetation cover compared to off right-of-way). - KP 19+510 – minor erosion due to inadequate cross drain, repair cross drain. - KP 19+730 – Sign post requires repairs. - No noxious weeds were identified. Sept 14, 2016 - KP 19+730 – Sign post repaired, issue resolved. - KP 19+510 – cross drain repaired by hand, issue resolved.","July 1, 2017 - Berm implemented across RoW, as Line of sight barrier. Functioning well, moderate plant growth.  - Providing effective control within RoW disposition.  July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with intermittent areas along tract exhibiting 65-80% cover. Good establishment of grasses, broadleaf shrubs and aspen. All previous vegetation cover issues resolved. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - 2016 Repairs were noted to be effective, issues resolved. - No subsidence or erosion issues were identified in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NW 18-96-6 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80% vegetation cover compared to off right-of-way). - No noxious weeds were identified in this ¼.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control with intermittent areas along ditch line exhibiting 65-80% cover. Good establishment of grasses, broadleaf shrubs, spruce and aspen. Pine trees establishing well as a species that thrives well in those particular soil conditions. As trees mature, areas will fill in with understory vegetation, exhibiting off RoW conditions. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - No subsidence or erosion issues were identified in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, birds-foot trefoil, vetch, alder, aspen and raspberry. - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
NE 13-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 3, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). - KP 20+635 and KP 20+630 to 20+815 - Erosion, recommend repairs. - No noxious or invasive weeds were observed in this ¼. Sept 6, 2016 – KP 20+635 and KP 20+630 to 20+815 – Erosion noted earlier in growing season has stabilized due to improved vegetation cover and work is no longer warranted. Issues resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of grasses, broadleaf shrubs, spruce and aspen. Pine trees establishing well throughout tract.  - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 20+640 – Erosion repaired with cobble, issue resolved. - Diversion berms in tract appear to be functioning well with good vegetation establishment. - No subsidence or erosion issues were identified in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - Spruce tree plots are 1 – 1.2m tall. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NE 13-96-7 W6,Rare Plant (KP 20+500),"No golden saxifrage (S3?) were observed on July 30, 2014. Habitat is suitable for this species at this location. Further monitoring recommended.","Aug 21, 2016 - Species (golden saxifrage) not observed at the historically recorded pre-disturbance location. Golden Saxifrage is now ranked as an S4 (apparently secure, taxon is uncommon but not rare) (ACIMS, 2016). As the species is no longer considered rare in Alberta, no further monitoring will be conducted on the Project. Issue resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of grasses, broadleaf shrubs, spruce and aspen. Pine trees establishing well throughout tract.  - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 20+640 – Erosion repaired with cobble, issue resolved. - Diversion berms in tract appear to be functioning well with good vegetation establishment. - No subsidence or erosion issues were identified in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - Spruce tree plots are 1 – 1.2m tall. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NE 13-96-7 W6,Erosion (KP 20+630),"Erosion rills observed along the long sloping stretch in this area. Issues continue for approximately 100 m. This issue is not near a watercourse so there is no risk of sedimentation, but should be repaired to avoid gully formations. This issue was repaired in January 2015.","July 3, 2016 – Erosion at this location is no longer evident, issue resolved.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of grasses, broadleaf shrubs, spruce and aspen. Pine trees establishing well throughout tract.  - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 20+640 – Erosion repaired with cobble, issue resolved. - Diversion berms in tract appear to be functioning well with good vegetation establishment. - No subsidence or erosion issues were identified in tract. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, found throughout RoW. Trees up to 2-3m tall. Birds foot trefoil, clover and vetch observed throughout RoW. - Vegetation heights throughout RoW are providing a functional line of sight break. - Spruce tree plots are 1 – 1.2m tall. - No noxious weeds were identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NW 13-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). Minor erosion rills identified, they are not inhibiting the recovery of the ROW, issue resolved. - KP 21+475 - Diversion berm filled with sediment, recommend repairs. - KP 21+670 - Erosion, recommend repairs. - Volunteer spruce was found emerging in various location along ditch line in this ¼. - No noxious weeds were observed in this ¼. Sept 14, 2016 - KP 21+475 – Diversion berm repaired by hand. KP 21+670 – Erosion repaired by hand and erosion control materials installed.","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW control. Good establishment of grasses, broadleaf shrubs, spruce and aspen. Pine trees establishing well throughout tract. - No noxious weeds observed in tract.  - Trench crown present throughout tract and stable; cross drains are functioning well. - KP 21+140 – Marker post/sign repaired, issue resolved. - KP 21+140 - Ponding observed, recommend repairs to cross drain. - No subsidence or erosion issues were identified in tract. August 30, 2017 – KP 21+140 – Cross drain repaired, ponding issue resolved. October 2, 2017 - No noxious weeds were observed.","July 25, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation consists of various grasses, willows, aster, birds-foot trefoil, vetch, alder, aspen and raspberry. - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
NE 14-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately vegetated (50 – 80 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Low; 0 – 50 % vegetation cover compared to off right-of-way). Minor erosion rills identified, they are not inhibiting the recovery of the right of way, issue resolved.  No noxious weeds were identified","July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW within flat terrain portion of tract. Excellent establishment of grasses, broadleaf shrubs and aspen. - No common or noxious weed issues were identified within tract. - Trench crown present in tract and appears stable; cross drains functioning well.","July 25, 2018 - Vegetation established on RoW is 80-100% compared to off RoW. Generally consisting of birds foot trefoil, fireweed, clover, grasses and some willows and trees.",,,
NE 14-96-7 W6,Steep Slope Low/Moderate Vegetation Establishment,,"July 13, 2016 - - KP 22+175 to 22+400 - Erosion issue on east hillslope due to limited vegetation cover (Low; 0 – 50 % vegetation cover compared to off right-of-way), recommend removal of existing erosion control materials that are no longer effective, repair of erosion, and re-installation of erosion control materials. Sept 4 – 8, 2016 – Erosion on hillslope repaired by hand with the construction of soil breakers, installation of straw wattles, removal of previous erosion control materials and seeding with approved seed mix. Continue to monitor hillslope recovery.","June 29, 2017 - All of the erosion control measures implemented in 2016 are functioning and providing protection against additional erosion within the sloped area. - KP 22+280 – Installation of additional erosion control measures recommended. - KP 22+300 – Minor erosion remaining, installation of additional erosion control measures recommended. - The silt fence along the north side of the right of way requires repair. - Slope remains poorly vegetated monitor later in growing season. July 11, 2017 - 80-100% vegetation establishment (broadleaf shrubs) from KP 22+175 to 22+250 on hill slope. Remainder of hill slope exhibiting 0-50% vegetation growth, recommend seeding with approved seed mix. - KP 22+400 - Installation of additional erosion control measures recommended. August 30, 2017 – KP 22+280, 22+300, and 22+400 – Additional erosion control measures installed, issue resolved. - Silt fence repaired along north edge of ROW, issue resolved. October 2, 2017 - No noxious weeds were observed. October 5, 2017 - Seeded approved seed mixture to areas of low vegetation cover. Issue resolved.","July 25, 2018 - Previous erosion control measures implemented have been effective and providing intended function.  - Vegetation has recovered across upper hill slope (80 – 100%). Vegetation is establishing in from outer boundaries.  - Limited vegetation cover noted on majority of hillslope (0- 50%) - Recommend reseeding hill slope. October 16, 2018 - Created 51 microsites on the hill slope with Biotic Earth. Installed wattles on shoulder of slope of microsite to prevent any erosion from spring run-off. Seeded microsites with an approved seed mix. Spread a tackifier on the microsite and sprayed with water.",,,
SE 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. There are areas exhibiting reduced vegetation density (Moderate; 50 – 80 % vegetation cover compared to off right-of-way). Minor erosion rills identified, they are not inhibiting the recovery of the right of way, issue resolved. - No noxious weeds were identified.","July 1, 2017 - Rollback present at access road. ATV’s utilizing parallel RoW for access, rollback is ineffective. July 11, 2017 - Vegetation establishment is 80-100% comparable to off RoW within tract. Excellent establishment of grasses, broadleaf shrubs and aspen. All previous vegetation cover issues resolved. - No noxious weed issues were identified within tract. - Trench crown present in tract and appears stable; cross drains functioning well. - No subsidence or erosion issues were identified within tract. October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil and vetch. Other vegetation consists of various grasses, willows, aspens, pine, alders and raspberries - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SE 23-96-7 W6,Forested Low Vegetation Establishment (KP 22+400),"At the time of the assessment, work was occurring on the steep slopes at this location to stabilize the soil.","Sept 4 – 8, 2016 – KP 22+400 – Erosion repairs completed, including reseeding, continue to monitor.",Vegetation establishment is 80-100% comparable to off RoW. Issue resolved.,"July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil and vetch. Other vegetation consists of various grasses, willows, aspens, pine, alders and raspberries - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Trench crown is present and stable.  - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
SW 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs, willows, and aspen. 2014 vegetation issue resolved. Moderate vegetation (50 – 80 % vegetation cover compared to off right-of-way) on hillslope at KP 23+500, no secondary issues noted (e.g., erosion), no work recommended, issue resolved. - No noxious weeds were identified.","July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. All previous vegetation cover issues resolved. - No noxious weeds identified on tract. - No erosion or subsidence on tract.  October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, white birch, pine and black spruce found throughout RoW. Trees up to 1-3m tall. - Pine tree plots are 1 – 1.5m tall. - No Noxious weeds identified. - Ditch crown present. Cross drains are vegetated and functioning. - No erosion or subsidence issues.",,,
NW 23-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is moderately (50 – 80 % vegetation cover compared to off right-of-way) to well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, and aspen. 2014 vegetation issue resolved.  - Adequate cross drains present and functional – no ponding present.","July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract. - No subsidence or erosion on tract. October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation is at 80 - 100% vegetation cover compared to off ROW control. Vegetation predominantly birds-foot trefoil and vetch. Other vegetation consists of various grasses, willows, aspens, white spruce, alders and raspberries - Planted lodgepole pine continues to establish well throughout tract.  - No noxious weeds were identified in ¼. - Cross-drains appear to be functioning well with no evidence of ponding. - No erosion or subsidence was identified within 1/4.",,,
NE 22-96-7 W6,Forested Low/Moderate Vegetation Establishment,Low vegetation establishment observed on majority of construction right-of-way with patches of moderate vegetation establishment.,"July 13, 2016 - Majority of the right of way is well vegetated (High; 80 – 100 % vegetation cover compared to off right-of-way) with birdsfoot trefoil, American vetch, grasses, shrubs (e.g., wild rose and raspberries), alders, willows, and aspen. 2014 vegetation issue resolved. There are minor areas exhibiting reduced vegetation density (Moderate; 50 – 80 % vegetation cover compared to off right-of-way) - Adequate cross drains present and functional – no ponding present.","July 14, 2017 - Vegetation cover on the RoW is 80- 100% compared to the off-RoW control. Predominantly birdsfoot trefoil, vetch, and clover. Wheat grasses, timothy, willows, and aspens are also establishing. - No noxious weeds identified on tract.  - Cross drains identified and functioning well vegetation establishing.  October 2, 2017 - No noxious weeds were observed.","July 24, 2018 - Vegetation cover is 80-100% compared to off RoW with desirable species found throughout. RoW displays similar vegetation composition to off RoW. Good natural recovery of native broadleaves, shrubs, grasses, willows, poplars, green alders, and pine found throughout RoW. Trees up to 2-3m tall. - Planted lodgepole pine continues to establish well throughout tract.  - Rollback appears to be functioning. - Cross drains are vegetated and functioning. - No erosion or subsidence issues. July 28, 2018 – KP 24+430 – Herbicide application conducted to control perennial sow thistle.",,,
