Alignment  Sheet,Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,Enbridge Environmental Inspector Observation(s) in 2012,TERA Observation(s)  in 2012,"Repairs to Date  (2010, 2011, 2012)",Status,Recommended  Measure(s) to Resolve  Issue(s) and Schedule,VEC,GIS,Topic
56,NE 1-15-12,785.4 to 786.3,3166,Vegetation - Weeds,"High weed density of false ragweed, common peppergrass, Russian pigweed, flixweed and others found on construction right-of-way.","Moderate density of absinthe, foxtail barley, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
56,SE 5-15-11,789.05 to 789.3,3171,Soils - Compaction,--,No issues observed on construction right-of-way during ground reconnaissance.,Moderate compaction evident.,--,-,Unresolved,Repair compaction and monitor in 2013.,,W2M,
56,SE 5-15-11,789.05 to 789.3,3171,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,Reduced crop growth evident.,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
57,SW 36-14-11,795.6 to 795.7,3184,Vegetation – Crop Growth,--,Environmental Inspector observed and repaired moderate compaction on construction right-of-way in fall 2011.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,Area disced in fall 2011.,Resolved,None.,,W2M,
57,SW 36-14-11,795.6 to 795.7,3184,Soils - Compaction,--,Environmental Inspector observed and repaired moderate compaction on construction right-of-way in fall 2011.,Moderate compaction observed.,No compaction issues observed during ground reconnaissance. No crop growth issues observed.,Area disced in fall 2011.,Resolved,None.,,W2M,
57,SW 36-14-11,795.6 to 795.7,3184,Soils – Admixing,-,Environmental Inspector observed and repaired moderate compaction on construction right-of-way in fall 2011.,Approximately 30% admixing evident.,"Repeated standard farming practices (cultivating, discing, etc.) appear to have resolved the issue. No crop growth issues observed.",Area disced in fall 2011.,Resolved,None.,,W2M,
57,NW 29-14-10,798.9 to 798.95,3189,Soils – Erosion,Identified during spring overflight. Erosion and reduced crop growth observed on construction right-of-way during ground reconnaissance.,Gully erosion observed within field drain on construction right-of-way during ground reconnaissance.,--,Gully erosion observed on construction right-of-way during ground reconnaissance is caused by natural drainage patterns and land use.,Reseeded by landowner in 2010.,Resolved,None.,,W2M,
57,NW 29-14-10,798.95,3189,Soils – Erosion,Identified during spring overflight. Erosion and reduced crop growth observed on construction right-of-way during ground reconnaissance.,Rill erosion observed at KP 799.1 on construction right-of-way during ground reconnaissance.,--,Minor rill erosion observed on construction right-of-way during ground reconnaissance.,Erosion repaired in fall 2011.,Unresolved,"Repair erosion, if warranted and monitor in 2013.",,W2M,
57,NW 29-14-10,798.95 to 799.6,3189,Vegetation – Crop Growth,--,Reduced crop growth observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,Area disced in fall 2011.,Resolved,None.,,W2M,
57,NE 29-14-10,799.6 to 800.5,3190,Vegetation - Crop Growth,Reduced crop growth at road crossing observed on construction right-of-way during ground reconnaissance.,Reduced crop growth at road crossing observed on construction right-of-way during ground reconnaissance.,--,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
57,NE 29-14-10,799.6 to 800.5,3190,Soils - Admixing,--,Moderate admixing observed on construction right-of-way during ground reconnaissance.,Compaction evident on old lines.,"Repeated standard farming practices (cultivating, discing, etc.) appear to have resolved the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
57,SE 27-14-10,803.7,3195.01,Soils - Subsidence,Issue reported by construction contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence appears repaired.,Minor subsidence (approx.  4 m x 0.30 m x 200 m) observed on construction right-of-way. Not affecting crop growth.,Subsidence repaired in 2010.,Unresolved,"Repair subsidence, if warranted and monitor in 2013.",,W2M,
57,SE 25-14-10,806.4 to 807.05,3199,Vegetation – Weeds,--,--,Weed densities similar on and off right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
58,NE 24-14-10,807.1,3201,Vegetation – Weeds,"High density of smartweed, dandelion, green foxtail, scentless chamomile and others observed on construction right-of-way during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
58,NW 19-14-9,807.9,3202,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Trench subsidence evident.,Subsidence (approx.  1.5 m x 0.15 m x 25 m) observed on construction right-of-way during ground reconnaissance.,--,Unresolved,"Repair subsidence, if warranted and monitor in 2013.",,W2M,
58,NW 19-14-9,807.15 to 807.95,3202,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Patchy areas of growth observed.,Vegetation composition and density equal to off construction right-of-way.,Reseeded in 2010 and June 2012.,Resolved,None.,,W2M,
58,NW 19-14-9,807.1 to 807.95,3199 3203,Vegetation – Weeds,--,--,Weed densities similar on and off right-of-way.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
58,NE 19-14-9,807.95 to 808.75,3203,Vegetation - Weeds,--,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
58,NE 19-14-9,807.95 to 808.75,3203,Vegetation - Establishment,Issue reported by construction contractor.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Patchy areas of growth observed.,Poor vegetation establishment observed in patches on construction right-of-way during ground reconnaissance.,Reseeded in June 2012.,Unresolved,Reseed and monitor in 2013.,,W2M,
58,NE 20-14-9,810.3,3204.01,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Trench subsidence evident.,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Repaired trench subsidence and reseeded in June 2012.,Resolved,None.,,W2M,
58,NE 20-14-9,810.4,3204.01,Vegetation - Weeds,"High density of false ragweed, perennial sow-thistle, Canada thistle, lamb’s-quarters and others observed on construction right-of-way.","Moderate density of foxtail barley, perennial sow-thistle, Canada thistle and absinthe observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Soils – Compaction,Moderate compaction at road crossing observed on construction right-of-way during ground reconnaissance.,Unable to fully assess effects on crop growth since field was fallow.,Patchy growth areas had platy compaction,Minor compaction observed on right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Vegetation – Crop Growth,--,Unable to fully assess effects on crop growth since field was fallow.,Reduced crop growth evident; several areas of patchy growth.,Poor crop growth observed in patches on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
58,NE 21-14-9,811.8 to 812.1,3206.02,Soils - Admixing,--,--,Patchy growth areas had 30% or more admixing.,Minor admixing observed on right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
58,SW 22-14-9,812.2 to 812.4,3207,Vegetation - Weeds,Issue reported by construction contractor.,Unable to survey due to wet conditions at time of survey.,Unable to access due to wet conditions.,"Unable to assess due to flooding. Moderate densities of dandelion, stinkweed and Canada thistle observed in preconstruction weed survey",Weeds picked in 2010.,Resolved,None.,,W2M,
58,SW 22-14-9,812.9,3208.01,Vegetation – Weeds,"High density of perennial sow-thistle, Canada thistle, kochia, Shephard’s purse, lamb’s-quarters, scentless chamomile, cleavers and others observed on construction right-of-way.",Unable to survey due to wet conditions at time of survey.,--,"Unable to assess due to flooding. Moderate densities of dandelion, stinkweed and Canada thistle observed in preconstruction weed survey.",--,Resolved,None.,,W2M,
58,SE 22-14-9,813.2 to 813.7,3209,Soils – Subsidence,--,--,Trench line subsidence present.,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Subsidence repaired July 2012.,Resolved,None.,,W2M,
58,SE 22-14-9,813.4 to 813.8,3209,Vegetation – Establishment,--,--,No evidence of poor growth; some absinthe present. No weed issues observed.,Vegetation not yet established on repaired area. Reassess next year.,Reseeded in 2012.,Unresolved,Monitor in 2013.,,W2M,
58,SE 22-14-9,813.4 to 813.8,3209,Vegetation – Weeds,"High density of lamb’s-quarters, wild buckwheat, dandelion, green foxtail and others observed on construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,--,Unvegetated area should be reassessed next year for weed issues.,--,Unresolved,Monitor in 2013.,,W2M,
58,NE 13-14-9,816.4 to 817.1,3214,Soils - Compaction,Minor compaction observed on construction right-of-way during ground reconnaissance.,Unable to fully assess effects on crop growth since field was fallow.,--,Moderate compaction observed on construction right-of-way during ground reconnaissance causing reduced crop height (up to 20 cm) and density.,--,Unresolved,"Repair compaction, if warranted and monitor crop growth in 2013.",,W2M,
58,SE 18-14-8,VC 0.7,3217,Soils - Erosion,--,Gully erosion observed on construction right-of-way during ground reconnaissance.,--,No erosion observed on construction right-of-way during ground reconnaissance.,Erosion repaired in summer 2011.,Resolved,None.,,W2M,
58,SW 17-14-8,VC 1.0 to VC 1.8,3218.03,Vegetation - Weeds,"High density of perennial sow-thistle, dandelion, redroot pigweed, stinkweed, kochia, Canada thistle, white cockle and others on construction right-of-way.","Moderate density of foxtail barley, Canada thistle and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",No weed issues observed.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
58,SW 17-14-8,VC 1.4 to VC 1.7,3218.03,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,No subsidence observed.,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
58,SE 17-14-8,VC 2.2 to VC 2.6,3219 3219.01 3219.02,Topography – Steep Slopes Soils – Erosion Vegetation - Establishment Water Quality and Quantity Fish and Fish Habitat Vipond Creek,Rill erosion and surface cracking down east slope of watercourse VC 2.2 (400 m east of watercourse). Damaged silt fence on east bank.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Watercourse appears restored and vegetation establishment evident.,No erosion observed on construction right-of-way during ground reconnaissance. Vegetation composition and density equal to off construction right-of-way.,Reseeded in summer 2011.,Resolved,None.,,W2M,
59,SW 15-14-8,822.14 to 822.19,3222,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: No baseline assessment completed.,"Health: Unhealthy (43%).  Weeds: Canada thistle, perennial sow-thistle. Undesirable species dominant on construction right-of-way. Bare ground (60%) on construction right-of-way Minor sediment movement from bare ground towards wetland central portion. Approx. 15- 30 cm crown.",Health: Healthy with Problems (60%) Wetland is considered Resolved based on comparison with wetland condition immediately off construction right-of-way.,--,--,"Removal of silt fence on both sides of wetland, seeding of patchy areas of wetland to Riparian 3a mix, rill erosion scar evident west of wetland (July 30, 2011) Kochia and sow-thistle present on and off construction right-of-way, therefore no weed issues (August 25, 2011).",Resolved,None.,,W2M,
59,SW 15-14-8,822.14 to 822.19,3222,Soils – Silt Fence,--,--,Silt fence removed from east side of wetland in summer 2012.,Silt fence observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
59,NW 10-14-8,822.65 to 822.95,3223,Vegetation - Weeds,Issue reported by construction contractor.,"Moderate density of foxtail barley, false ragweed, wild buckwheat and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate density of weeds observed on right-of-way.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds picked and sprayed in 2010 and June 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
59,NE 10-14-8,823.0 to 823.8,3224,Vegetation – Weeds,"High density of Canada thistle, perennial sow-thistle, false ragweed, black medick, dandelion and others on construction right-of-way.","High density of false ragweed, Canada thistle, foxtail barley and nodding thistle observed on construction right-of-way during ground reconnaissance.",Moderate densities of Canada thistle observed on right-of-way.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Weeds sprayed in 2010. Weeds sprayed in 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
59,NW 12-14-8,825.6 to 825.8,3227,Soils – Silt Fence,--,--,Silt fence on both sides of wetland.,--,--,Unresolved,Remove silt fence if vegetation is well established.,,W2M,
59,SE 12-14-8,826.85 to 827.1,3229  3229.01,Vegetation – Weeds,"High density of lamb’s-quarters, perennial sow-thistle, redroot pigweed, wild buckwheat observed on construction right-of-way during ground reconnaissance.","Moderate density of Canada thistle, prickly lettuce, perennial sow-thistle and green foxtail observed on construction right-of-way during ground reconnaissance.","Weed densities similar on and off right-of-way, appears resolved.",Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
59,SW 7-14-7,827.60 to 827.68,3230,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: Healthy (91%),"Health: Unhealthy (38%).  Weeds: Canada thistle, perennial sow-thistle. Bare ground on construction right-of-way. Landowner has cultivated wetland margins.",Health: Healthy with Problems (60%). Weeds: Kochia. Bare ground observed on construction right-of-way where wetland vegetation is slow to establish. Disturbance-caused undesirable species on construction right-of-way.,--,Health: Healthy with Problems (63%). Weeds: Kochia. Cultivated within wetland boundaries and wetland vegetation re-establishment is hindered. Suspect “Healthy” baseline status was prior to wetland being cultivated. Determined resolved due to land use alteration from cultivation.,Repair rill erosion and seed patchy areas on fringe of wetland.,Resolved,None.,,W2M,
59,SE 7-14-7,828.8,3231.01,Soils - Compaction,Moderate compaction at road crossing observed on construction right-of-way during ground reconnaissance.,Minor compaction at road crossing observed on construction right-of-way during ground reconnaissance.,Compaction evident on west side of road.,"Repeated freeze thaw events and standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
59,SE 2-14-7,835.4,3243,Vegetation – Weeds,High density of perennial sow-thistle and Canada thistle on and off construction right-of-way.,High density of Canada thistle and foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of weeds observed on and off right-of-way.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,SW 1-14-7,836.2,3244,Vegetation – Weeds,"High density of perennial sow-thistle, kochia, and Canada thistle on and off construction right-of-way.","High density of foxtail barley, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.",--,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,SE 1-14-7,836.3 to 837.1,3245,Vegetation – Weeds Land and Resource  Use - organic farm,"High density of perennial sow-thistle, kochia and Canada thistle on and off construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,High density of weeds observed on right-of-way; bare ground evident; rough right-of-way.,"Low to moderate densities of Canada thistle, wild mustard, perennial sow-thistle, lamb’s-quarters and foxtail barley observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.",Landowner disced right-of-way in 2012.,Unresolved,Control weeds and monitor in 2013.,,W2M,
60,SE 1-14-7,836.3 to 837.1,3245,Vegetation – Crop Growth,--,--,Bare ground evident.,Recent disturbance observed during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
60,SW 6-14-6,837.1 to 837.7,3246,Vegetation – Weeds,"Moderate weed density of perennial sow-thistle, dandelion and Canada thistle on and off construction right-of-way including topsoil piles observed during ground reconnaissance.",No issues observed on construction right-of-way during ground reconnaissance.,High density of weeds observed.,"Low to moderate densities of foxtail barley, Canada thistle, perennial sow-thistle and lamb’s-quarters observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.",Landowner disced right-of-way in 2012.,Unresolved,Control weeds and monitor in 2013.,,W2M,
60,SW 6-14-6,837.1 to 837.7,3246,Vegetation – Crop Growth,--,--,Bare ground evident.,Recent disturbance observed during ground reconnaissance.,--,Unresolved,Reseed and monitor in 2013.,,W2M,
60,NE 31-13-6,838.5,3248,Vegetation - Weeds,--,--,Scentless chamomile observed and some areas of patchy growth.  Environmental Inspector recommends further monitoring in 2013.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in 2010. Reseeded in 2011. Weeds hand-picked summer 2012. Weeds sprayed August 2012.,Unresolved,Monitor in 2013.,,W2M,
60,NE 31-13-6,838.78,3248,Soils – Contouring,--,--,Soil pile evident and uneven contour. Environmental Inspector recommends further monitoring in 2013.,No contouring issues observed on construction right-of-way during ground reconnaissance.,Releveled soil pile and reseeded in June 2012.,Unresolved,Monitor in 2013.,,W2M,
60,NW 33-16-6,840.60 to 840.67,3251,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: No baseline assessment completed.,"Health: Unhealthy (43%).  Weeds: Canada thistle, perennial sow-thistle. Undesirable species (broad-leaved water plantain) dominant on construction right-of-way. Riparian: Woody vegetation removed for cultivation. Bare ground on construction right-of-way. Landowner has cultivated wetland margins.",Health: Healthy with Problems (65%). Weeds: Kochia Bare ground observed on construction right-of-way where wetland vegetation is slow to establish. Disturbance caused undesirable species on construction right-of-way.,--,Health: Healthy with Problems (69%). Wetland is determined to be resolved based on comparison with wetland portion located off right-of-way.,--,Resolved,None.,,W2M,
60,SE 33-13-6,842.1,3254.01,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,"Subsidence appears repaired.  June 1, 2012.",No subsidence observed on construction right-of-way during ground reconnaissance.,Disced and graded in 2011.,Resolved,None.,,W2M,
60,NW 25-13-6,845.98 to 846.3,3260,Soils – Admixing,Moderate admixing on construction right-of-way between wetlands observed on construction right-of-way during ground reconnaissance.,Moderate admixing and reduced crop growth observed on construction right-of-way between wetlands during ground reconnaissance.,Environmental Inspector recommends further monitoring in 2013.,"Admixing issue no longer affecting crop growth. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue.",--,Unresolved,Monitor in 2013.,,W2M,
60,NW 25-13-6,845.7 to 846.3,3260,Soils – Compaction,--,--,Landowner complaint regarding compaction. Environmental Inspector recommends further monitoring in 2013.,"Repeated freeze thaw events and standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Unresolved,Monitor in 2013.,,W2M,
60,NW 25-13-6,845.7 to 846.3,3260,Vegetation – Crop Growth,--,--,Landowner complaint regarding crop growth. Environmental Inspector recommends further monitoring in 2013.,No crop growth issues observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
60,NE 25-13-6,846.4 to 846.6,3260,Vegetation – Weeds,"Moderate density of wild oats, wild mustard, spear leaved goosefoot, perennial sow-thistle and Canada thistle observed on construction right-of-way during ground reconnaissance.",High density of Canada thistle observed on construction right-of-way during ground reconnaissance.,"Landowner has seeded field, no weed issues observed. May 31, 2012.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,SE 25-13-6,846.6 to 847.15,3262,Soils - Admixing,--,Moderate admixing and reduced crop growth observed on construction right-of-way by Environmental Inspector.,--,Minor admixing observed on construction right-of-way affecting crop growth in some areas.,--,Unresolved,"Source and add clean topsoil or topsoil amendments, if warranted and monitor in 2013.",,W2M,
60,SE 25-13-6,847.1,3262,Vegetation – Weeds,"High density of false ragweed, kochia, redroot pigweed, Canada thistle and others on construction right-of-way.","High density of flixweed, Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance. Weeds recently sprayed.","Landowner has seeded field, no weed issues observed.  May 31, 2012.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,SE 25-16-3,847.13 to 847.19,3262,Wetland Class Overall: III Wetland Class on construction right-of-way: III 2008 Health: No baseline assessment completed.,"Health: Healthy with Problems (60%).  Weeds: Canada thistle, perennial sow-thistle. Landowner has cultivated wetland margins.","Health: Unhealthy (52%) Weeds: Perennial sow-thistle, Canada thistle. Wetland is cultivated to the edge. Potential surface compaction issue that is resulting in slowed vegetation establishment.",Landowner has cultivated wetland fringe - appears resolved.,Health: Healthy with Problems (67%). Wetland is determined to be resolved based on comparison with wetland portion located off right-of-way.,--,Resolved,None.,,W2M,
60,SW 30-13-5,847.3 to 848.1,3263,Vegetation – Weeds,"High density of perennial sow-thistle, white cockle, kochia, false ragweed, lamb’s-quarters, Canada thistle and others on construction right-of-way.",Unable to assess due to wet conditions at time of survey.,Right-of-way still flooded in late May.,Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
60,NE 20-13-5,K 0.0 to K 0.7,3267,Soils - Subsidence,--,Moderate subsidence observed on construction right-of-way by Environmental Inspector.,--,No subsidence issues observed on construction right-of-way during ground reconnaissance.,Disced and reseeded in July 2012.,Resolved,None.,,W2M,
60,NE 20-13-5,K 0.0 to K 0.7,3267,Vegetation - Weeds,--,High weed density observed on construction right-of-way by Environmental Inspector.,Quack grass observed on right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds mowed July 2012.,Resolved,None.,,W2M,
60,NE 20-13-5,K 0.2 to K 0.6,3267,Vegetation - Establishment,--,--,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.,Disced and reseeded in July 2012.,Unresolved,Monitor in 2013.,,W2M,
61,NE 15-13-5,K 4.5 to K 5.0,3267.08 3267.09,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"High density of shepherd’s-purse, white cockle and foxtail barley observed on construction right-of-way during ground reconnaissance.","Landowner has seeded field, no weed issues observed.  May 31, 2012.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
61,NE 15-13-5,K 4.9,3267.09,Soils - Subsidence,--,Minor subsidence observed on construction right-of-way during ground reconnaissance.,--,"No subsidence issues observed on construction right-of-way during ground reconnaissance. Repeated standard farming practices (cultivating, discing, etc.) appear to have repaired the issue. No crop growth issues observed.",--,Resolved,None.,,W2M,
61,NW 14-13-5,K 5.0 to K 5.3,3267.1,Vegetation – Establishment,--,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Patchy areas on right-of-way observed.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
61,NW 14-13-5,K 5.0 to K 5.35,3267.1,Vegetation – Weeds,--,High density of prostrate pigweed observed on construction right-of-way during ground reconnaissance.,Canada thistle and absinthe observed.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed in June and August 2012.,Resolved,None.,,W2M,
61,NW 14-13-5,K 5.2,3267.1,Vegetation - Weeds,--,High density of prostrate pigweed observed on construction right-of-way during ground reconnaissance.,--,High density of perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Weeds sprayed August 2012.,Unresolved,"Control weeds, if warranted, and monitor in 2013.",,W2M,
61,NE 14-13-5,K 6.0 to K 6.5,3267.2,Vegetation – Establishment,--,--,Poor vegetation establishment (alkali conditions).,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance. High amount of cattle pugging and high densities of weeds observed.,--,Unresolved,Reseed and isolate from cattle disturbance. Monitor in 2013.,,W2M,
61,NE 14-13-5,K 6.5 to K 6.6,3267.2,Vegetation – Weeds,--,--,High density of absinthe observed.,High densities of foxtail barley and gumweed observed on construction right-of-way during ground reconnaissance.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
61,NE 14-13-5,K 6.3,3267.2,Soils – Subsidence,--,--,"Soils subsidence noted on right-of-way. Recommend to disc right-of-way now, maybe a couple of times, repair ditchline settlement and reseed in October 2012.",--,--,Unresolved,"Repair subsidence, reseed and monitor in 2013.",,W2M,
61,NW 13-13-5,K 7.0,3267.3,Vegetation - Establishment Water Quality and Quantity Unnamed Drainage – Field Identified,Final clean-up not complete at time of 2010 ground reconnaissance.,Poor vegetation establishment on east bank on construction right-of-way observed during ground reconnaissance.,Landowner has worked the right-of-way.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
61,NW 13-13-5,K 7.0 to K 7.4,3267.3,Vegetation - Weeds,--,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,--,Moderate densities of perennial sow-thistle and Canada thistle seedlings observed on construction right-of-way during ground reconnaissance. Area recently reworked/disturbed.,--,Unresolved,Control weeds and monitor in 2013.,,W2M,
61,NW 13-13-5,K 7.0 to K 7.4,3267.3,Vegetation – Crop Growth,--,--,Landowner has worked the right-of-way and reseeded.,Recent disturbance observed during ground reconnaissance.,--,Unresolved,Monitor in 2013.,,W2M,
61,NW 18-13-4,K 8.3 to 858.3,3286,Vegetation - Weeds Land and Resource  Use - organic farm,Final clean-up not complete at time of 2010 ground reconnaissance.,"High density of foxtail barley, Canada thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.","Weed densities similar on and off right-of-way.  May 31, 2012.",Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
61,NE 17-13-4,860.57 to 860.67,3289,Wetland Class Overall: IV Wetland Class on construction right-of-way: IV 2008 Health: No baseline assessment completed.,Final clean-up not complete at time of 2010 ground reconnaissance.,"Health: Healthy with Problems (72%). Weeds: Canada thistle, annual sow-thistle. Landowner has cultivated to wetland edges. No baseline data to compare health status.",Scentless chamomile observed on right-of-way.,Health: Healthy (93%). Weed density and composition equal on and off construction right-of-way.,--,Resolved,None.,,W2M,
61,SE 16-13-4,861.6 to 862.4,3292,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of foxtail barley, narrow-leaved hawk’s-beard and Canada thistle observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way.,Weed density and composition equal on and off construction right-of-way.,Weeds sprayed August 2012.,Resolved,None.,,W2M,
61,SE 16-13-4,861.6 to 862.4,3292,Vegetation – Establishment,--,--,Patchy growth observed.,No vegetation establishment issues observed on construction right-of-way during ground reconnaissance.,--,Resolved,None.,,W2M,
61,SW 15-13-4,862.4 to 863.3,3293,Vegetation – Establishment,--,--,Landowner has worked right-of-way and noted poor germination on pasture on right-of-way.,Area recently reworked/disturbed. Reassess next year.,Landowner disced right-of-way summer 2012.,Unresolved,Monitor in 2013.,,W2M,
61,NE 10-13-4,864.0 to 864.2,3295,Vegetation – Establishment,--,--,Poor vegetation establishment on west side of gravel road.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
61,N 1/2 11-13-4,864.2 to 865.9,3296  3297,Vegetation – Weeds Land and Resource  Use - organic farm,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of Canada thistle, foxtail barley, narrow-leaved hawk's-beard and wild oats observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way; right-of-way may not have been seeded.,Weed density and composition equal on and off construction right-of-way.,Landowner to disc and reseed right-of-way in 2012.,Resolved,None.,,W2M,
61,N 1/2 11-13-4,864.2 to 865.9,3296  3297,Vegetation – Establishment Land and Resource  Use - organic farm,--,--,"Environmental Inspector noticed right-of-way is predominantly quack grass at time of site inspection May 31, 2012. Landowner has been compensated to seed right-of-way.",Field has been disced at the time of survey.,Landowner to disc and reseed right-of-way in 2012.,Unresolved,Monitor in 2013.,,W2M,
62,NE 11-13-4,865.77 to 865.87,3297,Vegetation – Establishment,--,--,Patchy growth on east side of wetland.,Vegetation composition and density equal to off construction right-of-way.,--,Resolved,None.,,W2M,
62,NW 12-13-4,865.9 to 866.65,3298,Vegetation – Weeds,Final clean-up not complete at time of 2010 ground reconnaissance.,"Moderate density of lamb’s-quarters, field dock and foxtail barley observed on construction right-of-way during ground reconnaissance.",Weeds observed on right-of-way.,"Low to moderate densities of foxtail barley, stinkweed, perennial sow-thistle and common plantain observed on construction right-of-way during ground reconnaissance.",--,Unresolved,Control weeds and monitor in 2013.,,W2M,
