Legal Location,Approximate KP,Tract No(s).,Environmental Issue(s),Observation(s) in 2010,Observation(s) in 2011,TERA Observation(s) in 2012,TERA Observation(s) in 2013,TERA Observation(s) in 2014,Repairs to Date  (2010 to 2014),Status,Recommended Measure(s) to Resolve Issue(s) and Schedule,VEC,GIS,Topic
NE 1-10-30,944.5 to 945.0,3430,Vegetation - Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,"Moderate to high density of field dock, foxtail barley, common peppergrass and Canada thistle observed on construction right-of-way during ground reconnaissance.",Moderate to high densities of foxtail barley and absinthe observed on construction right-of-way during ground reconnaissance.,"Bull in field, unable to safely assess in 2013.",Construction right-of-way was recently mowed at the time of assessment. Higher density of foxtail barley observed on construction right-of-way compared to off.,Weeds mowed July 2012. Weeds sprayed August 2012. 2013: Mowed area of foxtail barley issue and spot sprayed broadleaf weeds as required. 2014: Area was mowed and interseeded.,Unresolved,Enbridge will continue to monitor this area to ensure weed control and vegetation establishment is successful. See Appendix B for details.,,WPM,Saskatchewan
NE 1-10-30,944.5 to 945.0,3430,Vegetation – Establishment,Final clean-up not complete at time of 2010 ground reconnaissance.,--,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,"Bull in field, unable to safely assess in 2013.",Construction right-of-way was recently mowed at the time of assessment. Higher density of foxtail barley observed on construction right-of-way compared to off.,Reseeded July 2012. 2014: Area was mowed and interseeded.,Unresolved,Enbridge will continue to monitor this area to ensure weed control and vegetation establishment is successful. See Appendix B for details.,,WPM,Saskatchewan
NE 34-9-29,951.35,4008,"Vegetation – Weeds, Pipestone Creek",--,--,Moderate density of Canada thistle and a patch of tansy on west bank of Pipestone Creek.,Moderate density of Canada thistle and tansy observed on construction right-of-way.,Issue assessed by the EI in 2014. EI indicated that the issue encompasses a grassed drainage between two fields and that the weeds have now been out-competed by grasses. No weed issues exist.,2013: Weeds spot sprayed/hand-picked and mowed.,Resolved,None.,,WPM,Manitoba
NE 34-9-29,951.35,4008,Soils - Erosion,--,--,--,--,Issue assessed by the EI in 2014.  EI indicated that further repairs to this area are required. Details provided within Appendix B.,Refer to Appendix B.,Unresolved,Enbridge will discuss repair options with the landowner and address the issue as warranted in 2015.,,WPM,Manitoba
NW 35-9-29,952.3,4009,Vegetation - Weeds,--,--,--,Issue not assessed in 2013. Monitoring to occur in 2014.,Issue assessed by the EI in 2014. EI indicated that the issue encompasses a grassed drainage between two fields and that the weeds have now been out-competed by grasses. No weed issues exist.,Weeds sprayed in summer 2012.,Resolved,None.,,WPM,Manitoba
NW 20-9-28,957.98,4018,"Topography – Steep Slopes, Soils – Erosion, Water Quality and Quantity, Intermittent Creek",Final clean-up was not complete at the time of the 2010 ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate gully erosion observed on west bank of unnamed creek on construction right-of-way during ground reconnaissance.,Upper and mid slopes appear stable. Erosion issue exists on streambanks.,Land access denied on surrounding lands; could not assess in 2014. Issue assessed by EI. EI indicated that the repairs to this area have been successful and no erosion issues exist.,Reseeded summer 2011. Removal of sediment fences in 2012. Erosion repaired September 2012. Erosion repaired in August 2013.,Resolved,None.,,WPM,Manitoba
SW 20-9-28,CT 0.4,4019,"Soils – Erosion, Water Quality and Quantity, Unnamed Drainage – Field Identified",--,--,Major gully erosion observed on construction right-of-way during ground reconnaissance.,"Erosion issue improved from 2012, however, still remains unresolved. Slopes require seeding (currently bare ground with weeds).",Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,Erosion repaired September 2012.,Unresolved,Enbridge will continue to monitor and repair if warranted. See Appendix B for details.,,WPM,Manitoba
SW 20-9-28,,,Vegetation – Weeds,Final clean-up was not complete at the time of the 2010 ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,No weeds observed on fallow land during ground reconnaissance.,Higher density of weeds observed on the construction right-of-way compared to off. Canada thistle and perennial sow-thistle observed at high densities.,Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,Landowner reseeded July 2012.,Unresolved,Enbridge will continue to monitor and control weeds if warranted. See Appendix B for details.,,WPM,Manitoba
NW 17-9-28,CT 0.6 to CT 1.1,4019.01,Vegetation - Weeds,--,--,--,A moderate to high density of Canada thistle was observed within the entire quarter-section.,Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,--,Unresolved,Enbridge will continue to monitor and control weeds if warranted. See Appendix B for details.,,WPM,Manitoba
NW 14-9-28,963.6,4026,Soils - Subsidence,Issue reported by Construction Contractor.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Minor subsidence observed on construction right-of-way during ground reconnaissance.,Subsidence (10 m x 2 m x 0.15 m) observed on construction right-of-way.,Access to land not granted at time of assessment. EI indicated that this area was repaired in 2013.,Subsidence repaired in 2010 and 2013.,Unresolved,Enbridge will assess the repair in 2015 to ensure success. See Appendix B.,,WPM,Manitoba
SE 32-8-23,1009.15 to 1010.0,4074,Vegetation - Weeds,--,--,--,The landowner has a concern with leafy spurge in this area. Landowner had just sprayed leafy spurge.,Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Issue is being managed as part of Oak Lake Sandhills Area. See Appendix B for details.,,WPM,Manitoba
SW 33-8-23,1010.0 to 1010.71,4075,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Generally, areas of low relief have increased vegetation establishment success. Hill slopes and other areas observed with bare ground, consistently have less topsoil.",Access to land not granted at time of assessment. EI has indicated that this issue will be monitored in 2015 and remedial seeding will occur as warranted.,Reseeded fall 2011 and June 2012.,Unresolved,Issue is being managed as part of Oak Lake Sandhills Area. See Appendix B for details.,,WPM,Manitoba
SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Establishment,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance. Very sandy soils.,"Large patches of bare ground exist in this quarter-section with sparse vegetation. Grasses are generally establishing well, but more time may be required to increase density.",Access to land not granted at time of assessment. EI has indicated that this issue will be monitored in 2015 and remedial seeding will occur as warranted.,Reseeded fall 2011 and June 2012.,Unresolved,Issue is being managed as part of Oak Lake Sandhills Area. See Appendix B for details.,,WPM,Manitoba
SE 33-8-23,1010.71 to 1011.59,4075.01,Vegetation - Weeds,--,--,--,Low density of leafy spurge observed on construction right-of--way.,Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,2013: Landowner controlling weeds on right-of-way by chemical application.,Unresolved,Issue is being managed as part of Oak Lake Sandhills Area. See Appendix B for details.,,WPM,Manitoba
NE 22-8-22,1022.56 to 1022.67,4090,Vegetation - Weeds,"Moderate density of false ragweed, lamb’s-quarters, field dock, flixweed and foxtail barley on construction right-of-way observed on construction right-of-way during ground reconnaissance.",Unable to survey due to wet conditions during ground reconnaissance.,Moderate density of Canada thistle observed on construction right-of-way during ground reconnaissance.,A high density of Canada thistle and a moderate density of perennial sow-thistle and leafy spurge observed on the construction right-of-way.,Access to land not granted at time of assessment. EI has indicated that this issue will remain on Enbridge’s regular weed maintenance list for monitoring and control as warranted.,Weeds sprayed in August 2012 and fall 2014.,Unresolved,Issue is being managed as part of Oak Lake Sandhills Area. See Appendix B for details.,,WPM,Manitoba
SE 8-8-20,1039.7 to 1040.3,4110,Vegetation - Weeds,--,"Moderate density of Canada thistle, false ragweed and annual sow-thistle observed on construction right-of-way during ground reconnaissance.",Evidence of weeds observed on construction right-of-way. Hay has recently been cut.,Large patch of Canada thistle observed on construction right-of-way.,Weeds observed at similar densities on and off the construction right-of-way. Weed control has been successful.,Weeds mowed in summer 2011. Weeds mowed in summer 2012. 2013: Selective hand spraying target Canada thistle. 2014: Selective hand spraying target Canada thistle.,Resolved,None.,,WPM,Manitoba
SE 13-7-16,1086.8 to 1087.05,4169.01 4169.02,Vegetation - Weeds Oak Creek,"High weeds density of false ragweed, lamb’s-quarters, Russian thistle, stinkweed, Canada thistle, Canada fleabane and field dock on southeast bank of construction right-of-way.",No issues observed on construction right-of-way during ground reconnaissance.,"Low to moderate densities of Canada thistle, common burdock and leafy spurge observed on west bank along construction right-of-way during ground disturbance.",Weed densities higher on the construction right-of-way than off. Leafy spurge present at a moderate density.,Weeds observed at similar densities on and off the construction right-of-way.  Remaining weed issue is located in an area previously used for staging/parking during a recent integrity dig.,--,Resolved,None.,,WPM,Manitoba
NW 10-6-12,1124.25 to 1124.5,4222,Soils - Subsidence,Issue reported by Construction Contractor.,No issues observed on construction right-of-way during ground reconnaissance.,--,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,"Repaired low areas north of farm yard, restored swale, imported topsoil in 2011. 2013: Reclamation work completed as required.",Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
NW 10-6-12,1124.35 to 1124.6,4222,Soils - Admixing,Moderate admixing observed on construction right-of-way during ground reconnaissance.,No issues observed on construction right-of-way during ground reconnaissance.,--,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,Imported topsoil in 2011. 2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
NW 10-6-12,1124.6 to 1125.0,4222,Vegetation - Weeds,--,Moderate density of foxtail barley observed on construction right-of-way during ground reconnaissance.,High density of foxtail barley observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,Weeds sprayed in October 2011. 2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
NW 10-6-12 (cont’d),See above,See above,Soils – Contouring,--,Landowner noted low area from dugout to fenceline.,--,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,Hauled in topsoil and installed berm east of dugout in 2011. 2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
NE 10-6-12,1125.0 to 1125.6,4222.01,Vegetation – Establishment,--,--,--,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,Seeded patchy growth on cattle runway and drainage swale fall in 2011. 2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
SE 10-6-12,1125.4 to 1125.85,4222.02,Vegetation - Establishment,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Moderate vegetation establishment observed on construction right-of-way during ground reconnaissance.,Poor vegetation establishment observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,Reseeded in summer 2011. 2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
SE 10-6-12,1125.4 to 1125.85,4222.02,Soils – Compaction,--,--,Minor compaction observed on construction right-of-way during ground reconnaissance.,Land access not granted at time of survey.,Land access not granted at time of survey. Enbridge is working with a third-party on this tract. Issues will continue to be monitored and addressed as needed by Enbridge.,2013: Reclamation work completed as required.,Unresolved,Enbridge will continue to monitor and address issues as needed See Appendix B for details.,,WPM,Manitoba
NE 24-3-7,1184.3 to 1184.4,4309,Vegetation - Weeds,--,--,--,"Numerous weed species, including a moderate density of Canada thistle and perennial sow-thistle were observed on the construction right-of-way.",Issue assessed by EI in 2014. EI has indicated that chemical controls have been successful and no issues exist.,Weeds sprayed in August 2012.,Resolved,None.,,WPM,Manitoba
NE 31-2-5,1198.0 to 1198.3,4329 4329.01,Land and Resource  Use - Urban Construction Area Vegetation - Weeds,"Moderate to high density of nodding thistle, dandelion, green foxtail, Canada thistle, perennial sow-thistle and foxtail barley on construction right-of-way.","Moderate density of Canada thistle, perennial sow-thistle and narrow-leaved hawk's-beard observed on construction right-of-way during ground reconnaissance.",Low to moderate densities of Canada thistle and perennial sow-thistle observed on construction right-of-way during ground reconnaissance.,Perennial sow-thistle observed at higher densities on the construction right-of-way compared to off.,Issue assessed by EI in 2014. EI has indicated that chemical controls have been successful and no issues exist.,Reseeded in 2010. Weeds sprayed September 2012.,Resolved,None.,,WPM,Manitoba
