Quarter Section,Tract,Land Use,KHE Land ID,Year 1 Issues,Repaired Year 1,Year 2 Issues,Repaired Year 2,Year 3 Issues,Repaired Year 3,Year 3 Current Recommendations,Year 3 Rationales,Year 3 PCEM Status,VEC,GIS,Topic
SE 17-8-7 W3M,BESK-0451.0,Hay,LAND ID 511,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 17-8-7 W3M,BESK-0451.0,Hay,LAND ID 511,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 17-8-7 W3M,BESK-0451.0,Hay,LAND ID 511,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 17-8-7 W3M,BESK-0451.0,Hay,LAND ID 511,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 16-8-7 W3M,BESK-0452.0,Cultivated,LAND ID 512,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 16-8-7 W3M,BESK-0452.0,Cultivated,LAND ID 512,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 16-8-7 W3M,BESK-0453.0,Cultivated,LAND ID 513,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 15-8-7 W3M,BESK-0454.0,Cultivated,LAND ID 514,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 15-8-7 W3M,BESK-0455.0,Cultivated,LAND ID 515,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 15-8-7 W3M,BESK-0455.0,Cultivated,LAND ID 515,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
SE 15-8-7 W3M,BESK-0455.0,Improved Pasture,LAND ID 516,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 15-8-7 W3M,BESK-0455.0,Improved Pasture,LAND ID 516,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 15-8-7 W3M,BESK-0455.0,Improved Pasture,LAND ID 516,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 14-8-7 W3M,BESK-0456.0,Cultivated,LAND ID 517,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SW 14-8-7 W3M,BESK-0456.0,Improved Pasture,LAND ID 518,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 14-8-7 W3M,BESK-0457.0,Improved Pasture,LAND ID 519,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 14-8-7 W3M,BESK-0457.0,Improved Pasture,LAND ID 519,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-8-7 W3M,BESK-0457.0,Improved Pasture,LAND ID 519,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-8-7 W3M,BESK-0457.0,Cultivated,LAND ID 520,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 14-8-7 W3M,BESK-0457.0,Cultivated,LAND ID 520,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 13-8-7 W3M,BESK-0460.0,Cultivated,LAND ID 521,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
SW 13-8-7 W3M,BESK-0460.0,Cultivated,LAND ID 521,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 13-8-7 W3M,BESK-0460.0,Improved Pasture,LAND ID 522,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 13-8-7 W3M,BESK-0460.0,Improved Pasture,LAND ID 522,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 13-8-7 W3M,BESK-0460.0,Improved Pasture,LAND ID 522,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 13-8-7 W3M,BESK-0460.0,Improved Pasture,LAND ID 522,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 13-8-7 W3M,BESK-0461.0,Cultivated,LAND ID 523,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 18-8-6 W3M,BESK-0462.0,Cultivated,LAND ID 524,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SW 18-8-6 W3M,BESK-0462.0,Cultivated,LAND ID 524,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 18-8-6 W3M,BESK-0463.0,Cultivated,LAND ID 525,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 17-8-6 W3M,BESK-0464.0,Cultivated,LAND ID 526,--,--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SW 17-8-6 W3M,BESK-0464.0,Cultivated,LAND ID 526,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 17-8-6 W3M,BESK-0465.0,Improved Pasture,LAND ID 527,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 17-8-6 W3M,BESK-0465.0,Improved Pasture,LAND ID 527,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 17-8-6 W3M,BESK-0465.0,Improved Pasture,LAND ID 527,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 16-8-6 W3M,BESK-0466.0,Hay,LAND ID 528,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 16-8-6 W3M,BESK-0467.0,Improved Pasture,LAND ID 529,--,--,Rutting,--,Rutting,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 16-8-6 W3M,BESK-0467.0,Improved Pasture,LAND ID 529,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 9-8-6 W3M,BESK-0468.0,Cultivated,LAND ID 530,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 9-8-6 W3M,BESK-0468.0,Cultivated,LAND ID 530,Subsidence,--,--,--,Subsidence_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
SE 9-8-6 W3M,BESK-0469.0,Improved Pasture,LAND ID 531,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve through natural processes.,MONITOR,,,
SE 9-8-6 W3M,BESK-0469.0,Improved Pasture,LAND ID 531,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 9-8-6 W3M,BESK-0469.0,Cultivated,LAND ID 532,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 4-8-6 W3M,BESK-0470.0,Cultivated,LAND ID 533,Contouring,--,--,--,Contouring_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 4-8-6 W3M,BESK-0470.0,Cultivated,LAND ID 533,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 4-8-6 W3M,BESK-0470.0,Cultivated,LAND ID 533,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 4-8-6 W3M,BESK-0471.0,Cultivated,LAND ID 534,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 4-8-6 W3M,BESK-0471.0,Cultivated,LAND ID 534,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 33-7-6 W3M,BESK-0472.0,Cultivated,LAND ID 535,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 33-7-6 W3M,BESK-0472.0,Cultivated,LAND ID 535,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 34-7-6 W3M,BESK-0473.0,Cultivated,LAND ID 536,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-7-6 W3M,BESK-0473.0,Hay,LAND ID 537,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 34-7-6 W3M,BESK-0473.0,Hay,LAND ID 537,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 34-7-6 W3M,BESK-0474.0,Hay,LAND ID 538,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 34-7-6 W3M,BESK-0474.0,Cultivated,LAND ID 539,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 35-7-6 W3M,BESK-0475.0,Cultivated,LAND ID 540,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 35-7-6 W3M,BESK-0475.0,Cultivated,LAND ID 540,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 35-7-6 W3M,BESK-0476.0,Cultivated,LAND ID 541,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 35-7-6 W3M,BESK-0476.0,Cultivated,LAND ID 541,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NW 36-7-6 W3M,BESK-0477.0,Cultivated,LAND ID 542,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 36-7-6 W3M,BESK-0478.0,Cultivated,LAND ID 543,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 31-7-5 W3M,BESK-0479.0,Cultivated,LAND ID 544,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 31-7-5 W3M,BESK-0479.0,Cultivated,LAND ID 544,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NE 31-7-5 W3M,BESK-0480.0,Cultivated,LAND ID 545,Seed Catch,--,--,--,Vegetation establishment_1,--,No Further Action Recommended,Issue not recommended for repair.,RESOLVED,,,
SE 31-7-5 W3M,BESK-0481.0,Cultivated,LAND ID 546,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 30-7-5 W3M,BESK-0482.0,Cultivated,LAND ID 547,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NE 30-7-5 W3M,BESK-0482.0,Cultivated,LAND ID 547,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
SE 30-7-5 W3M,BESK-0483.0,Cultivated,LAND ID 548,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 29-7-5 W3M,BESK-0484.0,Cultivated,LAND ID 549,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 29-7-5 W3M,BESK-0484.0,Cultivated,LAND ID 549,Subsidence,Issue Repaired,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 20-7-5 W3M,BESK-0485.0,Cultivated,LAND ID 550,--,--,--,--,Admixing_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 20-7-5 W3M,BESK-0485.0,Cultivated,LAND ID 550,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NE 20-7-5 W3M,BESK-0486.0,Hay,LAND ID 551,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 20-7-5 W3M,BESK-0486.0,Hay,LAND ID 551,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 21-7-5 W3M,BESK-0487.0,Cultivated,LAND ID 552,--,--,--,--,Contouring_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 21-7-5 W3M,BESK-0487.0,Cultivated,LAND ID 552,--,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 21-7-5 W3M,BESK-0487.0,Cultivated,LAND ID 552,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,MONITOR,,,
NE 21-7-5 W3M,BESK-0488.0,Cultivated,LAND ID 553a,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 21-7-5 W3M,BESK-0488.0,Cultivated,LAND ID 553a,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NE 21-7-5 W3M,BESK-0488.0,Improved Pasture,LAND ID 553b,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 21-7-5 W3M,BESK-0488.0,Improved Pasture,LAND ID 553b,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NE 21-7-5 W3M,BESK-0488.0,Cultivated,LAND ID 553c,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 21-7-5 W3M,BESK-0488.0,Cultivated,LAND ID 553c,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NW 22-7-5 W3M,BESK-0489.0,Hay,LAND ID 554,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 22-7-5 W3M,BESK-0489.0,Cultivated,LAND ID 555,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 22-7-5 W3M,BESK-0489.0,Cultivated,LAND ID 555,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 22-7-5 W3M,BESK-0490.0,Cultivated,LAND ID 556,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 22-7-5 W3M,BESK-0490.0,Cultivated,LAND ID 556,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 23-7-5 W3M,BESK-0491.0,Cultivated,LAND ID 557,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 23-7-5 W3M,BESK-0491.0,Cultivated,LAND ID 557,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 23-7-5 W3M,BESK-0492.0,Improved Pasture,LAND ID 558,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 23-7-5 W3M,BESK-0492.0,Cultivated,LAND ID 559,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 24-7-5 W3M,BESK-0493.0,Cultivated,LAND ID 560,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 24-7-5 W3M,BESK-0494.0,Cultivated,LAND ID 561,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 19-7-4 W3M,BESK-0495.0,Cultivated,LAND ID 562,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SW 30-7-4 W3M,BESK-0495.1,Cultivated,LAND ID 563,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 30-7-4 W3M,BESK-0496.1,Cultivated,LAND ID 564,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 30-7-4 W3M,BESK-0496.1,Cultivated,LAND ID 564,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SW 29-7-4 W3M,BESK-0497.1,Cultivated,LAND ID 565,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
,,,,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,,,,
SE 29-7-4 W3M,BESK-0498.1,Cultivated,LAND ID 566,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SE 29-7-4 W3M,BESK-0498.1,Improved Pasture,LAND ID 567,--,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
SW 28-7-4 W3M,BESK-0498.2,Cultivated,LAND ID 568,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 21-7-4 W3M,BESK-0499.0,Cultivated,LAND ID 569,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 21-7-4 W3M,BESK-0500.0,Cultivated,LAND ID 570,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 21-7-4 W3M,BESK-0500.0,Cultivated,LAND ID 570,Incomplete PCEM assessment,--,--,--,Incomplete Year 1 PCEM assessment,--,Resolved,Incomplete Year 1 assessment.,RESOLVED,,,
NW 22-7-4 W3M,BESK-0501.0,Cultivated,LAND ID 571,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NW 22-7-4 W3M,BESK-0501.0,Cultivated,LAND ID 571,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 22-7-4 W3M,BESK-0502.0,Cultivated,LAND ID 572,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NW 23-7-4 W3M,BESK-0503.0,Cultivated,LAND ID 573,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 23-7-4 W3M,BESK-0504.0,Cultivated,LAND ID 574,--,--,--,--,Subsidence_1,--,Monitor Year 5 - Wetland,Wetland issue not recommended for repair (wt142).,RESOLVED,,,
NE 23-7-4 W3M,BESK-0504.0,Cultivated,LAND ID 574,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 24-7-4 W3M,BESK-0505.0,Cultivated,LAND ID 575,--,--,--,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,MONITOR,,,
NW 24-7-4 W3M,BESK-0505.0,Cultivated,LAND ID 575,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,MONITOR,,,
NW 24-7-4 W3M,BESK-0505.0,Cultivated,LAND ID 575,Seed Catch,--,--,--,Vegetation establishment_1,--,Monitor Year 5,Issue expected to improve with agricultural practices.,MONITOR,,,
NW 24-7-4 W3M,BESK-0505.1,Improved Pasture,LAND ID 576,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,MONITOR,,,
NW 24-7-4 W3M,BESK-0505.1,Improved Pasture,LAND ID 576,Weed concern,--,--,--,Weed concern_1,--,Monitor Year 5,Confirm conditions are stable.,MONITOR,,,
NE 24-7-4 W3M,BESK-0506.0,Cultivated,LAND ID 577a,Compaction,--,--,--,Compaction,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 24-7-4 W3M,BESK-0506.0,Cultivated,LAND ID 577a,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 24-7-4 W3M,BESK-0506.0,Cultivated,LAND ID 577a,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 24-7-4 W3M,BESK-0507.0,Cultivated,LAND ID 578,--,--,"Erosion (wind, water)_1",--,"Erosion (wind, water)_1",--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 24-7-4 W3M,BESK-0507.0,Cultivated,LAND ID 578,--,--,Seed mix/Land use,Issue Repaired,Seed mix/Land use,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 24-7-4 W3M,BESK-0507.0,Cultivated,LAND ID 578,--,--,Subsidence_1,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 24-7-4 W3M,BESK-0507.0,Cultivated,LAND ID 578,--,--,Weed concern_1,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
SE 24-7-4 W3M,BESK-0507.0,Hay,LAND ID 579a,--,--,Seed mix/Land use,--,Seed mix/Land use,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 13-7-4 W3M,BESK-0508.0,Cultivated,LAND ID 580,"Erosion (wind, water)",--,--,--,"Erosion (wind, water)_1",--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 13-7-4 W3M,BESK-0508.0,Cultivated,LAND ID 580,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 13-7-4 W3M,BESK-0508.0,Cultivated,LAND ID 580,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
SE 13-7-4 W3M,BESK-0509.0,Cultivated,LAND ID 581,--,--,--,--,Weed concern_1,Issue Repaired,Resolved,No further action required.,RESOLVED,,,
SW 18-7-3 W3M,BESK-0510.0,Cultivated,LAND ID 582,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 7-7-3 W3M,BESK-0511.0,Cultivated,LAND ID 583,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 7-7-3 W3M,BESK-0511.0,Cultivated,LAND ID 583,Subsidence,--,--,--,Subsidence_1,--,Resolved,Landscape feature not observed to be an issue during Year 3 PCEM.,RESOLVED,,,
NE 7-7-3 W3M,BESK-0512.0,Cultivated,LAND ID 584,Site visit,--,--,--,Site visit,--,Resolved,No issues.,RESOLVED,,,
NE 7-7-3 W3M,BESK-0512.0,Improved Pasture,LAND ID 585,Seed Catch,--,--,--,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NE 7-7-3 W3M,BESK-0512.0,Improved Pasture,LAND ID 585,Weed concern,--,--,--,Weed concern_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 8-7-3 W3M,BESK-0513.0,Cultivated,LAND ID 586,--,--,Vegetation establishment_1,Issue Repaired,Vegetation establishment_1,--,Resolved,Vegetation and soil parameters are similar to off-RoW and on a positive trajectory.,RESOLVED,,,
NW 8-7-3 W3M,BESK-0513.0,Cultivated,LAND ID 586,--,--,Weed concern_1,--,Weed concern_1,--,No Further Action Recommended,Land capability is equivalent to off-RoW conditions.,RESOLVED,,,
