Legal Location,Land Use,1st Year (2015) Issue(s),2nd Year (2016) PCRM Assessment and Work Completed,3rd Year (2017) PCRM Assessment and Work Completed,VEC,GIS,Topic
SW 16-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 28+590 – Herbicide applications conducted to control scentless chamomile. - KP 28+600 to 29+100 – Intermittent minor erosion occurring at cross drain/wildlife breaks in roach.  Recommend installation of erosion control materials. - No subsidence issues.","July 3, 2017 - 65-80% overall vegetation establishment within this tract, consisting predominantly of alsike clover across the ROW.  A considerable amount of brome is also present with some wheatgrass and timothy as well.  Low vegetation issue observed in 2015 resolved. - Cross drains appear to be accommodating migration of water appropriately - KP 28+600 to 29+100 - Areas of previously identified erosion remain, although there is no impact to the recovery of the ROW, vegetation is filling in.  No work recommended.  Issue resolved. - KP 28+775 – Erosion, recommended for repairs. July 23, 2017 – KP 28+650 – Herbicide application conducted to control scentless chamomile.  Issue resolved. August 27, 2017 – KP 28+775 – Erosion repaired with erosion control materials installed.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
SE 17-096-04W5,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 29+800 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - KP 29+300 - Minor erosion at cross drain, recommend installation of erosion control materials. - No subsidence issues","July 3, 2017 - 65-80% overall vegetation establishment within this tract, consisting predominantly of alsike clover and American vetch, with brome, timothy and wheatgrass present as well. Low vegetation issue observed in 2015 resolved. - Aspen and willows are establishing along both sides of the pipeline right of way  - Minimal to moderate roach height exists throughout the tract with functional cross drains. - Pipeline marker posts were stabilized in this tract, issue resolved. - KP 29+300 – Erosion previously noted is no longer evident, issue resolved. October 4, 2017 - No noxious weeds were observed.",,,
SE 17-096-04W5,Forested,Erosion,"August 7, 2016 – KP 29+200 – Erosion remains, recommend repairs.","July 3, 2017 - KP 29+200 – Erosion persists in drainage, recommend repairs. August 27, 2017 – Erosion repaired with the installation of erosion control materials.  Monitor in 2018.",,,
SW 17-096-04W6,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 3, 2017 - 65-80% overall vegetation establishment within this tract, with portions of the tract exhibiting higher density than average.  Vegetation consists predominantly of American vetch, with some alsike clover present, as well as brome, timothy and wheatgrass.  Low vegetation issue observed in 2015 resolved. October 4, 2017 - No noxious weeds were observed.",,,
SW 17-096-04W6,Midget Creek (CH100),"Silt Fence, Contours Roach and Erosion","Repairs completed in winter 2015/2016.  Issues resolved. August 7, 2016 - Midget Creek 30+200. - Banks and riparian areas are stable, water ponding on ditch line. - Remove silt fence both sides of the creek.  Vegetation providing adequate sediment control.","July 3, 2017 – Slumping observed within portion of steep slope to creek, repairs recommended. – Midget Creek - Banks of the watercourse crossing exhibit some slumping, however coir lifts are stable and vegetating; Willow plugs observed, with good emergence of willow transplants between coir lifts on the east side of the crossing.  Coniferous trees plants on the upper banks observed.  Good vegetation establishment on upper banks.  Considerable flow is present at this time. - All silt fencing can be removed, with the exception of the section below the slumping  August 24, 2017 - Re-built sloughed diversion berm; Willow staked slope, added additional diversion berm on spoil side of ROW.  Slumping issue resolved. - Removed all silt fencing, with the exception of those downslope of repairs.  Issue resolved. October 04, 2017 – Seeded recent repaired areas with approved seed mix.",,,
SW 17-096-04W6,Forested,Moderate Vegetation Cover,"August 7, 2016 - -  Vegetation is establishing grasses, shrubs, vetch and clover. - KP 30+250 – Herbicide application conducted to control scentless chamomile.  Issue resolved. - No erosion or subsidence issues.","July 3, 2017 - 65-80% overall vegetation establishment within this tract, with portions of the tract exhibiting higher density than average.  Vegetation consists predominantly of American vetch, with some alsike clover present, as well as brome, timothy and wheatgrass. October 4, 2017 - No noxious weeds were observed.",,,
NW 17-096-04W6,Forested,Low Vegetation Cover,"August 7, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","July 3, 2017 - 65-80% overall vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover with brome, timothy and willows establishing.  Low vegetation issue observed in 2015 resolved October 4, 2017 - No noxious weeds were observed.",,,
NW 17-096-04W6,Treed Fen,None,,"- Treed Fen on ROW from KP 30+327 to 30+570 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with ditch line exhibiting 65-80% cover. Good establishment of rushes and willows on ROW with spruce trees emerging throughout wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated with some areas exhibiting higher moisture content. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
,Shrubby Fen,None,,"- Shrubby Fen on ROW from KP 30+350 to 31+100 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with ditch line exhibiting 65-80% cover. Good establishment of rushes and willows on ROW with spruce trees emerging throughout wetland. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated with some areas exhibiting higher moisture content. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland.",,,
,Shrubby Fen,Noxious Weeds,"August 7, 2016 - KP 30+670 to 30+760 – Intermittent scentless chamomile hand-picked and disposed of.  Issue resolved.","July 23, 2017 - July 23, 2017 – KP 30+350 to 31+000 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is slow establishing. - No erosion or subsidence issues.","July 3, 2017 - 65-80% overall vegetation establishment within this tract, consisting predominantly of sweet clover and alsike clover with brome, timothy and willows establishing.  Low vegetation issue observed in 2015 resolved. - KP 30+600 – Ponding water observed, recommend repairs. August 27, 2017 – KP 30+600 – Ponding water repaired by modification to cross drain, issue resolved. October 4, 2017 - No noxious weeds were observed.",,,
,Shrubby Fen,None,,"- Shrubby Fen on ROW from KP 30+870 to 31+290 appears stable and at proper functionality. - Vegetation establishment is 80-100% comparable to off ROW control with some areas exhibiting 50-65% and 65-80% cover. Good establishment of rushes and willows on ROW with spruce trees emerging throughout wetland. -  One (1) Scentless Chamomile plant was handpicked, bagged and disposed of at KP 31+060 and 31+110.  Issue resolved. - Trench crown present and stable through wetland with sufficient amount of cross drains for hydrology to be maintained. - Uniform growth of graminoid vegetation and moisture content indicates that substrate health has been maintained. Good peat depth observed on and off ROW. - Soils within wetland are semi-saturated with some areas exhibiting higher moisture content. - Wetland is stable and at pre-construction functionality; deciduous and coniferous tree species successfully emerging onto ROW. Pre-construction contours have been achieved. Habitat function maintained on ROW. - No subsidence, erosion or weed issues observed in wetland. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
NE 18-096-04W6,Forested,Rare plant (silky fork moss) off of right of way at KP 30+150,,,,,
NE 18-096-04W6,Forested,"DH03 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank.  Issue resolved, no further monitoring recommended.",,,,,
,,"DH04 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank. Issue resolved, no further monitoring recommended.",,,,,
,,"DH05 – Location, off right-of-way, identified and observed August 3, 2015; species located on fallen decaying tree along creek bank. Issue resolved, no further monitoring recommended.",,,,,
,Unnamed Tributary to Midget Creek (CH101),"Ditch plugs, diversion berms, ponding water, saturated soil, and silt fence.","Repairs completed in winter 2015/2016.  Issues resolved. August 7, 2016 - Unnamed Tributary to Midget Creek 31+300. - Banks and riparian areas are stable, cobble should be redistributed.  - KP 31+575 - Erosion/rill, recommend repairs.","July 3, 2017 - Reclaimed banks and slopes are stable, coir lifts remain stable, and vegetation remains somewhat sparse across reclaimed ditchline with emerging grasses and clovers evident.  Willow plugs observed.  Coniferous trees have been planted on the upper slopes of the crossing, exhibiting good survival rate.  Minimal flow was observed within the watercourse at this time - Silt fencing is still required, repairs recommended. - 65-80% vegetation establishment along upper slopes of watercourse consisting of alsike clover and sweet clover. - KP 31+575 – Erosion persists, repairs recommended. August 27, 2017 – KP 31+575 – Erosion repairs completed with installation of erosion control materials, issue resolved.  Monitor in 2018. October 4, 2107 - Silt fencing repairs completed.  Issue resolved.",,,
,Treed Fen,None,,"- Treed fen on ROW from KP 31+310 to 31+820 is at proper functionality and appears stable. Mounding present west of road crossing from 31+450 to 31+500 for access control. - Vegetation establishment within wetland is 80-100% compared to off ROW with slopes of Tributary to Midget Creek at KP 31+320 showing 65-80% cover. Dominant vegetation consisting of herbaceous graminoids and forbes and lichens with emerging willows throughout. - No noxious weeds were observed on ROW. High density of Sweet Clover on roach from KP 31+450 to 31+520 and high density of Horsetail on roach from KP 31+630 to 31+820. Common weeds will likely be outcompeted by natural vegetation through time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, just below surface, resulting in semi-saturated top layer and saturated subsoil.- Rill observed on north of roach from natural flow from KP 31+450 to 31+820. Rill is not affecting overall wetland function; no work required. Issue resolved. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Black Spruce and Pine to emerge onto ROW over time, retaining species diversity. Wetland showing good habitat potential for wildlife.",,,
,Forested,Low Vegetation Establishment,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - KP 31+400 to 31+820 – Intermittent scentless chamomile, hand-picked and disposed of.  Issue resolved. - No subsidence issues.","July 3, 2017 - 65-80% vegetation establishment along ditchline within the west end of the tract consisting mostly of horsetail.  Cattails, sedges and willows are establishing within low, wet areas. Low vegetation issue observed in 2015 resolved. - KP 31+700, 31+870, and 32+170 – Scentless chamomile (1 plant at each location) observed, hand-picked and disposed of.  Issue resolved. July 23, 2017 – KP 31+600 to 32+000 – Intermittent herbicide application conducted to control scentless chamomile and perennial sow thistle.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile and perennial sow thistle observed.",,,
,Treed Fen,None,,"- Treed Fen on ROW from 31+833 to 32+680 is at proper functionality and appears stable. Mounding present in wetland from KP 32+470 to 32+570; mounding is not affecting overall wetland function and providing microsite habitat opportunities. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of willows, herbaceous graminoids and forbes and broadleaf shrubs. Spruce trees successfully emerging onto ROW. - No noxious weeds were observed on ROW. High density of Sweet Clover observed on roach from KP 32+570 to 32+680. Common weeds will likely be outcompeted by natural vegetation through time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, just below surface, resulting in semi-saturated top layer and saturated subsoil.- No subsidence or erosion rills evident in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Spruce successfully emerging onto ROW, retaining species diversity. Wetland showing good habitat potential for wildlife; amphibians spotted on ROW.",,,
,Treed Fen,None,,"- Treed Fen on ROW from 31+833 to 32+680 is at proper functionality and appears stable. Mounding present in wetland from KP 32+470 to 32+570; mounding is not affecting overall wetland function and providing microsite habitat opportunities. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of willows, herbaceous graminoids and forbes and broadleaf shrubs. Spruce trees successfully emerging onto ROW. - No noxious weeds were observed on ROW. High density of Sweet Clover observed on roach from KP 32+570 to 32+680. Common weeds will likely be outcompeted by natural vegetation through time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, just below surface, resulting in semi-saturated top layer and saturated subsoil.- No subsidence or erosion rills evident in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Spruce successfully emerging onto ROW, retaining species diversity. Wetland showing good habitat potential for wildlife; amphibians spotted on ROW.",,,
NW 18-096-04W6,Treed Fen,None,,"- Treed Fen on ROW from 31+833 to 32+680 is at proper functionality and appears stable. Mounding present in wetland from KP 32+470 to 32+570; mounding is not affecting overall wetland function and providing microsite habitat opportunities. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of willows, herbaceous graminoids and forbes and broadleaf shrubs. Spruce trees successfully emerging onto ROW. - No noxious weeds were observed on ROW. High density of Sweet Clover observed on roach from KP 32+570 to 32+680. Common weeds will likely be outcompeted by natural vegetation through time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, just below surface, resulting in semi-saturated top layer and saturated subsoil.- No subsidence or erosion rills evident in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Spruce successfully emerging onto ROW, retaining species diversity. Wetland showing good habitat potential for wildlife; amphibians spotted on ROW.",,,
NW 18-096-04W6,Shrubby Fen,None,,"- Shrubby Fen on ROW from 32+280 to 32+500 is at proper functionality and appears stable. Mounding present in wetland from KP 32+470 to 32+500; mounding is not affecting overall wetland function and providing microsite habitat opportunities. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of willows, herbaceous graminoids and forbes and broadleaf shrubs. Spruce trees successfully emerging onto ROW.  - No noxious weeds were observed on ROW. High density of Horsetail on roach. Common weeds will likely be outcompeted by natural vegetation through time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, slightly below surface, resulting in semi-saturated top layer and saturated subsoil. - No subsidence or erosion rills evident in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Spruce successfully emerging onto ROW, retaining species diversity. Wetland showing good habitat potential for wildlife; amphibians spotted on ROW.",,,
NW 18-096-04W6,Forested,Low Vegetation Establishment Noxious Weeds,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No subsidence issues. KP 32+600 to 32+800 and 32+900 to 33+100 – Intermittent scentless chamomile hand-picked and disposed of.  Issue resolved.","July 4, 2017 - 65-80% overall vegetation establishment throughout this tract, consisting mostly of horsetail and sweet clover in the east end of the tract along ditch line, with good establishment of willows and alders across the right of way.  Low vegetation issue observed in 2015 resolved. - KP 32+290 to 32+930 – Scentless chamomile observed intermittently and ox eye daisy observed at KP 32+760, recommend weed control. July 23, 2017 – KP 32+240 to 33+000 – Intermittent herbicide application conducted to control scentless chamomile and ox eye daisy.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile and ox eye daisy observed.",,,
,Shrubby Fen,None,,"- Shrubby Fen on ROW from 32+500 to 32+871 is at proper functionality and appears stable. Mounding present in wetland from KP 32+500 to 32+570 and KP 32+730 to 32+850; mounding is not affecting overall wetland function and providing microsite habitat opportunities. - Vegetation establishment within wetland is 80-100% compared to off ROW. Dominant vegetation consisting of willows, herbaceous graminoids and forbes and broadleaf shrubs. Spruce trees successfully emerging onto ROW. - One (1) Scentless Chamomile plant found in wetland at KP 32+820. Plant was handpicked, bagged and disposed of. High Densities of Sweet Clover present throughout wetland; common weeds likely to be outcompeted by natural vegetation over time. - Trench crown present through wetland with sufficient breaks to allow for hydrology to be maintained. - Substrate appears stable through good moisture holding capacity and uniform vegetation growth throughout wetland. Good organic matter content throughout substrate. - Wetland has high water table, slightly below surface, resulting in semi-saturated top layer and saturated subsoil to semi-saturation of water with no standing water present throughout wetland - No subsidence or erosion rills evident in wetland. - Wetland is on trajectory to pre-construction state with appropriate contours achieved. Off ROW Spruce successfully emerging onto ROW, retaining species diversity. Wetland showing good habitat potential for wildlife; amphibians spotted on ROW.",,,
,Shrubby Fen,Erosion,"Repairs completed in winter 2015/2016 – issue resolved.  August 7, 2016 – Additional erosion observed (KP 32+910).  Recommend repairs.","July 4, 2017 – KP 32+910 - Erosion previously identified is no longer evident, as vegetation is establishing well throughout this area.  No work required, issue resolved.",,,
NE 13-096-05W6,Forested,Low/Moderate Vegetation Establishment,"August 7, 2016 - Vegetation is establishing, grasses, shrubs, vetch and clover. - No erosion or subsidence issues.","July 4, 2017 - 65-80% overall vegetation establishment throughout this tract, consisting predominantly of sweet clover along the ditchline, with alsike clover also present. Low vegetation issue observed in 2015 resolved. - KP 33+100 to 33+250 – Scentless chamomile observed, recommend weed control. July 24, 2017 – KP 33+070 to 33+280 – Intermittent herbicide application conducted to control scentless chamomile.  Issue resolved. October 4, 2017 - No noxious weeds were observed.  Effective control of scentless chamomile observed.",,,
