Legal Location,1<s>st</s> Year (2013) Issue/Condition,1<s>st</s> Year (2013) PCMP Recommendation(s),2<s>nd</s> Year (2014) PCRM Assessment and Work Completed,2015 PCRM Assessment and Work Completed,VEC,GIS,Topic
94I-14-L40 94I-14-L30,Treed fen,Monitor vegetation establishment in 2014.,• Wetland located from KP 35+920 to KP 36+330 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Cross-drains installed along ditchline appear to be functional.,"June 20, 2015  - Treed Fen located between kp 35+920 and kp 36+330 contains riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional.   - Bare patches of peat and mulch present along RoW.",,,
94I-14-L40 94I-14-L30,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"• Wetland located from KP 36+330 to KP 36+430 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Channelized flow present along ditchline at 36+400, draining across RoW.","June 20, 2015  - Peat-accumulating Marsh located between kp 36+330 and kp 36+430 contains riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional.   - Bare patches of peat and mulch present along RoW.",,,
94I-14-L40 94I-14-L30,Rare plant,Unresolved. Revisit in 2015.,"Resolved, mitigation successful.  No further monitoring is recommended","No further monitoring required, issue resolved.",,,
,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Subsidence noted. Predominate wetland species (common Labrador tea, black spruce)  ditchline <20% ROW 50%","June 20, 2015  - Vegetation establishment appears to be 80% comparable to off RoW control with areas exhibiting thinner cover likely attributed to heavier densities of mulch.  -  Patch of perennial sow thistle found at KP 37+050. Recommend herbicide application. - Roach appears stable with good vegetation establishment; cross drains are functioning well. - Excessive rollback evident at KP 37+300 and appears to be inhibiting vegetation development. Continue to monitor for vegetation growth. - No subsidence or erosional issues evident in tract. July 16, 2015  - Herbicide application conducted at KP 37+050 to control perennial sow thistle. - Removed silt fence and steel pegs within straw waddles on either side of wetlands at KP 37+330 and 37+400. September 26,2015 -  - Vegetation continues to establish along the RoW with numerous willows small shrubs. Conifer seedlings were observed throughout the ROW.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Minor subsidence along the ditch line was noted between KP 37+582 and KP 37+621.  80 cm of cover was hand probed.  Recommend monitoring following spring thaw to determine extent of feature following soil stabilization. - Collected and removed silt fence with stakes from northern boundary of drainages (KP 37+230) - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-L30 94I-14-L20,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 37+290 to KP 37+390 is holding water, contains emergent and submergent riparian vegetation re-establishment and appears functional at time of assessment. • Channelized section of wetland across ditchline is allowing water to flow and draining well across the RoW.","June 20, 2015  - Peat-accumulating Marsh located between kp 37+290 and kp 37+390 contains emergent riparian vegetation.  - Flowing water across RoW present at kp 29+000.  - Wetland functional at time of assessment.  - Bare patches of peat and mulch present along RoW.",,,
94I-14-L30 94I-14-L20,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Silt fence at KP 37+800 can be removed, the roll back along this section is promoting good establishment of woody species.","June 20, 2015  - Vegetation establishment appears to be 70-80% cover on RoW. RoW exhibiting approximately 40-50% vegetation cover from KP 38+400 to 38+550 in organic peat soil. Continue to monitor vegetation growth. - Patch of perennial sow thistle found at KP 38+060. Recommend herbicide application. - Subsidence present at KP 38+060. Recommend filling in subsidence with excess RoW material. - Marker post floating in naturally flooded wetland area at KP 38+150. Recommend re-installing marker post when accessible. - Mounding appears to be functioning well as access control in tract at KP 38+200. - Roach appears stable with good vegetation establishment; cross drains are functioning well. July 17, 2015  - Herbicide application conducted at KP 38+030 to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. - Filled in subsidence area with excess RoW material at KP 38+060 to assist in promoting vegetation growth. Slopes leading into bell hole subsidence were reduced to help slow velocity inflow of water. September 26, 2015 -  - Vegetation was continuing to establish at the time of the assessment with small trees and willows observed throughout the RoW   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Assessed previously backfilled subsidence, appeared to be stable at time of assessment, Small volume of water in the base of the feature. Recommend reassessing following spring freeze thaw cycle.  - Previous herbicide application appears to be successful. No noxious or prohibited noxious weeds were observed.  - Suncore pipeline RoW crossings appeared to be well vegetated and did not appear to be impacting TCPL RoW at time of assessment.  Suncor energy Yo-Yo road crossing appeared to be stable at time of assessment with no observed erosion or subsidence.",,,
94I-14-L20 94I-14-L19,Treed bog,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 37+390 to KP 39+490 is holding water, contains emergent riparian vegetation re-establishment and appears functional at time of assessment. • Well drained areas also present with no standing water at time of assessment. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 20, 2015   - Treed Bog located between kp 37+390 and kp 39+490 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Wetland functional at time of assessment.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Bare patches of peat and mulch present along RoW.",,,
,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Mounding along this track has been effective, positive establishment of shrubs.","June 20, 2015  - Vegetation establishment appears to be 80-85% comparable to off RoW control. - Patch of perennial sow thistle found at KP 38+830. Recommend herbicide application. - Roach exhibiting thin vegetation cover in areas (50%) but appears stable; cross drains are functioning well. - Fixed marker sign at KP 38+830. - No subsidence or erosional issues evident in tract. July 17, 2015  - Patch of perennial sow thistle in wetland area at KP 38+830 was handpicked. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees observed at the time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - PennWest operations along their winter crossing did not appear to be impacted vegetation density or ground cover through the TCPL RoW  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-L9,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Healthy re-establishment of vegetation on both ditchline and ROW.","June 20, 2015  - Vegetation establishment appears to be 80-90% comparable to off RoW control consisting predominantly of wetland species’, native grasses and deciduous species’. - No weed issues evident within tract. - Exhibiting thinner vegetation cover in some areas (50%) but appears to be stable; cross drains are functioning well. - No subsidence or erosional issues evident in tract. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees observed at the time of assessment. - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Drainage appeared to be well vegetated and stable at time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-L8,Low vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Healthy re-establishment of vegetation on both ditchline and ROW.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over RoW. RoW exhibiting approximately 40-50% vegetation cover from KP 39+450 to 39+620 in organic peat soils. Continue to monitor for vegetation growth over bare areas. - Patch of perennial sow thistle found at road crossing from KP 40+015 to KP 40+570. Recommend implementing weed control. - Previous year subsidence repair at KP 40+360 is holding water at this time. Recommend further backfill with excess RoW material to reduce ponding. - Re-installed marker sign at KP 40+415. - Roach is well vegetated and appears stable with cross drains functioning well. July 17, 2015  - Herbicide application conducted intermittently from 40+015 to 40+570 to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. - Previous subsidence repair at KP 40+360 was further backfilled due to ponding water with excess RoW materials. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small shrubs growing throughout at time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Foreign pipeline and road crossings appeared to be stable at time of assessment with no subsidence or erosion observed.   - Material appeared to have further subsided at KP 40+360, perimeter of feature suggests that it may be unstable. Recommend reassessment following winter freeze to determine stability of feature.   - Previous herbicide application appears successful.  No noxious or prohibited noxious weeds were observed at the time of assessment in the vicinity of the herbicide application.",,,
a-8-L/94-I-14 to c-97-E/94-I-14,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19 - Wetland located from KP 40+600 to KP 41+000 is holding water, contains emergent riparian vegetation and appears functional at time of assessment.  • Beaver activity in the area is influencing hydrology along the RoW and is causing water to pond. Hole was observed at 40+850 that appears to be a hydrovac hole left over from construction probed for depth of cover no concerns, however should be filled in","June 21, 2015  - Vegetation establishment appears to be 85-90% cover over RoW. Vegetation consisting of wetland species’, native grasses and deciduous species’. - Patch of perennial sow thistle present at KP 40+730.  Recommend implementing weed control. - Roach is well vegetated appearing stable with cross drains functioning well. - Unable to locate previously noted hydrovac hole at KP 40+850; natural processes appear to have remediated issue. - No subsidence or erosional issues evident within tract July 17, 2015  - Patch of perennial sow thistle in wetland area at KP 40+730 was handpicked. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees including conifers observed during the assessment.    - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E97,,,,"June 21, 2015  - Vegetation establishment appears to be 65-70% cover over RoW. - Patch of perennial sow thistle present at KP 41+415. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts and signs down in open water wetland areas at KP 40+800 and KP 40+970. Recommend re-installing posts and signs when accessible. July 17, 2015  - Herbicide application conducted at KP 40+415 to control perennial sow thistle. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees including conifers observed during the assessment.   - Moss Creek crossing appeared to be stable and well vegetated at the time of the assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.  - Silt fence was collected and removed from the southern boundary of the water crossing. KP 40+880",,,
94I-14-E87,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Ditchline cover 60% ROW 100%.  • Wetland located from KP 42+200 to KP 42+320 is holding water, contains emergent and submergent riparian vegetation and appears functional at time of assessment. • Channelized section of wetland across ditchline is allowing water to flow and draining well across the RoW. • October 3, 2014 - Utilized hand tools and material from the RoW to fill in the hydrovac hole located at KP 40+350. • Approximately 0.6 meters of fill was added to the hydrovac hole. • Area around the hole was staked out and flagged once repairs were completed.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over RoW with some areas exhibiting thinner cover likely attributed to heavier densities of mulch. Vegetation consisting of wetland species’, native grasses, wild rose and deciduous species’. - Patch of perennial sow thistle present at KP 41+770 and KP 41+900. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts and sign down at KP 41+900 in wet area. Recommend re-installing when accessible. - Open water wetland with slow water flow at KP 42+180 appears stable at time of assessment. Marker posts down on southeast grass establishment. Recommend re-installing marker posts when accessible and removing silt fences on both sides of open-water wetland. July 17, 2015  - Herbicide application conducted from KP 41+770 to 42+460 to control perennial sow thistle. - Removed silt fence from both banks of open-water wetland at KP 42+460. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees observed during the assessment.    - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Tributary to moss creek appeared to be stable and well vegetated at the time of assessment with no erosion or slumping observed.  - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E86,Treed bog,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 42+600 to KP 43+200 is holding water and appears functional at time of assessment. • Establishment of emergent and submergent riparian vegetation present along RoW. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 21, 2015  - Vegetation establishment appears to be 70-75% comparable to off RoW control. Vegetation consisting predominantly of wetland species’. - Patch of perennial sow thistle evident at KP 42+720. Recommend implementing weed control. - Roach appears stable with good vegetation establishment; cross drains are functioning well. Some minor settling of roach evident in tract within wetland areas. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees observed during the assessment.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E76,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment, ditchline cover 60% ROW 100%.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover over RoW. Vegetation consisting predominantly of wetland species’. - Perennial sow thistle evident through entire tract. Recommend implementing weed control. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts down at KP 43+100. Recommend re-installing marker posts when accessible. - Minor screw anchor subsidence evident in tract at KP 43+700. Not affecting land-use at this time. Continue to monitor. July 17, 2015  - Herbicide application conducted throughout tract to control perennial sow thistle. A 30m setback was applied to wetland within tract where all plants were handpicked. September 26, 2015 -  - Vegetation continues to establish along the RoW with numerous willows and small trees observed during the assessment.    - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Encana access road crossing located at KP 42+832 appeared to be stable at time of assessment. Vegetation was establishing throughout the access road   - No erosion or subsidence observed at the time of assessment. - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E76 94I-14-E66,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014• Wetland located from KP 43+340 to KP 45+080 is holding water and appears functional at time of assessment. • Establishment of emergent and submergent riparian vegetation present along RoW. • Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.","June 21, 2015  - Treed Fen located between kp 43+340 and kp 45+080 contains submergent and emergent riparian vegetation.  - Large sections of peat and mulch present along RoW within wetland area.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Wetland functional at time of assessment.",,,
94I-14-E76 94I-14-E66,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment, ditchline cover 60% ROW 100%.","June 21, 2015  - Vegetation establishment is 70-75% comparable to off RoW control. RoW exhibiting 40% cover from 44+500 to 44+750. Vegetation consisting predominantly of wetland species’. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Marker posts down at KP 44+180 in wet area. Recommend re-installing posts when accessible. - No subsidence or erosional issues evident in tract. September 26, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E56,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Poor cover over ditchline < 10%, however good cover over the rest of the ROW.","June 21, 2015  - Vegetation establishment is 70-75% comparable to off RoW control. - Vegetation cover on roach is approximately 30-40% compared to RoW and exhibiting some minor settlement in wetland areas with cross drains functioning well. - Re-installed marker posts at KP 45+115. - Minor screw-anchor subsidence throughout tract, currently not affecting land-use. Continue to monitor. September 26, 2016 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs throughout the RoW   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - Non classified drainage located at 44+993.5 appeared to be stable and well vegetated at time of assessment - Winter access road located at KP 45+122 appeared to be stable and well vegetated at time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E55,Shrubby fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 45+500 to KP 45+870 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Vegetation establishment appears to be 80-90% cover compared to off RoW control. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well.",,,
94I-14-E45,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Healthy re-establishment of vegetation on ROW , ditchline 30% cover, no issues","June 21, 2015  - Vegetation establishment appears to be 80-90% cover compared to off RoW control. Vegetation consisting predominantly of wetland and deciduous species’. - No weed issues evident in tract. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. July 17, 2015  - Herbicide application conducted at KP 46+100 to control perennial sow thistle. September 26, 2015  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs growing throughout the RoW  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were observed at the time of assessment.  - Non classified drainage appeared to be stable and well vegetated at time of assessment  - Foreign access road  and pipeline crossings appeared to be stable with no erosion or subsidence and are not impacting TCPL RoW at time of site assessment",,,
94I-14-E45 94I-14-E34,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 45+870 to KP 47+360 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout.","June 21, 2015  - Treed Fen located between kp 45+870 and kp 47+360 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Wetland functional at time of assessment.",,,
94I-14-E45 94I-14-E34,Rare plant,Unresolved. Revisit in 2015.,"Resolved, mitigation successful.  No further monitoring is recommended","No further monitoring required, issue resolved.",,,
94I-14-E45 94I-14-E34,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Healthy re-establishment of vegetation on ROW , ditchline 30% cover, no issues","June 21, 2015  - Vegetation establishment appears to be 70-75% cover compared to off RoW control. RoW exhibiting thinner vegetation cover (40-50%) from KP 46+950 to 47+100 in organic peat soils. Continue to monitor for vegetation growth in peat soils. - Roach is showing good vegetation cover exhibiting some minor settlement in wetland areas with cross drains functioning well. - Creek crossing at KP 47+600 appears stable with vegetation cover showing 70% on banks. Bed appears stable with good cobble distribution showing moderate flow at time of assessment. Revetment posts stable at this time. Recommend removal of silt fence and exposed plastic matting on both banks. July 17, 2015  - Removed silt fence on both banks and cut out exposed plastic matting of creek crossing at KP 47+600. September 26, 2015 -  - Vegetation appeared to be well established at the time of assessment with numerous willows and small trees as well as grasses and forbs growing throughout the RoW  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - Slopes appeared to be stable with no indication of erosion, subsidence or slumping observed at the time of the assessment.  - Sahtaneh creek crossing appeared to be stable at time of assessment.  Banks appeared to be very well vegetated, no erosion or slumping was observed at time of assessment. Channel is consistent with conditions up and down stream of TCPL RoW   - No integrity concerns were observed at the time of assessment.",,,
94I-14-E34 94I-14-E24,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 47+600 to KP 47+700 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Some ponding adjacent to RoW attributed to beaver activity in the area.","June 21, 2015  - Peat-accumulating marsh located between kp 47+600 and kp 47+700 has flowing water across RoW and contains emergent riparian vegetation.  - Wetland is associated with watercourse crossing at KP 47+650.  - Wetland functional at time of assessment.",,,
94I-14-E34 94I-14-E24,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Healthy re-establishment of vegetation on ROW , ditchline 30% cover, no issues","June 21, 2015  - Vegetation establishment appears to be 80% cover compared to off RoW control. Vegetation consisting predominantly of wetland and deciduous species’. - No weed issues evident in tract. - Roach is showing good vegetation cover with cross drains functioning well. - No subsidence or erosional issues evident in tract. September 27, 2015 -  - High concentrations of sweet clover were observed on the RoW however native plants were observed re-establishing underneath.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E24 94I-14-E23,Treed bog,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 47+930 to KP 48+500 is well drained and holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Treed Bog located between kp 47+930 and kp 48+500 contains emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Cross-drains installed along ditchline are fully functional.   - Wetland functional at time of assessment.",,,
94I-14-E24 94I-14-E23,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Scentless Chamomile observed along this section at KP 48+300 (bagged 3 plants the others had gone to seed) ditchline 20% , ROW 70% desired species","June 21, 2015  - Vegetation establishment appears to be 70-80% cover compared to off RoW control. Vegetation consisting of wetland species’. - Patch of perennial sow thistle evident at KP 48+370. Recommend weed control. - Roach is exhibiting some areas of thinner vegetation cover but appears stable. Cross drains are functioning well at this time. Areas along roach exhibiting minor settlement in wetland areas. - Repaired marker posts and signs at KP 48+200 and KP 48+780. July 17, 2015  - Herbicide application conducted from KP 48+620 to 48+800 to control perennial sow thistle. - Patch of perennial sow thistle plants within wetland at KP 48+370 were handpicked. September 27, 2015 -  - Vegetation continues to establish along the RoW with numerous willows small shrubs throughout the RoW - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.  - Foreign road and pipeline crossing appeared to be stable and well vegetated at time of assessment.  No erosion or subsidence was observed at time of assessment.   - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E23 94I-14-E22,Treed bog,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 48+850 to KP 49+000 is well drained and holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Treed Bog located between kp 48+850 and kp 49+000 contains riparian vegetation.  - Minor bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
94I-14-E23 94I-14-E22,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - vegetation cover (ditchline 20% , ROW 70% desired species)","June 21 2015  - Vegetation establishment appears to be 80% cover compared to off RoW control. RoW exhibiting poor vegetation cover (40-50%) from KP 49+600 to 49+700 in organic peat soils. Continue to monitor vegetation growth in peat soils. - Patch of perennial sow thistle at KP 49+200. Recommend implementing weed control. - Roach is showing good vegetation cover with cross drains functioning well. Minor settling along roach in wetland areas. July 17 - 18, 2015  - Picked all perennial sow thistle plants within wetland area at KP 49+200. September 27, 2015 -  - Vegetation was continuing to establish at the time of the assessment with small trees, willows and conifers observed throughout the RoW.  Wetland vegetation including sedges and grasses appeared to be well established at the time of assessment.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - Sierra YoYo road crossing appeared to be stable at time of assessment.  No erosion or subsidence was noted - Encana pipeline crossing appeared to be stable at time of assessment with no subsidence or erosion observed.    - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E22 94I-14-E11,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 49+000 to KP 49+300 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Channelized flow present along ditchline, draining across RoW","June 21, 2015  - Peat-accumulating Marsh located between kp 49+000 and kp 49+300 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
94I-14-E22 94I-14-E11,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 49+300 to KP 50+300 is well drained and holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional","June 21, 2015  - Treed Fen located between kp 49+300 and kp 50+300 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Bare patches of peat and mulch present along RoW.  - Cross-drains installed along ditchline are fully functional and are allowing water to drain across RoW.   - Wetland functional at time of assessment.",,,
,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment","June 21, 2015  - Vegetation establishment appears to be 80-90% comparable to off RoW control. Good variety of wetland and drier climate species. - Perennial sow thistle evident through entire tract. Recommend implementing weed control. - Roach exhibiting thinner vegetation cover in areas but appears stable; cross drains are functioning well. - Rollback is effective in tract as no foreign activity is evident. Vegetation growth is good within rollback areas. - Fixed marker post at open-water wetland crossing at KP 50+370.  - No subsidence or erosional issues evident in tract. July 18, 2015  - Herbicide application conducted from KP 50+600 to 50+900 to control perennial sow thistle.  All perennial sow thistle plants found in wetland areas were handpicked. September 27, 2015 -  - Vegetation was continuing to establish at the time of the assessment with small trees, willows and conifers observed throughout the RoW.  - Wetland vegetation including sedges and grasses appeared to be well established at the time of assessment.   - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - ExxonMobil pipeline crossing appeared to be stable at the time of assessment with no evidence of subsidence or erosion.  - Previous herbicide application appears successful. No noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-E11 94I-14-F20,Watercourse crossing: Lichen Creek,Monitor in 2014 for vegetation establishment and erosion. Implement further erosion control measures if conditions do not improve in 2014.,"September 19, 2014 - Silt fence needs to be removed at KP 50+300 and 50+600  Vegetation showing healthy to re-establishment","June 21, 2015  - No issues were observed at watercourse crossing at time of assessment. September 27, 2015  - Lichen creek water crossing appeared to be very well vegetated at the time of assessment - Silt fence located along the northern boundary of Lichen Creek KP 50+497, is still required and repairs were completed. - Removed silt fence and straw plastic netted waddles from southern boundary of Lichen Creek water course crossing KP 50+597. • Several beaver dams have restricted the flow of water in the area. Ponding water throughout the RoW is consistent with both up and down stream conditions.",,,
94I-14-E11 94I-14-F20,Peat-accumulating marsh,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 50+300 to KP 50+500 is well drained and not holding water at time of assessment.  • Wetland is establishing emergent and submergent riparian vegetation throughout. • Channelized flow present along ditchline, draining across RoW.","June 21, 2015  - Peat-accumulating marsh located between kp 50+300 and kp 50+500 has flowing water along RoW and contains submergent and emergent riparian vegetation.  - Wetland is associated with beaver dam complex on either side of the RoW.  - Wetland functional at time of assessment.",,,
94I-14-E11 94I-14-F20,Moderate vegetation establishment,Monitor vegetation establishment in 2014.,"September 19, 2014 - Vegetation showing healthy re-establishment","June 21, 2015  - Vegetation establishment appears to be 80-90% cover compared to off RoW control. Coniferous regrowth evident in tract. - Patch of perennial sow thistle present at KP 51+250. Recommend implementing weed control.  - Roach is showing good vegetation cover with cross drains functioning well. - No subsidence or erosional issues evident in tract. July 18, 2015  - Patch of perennial sow thistle was handpicked in wetland area at KP 51+250. September 27, 2015 -  - Vegetation is establishing well throughout the RoW with Willows, small shrubs and trees observed.  - Soils appeared stable at the time of assessment with no apparent subsidence, erosion or contour issues.   - No integrity concerns were noted at the time of assessment.  - No Noxious or prohibited noxious weeds were observed at the time of assessment.",,,
94I-14-F20 94I-14-F10,Treed fen,Monitor vegetation establishment in 2014.,"September 19, 2014 - Wetland located from KP 51+000 to KP 51+630 is well drained and holding water at time of assessment.  • Wetland is establishing emergent vegetation throughout. • Margins of emergent vegetation growth are dry likely due to time of year of assessment. • Cross-drains installed along ditchline appear to be functional.","June 21, 2015  - Treed Fen located between kp 51+000 and kp 51+630 has standing water along RoW and contains submergent and emergent riparian vegetation.  - Minor bare patches of peat and mulch present along RoW.  - Wetland functional at time of assessment.",,,
