Legal Location (W4),1<s>st</s> Year Issue/ Condition,1<s>st</s> Year (2014) Issue(s),3<s>rd</s> Year (2016) PCRM Assessment and Work Completed,4th Year (2017) PCRM Assessment and Work Completed,5th Year (2018) PCRM Assessment and Work Completed,VEC,GIS,Topic
NW-17-80-9,,,"July 10, 2016 - Vegetation 80% to 90% as compared to off ROW.  - KP40+350 – Intermittent herbicide application to control Scentless Chamomile. - Marker posts down KP40+300 and 40+500 - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - Marker posts down KP40+800 – recommend repairs. Sept 18, 2017 - KP 40+800 – Marker posts repaired. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
NE-17-80-9,Unnamed Watercourse (09-WC-01),,"June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing. July 10, 2016 Low vegetation cover within tract. Monitor - KP40+800 – Intermittent herbicide application to control Scentless Chamomile (KP 40+800) and narrow leaf hawks beard (KP 41+200) - Marker post down KP40+600 - KP41+400 minor subsidence noted, no work recommended, this issue is not inhibiting the recovery of the ROW, issue resolved.","Aug 15, 2017 - WC – 40+800 Unnamed Watercourse. - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - Minor water ponding noted at screw anchor locations. No issue  - Rollback Access Control is present and functioning - Noxious weeds are no longer present, issues resolved. Sept 18, 2017 - KP 41+300 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues Unnamed Watercourse (09-WC-01) - Banks are fully vegetated. Wetland vegetation throughout.",,,
NW-16-80-9,,,"July 10, 2016 - Low vegetation cover within tract. Monitor - KP42+100 – Intermittent herbicide application conducted to control Scentless Chamomile. - Marker post down KP41+950 - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - Noxious weeds no longer present, issue resolved. - KP 41+950 Marker signs/posts down – recommend repairs. Sept 18, 2017 - KP 41+950 – Repaired marker posts and signs. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
NE-16-80-9,,,"July 10, 2016 - Low vegetation cover within tract. Monitor. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - KP 43+000 and 43+500 Skids. Collect and remove Sept 18, 2017 - KP 43+000 and 43+500 – Removed skid. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
NW-15-80-9,,,"July 10, 2016 - Low vegetation cover within tract. Monitor. Sept 20, 2016 – Intermittent Scentless Chamomile were observed between KP 44+200 and KP 44+300. Herbicide application conducted to control.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - Noxious weeds no longer present, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - KP 44+150 - Scentless chamomile observed, recommend weed control. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. Aug 3, 2018 – KP 44+150 – herbicide application conducted to control scentless chamomile.",,,
SW-22-80-9,,,"July 10, 2016 - Low vegetation cover within tract. Monitor. - Intermittent herbicide application conducted to control scentless chamomile (KP KP44+200 to KP44+600), narrow leaved hawks beard (KP44+200 to KP44+500), and foxtail barley (KP44+200 to KP44+300). - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues - KP 44+800 Marker signs/posts down – recommend repairs. - Rollback Access Control is present and functioning Aug 20, 2017 – KP 44+860 - Herbicide application to control perennial sow thistle. Sept 18, 2017 - KP 44+800 – Repaired marker posts. Issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Rollback appears to be functioning as access control across ROW.  - KP 44+900 and 44+950 – Reset markers, issue resolved. Aug 3, 2018 – KP 44+600 – Herbicide application conducted to control scentless chamomile.",,,
SE-22-80-9,,,"July 10, 2016 - Low vegetation cover within tract. Monitor. - No noxious weeds identified. - No erosion or subsidence issues.","Aug 15, 2017 - Vegetation established at 80-100% of off ROW. Low vegetation issue resolved. - No erosion or subsidence issues. - KP 45+800 Rollback Access Control is present and functioning. Aug 20, 2017 – KP 44+960 - Herbicide application conducted to control perennial sow thistle. Sept 15, 2017 - Rollback on ROW at KP 45+200 to 45+650 providing effective access control in area for crossing access road.","June 16, 2018 - Rollback Access Control is present and functioning July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  -. Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Rollback appears to be functioning as access control across ROW. Aug 3, 2018 – KP 45+350 – Intermittent herbicide application conducted to control perennials sow thistle and scentless chamomile.",,,
SW-23-80-9,Forested Listed plant,"Listed plant site TKRS021 – reindeer lichen (Cladina stygia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved","July 10, 2016 - Low vegetation cover within tract. Monitor. - Vegetation is establishing with desirable species throughout ROW. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard (KP 46+320).","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - KP 45+900 Rollback Access Control is present and functioning. - KP 46+000 and 46+500 debris observed. Recommend collect and remove. Aug 20, 2017 – KP 46+650 – herbicide application conducted to control perennial sow thistle. Oct 11, 2017 - KP 46+530 and 46+650 - Repaired marker posts and sign. Issue resolved. KP 46+000 and 46+500 – Debris removed, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Rollback appears to be functioning as access control across ROW. - KP 46+660 – Reset marker posts, issue resolved. - KP 45+900 – Skid removed, issue resolved.",,,
SW-23-80-9,Forested Listed plant,Listed plant site TKRS021 – Sitka clubmoss (Diphasiastrum sitchense) presence was confirmed. Listed plant issue resolved,"July 10, 2016 - Low vegetation cover within tract. Monitor. - Vegetation is establishing with desirable species throughout ROW. - No erosion or subsidence issues. - Intermittent herbicide application conducted to control narrow leaved hawks beard (KP 46+320).","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. Low vegetation issue resolved. - KP 45+900 Rollback Access Control is present and functioning. - KP 46+000 and 46+500 debris observed. Recommend collect and remove. Aug 20, 2017 – KP 46+650 – herbicide application conducted to control perennial sow thistle. Oct 11, 2017 - KP 46+530 and 46+650 - Repaired marker posts and sign. Issue resolved. KP 46+000 and 46+500 – Debris removed, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - Rollback appears to be functioning as access control across ROW. - KP 46+660 – Reset marker posts, issue resolved. - KP 45+900 – Skid removed, issue resolved.",,,
SW-23-80-9,Wetland / Watercourse (09-WC-02) Minor ponding / Low vegetation Cover / Erosion,"Silt fence to be extended on east side and added on west side. Minor erosion off the south edge of the ROW. The area was re-contoured, sedimentation and erosion controls were extended in January 2015. Monitor in 2015","June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.   Marker post down. - 2014 ponding/low vegetation/erosion issues are no longer present, issues resolved. July 10, 2016 - KP 46+500 – Watercourse appears to be functioning with good vegetation establishment.","Aug 15, 2017 - 46+537 WC-49 - Unnamed watercourse Low wet area. Vegetation has re-established and stable - Repair Marker/Signs and remove sediment fence. Sept 14, 2017 - Shrubby swamp on ROW from KP 46+337 to 46+541 appears to be at full functionality. Wetland is inclusive of Watercourse 49 traversing pipeline ROW. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment over top of floating peat mat consisting of herbaceous graminoids, sphagnum moss, tamarack and willow. Hydrophytic vegetation emerging across disturbed area including emergent and submergent vegetation (cattail, rush, milfoil). - No noxious weeds identified in wetland. - Trench crown present through wetland but has settled due to influence from saturation; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting fully saturated conditions; standing water present throughout the majority of wetland. - Wetland providing good habitat opportunity through good vegetation cover, sufficient snags and standing water throughout. - Wetland has achieved pre-construction contours. Off ROW species successfully emerging onto row; species diversity maintained. No net loss of wetland function was observed. Oct 11, 2017 – Repaired sign/marker posts and removed sediment fence, issues resolved.","August 27, 2018 - Shrubby swamp on ROW from KP 46+337 to 46+541 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained. - Wetland is inclusive of Watercourse (09-WC-02) in its entirety as it is a wide-spanning watercourse. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. - Vegetation within wetland consisting of herbaceous graminoids, scouring rush, willows, sphagnum moss and spruce saplings. Excellent establishment of hydrophytic species throughout wetland including common cattail, common great bulrush, marsh cinquefoil and pondweed.  - No noxious weeds were identified in wetland. - No trench crown present through wetland/watercourse. No issues of hydrologic connectivity were observed. - Substrate in wetland appears healthy through uniform vegetation growth and hydrologic conditions. Very high humification occurring throughout wetland through decomposing vegetation. High levels of organic material present within substrate with peat accumulation occurring.  Strong organic scent emitted from substrate indicating the successful decomposition of organic material. - Wetland providing good habitat opportunity through good vegetation cover, sufficient snags and standing water throughout.  Evidence of mammal use observed within wetland. - Wetland has achieved pre-construction contours with no signs of ponding, erosion or subsidence issues throughout.  Vegetation biodiversity has been attained across the ROW.",,,
SE-23-80-9,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
SW-24-80-9,Forested Moderate ponding and subsidence / Listed plant,Moderate ponding and subsidence was observed. Stub berm onsite has sunk. The area was re-contoured and the stub berm reinstalled in December of 2014.  Listed plant site TLDS02 was surveyed and finger cup lichen (Cladonia digitata) presence was confirmed.  Listed plant issue resolved,"Monitor in 2015 - ponding and subsidence is not inhibiting the ROW from recovering or reaching equivalent land capability, 2014 issue resolved.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues Oct 11, 2017 – KP 47+730 - Reset marker posts, issue resolved.","July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues.",,,
SE-24-80-9,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - KP 49+000 - Erosion rill crossing ditch line. Repairs recommended. Oct 11, 2017 – KP 49+000 – Erosion repaired, monitor in 2018.","June 16, 2018 - Erosion control is present and functioning on hill slopes KP 49+000. Erosion is stable and filling in with vegetation. July 07, 2018 - Vegetation cover is 80-100% compared to off ROW with desirable species found throughout. ROW displays similar vegetation composition to off ROW. Good mix of native vegetation observed throughout. Good establishment of poplars and shrubs across ROW.  - No noxious weeds were identified. - Cross drains and diversion berms are vegetated and functioning. No erosion or subsidence issues. - KP 49+000 – Erosion repairs implemented in the fall of 2017 is effective. Vegetation is establishing within. Issue resolved.",,,
SW-19-80-8,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. Sept 14, 2017 - Treed swamp on ROW from KP 49+615 to 49+777 appears to be at full functionality. Wetland is on slightly declining terrain resulting in dry substrate on and off ROW. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. Sept 15, 2017 - Mounding and rollback on ROW at KP 49+300 providing effective access control in area.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. - No noxious weeds observed along ROW. - Rollback & mounding is present and functioning as access control across ROW.  August 27, 2018 - Treed swamp on ROW from KP 49+615 to 49+777 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, and broadleaf shrubs. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. - Wetland exhibiting semi-saturated conditions with no surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SE-19-80-8,,,,"Aug 15, 2017 - Vegetation established at 80-10% of off ROW. - No erosion or subsidence issues. - KP 50+650 Marker signs/posts down, recommend repairs. Sept 14, 2017 - Shrubby swamp on ROW from KP 50+778 to 50+913 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. Sept 15, 2017 - Rollback on ROW at KP 50+600 providing effective access control in area. UTV tracks present on ditchline. Oct 11, 2017 - KP 50+650 - Marker signs/posts repaired, issue resolved.","July 05, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control.  - No erosion or subsidence on tract. - No noxious weeds observed along ROW. - KP 50+310 Removed skid from ROW. Issue resolved.  August 27, 2018 - Shrubby swamp on ROW from KP 50+778 to 50+913 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, Labrador tea and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi-saturated conditions with no surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags and good vegetation cover. - Wetland has achieved pre-construction contours.",,,
SW-20-80-8,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues - KP 51+300 Rollback Access Control is present and functioning Aug 20, 2017 – KP 51+530 – Herbicide application conducted to control perennial sow thistle. Sept 15, 2017 - Rollback on ROW at KP 51+400 providing effective access control in area.","July 05, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. - No noxious weeds observed along ROW. Previous issues resolved. - Rollback is present and functioning as access control across ROW.",,,
SE-20-80-8,Unnamed Watercourse (08-WC-01),,"June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.","Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - KP 52+600-WC-53 Unnamed watercourse. Low wet area. Vegetation has re-established and stable.","July 05, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract.  - No noxious weeds observed.  Unnamed Watercourse (08-WC-01)  - Banks are stable and vegetated.  - Low flow but high-water level. - Signs are present and stable.",,,
SW-21-80-8,,,,"Aug 15, 2017 - Vegetation established at 65-80% of off ROW. - No erosion or subsidence issues. Aug 20, 2017 – KP 52+600 to 53+000 – Intermittent herbicide application conducted to control perennial sow thistle. Sept 14, 2017 - Shrubby swamp on ROW from KP 53+123 to 53+178 appears to be at full functionality. Wetland is a low area between two sandy dunes. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment consisting of herbaceous graminoids, willow and sphagnum moss. Hydrophytic vegetation emerging throughout wetland (common cattail, arrowhead). - No noxious weeds identified in wetland. - Trench crown present through wetland but has slightly settled due to influence from saturation; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through very high moisture retention capabilities and uniform vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting fully saturated conditions; intermittent areas of standing water present throughout the wetland. - Wetland providing good habitat opportunity through good vegetation cover, sufficient snags and standing water throughout. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. Sept 15, 2017 - Rollback on ROW at KP 53+400 and 53+800 providing effective access control in area.","July 05, 2018 - Vegetation cover on the ROW is 80-100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. - No noxious weeds observed along ROW. Previous issues resolved. August 27, 2018 - Shrubby swamp on ROW from KP 53+123 to 53+178 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. - Vegetation within wetland consisting of herbaceous graminoids, scouring rush, willows, alder, horsetails, aster and sphagnum mosses. Excellent establishment of hydrophytic species throughout wetland including arum-leaved arrowhead, large-leaf white-water crowfoot and pondweed.  - No noxious weeds were identified in wetland. - Trench crown present through wetland with sufficient breaks for hydrology to be maintained across ROW. No issues of hydrologic connectivity were identified. - Substrate in wetland appears healthy through uniform vegetation growth and hydrologic conditions. High humification occurring throughout wetland through decomposing vegetation. High levels of organic material present within substrate with peat accumulation occurring. Strong organic scent emitted from substrate indicating the successful decomposition of organic material. - Substrate exhibiting fully-saturated conditions with surface water present throughout entire ROW (depth 5-15cm). Water table residing at the ground surface. There is a slight flow within wetland to the south as a result of a natural drainage system in the area. - Wetland on ROW providing good habitat opportunity through good vegetation cover, surface water and snags. Birds observed on the ROW. Evidence of mammal use observed within wetland. - Wetland has achieved pre-construction contours with no signs of ponding, erosion or subsidence issues throughout. Vegetation biodiversity has been attained across the ROW.",,,
SE-21-80-8,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - KP 54+050 Marker signs/posts down, recommend repairs. - 53+300 and 54+050 Rollback Access Control is present and functioning Aug 20, 2017 – KP 53+940 to 53+970 – Intermittent herbicide application conducted to control perennial sow thistle. Sept 16, 2017 - KP 54+050 – Repaired marker/sign posts, issue resolved.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. Previous issues resolved. - No noxious weeds observed along ROW. Previous issues resolved. - Rollback is present and functioning as access control across ROW.",,,
SW-22-80-8,Forested Listed plant,"Listed plant site TKRS015 – reindeer lichen (Cladina stygia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - 54+500 Mounding Access Control is present and functioning Aug 19, 2017 – KP 54+050 – Herbicide application conducted to control perennial sow thistle.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. - No noxious weeds observed along ROW. Previous issues resolved. - Mounding is present and functioning.",,,
SE-22-80-8,Forested Listed plant,"Listed plant site TLRK11 – goldthread (Coptis trifolia). Minimal disturbance to area, moderate to high vegetation regrowth observed. Listed plant issue resolved",,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - 55+000 Mounding Access Control is present and functioning Aug 19, 2017 – Herbicide application conducted to control perennial sow thistle (KP 55+120), scentless chamomile (KP 55+120) and Canada thistle (KP 55+050). Sept 15, 2017 - Mounding on ROW at KP 55+000 and 56+000 providing effective access control in area. UTV tracks present on ditchline.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract. - No noxious weeds present on tract. Previous issues resolved. - Mounding is present and functioning as access control across ROW.",,,
SW-23-80-8,Forested Listed plant,Listed plant site TKWS005 – purple peavine (Lathyrus venosus). Area of plant observation was undisturbed by construction. Listed plant issue resolved,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues. - 56+400 Mounding Access Control is present and functioning Aug 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 56+300 – 55+900), scentless chamomile (KP 56+050 – 55+900), and common tansy (KP 56+210)","June 16, 2018 – KP 56+400 Mounding Access Control is present and functioning July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens.  - No erosion or subsidence on tract.  - Observed scentless chamomile (KP 56+380) and perennial sow thistle (KP 56+490). Recommend herbicide application. Aug 5, 2018 – Intermittent herbicide application conducted to control perennial sow thistle (KP 56+490) and scentless chamomile (KP 56+380).",,,
SW-23-80-8,Pony Creek (08-WC-02),,".June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.","Sept 16, 2017 - KP 56+300 – Reset marker/signs and posts at Pony Creek. Issue resolved.  - KP 56+300 - Removed synthetic wattles and rebar pegs on west bank of Pony Creek.","July 5, 2018 - Pony Creek (08-WC-02)  - Banks are stable and vegetated.  - Water is high due to recent rainfall. Moderate flow.",,,
SW-23-80-8,Unnamed Watercourse (08-WC-03),,".June 20, 2016 - No terrain instability was observed.  ·Soil and slopes surrounding watercourse appear to be stable. ·Good vegetation establishment was observed on the banks of this watercourse crossing.","Aug 15, 2017 - WC 58 – 56+300 Unnamed watercourse banks are stable and vegetated.","June 16, 2018 - WC 58 – 56+300 Unnamed watercourse banks are stable and vegetated.  July 5, 2018 - Unnamed Watercourse (08-WC-03)  - Banks are stable and vegetated.  - Water is high due to recent rainfall.",,,
SE-23-80-8,,,,"Aug 15, 2017 - Vegetation established at 80-100% of off ROW. - No erosion or subsidence issues - KP 56+850 Marker signs/posts down, recommend repairs. Aug 19, 2017 – Intermittent herbicide application conducted to control perennial sow thistle (KP 57+130 – 57+000) and common tansy (KP 56+700). Sept 14, 2017 - Shrubby swamp on ROW from KP 57+592 to 57+631 appears to be at full functionality. - Vegetation establishment throughout wetland is at 80-100% cover compared to off ROW control. Vegetation establishment on ROW consisting of herbaceous graminoids, alder and willows. Hydrophytic vegetation emerging across disturbed area (common cattail). - No noxious weeds identified in wetland. - Trench crown present through wetland on ROW; hydrology maintained across pipeline ROW due to sufficient breaks in the crown. No subsidence or erosional issues were identified in wetland.  - Substrate in wetland appears healthy through vegetation growth. High humification occurring in wetland through decomposing leaf litter. - Wetland exhibiting semi saturated conditions; no standing water present in wetland. - Wetland providing good habitat opportunity through good vegetation cover and sufficient snags. - Wetland has achieved pre-construction contours. Conifer species to emerge onto ROW over time as a tertiary successional species; leave for natural recovery. No net loss of wetland function was observed. Sept 16, 2017 - KP 56+850 – Marker/signs repaired. Issue resolved.","July 05, 2018 - Vegetation cover on the ROW is 80- 100% compared to the off-ROW control. Predominantly Grasses, Willows, Vetch and Aspens. Excellent establishment of Jack Pines throughout track.  - Diversion berms are present and stable.  - No erosion or subsidence on tract.  - KP 56+900 – Perennial sow thistle observed, recommend herbicide application. August 27, 2018 - Shrubby swamp on ROW from KP 57+592 to 57+631 appears to be at baseline (pre-construction) conditions with no net loss of wetland function observed. Proper wetland functionality has been attained.  - Vegetation establishment within wetland appears to be at 80-100% cover compared with off ROW control. - Vegetation throughout wetland on ROW consisting of herbaceous graminoids, willow, alder, common cattail, Labrador tea and mosses. - No noxious weeds were identified within wetland. - Trench crown present throughout wetland with sufficient breaks for hydrology to be maintained across ROW; no issues of hydrologic connectivity were observed. - Substrate within wetland appears healthy with uniform vegetation cover and hydrology throughout. Peat accumulation expected to be present within substrate. - Wetland exhibiting semi- to fully-saturated conditions with intermittent surface water emergence present throughout wetland. - Wetland providing good habitat opportunities through the presence of snags, standing water and good vegetation cover. - Wetland has achieved pre-construction contours. Aug 5, 2018 – KP 56+900 – Herbicide application conducted to control perennial sow thistle.",,,
